source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
LifeEventDefinitionSO,life-event:apprentice-mistake,LifeEventDefinitionSO|life-event:apprentice-mistake,changes-mood,life-event:apprentice-mistake,-4,0,choices.1.effects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/LifeEvents/life-event_apprentice-mistake.asset
LifeEventDefinitionSO,life-event:apprentice-mistake,LifeEventDefinitionSO|life-event:apprentice-mistake,grants-skill-experience,life-event:apprentice-mistake,25,0,choices.0.effects.0.targetId,SkillExperience (숙련 경험치),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/LifeEvents/life-event_apprentice-mistake.asset
LifeEventDefinitionSO,life-event:captains-test,LifeEventDefinitionSO|life-event:captains-test,advances-ambition,life-event:captains-test,45,0,choices.0.effects.0.targetId,AmbitionProgress (야망 진행),ambition-content,unresolved-content-reference,,Assets/Resources/SO/V20/Narrative/LifeEvents/life-event_captains-test.asset
LifeEventDefinitionSO,life-event:captains-test,LifeEventDefinitionSO|life-event:captains-test,changes-relationship,life-event:captains-test,6,0,choices.1.effects.0.targetId,Relationship (관계),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/LifeEvents/life-event_captains-test.asset
LifeEventDefinitionSO,life-event:childhood-bully,LifeEventDefinitionSO|life-event:childhood-bully,adds-work-delay,life-event:childhood-bully,1,0,choices.1.effects.0.targetId,WorkDelayDays (작업 지연),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/LifeEvents/life-event_childhood-bully.asset
LifeEventDefinitionSO,life-event:childhood-bully,LifeEventDefinitionSO|life-event:childhood-bully,changes-relationship,life-event:childhood-bully,5,0,choices.0.effects.0.targetId,Relationship (관계),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/LifeEvents/life-event_childhood-bully.asset
LifeEventDefinitionSO,life-event:clinic-shortage,LifeEventDefinitionSO|life-event:clinic-shortage,changes-faction-rapport,affected-faction,-6,0,choices.1.effects.0.targetId,FactionRapport (세력 우호도),faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Narrative/LifeEvents/life-event_clinic-shortage.asset
LifeEventDefinitionSO,life-event:clinic-shortage,LifeEventDefinitionSO|life-event:clinic-shortage,changes-health,life-event:clinic-shortage,8,0,choices.0.effects.0.targetId,Health (건강),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/LifeEvents/life-event_clinic-shortage.asset
LifeEventDefinitionSO,life-event:cultural-petition,LifeEventDefinitionSO|life-event:cultural-petition,changes-mood,life-event:cultural-petition,5,0,choices.0.effects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/LifeEvents/life-event_cultural-petition.asset
LifeEventDefinitionSO,life-event:cultural-petition,LifeEventDefinitionSO|life-event:cultural-petition,changes-relationship,life-event:cultural-petition,5,0,choices.1.effects.0.targetId,Relationship (관계),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/LifeEvents/life-event_cultural-petition.asset
LifeEventDefinitionSO,life-event:dangerous-friendship,LifeEventDefinitionSO|life-event:dangerous-friendship,changes-mood,life-event:dangerous-friendship,-3,0,choices.1.effects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/LifeEvents/life-event_dangerous-friendship.asset
LifeEventDefinitionSO,life-event:dangerous-friendship,LifeEventDefinitionSO|life-event:dangerous-friendship,grants-skill-experience,life-event:dangerous-friendship,15,0,choices.0.effects.0.targetId,SkillExperience (숙련 경험치),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/LifeEvents/life-event_dangerous-friendship.asset
LifeEventDefinitionSO,life-event:disputed-thesis,LifeEventDefinitionSO|life-event:disputed-thesis,adds-work-delay,life-event:disputed-thesis,2,0,choices.1.effects.0.targetId,WorkDelayDays (작업 지연),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/LifeEvents/life-event_disputed-thesis.asset
LifeEventDefinitionSO,life-event:disputed-thesis,LifeEventDefinitionSO|life-event:disputed-thesis,grants-skill-experience,life-event:disputed-thesis,30,0,choices.0.effects.0.targetId,SkillExperience (숙련 경험치),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/LifeEvents/life-event_disputed-thesis.asset
LifeEventDefinitionSO,life-event:elder-birthday,LifeEventDefinitionSO|life-event:elder-birthday,changes-mood,life-event:elder-birthday,3,0,automaticEffects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/LifeEvents/life-event_elder-birthday.asset
LifeEventDefinitionSO,life-event:family-room,LifeEventDefinitionSO|life-event:family-room,changes-mood,life-event:family-room,3,0,choices.1.effects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/LifeEvents/life-event_family-room.asset
LifeEventDefinitionSO,life-event:family-room,LifeEventDefinitionSO|life-event:family-room,changes-relationship,life-event:family-room,7,0,choices.0.effects.0.targetId,Relationship (관계),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/LifeEvents/life-event_family-room.asset
LifeEventDefinitionSO,life-event:first-forbidden-door,LifeEventDefinitionSO|life-event:first-forbidden-door,changes-mood,life-event:first-forbidden-door,-2,0,choices.1.effects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/LifeEvents/life-event_first-forbidden-door.asset
LifeEventDefinitionSO,life-event:first-forbidden-door,LifeEventDefinitionSO|life-event:first-forbidden-door,changes-relationship,life-event:first-forbidden-door,4,0,choices.0.effects.0.targetId,Relationship (관계),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/LifeEvents/life-event_first-forbidden-door.asset
LifeEventDefinitionSO,life-event:first-lost-tooth,LifeEventDefinitionSO|life-event:first-lost-tooth,changes-mood,life-event:first-lost-tooth,2,0,automaticEffects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/LifeEvents/life-event_first-lost-tooth.asset
LifeEventDefinitionSO,life-event:first-safe-task,LifeEventDefinitionSO|life-event:first-safe-task,grants-skill-experience,life-event:first-safe-task,10,0,automaticEffects.0.targetId,SkillExperience (숙련 경험치),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/LifeEvents/life-event_first-safe-task.asset
LifeEventDefinitionSO,life-event:foundling-question,LifeEventDefinitionSO|life-event:foundling-question,changes-relationship,life-event:foundling-question,6,0,choices.0.effects.0.targetId,Relationship (관계),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/LifeEvents/life-event_foundling-question.asset
LifeEventDefinitionSO,life-event:foundling-question,LifeEventDefinitionSO|life-event:foundling-question,changes-trauma,life-event:foundling-question,3,0,choices.1.effects.0.targetId,Trauma (트라우마),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/LifeEvents/life-event_foundling-question.asset
LifeEventDefinitionSO,life-event:grave-visit,LifeEventDefinitionSO|life-event:grave-visit,changes-trauma,life-event:grave-visit,-2,0,automaticEffects.0.targetId,Trauma (트라우마),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/LifeEvents/life-event_grave-visit.asset
LifeEventDefinitionSO,life-event:guardian-oath,LifeEventDefinitionSO|life-event:guardian-oath,changes-health,life-event:guardian-oath,4,0,choices.1.effects.0.targetId,Health (건강),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/LifeEvents/life-event_guardian-oath.asset
LifeEventDefinitionSO,life-event:guardian-oath,LifeEventDefinitionSO|life-event:guardian-oath,changes-relationship,life-event:guardian-oath,6,0,choices.0.effects.0.targetId,Relationship (관계),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/LifeEvents/life-event_guardian-oath.asset
LifeEventDefinitionSO,life-event:household-meal,LifeEventDefinitionSO|life-event:household-meal,changes-relationship,life-event:household-meal,2,0,automaticEffects.0.targetId,Relationship (관계),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/LifeEvents/life-event_household-meal.asset
LifeEventDefinitionSO,life-event:inherited-debt,LifeEventDefinitionSO|life-event:inherited-debt,changes-faction-grievance,affected-faction,8,0,choices.1.effects.0.targetId,FactionGrievance (세력 원한),faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Narrative/LifeEvents/life-event_inherited-debt.asset
LifeEventDefinitionSO,life-event:inherited-debt,LifeEventDefinitionSO|life-event:inherited-debt,changes-faction-obligation,affected-faction,-1,0,choices.0.effects.0.targetId,FactionObligation (세력 의무),faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Narrative/LifeEvents/life-event_inherited-debt.asset
LifeEventDefinitionSO,life-event:killer-sighted,LifeEventDefinitionSO|life-event:killer-sighted,advances-ambition,life-event:killer-sighted,60,0,choices.0.effects.0.targetId,AmbitionProgress (야망 진행),ambition-content,unresolved-content-reference,,Assets/Resources/SO/V20/Narrative/LifeEvents/life-event_killer-sighted.asset
LifeEventDefinitionSO,life-event:killer-sighted,LifeEventDefinitionSO|life-event:killer-sighted,changes-trauma,life-event:killer-sighted,-8,0,choices.1.effects.0.targetId,Trauma (트라우마),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/LifeEvents/life-event_killer-sighted.asset
LifeEventDefinitionSO,life-event:last-lesson,LifeEventDefinitionSO|life-event:last-lesson,changes-health,life-event:last-lesson,-5,0,choices.1.effects.0.targetId,Health (건강),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/LifeEvents/life-event_last-lesson.asset
LifeEventDefinitionSO,life-event:last-lesson,LifeEventDefinitionSO|life-event:last-lesson,grants-skill-experience,life-event:last-lesson,25,0,choices.0.effects.0.targetId,SkillExperience (숙련 경험치),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/LifeEvents/life-event_last-lesson.asset
