group,content_type,record_key,stable_id,display_name,description,mechanics,relations,existence_reason,reason_basis,review_status,review_reason,lifecycle_status,catalog_memberships,runtime_status,runtime_evidence,save_evidence,incoming_reference_count,incoming_source_types,system_role,strategic_niche,costs_and_risks,comparison_group,alternative_candidates,removal_impact,rationale_evidence,source_path,asset_guid,authored__authoringRevision,authored__description,authored__displayName,authored__factionReactions,authored__factionReactions__count,authored__initialMemoryCode,authored__m_Name,authored__sourceNote,authored__stableId,authored__startingEffects,authored__startingEffects__count,authored__startingSkills,authored__startingSkills__count
characters-traits,CharacterBackgroundDefinitionSO,CharacterBackgroundDefinitionSO|background:archive-caretaker,background:archive-caretaker,봉인 기록고지기,읽어서는 안 될 장부를 분류하며 지식의 가치와 위험을 배웠다.,작성 자산 정의,changes-mood:background-confidence×2,작성 목적은 '읽어서는 안 될 장부를 분류하며 지식의 가치와 위험을 배웠다'이다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/CharacterNarrativeAggregate.cs; Assets/Scripts/Services/Character/CharacterNarrativeCatalog.cs; Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,Assets/Scripts/Services/Character/CharacterNarrativeAggregate.cs; Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,0,,작성 목적은 '읽어서는 안 될 장부를 분류하며 지식의 가치와 위험을 배웠다'이다.,인물·특성 영역의 CharacterBackgroundDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,CharacterBackgroundDefinitionSO,"비교 후보(대체 가능성 미검증): CharacterBackgroundDefinitionSO:background:camp-refugee, CharacterBackgroundDefinitionSO:background:caravan-artisan, CharacterBackgroundDefinitionSO:background:deserter, CharacterBackgroundDefinitionSO:background:exiled-heir, CharacterBackgroundDefinitionSO:background:guild-apprentice, CharacterBackgroundDefinitionSO:background:inn-servant, CharacterBackgroundDefinitionSO:background:mine-bondworker, CharacterBackgroundDefinitionSO:background:monastery-novice, CharacterBackgroundDefinitionSO:background:ritual-test-subject, CharacterBackgroundDefinitionSO:background:siege-survivor, CharacterBackgroundDefinitionSO:background:tenant-farmer",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V20/Narrative/Backgrounds/background_archive-caretaker.asset,22996850f8ed39245978fd3afa721369,1,읽어서는 안 될 장부를 분류하며 지식의 가치와 위험을 배웠다.,봉인 기록고지기,"[{""id"":""faction:archive-conclave"",""weight"":2.6}]",1,memory:sealed-ledger,background_archive-caretaker,V20 content-density expansion; hand-authored Korean source revision 1.,background:archive-caretaker,"[{""amount"":2,""durationDays"":10,""kind"":1,""targetId"":""background-confidence""}]",1,"[{""experience"":90,""skillId"":""proficiency:scholarship""}]",1
characters-traits,CharacterBackgroundDefinitionSO,CharacterBackgroundDefinitionSO|background:camp-refugee,background:camp-refugee,피난 행렬 출신,긴 피난길에서 식량을 나누고 뒤처진 사람을 챙기는 법을 배웠다.,작성 자산 정의,changes-mood:background-confidence×2,작성 목적은 '긴 피난길에서 식량을 나누고 뒤처진 사람을 챙기는 법을 배웠다'이다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/CharacterNarrativeAggregate.cs; Assets/Scripts/Services/Character/CharacterNarrativeCatalog.cs; Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,Assets/Scripts/Services/Character/CharacterNarrativeAggregate.cs; Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,0,,작성 목적은 '긴 피난길에서 식량을 나누고 뒤처진 사람을 챙기는 법을 배웠다'이다.,인물·특성 영역의 CharacterBackgroundDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,CharacterBackgroundDefinitionSO,"비교 후보(대체 가능성 미검증): CharacterBackgroundDefinitionSO:background:archive-caretaker, CharacterBackgroundDefinitionSO:background:caravan-artisan, CharacterBackgroundDefinitionSO:background:deserter, CharacterBackgroundDefinitionSO:background:exiled-heir, CharacterBackgroundDefinitionSO:background:guild-apprentice, CharacterBackgroundDefinitionSO:background:inn-servant, CharacterBackgroundDefinitionSO:background:mine-bondworker, CharacterBackgroundDefinitionSO:background:monastery-novice, CharacterBackgroundDefinitionSO:background:ritual-test-subject, CharacterBackgroundDefinitionSO:background:siege-survivor, CharacterBackgroundDefinitionSO:background:tenant-farmer",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V20/Narrative/Backgrounds/background_camp-refugee.asset,6dcfd9ca58f57b14aa725517c5e591c0,1,긴 피난길에서 식량을 나누고 뒤처진 사람을 챙기는 법을 배웠다.,피난 행렬 출신,"[{""id"":""faction:free-settlers"",""weight"":2.6}]",1,memory:last-ration,background_camp-refugee,V20 content-density expansion; hand-authored Korean source revision 1.,background:camp-refugee,"[{""amount"":2,""durationDays"":10,""kind"":1,""targetId"":""background-confidence""}]",1,"[{""experience"":70,""skillId"":""proficiency:fieldwork""}]",1
characters-traits,CharacterBackgroundDefinitionSO,CharacterBackgroundDefinitionSO|background:caravan-artisan,background:caravan-artisan,대상단 수공업자,이동 공방에서 자재 손실과 납기를 동시에 다루며 손기술을 익혔다.,작성 자산 정의,changes-mood:background-confidence×2,작성 목적은 '이동 공방에서 자재 손실과 납기를 동시에 다루며 손기술을 익혔다'이다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/CharacterNarrativeAggregate.cs; Assets/Scripts/Services/Character/CharacterNarrativeCatalog.cs; Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,Assets/Scripts/Services/Character/CharacterNarrativeAggregate.cs; Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,0,,작성 목적은 '이동 공방에서 자재 손실과 납기를 동시에 다루며 손기술을 익혔다'이다.,인물·특성 영역의 CharacterBackgroundDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,CharacterBackgroundDefinitionSO,"비교 후보(대체 가능성 미검증): CharacterBackgroundDefinitionSO:background:archive-caretaker, CharacterBackgroundDefinitionSO:background:camp-refugee, CharacterBackgroundDefinitionSO:background:deserter, CharacterBackgroundDefinitionSO:background:exiled-heir, CharacterBackgroundDefinitionSO:background:guild-apprentice, CharacterBackgroundDefinitionSO:background:inn-servant, CharacterBackgroundDefinitionSO:background:mine-bondworker, CharacterBackgroundDefinitionSO:background:monastery-novice, CharacterBackgroundDefinitionSO:background:ritual-test-subject, CharacterBackgroundDefinitionSO:background:siege-survivor, CharacterBackgroundDefinitionSO:background:tenant-farmer",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V20/Narrative/Backgrounds/background_caravan-artisan.asset,af48d63209623cf4b9a9bb07c9c5d52a,1,이동 공방에서 자재 손실과 납기를 동시에 다루며 손기술을 익혔다.,대상단 수공업자,"[{""id"":""faction:merchant-league"",""weight"":2.2}]",1,memory:caravan-workshop,background_caravan-artisan,V20 content-density expansion; hand-authored Korean source revision 1.,background:caravan-artisan,"[{""amount"":2,""durationDays"":10,""kind"":1,""targetId"":""background-confidence""}]",1,"[{""experience"":80,""skillId"":""proficiency:crafting""}]",1
characters-traits,CharacterBackgroundDefinitionSO,CharacterBackgroundDefinitionSO|background:deserter,background:deserter,탈영병,명령보다 살아남는 판단을 택했으며 군대의 습관과 약점을 함께 안다.,작성 자산 정의,changes-mood:background-confidence×2,작성 목적은 '명령보다 살아남는 판단을 택했으며 군대의 습관과 약점을 함께 안다'이다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/CharacterNarrativeAggregate.cs; Assets/Scripts/Services/Character/CharacterNarrativeCatalog.cs; Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,Assets/Scripts/Services/Character/CharacterNarrativeAggregate.cs; Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,0,,작성 목적은 '명령보다 살아남는 판단을 택했으며 군대의 습관과 약점을 함께 안다'이다.,인물·특성 영역의 CharacterBackgroundDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,CharacterBackgroundDefinitionSO,"비교 후보(대체 가능성 미검증): CharacterBackgroundDefinitionSO:background:archive-caretaker, CharacterBackgroundDefinitionSO:background:camp-refugee, CharacterBackgroundDefinitionSO:background:caravan-artisan, CharacterBackgroundDefinitionSO:background:exiled-heir, CharacterBackgroundDefinitionSO:background:guild-apprentice, CharacterBackgroundDefinitionSO:background:inn-servant, CharacterBackgroundDefinitionSO:background:mine-bondworker, CharacterBackgroundDefinitionSO:background:monastery-novice, CharacterBackgroundDefinitionSO:background:ritual-test-subject, CharacterBackgroundDefinitionSO:background:siege-survivor, CharacterBackgroundDefinitionSO:background:tenant-farmer",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V20/Narrative/Backgrounds/background_deserter.asset,e36d7dfbe6b45d442ab57bbcaee0ddee,1,명령보다 살아남는 판단을 택했으며 군대의 습관과 약점을 함께 안다.,탈영병,"[{""id"":""faction:human-legion"",""weight"":0.1}]",1,memory:desertion-night,background_deserter,V20 content-density expansion; hand-authored Korean source revision 1.,background:deserter,"[{""amount"":2,""durationDays"":10,""kind"":1,""targetId"":""background-confidence""}]",1,"[{""experience"":85,""skillId"":""proficiency:melee-combat""}]",1
characters-traits,CharacterBackgroundDefinitionSO,CharacterBackgroundDefinitionSO|background:exiled-heir,background:exiled-heir,추방된 후계자,가문의 몰락 뒤에도 협상 언어와 권력의 체면을 잊지 않았다.,작성 자산 정의,changes-mood:background-confidence×2,작성 목적은 '가문의 몰락 뒤에도 협상 언어와 권력의 체면을 잊지 않았다'이다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/CharacterNarrativeAggregate.cs; Assets/Scripts/Services/Character/CharacterNarrativeCatalog.cs; Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,Assets/Scripts/Services/Character/CharacterNarrativeAggregate.cs; Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,0,,작성 목적은 '가문의 몰락 뒤에도 협상 언어와 권력의 체면을 잊지 않았다'이다.,인물·특성 영역의 CharacterBackgroundDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,CharacterBackgroundDefinitionSO,"비교 후보(대체 가능성 미검증): CharacterBackgroundDefinitionSO:background:archive-caretaker, CharacterBackgroundDefinitionSO:background:camp-refugee, CharacterBackgroundDefinitionSO:background:caravan-artisan, CharacterBackgroundDefinitionSO:background:deserter, CharacterBackgroundDefinitionSO:background:guild-apprentice, CharacterBackgroundDefinitionSO:background:inn-servant, CharacterBackgroundDefinitionSO:background:mine-bondworker, CharacterBackgroundDefinitionSO:background:monastery-novice, CharacterBackgroundDefinitionSO:background:ritual-test-subject, CharacterBackgroundDefinitionSO:background:siege-survivor, CharacterBackgroundDefinitionSO:background:tenant-farmer",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V20/Narrative/Backgrounds/background_exiled-heir.asset,5ea28a11e40acd0428f922831ae367cd,1,가문의 몰락 뒤에도 협상 언어와 권력의 체면을 잊지 않았다.,추방된 후계자,"[{""id"":""faction:old-nobility"",""weight"":2.2}]",1,memory:broken-seal,background_exiled-heir,V20 content-density expansion; hand-authored Korean source revision 1.,background:exiled-heir,"[{""amount"":2,""durationDays"":10,""kind"":1,""targetId"":""background-confidence""}]",1,"[{""experience"":80,""skillId"":""proficiency:social""}]",1
characters-traits,CharacterBackgroundDefinitionSO,CharacterBackgroundDefinitionSO|background:guild-apprentice,background:guild-apprentice,길드 도제,규격과 검사표를 지키며 실패한 시제품의 원인을 기록했다.,작성 자산 정의,changes-mood:background-confidence×2,작성 목적은 '규격과 검사표를 지키며 실패한 시제품의 원인을 기록했다'이다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/CharacterNarrativeAggregate.cs; Assets/Scripts/Services/Character/CharacterNarrativeCatalog.cs; Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,Assets/Scripts/Services/Character/CharacterNarrativeAggregate.cs; Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,0,,작성 목적은 '규격과 검사표를 지키며 실패한 시제품의 원인을 기록했다'이다.,인물·특성 영역의 CharacterBackgroundDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,CharacterBackgroundDefinitionSO,"비교 후보(대체 가능성 미검증): CharacterBackgroundDefinitionSO:background:archive-caretaker, CharacterBackgroundDefinitionSO:background:camp-refugee, CharacterBackgroundDefinitionSO:background:caravan-artisan, CharacterBackgroundDefinitionSO:background:deserter, CharacterBackgroundDefinitionSO:background:exiled-heir, CharacterBackgroundDefinitionSO:background:inn-servant, CharacterBackgroundDefinitionSO:background:mine-bondworker, CharacterBackgroundDefinitionSO:background:monastery-novice, CharacterBackgroundDefinitionSO:background:ritual-test-subject, CharacterBackgroundDefinitionSO:background:siege-survivor, CharacterBackgroundDefinitionSO:background:tenant-farmer",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V20/Narrative/Backgrounds/background_guild-apprentice.asset,bad87d0e1f43f4145825eab81773cc2e,1,규격과 검사표를 지키며 실패한 시제품의 원인을 기록했다.,길드 도제,"[{""id"":""faction:iron-consortium"",""weight"":2.4}]",1,memory:first-masterwork,background_guild-apprentice,V20 content-density expansion; hand-authored Korean source revision 1.,background:guild-apprentice,"[{""amount"":2,""durationDays"":10,""kind"":1,""targetId"":""background-confidence""}]",1,"[{""experience"":90,""skillId"":""proficiency:construction-engineering""}]",1
characters-traits,CharacterBackgroundDefinitionSO,CharacterBackgroundDefinitionSO|background:inn-servant,background:inn-servant,여관 심부름꾼,"취객과 사절 사이를 오가며 주문, 소문, 모욕을 놓치지 않았다.",작성 자산 정의,changes-mood:background-confidence×2,"작성 목적은 '취객과 사절 사이를 오가며 주문, 소문, 모욕을 놓치지 않았다'이다.",description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/CharacterNarrativeAggregate.cs; Assets/Scripts/Services/Character/CharacterNarrativeCatalog.cs; Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,Assets/Scripts/Services/Character/CharacterNarrativeAggregate.cs; Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,0,,"작성 목적은 '취객과 사절 사이를 오가며 주문, 소문, 모욕을 놓치지 않았다'이다.",인물·특성 영역의 CharacterBackgroundDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,CharacterBackgroundDefinitionSO,"비교 후보(대체 가능성 미검증): CharacterBackgroundDefinitionSO:background:archive-caretaker, CharacterBackgroundDefinitionSO:background:camp-refugee, CharacterBackgroundDefinitionSO:background:caravan-artisan, CharacterBackgroundDefinitionSO:background:deserter, CharacterBackgroundDefinitionSO:background:exiled-heir, CharacterBackgroundDefinitionSO:background:guild-apprentice, CharacterBackgroundDefinitionSO:background:mine-bondworker, CharacterBackgroundDefinitionSO:background:monastery-novice, CharacterBackgroundDefinitionSO:background:ritual-test-subject, CharacterBackgroundDefinitionSO:background:siege-survivor, CharacterBackgroundDefinitionSO:background:tenant-farmer",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V20/Narrative/Backgrounds/background_inn-servant.asset,0b9e60646f3afe44fb6957024106d261,1,"취객과 사절 사이를 오가며 주문, 소문, 모욕을 놓치지 않았다.",여관 심부름꾼,"[{""id"":""faction:merchant-league"",""weight"":1.8}]",1,memory:night-shift,background_inn-servant,V20 content-density expansion; hand-authored Korean source revision 1.,background:inn-servant,"[{""amount"":2,""durationDays"":10,""kind"":1,""targetId"":""background-confidence""}]",1,"[{""experience"":75,""skillId"":""proficiency:social""}]",1
characters-traits,CharacterBackgroundDefinitionSO,CharacterBackgroundDefinitionSO|background:mine-bondworker,background:mine-bondworker,광산 계약노동자,무너지는 갱도와 부당한 할당량 속에서 광맥과 위험 징후를 읽었다.,작성 자산 정의,changes-mood:background-confidence×2,작성 목적은 '무너지는 갱도와 부당한 할당량 속에서 광맥과 위험 징후를 읽었다'이다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/CharacterNarrativeAggregate.cs; Assets/Scripts/Services/Character/CharacterNarrativeCatalog.cs; Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,Assets/Scripts/Services/Character/CharacterNarrativeAggregate.cs; Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,0,,작성 목적은 '무너지는 갱도와 부당한 할당량 속에서 광맥과 위험 징후를 읽었다'이다.,인물·특성 영역의 CharacterBackgroundDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,CharacterBackgroundDefinitionSO,"비교 후보(대체 가능성 미검증): CharacterBackgroundDefinitionSO:background:archive-caretaker, CharacterBackgroundDefinitionSO:background:camp-refugee, CharacterBackgroundDefinitionSO:background:caravan-artisan, CharacterBackgroundDefinitionSO:background:deserter, CharacterBackgroundDefinitionSO:background:exiled-heir, CharacterBackgroundDefinitionSO:background:guild-apprentice, CharacterBackgroundDefinitionSO:background:inn-servant, CharacterBackgroundDefinitionSO:background:monastery-novice, CharacterBackgroundDefinitionSO:background:ritual-test-subject, CharacterBackgroundDefinitionSO:background:siege-survivor, CharacterBackgroundDefinitionSO:background:tenant-farmer",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V20/Narrative/Backgrounds/background_mine-bondworker.asset,7fa504bf74d8c654ba86653d32c2e4d3,1,무너지는 갱도와 부당한 할당량 속에서 광맥과 위험 징후를 읽었다.,광산 계약노동자,"[{""id"":""faction:iron-consortium"",""weight"":0.1}]",1,memory:collapsed-shaft,background_mine-bondworker,V20 content-density expansion; hand-authored Korean source revision 1.,background:mine-bondworker,"[{""amount"":2,""durationDays"":10,""kind"":1,""targetId"":""background-confidence""}]",1,"[{""experience"":90,""skillId"":""proficiency:fieldwork""}]",1
characters-traits,CharacterBackgroundDefinitionSO,CharacterBackgroundDefinitionSO|background:monastery-novice,background:monastery-novice,수도원 수련자,"기록과 절제, 환자 곁을 지키는 반복 노동에 익숙하다.",작성 자산 정의,changes-mood:background-confidence×2,"작성 목적은 '기록과 절제, 환자 곁을 지키는 반복 노동에 익숙하다'이다.",description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/CharacterNarrativeAggregate.cs; Assets/Scripts/Services/Character/CharacterNarrativeCatalog.cs; Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,Assets/Scripts/Services/Character/CharacterNarrativeAggregate.cs; Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,0,,"작성 목적은 '기록과 절제, 환자 곁을 지키는 반복 노동에 익숙하다'이다.",인물·특성 영역의 CharacterBackgroundDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,CharacterBackgroundDefinitionSO,"비교 후보(대체 가능성 미검증): CharacterBackgroundDefinitionSO:background:archive-caretaker, CharacterBackgroundDefinitionSO:background:camp-refugee, CharacterBackgroundDefinitionSO:background:caravan-artisan, CharacterBackgroundDefinitionSO:background:deserter, CharacterBackgroundDefinitionSO:background:exiled-heir, CharacterBackgroundDefinitionSO:background:guild-apprentice, CharacterBackgroundDefinitionSO:background:inn-servant, CharacterBackgroundDefinitionSO:background:mine-bondworker, CharacterBackgroundDefinitionSO:background:ritual-test-subject, CharacterBackgroundDefinitionSO:background:siege-survivor, CharacterBackgroundDefinitionSO:background:tenant-farmer",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V20/Narrative/Backgrounds/background_monastery-novice.asset,42c8b83e3f8a435478d26bb52affbbc5,1,"기록과 절제, 환자 곁을 지키는 반복 노동에 익숙하다.",수도원 수련자,"[{""id"":""faction:truth-keepers"",""weight"":2}]",1,memory:monastery-vigil,background_monastery-novice,V20 content-density expansion; hand-authored Korean source revision 1.,background:monastery-novice,"[{""amount"":2,""durationDays"":10,""kind"":1,""targetId"":""background-confidence""}]",1,"[{""experience"":75,""skillId"":""proficiency:medicine""}]",1
characters-traits,CharacterBackgroundDefinitionSO,CharacterBackgroundDefinitionSO|background:ritual-test-subject,background:ritual-test-subject,의식 실험 생존자,비전 실험의 흔적을 지녔고 마나 이상에 예민하게 반응한다.,작성 자산 정의,changes-mood:background-confidence×2,작성 목적은 '비전 실험의 흔적을 지녔고 마나 이상에 예민하게 반응한다'이다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/CharacterNarrativeAggregate.cs; Assets/Scripts/Services/Character/CharacterNarrativeCatalog.cs; Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,Assets/Scripts/Services/Character/CharacterNarrativeAggregate.cs; Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,0,,작성 목적은 '비전 실험의 흔적을 지녔고 마나 이상에 예민하게 반응한다'이다.,인물·특성 영역의 CharacterBackgroundDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,CharacterBackgroundDefinitionSO,"비교 후보(대체 가능성 미검증): CharacterBackgroundDefinitionSO:background:archive-caretaker, CharacterBackgroundDefinitionSO:background:camp-refugee, CharacterBackgroundDefinitionSO:background:caravan-artisan, CharacterBackgroundDefinitionSO:background:deserter, CharacterBackgroundDefinitionSO:background:exiled-heir, CharacterBackgroundDefinitionSO:background:guild-apprentice, CharacterBackgroundDefinitionSO:background:inn-servant, CharacterBackgroundDefinitionSO:background:mine-bondworker, CharacterBackgroundDefinitionSO:background:monastery-novice, CharacterBackgroundDefinitionSO:background:siege-survivor, CharacterBackgroundDefinitionSO:background:tenant-farmer",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V20/Narrative/Backgrounds/background_ritual-test-subject.asset,09d32e3ecf328704697b533ef7f22dc3,1,비전 실험의 흔적을 지녔고 마나 이상에 예민하게 반응한다.,의식 실험 생존자,"[{""id"":""faction:truth-keepers"",""weight"":0.1}]",1,memory:ritual-chamber,background_ritual-test-subject,V20 content-density expansion; hand-authored Korean source revision 1.,background:ritual-test-subject,"[{""amount"":2,""durationDays"":10,""kind"":1,""targetId"":""background-confidence""}]",1,"[{""experience"":85,""skillId"":""proficiency:scholarship""}]",1
