group,type,closure_status,qualifying_outcome,exact_owner_seam,blocker
1,BlueprintResearchCompletedEvent,blocked,,BlueprintResearchRuntime,"research progress and unlock state publish before any reserved gameplay-outcome outbox; no detached rollback or saved pending outcome"
1,BufferAggregationReceipt,blocked,,BufferStackAggregationService,"receipt is diagnostic/capture data only; aggregation owner has no joint gameplay-outcome commit and is also used outside recipe execution"
1,EmergencyWorkSuspensionReceipt,blocked,,WorkTaskExecutor,"work suspension receipt has no durable pending outcome identity or rollback-capable task owner boundary"
1,FacilityBufferMassAdmissionReceipt,blocked,,FacilityBufferMassAdmissionService,"mass admission mutates buffer ownership without a reserved gameplay-outcome page or joint rollback"
1,FacilityBufferPlannedOutputPublicationReceipt,blocked,,FacilityBufferPlannedOutputPublicationService,"existing physical publication transaction has no gameplay-outcome participant and serves non-production producers"
1,FacilityBufferPlannedOutputReceipt,blocked,,FacilityBufferMassAdmissionService,"planned-output admission outbox is not joined to gameplay-outcome outbox/save replay"
1,FacilityBufferPublishedOutputStackReceipt,blocked,,FacilityBufferPlannedOutputPublicationService,"published stack receipt occurs inside physical publication but exact outcome prepare/commit is absent"
1,FacilityOutputExactRouteReceipt,blocked,,FacilityOutputExactRouteService,"exact-route owner has rollback APIs but gameplay-outcome reservation and joint commit are not participants"
1,FacilitySynthesisCompletedEvent,blocked,,FacilitySynthesisRuntime,"completion event is post-state publication; synthesis state and costs have no detached outcome transaction"
1,ManualWaterTransferReceipt,blocked,,FluidNetworkRuntime,"fluid transfer receipt is created after network mutation and lacks saved pending outcome/replay ownership"
1,ObservedProductionLossLifeEventReceipt,blocked,,ObservedCareerLifeEvent owner,"observed life-event outbox is separate from production physical commit and gameplay-outcome outbox"
1,ProductionDeclaredLossCycleReceipt,blocked,,ProductionRecipeExecutionReceiptAuthority,"declared-loss capture precedes/stands beside a post-commit aggregate bridge and is not jointly rolled back"
1,ProductionPreparedOutputPhysicalRouteReceipt,blocked,,ProductionPreparedOutputRoutingAuthority,"routing authority has durable receipt state but no gameplay-outcome transaction participant"
