stable_id,display_name,problem,solution_family,portfolio_role,player_commitment,delayed_alternative,weakness_and_pressure,activation_receipt,transition_or_recovery,first_milestone_skip,balance_and_implementation_status
research:medical-reception,의료 접수,여러 환자의 치료 대기와 자원 배분을 눈앞의 위급함이 아닌 추적 가능한 우선순위로 관리,접수·분류·치료 대기,의료 기반 정착,"접수대·침상·기록·분류 담당·이송 동선을 마련하고 환자를 실제 중증도와 자원 상태로 배정한다","현장 선착순 치료·소규모 치료·외부 이송","분류 오류·대기 과밀·이송 지연·기록 누락","환자의 접수·분류·배정·치료 시작·퇴실이 하나의 의료 흐름으로 남긴 기록","임시 침상·현장 처치·역할 재배치·외부 이송으로 대기 붕괴를 막는다",가능,"설계 확정; 분류 규칙·침상·이송·기록·대기 압력은 밸런스 기준 배정; 실제 우선순위 검증 OPEN"
research:health:pathogen-observation,병원체 관찰과 면역 혈청학,질병을 사후 회복이 아닌 관찰·표본·대응 기준이 있는 위험으로 전환,병원체 관찰과 표본 분석,예방 전환,"표본 채취·격리 보관·관찰 노동·위생 절차를 의료와 생활 구역에 연결한다","증상 치료·일반 위생·외부 치료 요청","표본 오염·관찰자 노출·분석 지연·잘못된 경보","병원체 또는 면역 상태 기록이 실제 격리·치료·예방 작업의 입력으로 읽힌 증거","기본 위생·증상 치료·구역 제한·표본 폐기로 관찰 실패를 통제한다",가능,"설계 확정; 표본·노출·관찰·경보·격리 연계는 밸런스 기준 배정; 실제 질병 추적 검증 OPEN"
research:health:isolation-medicine,격리 의학,감염 위험 인물의 치료가 공동 생활·서비스·노동을 무너뜨리지 않게 함,격리 병동 운영,전염 대응 주력,"격리 침상·출입 동선·세정·보호 장비·전담 인력과 폐기 절차를 운영한다","공동 치료·경미 환자 자가 회복·외부 이송","격리 공간 부족·보호구 소진·전담자 감염·가족 분리","격리 배정·출입·치료·세정·해제 기록이 같은 환자 이력에 남긴 증거","구역 봉쇄·의료 우선순위·임시 침상·외부 이송으로 병동 과부하를 넘긴다",가능,"설계 확정; 격리·보호 장비·동선·돌봄·사회 비용은 밸런스 기준 배정; 실제 확산·해제 검증 OPEN"
research:health:vaccination,예방접종과 유행병 통제,개별 치료 대신 사전 면역 투자와 집단 운영을 선택하게 함,예방 접종과 방역 일정,장기 예방 특화,"시약·접종 인력·대상 기록·대기 공간·추적 일정을 마련해 위험 전의 인력 일부를 관리한다","사후 치료·격리 중심 대응·인구 분산","시약 부족·접종 대기·기록 오류·예기치 않은 유행","접종 대상·시점·면역 상태가 실제 질병 위험과 작업 배정에 반영된 기록","격리·치료·우선 접종·외부 시약으로 방역 실패를 수습한다",가능,"설계 확정; 시약·접종·기록·면역·유행 압력은 밸런스 기준 배정; 실제 예방 효과 검증 OPEN"
research:medical:anatomy,해부학,치료·절제·기증 판단을 추측이 아닌 신체 구조와 기록에 연결,해부와 기관 기준,임상 전환,"해부 공간·표본·기록·위생과 전문가 시간을 치료 판단과 교육에 배정한다","기본 처치·외부 전문의·위험 수술 회피","표본 오염·전문가 부재·기록 오류·대상별 차이","해부 지식이 실제 진단·수술 계획·기증 또는 장비 선택에 읽힌 기록","보수적 치료·외부 의뢰·기본 진단으로 판단 실패를 줄인다",가능,"설계 확정; 전문가·위생·표본·진단 범위는 밸런스 기준 배정; 실제 치료 의사결정 검증 OPEN"
research:medical:surgery,외과술,중증 손상을 마취·절개·봉합·사후 돌봄이 필요한 실제 수술 과정으로 처리,표준 수술실 운영,중증 회복 주력,"수술 침상·세정·마취·기구·전문 인력·회복 침상과 우선순위를 한 치료 흐름으로 운영한다","안정화 치료·자연 회복·보철·외부 이송","마취 부족·감염·수술실 점유·전문의 과부하·회복 지연","수술 예약·소모품·집도·회복·수선 또는 재치료가 같은 환자 이력에 남긴 증거","안정화·치료 연기·외부 이송·보철 전환으로 수술 실패의 피해를 제한한다",가능,"설계 확정; 수술 자원·위생·전문가·회복·실패는 밸런스 기준 배정; 실제 치료 과정 검증 OPEN"
research:medical:trauma-medicine,트라우마 의학,심리 외상을 생산 저하 수치가 아닌 상담·가구·근무·시간이 얽힌 회복 과정으로 다룸,상담과 회복 관리,장기 인력 회복 특화,"상담 공간·기록·신뢰 관계·근무 조정·가구 또는 동료 지원을 피해 인력에게 배정한다","즉시 복귀·직책 교체·휴식 없는 운영·외부 이송","상담자 병목·기록 노출·재노출·돌봄 인력 공백","상담·근무 변경·가구 지원·회복 단계가 실제 인물 이력으로 남긴 기록","저위험 직책·휴식·동료 배치·외부 지원으로 재노출을 줄인다",가능,"설계 확정; 상담·시간·기록·근무 조정·회복은 밸런스 기준 배정; 실제 후속 행동 검증 OPEN"
research:medical:reproductive-medicine,생식 의학,출생을 인구 보너스가 아닌 의료·가구·생활 공간·보호자 책임의 장기 결정으로 만듦,산과 진료와 출생 관리,인구 지속 특화,"산과 공간·마취·위생·보호자·영아 돌봄·가구 배정을 출생 전후에 확보한다","인구 유입·출생 연기·기본 돌봄·외부 의료","산모 위험·보호자 부재·생활 공간 부족·의료와 일반 돌봄 경합","산전·분만·산후·영아 돌봄·가구 배정이 연속 의료 기록으로 남긴 증거","출생 연기·외부 의료·공동 돌봄·임시 숙소로 위기를 회복한다",가능,"설계 확정; 의료·돌봄·공간·인구·가구 영향은 밸런스 기준 배정; 실제 세대 흐름 검증 OPEN"
research:medical:gerontology,노인학과 생물학적 연령 계측,연령 변화를 은퇴·치료·위험 직책 배치의 선제 정보로 사용,연령 계측과 생활 계획,노동 전환 특화,"연령 기록·검진·역할 평가·생활 지원을 유지해 숙련자의 역할 전환을 미리 계획한다","생산성 기준 즉시 배치·위기 뒤 대체·외부 전문가 고용","기록 오차·평가 낙인·지원 비용·숙련자 공백","생물학적 연령 정보가 실제 근무 조정·치료·멘토·은퇴 결정에 쓰인 기록","현장 평가·보조 역할·외부 고용·업무 축소로 예측 실패를 완화한다",가능,"설계 확정; 계측·기록·역할 전환·사회 비용은 밸런스 기준 배정; 실제 생활 주기 검증 OPEN"
research:medical:geriatric-medicine,노인의학과 만성 관리,노련한 인력이 장기 질환 때문에 즉시 이탈하지 않도록 치료·생활 지원·역할 설계를 결속,만성 관리와 적응 치료,숙련 보존 특화,"정기 치료·약제·휴식·보조 장비·근무 조정과 멘토 역할을 함께 관리한다","즉시 은퇴·외부 교체·생산 목표 축소","치료 장기화·약제 의존·침상 점유·보호자 피로","만성 상태·치료·근무 조정·멘토 역할이 같은 인물 이력으로 남긴 증거","은퇴·보조 직책·일반 치료·후계자 투입으로 관리 실패를 넘긴다",가능,"설계 확정; 약제·치료 빈도·역할 조정·노동 보존은 밸런스 기준 배정; 실제 장기 관리 검증 OPEN"
