culture_id,culture_name,climate_id,primary_portfolio,secondary_portfolio,first_commitment,pressure_that_changes_the_pick,recovery_or_switch,activation_receipt,status
culture:adventurer-frontier,개척자 연맹 문화,climate:temperate-cave,`hospitality`,`expeditionary`,밝은 공동 생활과 보존식·접수·정찰을 함께 확보한다,외부 실용주의는 계약·원정으로 자급 투자를 늦출 수 있으므로 봉쇄·보관 압력을 받는다,비축·수동 제작을 남기고 계약 규모를 줄여 `sanctuary` 또는 `industrial` 보조망으로 옮긴다,방·보존식·서비스 또는 원정 기록이 실제 거래·정찰·귀환 결과와 연결된다,설계 확정; 기후 적합성·runtime·저장·수치 검증 OPEN
culture:adventurer-frontier,개척자 연맹 문화,climate:frost-rift,`industrial`,`hospitality`,난방·보존·중앙 보급을 먼저 세우고 외부 계약은 보조로 유지한다,긴 운반과 저온은 교역 단독·야외 원정의 회복 시간을 늘린다,내부 비축과 수동 작업대를 유지한 뒤 온난기 원정·계약을 재개한다,저온 대응 방·비축·보급이 실제 생활·생산·계약 결과에 남는다,설계 확정; 기후 적합성·runtime·저장·수치 검증 OPEN
culture:adventurer-frontier,개척자 연맹 문화,climate:ember-wastes,`hospitality`,`sanctuary`,물·냉장·보존식과 계약 화물을 먼저 확보한다,고온과 수원 압력은 장거리 보급·서비스 동선을 함께 시험한다,재이용·비축·내부 식량을 늘리고 고위험 계약을 축소한다,물·보존·계약 화물이 실제 소비·보관·관계 결과에 남는다,설계 확정; 기후 적합성·runtime·저장·수치 검증 OPEN
culture:adventurer-frontier,개척자 연맹 문화,climate:mycelial-depths,`underground`,`expeditionary`,공동 생활 구역과 내부 재배·환기·정찰을 함께 확보한다,습윤·저조도는 외부 실용주의를 내부 위생·배양 투자로 바꾼다,분산 재배와 보존식을 유지하고 지상 계약·원정은 선택적으로 재개한다,환경 조건을 만족한 방·재배·정찰 기록이 남는다,설계 확정; 기후 적합성·runtime·저장·수치 검증 OPEN
culture:adventurer-frontier,개척자 연맹 문화,climate:mana-stormlands,`expeditionary`,`industrial`,정찰·기동 장비와 수동·증기 보조망을 먼저 확보한다,룬 교란은 비전 단일망보다 탐사·물리 보급·정비의 가치를 올린다,원정 일정을 축소하고 요새 보급·수동 생존망으로 되돌린다,정찰·장비·보급·귀환 기록이 기후 사건 결과와 연결된다,설계 확정; 기후 적합성·runtime·저장·수치 검증 OPEN
culture:beastkin-pack,무리의 화로 문화,climate:temperate-cave,`sanctuary`,`expeditionary`,고기·사료·따뜻한 공동 홀과 운반·사냥 인력을 묶는다,식량 수요와 공동 휴식은 환대·연구 인력을 동시에 잡아먹는다,사료 비축·내부 축산을 유지하고 붉은발 역참 교역 또는 원정을 축소한다,고기·사료·공동 방·운반 또는 정찰 결과가 실제 재고·관계에 남는다,설계 확정; 기후 적합성·runtime·저장·수치 검증 OPEN
culture:beastkin-pack,무리의 화로 문화,climate:frost-rift,`industrial`,`sanctuary`,난방·보존 사료·공동 홀과 중앙 보급을 먼저 세운다,추위는 사냥·운반·사료 수급을 한꺼번에 느리게 만든다,수동 배급과 내부 축산을 남기고 외부 정찰·계약을 늦춘다,난방·사료·보급과 생활·작업 결과가 연결된다,설계 확정; 기후 적합성·runtime·저장·수치 검증 OPEN
culture:beastkin-pack,무리의 화로 문화,climate:ember-wastes,`hospitality`,`sanctuary`,냉장·물·고기 보관과 역참 화물을 먼저 확보한다,고온은 고기 부패와 공동 생활의 수분·위생 부담을 높인다,냉장·보존·물 비축을 확장하고 위험 계약을 줄인다,고기·물·보관·교역·생활 기록이 남는다,설계 확정; 기후 적합성·runtime·저장·수치 검증 OPEN
culture:beastkin-pack,무리의 화로 문화,climate:mycelial-depths,`underground`,`sanctuary`,습윤 구역을 식량·사료·정화와 분리하고 공동 홀을 유지한다,균사 오염은 고기·사료 저장과 생활 동선을 동시에 압박한다,격리·보존식·분산 저장으로 전환하고 외부 역참 화물을 보조로 사용한다,격리·사료·공동 방과 생산·생활 결과가 남는다,설계 확정; 기후 적합성·runtime·저장·수치 검증 OPEN
culture:beastkin-pack,무리의 화로 문화,climate:mana-stormlands,`expeditionary`,`industrial`,기동 정찰·탄약·의약·수동 보급을 먼저 세운다,교란 환경은 외부 운반과 자동 설비를 동시에 불안정하게 만든다,요새 보급·사료 비축을 유지하고 원정 범위를 줄인다,장비·사료·의약·정찰 결과가 사건·관계에 남는다,설계 확정; 기후 적합성·runtime·저장·수치 검증 OPEN
