content_type,asset_count,exclusion_reason
AIDrink,1,AI 의사결정 구성: 콘텐츠 정의가 아니라 행동·고려점 실행 그래프
AIEatAdapter,1,AI 의사결정 구성: 콘텐츠 정의가 아니라 행동·고려점 실행 그래프
AIExitDungeonAdapter,1,AI 의사결정 구성: 콘텐츠 정의가 아니라 행동·고려점 실행 그래프
AIFacilityRoleAction,3,AI 의사결정 구성: 콘텐츠 정의가 아니라 행동·고려점 실행 그래프
AIHaul,1,AI 의사결정 구성: 콘텐츠 정의가 아니라 행동·고려점 실행 그래프
AIHunt,1,AI 의사결정 구성: 콘텐츠 정의가 아니라 행동·고려점 실행 그래프
AILookAroundAdapter,1,AI 의사결정 구성: 콘텐츠 정의가 아니라 행동·고려점 실행 그래프
AIPrimitiveBucketWash,1,AI 의사결정 구성: 콘텐츠 정의가 아니라 행동·고려점 실행 그래프
AIPrimitiveFieldMeal,1,AI 의사결정 구성: 콘텐츠 정의가 아니라 행동·고려점 실행 그래프
AIPrimitiveFloorRest,1,AI 의사결정 구성: 콘텐츠 정의가 아니라 행동·고려점 실행 그래프
AIPrimitiveLatrine,1,AI 의사결정 구성: 콘텐츠 정의가 아니라 행동·고려점 실행 그래프
AIRescue,1,AI 의사결정 구성: 콘텐츠 정의가 아니라 행동·고려점 실행 그래프
AIRest,1,AI 의사결정 구성: 콘텐츠 정의가 아니라 행동·고려점 실행 그래프
AIShoppingAdapter,1,AI 의사결정 구성: 콘텐츠 정의가 아니라 행동·고려점 실행 그래프
AISubstanceUse,1,AI 의사결정 구성: 콘텐츠 정의가 아니라 행동·고려점 실행 그래프
AIWaitAdapter,1,AI 의사결정 구성: 콘텐츠 정의가 아니라 행동·고려점 실행 그래프
AIWork,1,AI 의사결정 구성: 콘텐츠 정의가 아니라 행동·고려점 실행 그래프
BehaviorDesigner.Runtime.ExternalBehaviorTree,1,기술·현지화·Addressables·표현 설정: 플레이 규칙 콘텐츠에서 제외
CharacterAiNaturalnessSettingsSO,1,전역 시스템 규칙·밸런스 설정: 개별 콘텐츠 항목이 아닌 시스템 권위
CharacterAiPerfSettingsSO,1,전역 시스템 규칙·밸런스 설정: 개별 콘텐츠 항목이 아닌 시스템 권위
CharacterSkillSystemSettingsSO,1,전역 시스템 규칙·밸런스 설정: 개별 콘텐츠 항목이 아닌 시스템 권위
ConsiderationCanLookAround,1,AI 의사결정 구성: 콘텐츠 정의가 아니라 행동·고려점 실행 그래프
ConsiderationFacilityNeed,6,AI 의사결정 구성: 콘텐츠 정의가 아니라 행동·고려점 실행 그래프
ConsiderationIsVisitableAdapter,1,AI 의사결정 구성: 콘텐츠 정의가 아니라 행동·고려점 실행 그래프
ConsiderationRandomAdapter,2,AI 의사결정 구성: 콘텐츠 정의가 아니라 행동·고려점 실행 그래프
ConsiderationShoppingCountAdapter,1,AI 의사결정 구성: 콘텐츠 정의가 아니라 행동·고려점 실행 그래프
ConsiderationShouldExitDungeonAdapter,1,AI 의사결정 구성: 콘텐츠 정의가 아니라 행동·고려점 실행 그래프
ConsiderationStatAdapter,4,AI 의사결정 구성: 콘텐츠 정의가 아니라 행동·고려점 실행 그래프
ConsiderationWorkNeed,1,AI 의사결정 구성: 콘텐츠 정의가 아니라 행동·고려점 실행 그래프
DNPPreset,66,AI 의사결정 구성: 콘텐츠 정의가 아니라 행동·고려점 실행 그래프
DungeonAudioLibrarySO,1,기술 또는 표현 설정: 플레이 규칙 콘텐츠에서 제외
DungeonStory.Content.CoreSession.CoreSessionRulesSO,1,전역 시스템 규칙·밸런스 설정: 개별 콘텐츠 항목이 아닌 시스템 권위
FacilityCrimeSettingsSO,1,전역 시스템 규칙·밸런스 설정: 개별 콘텐츠 항목이 아닌 시스템 권위
