domain_group,domain_group_name,type,kind,definition_path,definition_line,coverage_reason,integration_status,integration_reason,producer_count,producer_sites,current_transaction_boundary,joint_commit_feasibility,outcome_save_owner,domain_state_save_owner_candidates,participant_member_candidates,metric_member_candidates,ui_paths,query_paths,narrative_paths,subscriber_count
4,관계·욕구·기분·생애·가족,ApologyEvent,struct,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs,360,"ApologyEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Character/Identity/Runtime/CharacterApologyCommandRuntime.cs:85:CharacterApologyCommandRuntime.CharacterApologyCommandRuntime,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterLifeSaveSection | CharacterNarrativeSaveSection | CharacterPsychosocialSaveSection | CharacterWorldSaveSection | DarkSurvivalSaveSection | SurvivalResourcesSaveSection,,day,,Assets/Scripts/Services/Character/Core/CharacterAcquiredTraitSpecialReaction.cs | Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs | Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs,2
6,장비·특성·기술·시설 진화,ApparelChangedEvent,struct,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs,75,"ApparelChangedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Infrastructure/Environment/CharacterApparelRuntime.cs:1841:CharacterApparelAggregate.<unknown>,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterNarrativeSaveSection | CharacterWorldSaveSection | CombatEquipmentSaveSection | EquipmentEvolutionSaveSection | ModularFacilityWorldSaveSection,character,day,,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs | Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs | Assets/Scripts/Services/Infrastructure/Environment/CharacterApparelRuntime.cs,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs,1
1,작업·생산·품질·연구·건설·수리,BlueprintResearchCompletedEvent,struct,Assets/Scripts/Services/Infrastructure/BlueprintResearchContracts.cs,342,"BlueprintResearchCompletedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",4,Assets/Scripts/Services/Infrastructure/BlueprintResearchRuntime.cs:901:BlueprintResearchRuntime.<unknown> | Assets/Scripts/Services/Infrastructure/BlueprintResearchRuntime.cs:902:BlueprintResearchRuntime.BlueprintResearchCompletedEvent | Assets/Scripts/Services/Infrastructure/BlueprintResearchRuntime.cs:929:BlueprintResearchRuntime.BlueprintResearchCompletedEvent | Assets/Scripts/Services/Infrastructure/BlueprintResearchRuntime.cs:930:BlueprintResearchRuntime.BlueprintResearchCompletedEvent,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,BlueprintResearchSaveSection | ModularFacilityWorldSaveSection | ProductionBillsSaveSection | ProductionPreparedOutputRoutingSaveSection | WorkOrdersSaveSection,,,Assets/Scripts/Views/Buildings/UI/UIBuildingSelectButton.cs | Assets/Scripts/Views/FacilityEvolution/UI/FacilityEvolutionPanel.cs | Assets/Scripts/Views/Synthesis/UI/FacilitySynthesisPanel.cs,Assets/Scripts/Services/Codex/CodexRuntimeApplicationAdapter.cs | Assets/Scripts/Services/Infrastructure/BlueprintResearchRuntime.cs | Assets/Scripts/Services/Infrastructure/DungeonSpaceExpansionRuntime.cs | Assets/Scripts/Services/Meta/MetaRuntimeApplicationAdapter.cs | Assets/Scripts/Views/Buildings/UI/UIBuildingSelectButton.cs,,7
1,작업·생산·품질·연구·건설·수리,BufferAggregationReceipt,struct,Assets/Scripts/Services/Items/BufferStackAggregationService.cs,61,"BufferAggregationReceipt is a result-bearing struct carrying exact post-operation data; retain it as a Record candidate, subject to owner commit proof and duplicate suppression.",transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",2,Assets/Scripts/Services/Items/BufferStackAggregationService.cs:336:BufferStackAggregationService.BufferStackAggregationService | Assets/Scripts/Services/Items/BufferStackAggregationService.cs:557:BufferStackAggregationService.BufferStackAggregationService,receipt construction/capture only; exact commit boundary not proven,needs owner-specific transaction audit,none-found: receipt/event is not persisted as a GameplayOutcome,BlueprintResearchSaveSection | ModularFacilityWorldSaveSection | ProductionBillsSaveSection | ProductionPreparedOutputRoutingSaveSection | WorkOrdersSaveSection,,canonicalQuantity | depositedQuantity | removedPhysicalStackCount,,Assets/Scripts/Services/Items/Diagnostics/PreparedOutputHaulPlannerGateDebugScenarios.cs,,0
2,전투·침입·의료·생포·사망,CaptiveEscapedEvent,struct,Assets/Scripts/Models/Captivity/Core/CaptivityInteractionContracts.cs,187,"CaptiveEscapedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",3,Assets/Scripts/Services/Captivity/CaptivityEscapeRuntime.cs:303:PendingInvasionEscape.PendingInvasionEscape | Assets/Scripts/Services/Captivity/CaptivityRuntime.cs:1380:CaptivityRuntime.<unknown> | Assets/Scripts/Services/Captivity/CaptivityRuntime.cs:1721:CaptivityRuntime.CharacterId,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,captiveId,,,Assets/Scripts/Services/Captivity/CaptivityRuntime.cs,,1
2,전투·침입·의료·생포·사망,CaptivePerformerMilestoneEvent,struct,Assets/Scripts/Models/Captivity/Core/CaptivityInteractionContracts.cs,151,"CaptivePerformerMilestoneEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",3,Assets/Scripts/Models/Captivity/Core/CaptivityPerformerRuntime.cs:200:CaptivityPerformerRuntime.CaptivityPerformerRuntime | Assets/Scripts/Services/Captivity/CaptivityUnityEffectsAdapter.cs:41:CaptivityUnityEffectsAdapter.CaptivityUnityEffectsAdapter | Assets/Scripts/Services/Infrastructure/Core/Captivity/CaptivityPerformerDefaultPort.cs:26:CaptivityPerformerDefaultPort.CaptivityPerformerDefaultPort,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,captiveId,,,,,0
2,전투·침입·의료·생포·사망,CaptiveRansomedEvent,struct,Assets/Scripts/Models/Captivity/Core/CaptivityInteractionContracts.cs,169,"CaptiveRansomedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Captivity/CaptivityRuntime.cs:1457:CaptivityRuntime.EconomyTransactionContext,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,captiveId,amount,,Assets/Scripts/Services/Captivity/CaptivityRuntime.cs,,1
4,관계·욕구·기분·생애·가족,CareerMentorshipAwardCommitReceipt,struct,Assets/Scripts/Services/Character/CareerApplicationAdapter.cs,323,"CareerMentorshipAwardCommitReceipt is a result-bearing struct carrying exact post-operation data; retain it as a Record candidate, subject to owner commit proof and duplicate suppression.",transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",5,Assets/Scripts/Services/Character/CareerApplicationAdapter.cs:365:CareerMentorshipAwardCommitReceipt.FromCommittedUse | Assets/Scripts/Services/Character/CareerApplicationAdapter.cs:378:CareerMentorshipAwardCommitReceipt.Restore | Assets/Scripts/Services/Character/CareerApplicationAdapter.cs:551:CareerMentorshipAwardEffect.FromCommittedUse | Assets/Scripts/Services/Run/ObservedCareerLifeEventReceipts.cs:711:ObservedLastLessonLifeEventReceipt.Restore | Assets/Scripts/Services/Run/Wim040ObservedLifeEventReceiptDebugFixture.cs:239:Wim040ObservedLifeEventReceiptDebugFixture.Restore,existing domain commit/outbox terms nearby; no gameplay-outcome joint outbox,possible via existing transaction/outbox adapter; requires owner-specific proof,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterLifeSaveSection | CharacterNarrativeSaveSection | CharacterPsychosocialSaveSection | CharacterWorldSaveSection | DarkSurvivalSaveSection | SurvivalResourcesSaveSection,academyBuildingId | sourceOperationId,,,Assets/Scripts/Services/Character/CareerApplicationAdapter.cs | Assets/Scripts/Services/Run/V20ContentResolutionService.cs,,0
7,환경·농업·야생동물·질병·재난,CertifiedSeedPlanExecutionReceipt,class,Assets/Scripts/Services/Economy/CertifiedSeedRuntime.cs,19,"CertifiedSeedPlanExecutionReceipt is a result-bearing class carrying exact post-operation data; retain it as a Record candidate, subject to owner commit proof and duplicate suppression.",transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",2,Assets/Scripts/Services/Economy/CertifiedSeedRuntime.cs:75:CertifiedSeedPlanExecutionReceipt.CaptureIdentifiers | Assets/Scripts/Services/Economy/CertifiedSeedRuntime.cs:235:CertifiedSeedRuntime.CertifiedSeedPlanExecutionReceipt,receipt construction/capture only; exact commit boundary not proven,needs owner-specific transaction audit,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterEnvironmentSaveSection | CropEcologySaveSection | CropPlotSaveSection | EnvironmentalFieldSaveSection | EnvironmentalFireSaveSection | PopulationHealthSaveSection | WildlifeSaveSection,facilityInstanceId,,,Assets/Scripts/Services/Economy/CertifiedSeedRuntime.cs,,0
6,장비·특성·기술·시설 진화,CharacterAcquiredTraitReactionExecutedEvent,struct,Assets/Scripts/Services/Character/Core/CharacterAcquiredTraitSpecialReaction.cs,142,"CharacterAcquiredTraitReactionExecutedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Character/Core/CharacterAcquiredTraitSpecialReaction.cs:486:CharacterAcquiredTraitSpecialReactionRuntime.CharacterAcquiredTraitSpecialReactionRuntime,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterNarrativeSaveSection | CharacterWorldSaveSection | CombatEquipmentSaveSection | EquipmentEvolutionSaveSection | ModularFacilityWorldSaveSection,characterId,absoluteDay | appliedValue,,Assets/Scripts/Services/Character/Core/CharacterAcquiredTraitSpecialReaction.cs,,0
