"stable_id","display_name","research_project_id","unlock_role","source_design_intent","singleton_reason","reward_category_presentation","target_side_requirement_bindings","portfolio_commitment","activation_receipt_and_authority","binding_gap_and_status"
"research:climate:environment-control","climate_environment_control","research:climate:environment-control","System Facility","관측·온실·냉각·단열 기술을 능동 환경 제어로 결합한다.","독립된 작업 규칙과 입력·출력을 가진 시스템 시설을 연다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:recipe:component:climate-control-manifold","독립된 공간·작업 규칙·입출력을 가진 체계를 짓고 인력·공간·기반망을 배정한다. 같은 투자로 다른 생산·서비스 체계를 먼저 세울 수는 없다.","연구 완료 영수증 → target-side requiredResearchId가 research:climate:environment-control인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 1개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:climate:regional-climatology","climate_regional_climatology","research:climate:regional-climatology","System Facility","지역 기후학과 시각 항법에 필요한 이론, 제작 절차, 안전 기준과 운용 보상을 하나의 완결된 연구 패키지로 통합한다.","독립된 작업 규칙과 입력·출력을 가진 시스템 시설을 연다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","명시적 target-side definition 없음","독립된 공간·작업 규칙·입출력을 가진 체계를 짓고 인력·공간·기반망을 배정한다. 같은 투자로 다른 생산·서비스 체계를 먼저 세울 수는 없다.","연구 완료 영수증 → target-side requiredResearchId가 research:climate:regional-climatology인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 0개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:climate:weather-observation","climate_weather_observation","research:climate:weather-observation","System Facility","경계 근무 관측법으로 기온과 기상 전선을 측정한다.","독립된 작업 규칙과 입력·출력을 가진 시스템 시설을 연다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:recipe:tool:weather-observation-kit","독립된 공간·작업 규칙·입출력을 가진 체계를 짓고 인력·공간·기반망을 배정한다. 같은 투자로 다른 생산·서비스 체계를 먼저 세울 수는 없다.","연구 완료 영수증 → target-side requiredResearchId가 research:climate:weather-observation인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 1개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:environment:cold-work","environment_cold_work","research:environment:cold-work","Foundation","냉장 구역의 짧은 운반과 장기 근무를 분리하고 보호장비 보관함, 보온 점액 패드와 방한 작업복을 운용한다.","여러 후속 연구와 기존 제작 계통을 여는 기반 연구다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ApparelDefinitionSO:apparel:23024 | ApparelDefinitionSO:apparel:23025 | EnvironmentalWorkwearSO:workwear:cold-work-suit | EnvironmentalWorkwearSO:workwear:slime-warming-pad | ProductionRecipeSO:recipe:cold-work-suit | ProductionRecipeSO:recipe:slime-warming-pad | ProductionRecipeSO:recipe:textile:insulating-cloth | ProductionRecipeSO:recipe:v22:apparel:cold-work-suit | ProductionRecipeSO:recipe:v22:apparel:slime-warming-pad","이 연구가 여는 기본 작업·재료·시설을 실제 생산·생활 루프에 투입한다. 같은 시기의 다른 기반 연구는 뒤로 밀리고, 확보한 기반을 이용한 후속 선택이 열린다.","연구 완료 영수증 → target-side requiredResearchId가 research:environment:cold-work인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 9개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:environment:rune-insulation","environment_rune_insulation","research:environment:rune-insulation","Production Chain","룬 방한복과 내한성 점액 배양으로 극저온 작업 교대를 가능하게 한다.","","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ApparelDefinitionSO:apparel:23026 | EnvironmentalWorkwearSO:workwear:rune-cold-suit | ProductionRecipeSO:recipe:rune-cold-suit | ProductionRecipeSO:recipe:v22:apparel:rune-cold-suit","상류 재료부터 하류 소비처까지 연결해 중간재·운반·저장을 감당한다. 단일 산출물이나 다른 산업 계열에 자본을 묶지 않는 선택을 포기한다.","연구 완료 영수증 → target-side requiredResearchId가 research:environment:rune-insulation인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 4개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:plumbing:basics","plumbing_basics","research:plumbing:basics","System Facility","기초 배관과 펌프 급수에 필요한 이론, 제작 절차, 안전 기준과 운용 보상을 하나의 완결된 연구 패키지로 통합한다.","독립된 작업 규칙과 입력·출력을 가진 시스템 시설을 연다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","명시적 target-side definition 없음","독립된 공간·작업 규칙·입출력을 가진 체계를 짓고 인력·공간·기반망을 배정한다. 같은 투자로 다른 생산·서비스 체계를 먼저 세울 수는 없다.","연구 완료 영수증 → target-side requiredResearchId가 research:plumbing:basics인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 0개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:plumbing:reuse","plumbing_reuse","research:plumbing:reuse","System Facility","침전수와 소독제를 사용해 깨끗한 물로 되돌린다.","독립된 작업 규칙과 입력·출력을 가진 시스템 시설을 연다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:recipe:component:reclaimed-water-filter","독립된 공간·작업 규칙·입출력을 가진 체계를 짓고 인력·공간·기반망을 배정한다. 같은 투자로 다른 생산·서비스 체계를 먼저 세울 수는 없다.","연구 완료 영수증 → target-side requiredResearchId가 research:plumbing:reuse인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 1개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:plumbing:rune-purification","plumbing_rune_purification","research:plumbing:rune-purification","System Facility","마나와 룬으로 폐수 손실을 줄인 고효율 순환망을 만든다.","독립된 작업 규칙과 입력·출력을 가진 시스템 시설을 연다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:recipe:component:rune-purification-crystal","독립된 공간·작업 규칙·입출력을 가진 체계를 짓고 인력·공간·기반망을 배정한다. 같은 투자로 다른 생산·서비스 체계를 먼저 세울 수는 없다.","연구 완료 영수증 → target-side requiredResearchId가 research:plumbing:rune-purification인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 1개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:plumbing:sewer","plumbing_sewer","research:plumbing:sewer","System Facility","하수 처리와 수세 위생에 필요한 이론, 제작 절차, 안전 기준과 운용 보상을 하나의 완결된 연구 패키지로 통합한다.","독립된 작업 규칙과 입력·출력을 가진 시스템 시설을 연다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","명시적 target-side definition 없음","독립된 공간·작업 규칙·입출력을 가진 체계를 짓고 인력·공간·기반망을 배정한다. 같은 투자로 다른 생산·서비스 체계를 먼저 세울 수는 없다.","연구 완료 영수증 → target-side requiredResearchId가 research:plumbing:sewer인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 0개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:service-automation","service_automation","research:service-automation","System Facility","자동 계산·순번·보온·객실 배정 장치로 직원 부담을 줄인다.","독립된 작업 규칙과 입력·출력을 가진 시스템 시설을 연다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","명시적 target-side definition 없음","독립된 공간·작업 규칙·입출력을 가진 체계를 짓고 인력·공간·기반망을 배정한다. 같은 투자로 다른 생산·서비스 체계를 먼저 세울 수는 없다.","연구 완료 영수증 → target-side requiredResearchId가 research:service-automation인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 0개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
