group,content_type,record_key,stable_id,display_name,description,mechanics,relations,existence_reason,reason_basis,review_status,review_reason,lifecycle_status,catalog_memberships,runtime_status,runtime_evidence,save_evidence,incoming_reference_count,incoming_source_types,system_role,strategic_niche,costs_and_risks,comparison_group,alternative_candidates,removal_impact,rationale_evidence,source_path,asset_guid,authored__conditionId,authored__description,authored__m_Name,authored__numericId
research-effects,GameplayEffectConditionDefinitionSO,GameplayEffectConditionDefinitionSO|accident:fall-slip,accident:fall-slip,accident_fall-slip,V26 trait effect condition 'accident:fall-slip'.,작성 자산 정의,,효과 적용 여부를 판정하는 재사용 조건을 제공한다. 작성 목적은 'V26 trait effect condition 'accident:fall-slip''이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,type-contract+description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/Core/CharacterStatsProjectionService.cs; Assets/Scripts/Services/Foundation/GameplayEffectContracts.cs,정적 저장 근거 없음,1,CharacterTraitSO,효과 적용 여부를 판정하는 재사용 조건을 제공한다. 작성 목적은 'V26 trait effect condition 'accident:fall-slip''이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,효과 적용 여부를 판정하는 재사용 조건을 제공한다,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,GameplayEffectConditionDefinitionSO,"비교 후보(대체 가능성 미검증): GameplayEffectConditionDefinitionSO:event:hostile-execution, GameplayEffectConditionDefinitionSO:relationship:first-apology, GameplayEffectConditionDefinitionSO:relationship:negative, GameplayEffectConditionDefinitionSO:room:noise, GameplayEffectConditionDefinitionSO:shift:day, GameplayEffectConditionDefinitionSO:shift:night, GameplayEffectConditionDefinitionSO:state:arcane-overcharge-aftermath, GameplayEffectConditionDefinitionSO:state:arcane-overcharge, GameplayEffectConditionDefinitionSO:state:emergency-stocked, GameplayEffectConditionDefinitionSO:state:forbidden-leap-aftermath, GameplayEffectConditionDefinitionSO:state:formal-status, GameplayEffectConditionDefinitionSO:state:golden-harvest-jackpot 외 32개",직접 참조 1건에 영향: CharacterTraitSO:trait:202,type-contract+description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V26/Effects/Conditions/accident_fall-slip.asset,ce4b47015247cd243b782a063851f081,accident:fall-slip,V26 trait effect condition 'accident:fall-slip'.,accident_fall-slip,1171627407
research-effects,GameplayEffectConditionDefinitionSO,GameplayEffectConditionDefinitionSO|event:hostile-execution,event:hostile-execution,event_hostile-execution,V26 trait effect condition 'event:hostile-execution'.,작성 자산 정의,,효과 적용 여부를 판정하는 재사용 조건을 제공한다. 작성 목적은 'V26 trait effect condition 'event:hostile-execution''이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,type-contract+description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs; Assets/Scripts/Services/Foundation/GameplayEffectContracts.cs,정적 저장 근거 없음,1,CharacterTraitSO,효과 적용 여부를 판정하는 재사용 조건을 제공한다. 작성 목적은 'V26 trait effect condition 'event:hostile-execution''이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,효과 적용 여부를 판정하는 재사용 조건을 제공한다,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,GameplayEffectConditionDefinitionSO,"비교 후보(대체 가능성 미검증): GameplayEffectConditionDefinitionSO:accident:fall-slip, GameplayEffectConditionDefinitionSO:relationship:first-apology, GameplayEffectConditionDefinitionSO:relationship:negative, GameplayEffectConditionDefinitionSO:room:noise, GameplayEffectConditionDefinitionSO:shift:day, GameplayEffectConditionDefinitionSO:shift:night, GameplayEffectConditionDefinitionSO:state:arcane-overcharge-aftermath, GameplayEffectConditionDefinitionSO:state:arcane-overcharge, GameplayEffectConditionDefinitionSO:state:emergency-stocked, GameplayEffectConditionDefinitionSO:state:forbidden-leap-aftermath, GameplayEffectConditionDefinitionSO:state:formal-status, GameplayEffectConditionDefinitionSO:state:golden-harvest-jackpot 외 32개",직접 참조 1건에 영향: CharacterTraitSO:trait:239,type-contract+description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V26/Effects/Conditions/event_hostile-execution.asset,b4104cfd80c28a241afb3d296b54a481,event:hostile-execution,V26 trait effect condition 'event:hostile-execution'.,event_hostile-execution,77651635
research-effects,GameplayEffectConditionDefinitionSO,GameplayEffectConditionDefinitionSO|relationship:first-apology,relationship:first-apology,relationship_first-apology,V26 trait effect condition 'relationship:first-apology'.,작성 자산 정의,,효과 적용 여부를 판정하는 재사용 조건을 제공한다. 작성 목적은 'V26 trait effect condition 'relationship:first-apology''이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,type-contract+description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs; Assets/Scripts/Services/Foundation/GameplayEffectContracts.cs,정적 저장 근거 없음,1,CharacterTraitSO,효과 적용 여부를 판정하는 재사용 조건을 제공한다. 작성 목적은 'V26 trait effect condition 'relationship:first-apology''이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,효과 적용 여부를 판정하는 재사용 조건을 제공한다,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,GameplayEffectConditionDefinitionSO,"비교 후보(대체 가능성 미검증): GameplayEffectConditionDefinitionSO:accident:fall-slip, GameplayEffectConditionDefinitionSO:event:hostile-execution, GameplayEffectConditionDefinitionSO:relationship:negative, GameplayEffectConditionDefinitionSO:room:noise, GameplayEffectConditionDefinitionSO:shift:day, GameplayEffectConditionDefinitionSO:shift:night, GameplayEffectConditionDefinitionSO:state:arcane-overcharge-aftermath, GameplayEffectConditionDefinitionSO:state:arcane-overcharge, GameplayEffectConditionDefinitionSO:state:emergency-stocked, GameplayEffectConditionDefinitionSO:state:forbidden-leap-aftermath, GameplayEffectConditionDefinitionSO:state:formal-status, GameplayEffectConditionDefinitionSO:state:golden-harvest-jackpot 외 32개",직접 참조 1건에 영향: CharacterTraitSO:trait:219,type-contract+description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V26/Effects/Conditions/relationship_first-apology.asset,43672eca49a97bc4298132c7f9d0f49e,relationship:first-apology,V26 trait effect condition 'relationship:first-apology'.,relationship_first-apology,357374960
research-effects,GameplayEffectConditionDefinitionSO,GameplayEffectConditionDefinitionSO|relationship:negative,relationship:negative,relationship_negative,V26 trait effect condition 'relationship:negative'.,작성 자산 정의,,효과 적용 여부를 판정하는 재사용 조건을 제공한다. 작성 목적은 'V26 trait effect condition 'relationship:negative''이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,type-contract+description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs; Assets/Scripts/Services/Foundation/GameplayEffectContracts.cs,정적 저장 근거 없음,1,CharacterTraitSO,효과 적용 여부를 판정하는 재사용 조건을 제공한다. 작성 목적은 'V26 trait effect condition 'relationship:negative''이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,효과 적용 여부를 판정하는 재사용 조건을 제공한다,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,GameplayEffectConditionDefinitionSO,"비교 후보(대체 가능성 미검증): GameplayEffectConditionDefinitionSO:accident:fall-slip, GameplayEffectConditionDefinitionSO:event:hostile-execution, GameplayEffectConditionDefinitionSO:relationship:first-apology, GameplayEffectConditionDefinitionSO:room:noise, GameplayEffectConditionDefinitionSO:shift:day, GameplayEffectConditionDefinitionSO:shift:night, GameplayEffectConditionDefinitionSO:state:arcane-overcharge-aftermath, GameplayEffectConditionDefinitionSO:state:arcane-overcharge, GameplayEffectConditionDefinitionSO:state:emergency-stocked, GameplayEffectConditionDefinitionSO:state:forbidden-leap-aftermath, GameplayEffectConditionDefinitionSO:state:formal-status, GameplayEffectConditionDefinitionSO:state:golden-harvest-jackpot 외 32개",직접 참조 1건에 영향: CharacterTraitSO:trait:218,type-contract+description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V26/Effects/Conditions/relationship_negative.asset,0a80fc9486704a44eb27acc240b8a667,relationship:negative,V26 trait effect condition 'relationship:negative'.,relationship_negative,632715895
research-effects,GameplayEffectConditionDefinitionSO,GameplayEffectConditionDefinitionSO|room:noise,room:noise,room_noise,V26 trait effect condition 'room:noise'.,작성 자산 정의,,효과 적용 여부를 판정하는 재사용 조건을 제공한다. 작성 목적은 'V26 trait effect condition 'room:noise''이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,type-contract+description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs; Assets/Scripts/Services/Foundation/GameplayEffectContracts.cs; Assets/Scripts/Services/Infrastructure/Rooms/RoomEnvironmentExperienceAdapter.cs,정적 저장 근거 없음,1,CharacterTraitSO,효과 적용 여부를 판정하는 재사용 조건을 제공한다. 작성 목적은 'V26 trait effect condition 'room:noise''이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,효과 적용 여부를 판정하는 재사용 조건을 제공한다,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,GameplayEffectConditionDefinitionSO,"비교 후보(대체 가능성 미검증): GameplayEffectConditionDefinitionSO:accident:fall-slip, GameplayEffectConditionDefinitionSO:event:hostile-execution, GameplayEffectConditionDefinitionSO:relationship:first-apology, GameplayEffectConditionDefinitionSO:relationship:negative, GameplayEffectConditionDefinitionSO:shift:day, GameplayEffectConditionDefinitionSO:shift:night, GameplayEffectConditionDefinitionSO:state:arcane-overcharge-aftermath, GameplayEffectConditionDefinitionSO:state:arcane-overcharge, GameplayEffectConditionDefinitionSO:state:emergency-stocked, GameplayEffectConditionDefinitionSO:state:forbidden-leap-aftermath, GameplayEffectConditionDefinitionSO:state:formal-status, GameplayEffectConditionDefinitionSO:state:golden-harvest-jackpot 외 32개",직접 참조 1건에 영향: CharacterTraitSO:trait:201,type-contract+description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V26/Effects/Conditions/room_noise.asset,66655976f547633439723874f2f3ed03,room:noise,V26 trait effect condition 'room:noise'.,room_noise,927940349
research-effects,GameplayEffectConditionDefinitionSO,GameplayEffectConditionDefinitionSO|shift:day,shift:day,shift_day,V26 trait effect condition 'shift:day'.,작성 자산 정의,,효과 적용 여부를 판정하는 재사용 조건을 제공한다. 작성 목적은 'V26 trait effect condition 'shift:day''이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,type-contract+description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/AI/CharacterWorkSemanticTags.cs; Assets/Scripts/Services/Character/Core/CharacterStatsProjectionService.cs; Assets/Scripts/Services/Foundation/GameplayEffectContracts.cs,정적 저장 근거 없음,1,CharacterTraitSO,효과 적용 여부를 판정하는 재사용 조건을 제공한다. 작성 목적은 'V26 trait effect condition 'shift:day''이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,효과 적용 여부를 판정하는 재사용 조건을 제공한다,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,GameplayEffectConditionDefinitionSO,"비교 후보(대체 가능성 미검증): GameplayEffectConditionDefinitionSO:accident:fall-slip, GameplayEffectConditionDefinitionSO:event:hostile-execution, GameplayEffectConditionDefinitionSO:relationship:first-apology, GameplayEffectConditionDefinitionSO:relationship:negative, GameplayEffectConditionDefinitionSO:room:noise, GameplayEffectConditionDefinitionSO:shift:night, GameplayEffectConditionDefinitionSO:state:arcane-overcharge-aftermath, GameplayEffectConditionDefinitionSO:state:arcane-overcharge, GameplayEffectConditionDefinitionSO:state:emergency-stocked, GameplayEffectConditionDefinitionSO:state:forbidden-leap-aftermath, GameplayEffectConditionDefinitionSO:state:formal-status, GameplayEffectConditionDefinitionSO:state:golden-harvest-jackpot 외 32개",직접 참조 1건에 영향: CharacterTraitSO:trait:228,type-contract+description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V26/Effects/Conditions/shift_day.asset,13f507b576f7b954fad1350ef67d8168,shift:day,V26 trait effect condition 'shift:day'.,shift_day,1338041020
research-effects,GameplayEffectConditionDefinitionSO,GameplayEffectConditionDefinitionSO|shift:night,shift:night,shift_night,V26 trait effect condition 'shift:night'.,작성 자산 정의,,효과 적용 여부를 판정하는 재사용 조건을 제공한다. 작성 목적은 'V26 trait effect condition 'shift:night''이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,type-contract+description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/AI/CharacterWorkSemanticTags.cs; Assets/Scripts/Services/Character/Core/CharacterStatsProjectionService.cs; Assets/Scripts/Services/Foundation/GameplayEffectContracts.cs,정적 저장 근거 없음,1,CharacterTraitSO,효과 적용 여부를 판정하는 재사용 조건을 제공한다. 작성 목적은 'V26 trait effect condition 'shift:night''이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,효과 적용 여부를 판정하는 재사용 조건을 제공한다,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,GameplayEffectConditionDefinitionSO,"비교 후보(대체 가능성 미검증): GameplayEffectConditionDefinitionSO:accident:fall-slip, GameplayEffectConditionDefinitionSO:event:hostile-execution, GameplayEffectConditionDefinitionSO:relationship:first-apology, GameplayEffectConditionDefinitionSO:relationship:negative, GameplayEffectConditionDefinitionSO:room:noise, GameplayEffectConditionDefinitionSO:shift:day, GameplayEffectConditionDefinitionSO:state:arcane-overcharge-aftermath, GameplayEffectConditionDefinitionSO:state:arcane-overcharge, GameplayEffectConditionDefinitionSO:state:emergency-stocked, GameplayEffectConditionDefinitionSO:state:forbidden-leap-aftermath, GameplayEffectConditionDefinitionSO:state:formal-status, GameplayEffectConditionDefinitionSO:state:golden-harvest-jackpot 외 32개",직접 참조 1건에 영향: CharacterTraitSO:trait:228,type-contract+description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V26/Effects/Conditions/shift_night.asset,6a0b4ad09c2286341a8e5a53a47d8c35,shift:night,V26 trait effect condition 'shift:night'.,shift_night,1580040360
research-effects,GameplayEffectConditionDefinitionSO,GameplayEffectConditionDefinitionSO|state:arcane-overcharge,state:arcane-overcharge,state_arcane-overcharge,V26 trait effect condition 'state:arcane-overcharge'.,작성 자산 정의,,효과 적용 여부를 판정하는 재사용 조건을 제공한다. 작성 목적은 'V26 trait effect condition 'state:arcane-overcharge''이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,type-contract+description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/Identity/Runtime/ExtremeTraitRuntime.cs; Assets/Scripts/Services/Foundation/GameplayEffectContracts.cs,정적 저장 근거 없음,1,CharacterTraitSO,효과 적용 여부를 판정하는 재사용 조건을 제공한다. 작성 목적은 'V26 trait effect condition 'state:arcane-overcharge''이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,효과 적용 여부를 판정하는 재사용 조건을 제공한다,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,GameplayEffectConditionDefinitionSO,"비교 후보(대체 가능성 미검증): GameplayEffectConditionDefinitionSO:accident:fall-slip, GameplayEffectConditionDefinitionSO:event:hostile-execution, GameplayEffectConditionDefinitionSO:relationship:first-apology, GameplayEffectConditionDefinitionSO:relationship:negative, GameplayEffectConditionDefinitionSO:room:noise, GameplayEffectConditionDefinitionSO:shift:day, GameplayEffectConditionDefinitionSO:shift:night, GameplayEffectConditionDefinitionSO:state:arcane-overcharge-aftermath, GameplayEffectConditionDefinitionSO:state:emergency-stocked, GameplayEffectConditionDefinitionSO:state:forbidden-leap-aftermath, GameplayEffectConditionDefinitionSO:state:formal-status, GameplayEffectConditionDefinitionSO:state:golden-harvest-jackpot 외 32개",직접 참조 1건에 영향: CharacterTraitSO:trait:306,type-contract+description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V26/Effects/Conditions/state_arcane-overcharge.asset,4357e7626178bea40a67ec4811dd4a79,state:arcane-overcharge,V26 trait effect condition 'state:arcane-overcharge'.,state_arcane-overcharge,86068988
research-effects,GameplayEffectConditionDefinitionSO,GameplayEffectConditionDefinitionSO|state:arcane-overcharge-aftermath,state:arcane-overcharge-aftermath,state_arcane-overcharge-aftermath,V26 trait effect condition 'state:arcane-overcharge-aftermath'.,작성 자산 정의,,효과 적용 여부를 판정하는 재사용 조건을 제공한다. 작성 목적은 'V26 trait effect condition 'state:arcane-overcharge-aftermath''이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,type-contract+description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/Identity/Runtime/ExtremeTraitRuntime.cs; Assets/Scripts/Services/Foundation/GameplayEffectContracts.cs,정적 저장 근거 없음,1,CharacterTraitSO,효과 적용 여부를 판정하는 재사용 조건을 제공한다. 작성 목적은 'V26 trait effect condition 'state:arcane-overcharge-aftermath''이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,효과 적용 여부를 판정하는 재사용 조건을 제공한다,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,GameplayEffectConditionDefinitionSO,"비교 후보(대체 가능성 미검증): GameplayEffectConditionDefinitionSO:accident:fall-slip, GameplayEffectConditionDefinitionSO:event:hostile-execution, GameplayEffectConditionDefinitionSO:relationship:first-apology, GameplayEffectConditionDefinitionSO:relationship:negative, GameplayEffectConditionDefinitionSO:room:noise, GameplayEffectConditionDefinitionSO:shift:day, GameplayEffectConditionDefinitionSO:shift:night, GameplayEffectConditionDefinitionSO:state:arcane-overcharge, GameplayEffectConditionDefinitionSO:state:emergency-stocked, GameplayEffectConditionDefinitionSO:state:forbidden-leap-aftermath, GameplayEffectConditionDefinitionSO:state:formal-status, GameplayEffectConditionDefinitionSO:state:golden-harvest-jackpot 외 32개",직접 참조 1건에 영향: CharacterTraitSO:trait:306,type-contract+description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V26/Effects/Conditions/state_arcane-overcharge-aftermath.asset,3b3cdfe594bcbe940b567409c07a9921,state:arcane-overcharge-aftermath,V26 trait effect condition 'state:arcane-overcharge-aftermath'.,state_arcane-overcharge-aftermath,401215619
research-effects,GameplayEffectConditionDefinitionSO,GameplayEffectConditionDefinitionSO|state:emergency-stocked,state:emergency-stocked,state_emergency-stocked,V26 trait effect condition 'state:emergency-stocked'.,작성 자산 정의,,효과 적용 여부를 판정하는 재사용 조건을 제공한다. 작성 목적은 'V26 trait effect condition 'state:emergency-stocked''이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,type-contract+description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/Core/CharacterStatsProjectionService.cs; Assets/Scripts/Services/Foundation/GameplayEffectContracts.cs,정적 저장 근거 없음,1,CharacterTraitSO,효과 적용 여부를 판정하는 재사용 조건을 제공한다. 작성 목적은 'V26 trait effect condition 'state:emergency-stocked''이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,효과 적용 여부를 판정하는 재사용 조건을 제공한다,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,GameplayEffectConditionDefinitionSO,"비교 후보(대체 가능성 미검증): GameplayEffectConditionDefinitionSO:accident:fall-slip, GameplayEffectConditionDefinitionSO:event:hostile-execution, GameplayEffectConditionDefinitionSO:relationship:first-apology, GameplayEffectConditionDefinitionSO:relationship:negative, GameplayEffectConditionDefinitionSO:room:noise, GameplayEffectConditionDefinitionSO:shift:day, GameplayEffectConditionDefinitionSO:shift:night, GameplayEffectConditionDefinitionSO:state:arcane-overcharge-aftermath, GameplayEffectConditionDefinitionSO:state:arcane-overcharge, GameplayEffectConditionDefinitionSO:state:forbidden-leap-aftermath, GameplayEffectConditionDefinitionSO:state:formal-status, GameplayEffectConditionDefinitionSO:state:golden-harvest-jackpot 외 32개",직접 참조 1건에 영향: CharacterTraitSO:trait:220,type-contract+description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V26/Effects/Conditions/state_emergency-stocked.asset,14f05794c90f2dc4d920fb68b028a331,state:emergency-stocked,V26 trait effect condition 'state:emergency-stocked'.,state_emergency-stocked,1136768896
