stable_id,target_integration,actual_cause,locked_context,escalation_stages,meaningful_choices,domain_execution,completion_receipt,persistent_trace,future_reaction,current_status
festival:ash-oath,C4,"악마 공동체가 기존 계약을 검토하고 재봉인을 요구","악마 대표·계약실·문서·봉인 재료·세력 기록","준비→조항 충돌·문서 병목→미봉인 의무·세력 불신","공개 검토; 의무 축소 재협상; 봉인 연기와 물자 우선","기록 열람·증언·문서·봉인·화물 배정을 실행","재봉인 조항·참여·거절·화물 기록","계약 신뢰·숨은 의무·악마 관계","악마 장·채무·다음 계약이 반응","설계 확정; 축제 operation runtime OPEN"
festival:blood-lantern,C3,"뱀파이어가 동의받은 혈향 촛불로 생존자와 사망자 이름을 밝힘","뱀파이어 가구·추모 공간·동의 기록·혈향 물자·의료","준비→동의·물자 부족→의례 중단·가구 갈등 또는 건강 노출","전체 의례; 소규모 추모; 기록 전시와 촛불 생략","동의 확인·물자 준비·의례·의료 대기·정리를 실행","참여·동의·물자 소비·추모 기록","가구 신뢰·추모 기억·동의 규칙","유산·의료·문화 요청이 반응","설계 확정; 동의·추모 runtime OPEN"
festival:clear-confluence,C3,"슬라임 가구가 깨끗한 수조에서 색과 기억을 나눔","슬라임 가구·수조·정수·기록·세정 인력","준비→수질·공간 경합→오염·기억 혼선 또는 행사 축소","공동 수조; 가구별 순환; 기록 교환만 진행","급수·세정·수조 배정·기록 작업을 실행","수질·참여·기억 교환·오염 기록","슬라임 가구 결속·수조 위생·기억 이력","물 부족·문화 통합·의료 사건이 반응","설계 확정; 물·문화 runtime OPEN"
festival:core-resonance,C4,"골렘이 정비된 핵 주파수를 맞추고 기억판을 교환","골렘·핵·정비실·전력·기억판·경비","정비 준비→전력·핵 경합→공명 불일치·가동 중단 또는 기억 손실","전면 공명; 구역별 순환; 기록 교환만 진행","핵 정비·전력 배분·기억판 이동·격리 작업","공명 결과·정비·가동·기억 교환 기록","골렘 신뢰·핵 상태·정비 부채","골렘 장·전력 사건·정비 계약이 반응","설계 확정; 구성체·전력 runtime OPEN"
festival:dungeon-accord-day,C4,"세력 사절과 직원이 공동 방어·구호 계약 이행을 공개 점검","여러 세력·집무실·경비·구호 재고·기록","준비→의무 검증·재고 경합→공개 불이행·세력 불신","공개 점검; 소규모 양자 점검; 구호 우선과 행사 축소","기록 검수·화물 전시·경비·구호 작업을 실행","이행 판정·화물·참여·미납 기록","공동 협약·세력 신뢰·공개 의무","계약·세력 장·침입 지원이 반응","설계 확정; 다세력 계약 runtime OPEN"
festival:frontier-map-night,C3,"개척자가 귀환 경로와 미귀환자 이름을 지도에 남김","개척자·지도실·기록·원정 장비·추모 공간","준비→기록·원정 경로 논쟁→잘못된 표지·추모 갈등 또는 탐사 지연","전체 지도 갱신; 안전 경로만 공개; 추모와 탐사 계획 분리","지도 갱신·기록 검증·장비 점검·추모를 실행","경로·이름·표지·참여 기록","원정 지도·미귀환자·안전 경로","원정·구조·유산 사건이 반응","설계 확정; 지도·원정 runtime OPEN"
festival:high-sun,C3,"가장 긴 작업일 뒤 냉음료와 공연으로 여름 피로를 완화","주민·주방·냉각·공연 공간·근무표","준비→전력·식재료 경합→냉각 과부하·근무 공백 또는 축소","전면 휴식; 교대식 소규모 행사; 냉각을 의료에 우선","조리·냉각·공연·근무 교대·정리를 실행","참여·음료·전력·교대·사고 기록","여름 피로·주방 수요·전력 정책","폭염·손님·공연 요청이 반응","설계 확정; 피로·전력 runtime OPEN"
festival:long-night-memorial,C3,"한 해 사망자를 추모하고 슬픔을 공동 결의로 정리","유족·묘지 또는 추모 공간·기록·식사·경비","준비→기록·공간 경합→유산 다툼·참여 이탈 또는 추모 중단","공동 추모; 가구별 의식; 기록 공개와 유물 보관","기록 정리·식사·추모 물자·경비·권한 작업","참여·이름·유물·가구 기록","추모 기억·유족 상태·유산 권한","유물·가구 빚·원수 사건이 반응","설계 확정; 계보·추모 runtime OPEN"
festival:many-tables,C4,"서로 다른 금기를 표시한 작은 식탁들이 대체식을 나눔","여러 문화·주방·분리 보관·식당·조리 인력","준비→메뉴·동선 경합→오염·결례·식사 부족 또는 갈등","모든 식탁 운영; 문화별 순환; 공통 대체식 중심","재료 분리·조리·세정·좌석·표지 작업을 실행","메뉴·식사·참여·오염·거절 기록","문화 적합성·주방 규칙·재료 수요","문화 청원·손님 만찬·가구 갈등이 반응","설계 확정; 다문화 서비스 runtime OPEN"
festival:open-sky-chorus,C3,"하피가 높은 통로를 비우고 계절 바람을 합창으로 기록","하피·높은 통로·경계·관측·운반 일정","준비→통로·운반 경합→경보 누락·추락 또는 행사 취소","통로 전면 비움; 교대 관측; 지상 기록 행사","통로 권한·관측·호위·공연·운반 조정을 실행","관측값·참여·통로 폐쇄·경보 기록","하피 문화·바람 기록·공중 경로","하피 장·폭풍·원정 경로가 반응","설계 확정; 관측·공중 물류 runtime OPEN"
