"stable_id","display_name","source_declared_function","lineage_and_era_evidence","proposed_tactical_branch","portfolio_commitment","forgone_branch","activation_and_effect_binding","counterpressure_and_recovery","status"
"module:armor:blacksteel-rib","흑강 늑골","작성 목적은 '원정에서 회수하는 흑강 늑골 개량 부품'이다.","계보 Armor; 최소 시대 Early Industrial; powerPerGrade 0.05; utilityPerGrade 0.025; 현재 effects []","고강도 구조","무거운 핵심 방호를 위해 제작·운반·기동 부담을 감수하는 운용","기동·환경·룬 특화 경량 방호 축","Early Industrial 이후 Armor 장비에 장착하는 설계 분기다. 현재 effects가 비어 있으므로, 구현 전 이 행의 전술 분기를 구체 효과·장착 슬롯·등급 규칙·저장 권위에 하나씩 연결한다.","동일 장비에서 상충하는 특화축을 함께 최대화하지 못하게 슬롯·등급 예산·재료·정비 비용을 확정한다. 해제한 모듈은 회수·정비·재장착 경로로 돌리고, 중복 효과·무한 교체·저장 복제는 자동 감사 대상으로 둔다.","전수 설계; proposed tactical branch 확정, effects·slot·grade·BOM·정비·저장 구현 OPEN"
"module:armor:impact-liner","충격 내피","작성 목적은 '원정에서 회수하는 충격 내피 개량 부품'이다.","계보 Armor; 최소 시대 Early Industrial; powerPerGrade 0.035; utilityPerGrade 0.035; 현재 effects []","충격 생존","충격·낙하·격돌 계열 위험을 버티는 방호 운용","관통·열·연기·룬·기동 축","Early Industrial 이후 Armor 장비에 장착하는 설계 분기다. 현재 effects가 비어 있으므로, 구현 전 이 행의 전술 분기를 구체 효과·장착 슬롯·등급 규칙·저장 권위에 하나씩 연결한다.","동일 장비에서 상충하는 특화축을 함께 최대화하지 못하게 슬롯·등급 예산·재료·정비 비용을 확정한다. 해제한 모듈은 회수·정비·재장착 경로로 돌리고, 중복 효과·무한 교체·저장 복제는 자동 감사 대상으로 둔다.","전수 설계; proposed tactical branch 확정, effects·slot·grade·BOM·정비·저장 구현 OPEN"
"module:armor:mobility-joint","기동 관절","작성 목적은 '원정에서 회수하는 기동 관절 개량 부품'이다.","계보 Armor; 최소 시대 Early Industrial; powerPerGrade 0.035; utilityPerGrade 0.025; 현재 effects []","기동 생존","회피·거리 조절·빠른 재배치를 우선하는 방호 운용","무거운 구조 방호·환경 차폐 축","Early Industrial 이후 Armor 장비에 장착하는 설계 분기다. 현재 effects가 비어 있으므로, 구현 전 이 행의 전술 분기를 구체 효과·장착 슬롯·등급 규칙·저장 권위에 하나씩 연결한다.","동일 장비에서 상충하는 특화축을 함께 최대화하지 못하게 슬롯·등급 예산·재료·정비 비용을 확정한다. 해제한 모듈은 회수·정비·재장착 경로로 돌리고, 중복 효과·무한 교체·저장 복제는 자동 감사 대상으로 둔다.","전수 설계; proposed tactical branch 확정, effects·slot·grade·BOM·정비·저장 구현 OPEN"
"module:armor:plate-web","판금 연결망","작성 목적은 '원정에서 회수하는 판금 연결망 개량 부품'이다.","계보 Armor; 최소 시대 Early Industrial; powerPerGrade 0.04; utilityPerGrade 0.025; 현재 effects []","구조 방호","넓은 신체 방호를 위해 이동·환경 특화를 늦추는 판금 결속 운용","기동·연기·열·룬 대응 축","Early Industrial 이후 Armor 장비에 장착하는 설계 분기다. 현재 effects가 비어 있으므로, 구현 전 이 행의 전술 분기를 구체 효과·장착 슬롯·등급 규칙·저장 권위에 하나씩 연결한다.","동일 장비에서 상충하는 특화축을 함께 최대화하지 못하게 슬롯·등급 예산·재료·정비 비용을 확정한다. 해제한 모듈은 회수·정비·재장착 경로로 돌리고, 중복 효과·무한 교체·저장 복제는 자동 감사 대상으로 둔다.","전수 설계; proposed tactical branch 확정, effects·slot·grade·BOM·정비·저장 구현 OPEN"
"module:armor:rune-ward","룬 수호편","작성 목적은 '원정에서 회수하는 룬 수호편 개량 부품'이다.","계보 Armor; 최소 시대 Early Industrial; powerPerGrade 0.045; utilityPerGrade 0.035; 현재 effects []","룬 위협 대응","룬·마나 위협이 있는 조우를 위해 룬 계열 투자와 연결하는 방호 운용","물리·환경·기동만으로 구성하는 방호 축","Early Industrial 이후 Armor 장비에 장착하는 설계 분기다. 현재 effects가 비어 있으므로, 구현 전 이 행의 전술 분기를 구체 효과·장착 슬롯·등급 규칙·저장 권위에 하나씩 연결한다.","동일 장비에서 상충하는 특화축을 함께 최대화하지 못하게 슬롯·등급 예산·재료·정비 비용을 확정한다. 해제한 모듈은 회수·정비·재장착 경로로 돌리고, 중복 효과·무한 교체·저장 복제는 자동 감사 대상으로 둔다.","전수 설계; proposed tactical branch 확정, effects·slot·grade·BOM·정비·저장 구현 OPEN"
"module:armor:self-seal","자가 봉합재","작성 목적은 '원정에서 회수하는 자가 봉합재 개량 부품'이다.","계보 Armor; 최소 시대 Early Industrial; powerPerGrade 0.04; utilityPerGrade 0.03; 현재 effects []","손상 지속 억제","연속 교전과 귀환 지연에서 손상 누적을 관리하는 방호 운용","순간 방호·기동·특정 환경 대응 축","Early Industrial 이후 Armor 장비에 장착하는 설계 분기다. 현재 effects가 비어 있으므로, 구현 전 이 행의 전술 분기를 구체 효과·장착 슬롯·등급 규칙·저장 권위에 하나씩 연결한다.","동일 장비에서 상충하는 특화축을 함께 최대화하지 못하게 슬롯·등급 예산·재료·정비 비용을 확정한다. 해제한 모듈은 회수·정비·재장착 경로로 돌리고, 중복 효과·무한 교체·저장 복제는 자동 감사 대상으로 둔다.","전수 설계; proposed tactical branch 확정, effects·slot·grade·BOM·정비·저장 구현 OPEN"
"module:armor:smoke-filter","연기 여과기","작성 목적은 '원정에서 회수하는 연기 여과기 개량 부품'이다.","계보 Armor; 최소 시대 Early Industrial; powerPerGrade 0.045; utilityPerGrade 0.03; 현재 effects []","연기 작업·조우","연기 시설·화재 후속·연막 조우에서도 역할을 유지하는 방호 운용","직접 타격·열·룬·기동에 몰아주는 축","Early Industrial 이후 Armor 장비에 장착하는 설계 분기다. 현재 effects가 비어 있으므로, 구현 전 이 행의 전술 분기를 구체 효과·장착 슬롯·등급 규칙·저장 권위에 하나씩 연결한다.","동일 장비에서 상충하는 특화축을 함께 최대화하지 못하게 슬롯·등급 예산·재료·정비 비용을 확정한다. 해제한 모듈은 회수·정비·재장착 경로로 돌리고, 중복 효과·무한 교체·저장 복제는 자동 감사 대상으로 둔다.","전수 설계; proposed tactical branch 확정, effects·slot·grade·BOM·정비·저장 구현 OPEN"
"module:armor:thermal-layer","열 차폐층","작성 목적은 '원정에서 회수하는 열 차폐층 개량 부품'이다.","계보 Armor; 최소 시대 Early Industrial; powerPerGrade 0.05; utilityPerGrade 0.035; 현재 effects []","온도 압력","한랭·고열 환경과 그 시설 운영을 감당하는 방호 운용","순수 전투 방호·기동·연기 대응 축","Early Industrial 이후 Armor 장비에 장착하는 설계 분기다. 현재 effects가 비어 있으므로, 구현 전 이 행의 전술 분기를 구체 효과·장착 슬롯·등급 규칙·저장 권위에 하나씩 연결한다.","동일 장비에서 상충하는 특화축을 함께 최대화하지 못하게 슬롯·등급 예산·재료·정비 비용을 확정한다. 해제한 모듈은 회수·정비·재장착 경로로 돌리고, 중복 효과·무한 교체·저장 복제는 자동 감사 대상으로 둔다.","전수 설계; proposed tactical branch 확정, effects·slot·grade·BOM·정비·저장 구현 OPEN"
"module:shield:anchor-core","고정 핵","작성 목적은 '원정에서 회수하는 고정 핵 개량 부품'이다.","계보 Shield; 최소 시대 Mature Industrial; powerPerGrade 0.05; utilityPerGrade 0.03; 현재 effects []","고정 전열","거점 방어와 좁은 길목에서 전열을 고정하는 방어 운용","기동 추격·개별 충격 대응·룬 차폐 축","Mature Industrial 이후 Shield 장비에 장착하는 설계 분기다. 현재 effects가 비어 있으므로, 구현 전 이 행의 전술 분기를 구체 효과·장착 슬롯·등급 규칙·저장 권위에 하나씩 연결한다.","동일 장비에서 상충하는 특화축을 함께 최대화하지 못하게 슬롯·등급 예산·재료·정비 비용을 확정한다. 해제한 모듈은 회수·정비·재장착 경로로 돌리고, 중복 효과·무한 교체·저장 복제는 자동 감사 대상으로 둔다.","전수 설계; proposed tactical branch 확정, effects·slot·grade·BOM·정비·저장 구현 OPEN"
"module:shield:reinforced-rim","강화 테두리","작성 목적은 '원정에서 회수하는 강화 테두리 개량 부품'이다.","계보 Shield; 최소 시대 Mature Industrial; powerPerGrade 0.035; utilityPerGrade 0.03; 현재 effects []","방패 내구","지속 방어와 반복 차단을 우선하는 전선 유지 운용","기동·충격 대응·룬 차폐·고정 방어 축","Mature Industrial 이후 Shield 장비에 장착하는 설계 분기다. 현재 effects가 비어 있으므로, 구현 전 이 행의 전술 분기를 구체 효과·장착 슬롯·등급 규칙·저장 권위에 하나씩 연결한다.","동일 장비에서 상충하는 특화축을 함께 최대화하지 못하게 슬롯·등급 예산·재료·정비 비용을 확정한다. 해제한 모듈은 회수·정비·재장착 경로로 돌리고, 중복 효과·무한 교체·저장 복제는 자동 감사 대상으로 둔다.","전수 설계; proposed tactical branch 확정, effects·slot·grade·BOM·정비·저장 구현 OPEN"
