section,title,status,qualifier,details,linked_authorities,source_document
구현 확인,런타임 조립과 공통 기반,checked,,"구현 권위: [DungeonRuntimeLifetimeScope.cs](../Assets/Scripts/Services/Infrastructure/DungeonRuntimeLifetimeScope.cs), [Foundation](../Assets/Scripts/Services/Foundation/) | 설명 권위: [시스템 구성과 상태 권위](handbook/02-system-map-and-authority.md) | 확인 범위: 도메인 registration, aggregate store, 시계, 난수 stream, 이벤트 버스, 영속 ID, 작업 예산, 경로 탐색 broker",../Assets/Scripts/Services/Infrastructure/DungeonRuntimeLifetimeScope.cs; ../Assets/Scripts/Services/Foundation/; handbook/02-system-map-and-authority.md,docs_final/system-implementation-checklist.md
구현 확인,통합 콘텐츠 카탈로그와 도메인별 읽기 port,checked,,"구현 권위: [GameContentCatalogSO.cs](../Assets/Scripts/Content/GameContentCatalogSO.cs), `ResourceGameContentCatalog` | 설명 권위: [시스템 구성과 상태 권위](handbook/02-system-map-and-authority.md)",../Assets/Scripts/Content/GameContentCatalogSO.cs; handbook/02-system-map-and-authority.md,docs_final/system-implementation-checklist.md
구현 확인,자동 동기화 기술·콘텐츠 지식베이스,checked,,"구현 권위: [generate_content_database.py](../Tools/Documentation/generate_content_database.py), [generate_knowledge_base.py](../Tools/Documentation/generate_knowledge_base.py), [knowledge_manifest.py](../Tools/Documentation/knowledge_manifest.py), [verify_knowledge_base.py](../Tools/Documentation/verify_knowledge_base.py) | 생성 권위: [기술·콘텐츠 지식베이스](knowledge-base/README.md), [콘텐츠 데이터베이스](content-db/README.md) | 확인 범위: 작성 콘텐츠의 전체 직렬화 필드·정방향 관계·역참조·존재 이유, 유형/안정 ID별 C# 소비처, 시스템별 코드 파일·역할·정적 최적화 근거, 상태 권위·저장·UI/AI 관찰 경로, 원본/생성물 digest와 stale 검증 | 실행 경계: Unity와 컴파일러를 사용하지 않는 정적 재생성·검증이며 실제 플레이 도달과 성능 수치를 보증하지 않음",../Tools/Documentation/generate_content_database.py; ../Tools/Documentation/generate_knowledge_base.py; ../Tools/Documentation/knowledge_manifest.py; ../Tools/Documentation/verify_knowledge_base.py; knowledge-base/README.md; content-db/README.md,docs_final/system-implementation-checklist.md
구현 확인,시설 정의와 ability 조립,checked,,"구현 권위: [BuildingSO.cs](../Assets/Scripts/Services/Buildings/SO/BuildingSO.cs), `BuildingAbilityCollection` | 작성 자산: 건물 419개, deprecated 호환 자산 제외 398개 | 설명 권위: [공간 구축·시설·환경 시뮬레이션](handbook/03-world-building-facilities-environment.md)",../Assets/Scripts/Services/Buildings/SO/BuildingSO.cs; handbook/03-world-building-facilities-environment.md,docs_final/system-implementation-checklist.md
구현 확인,아이템 정의와 타입화된 feature,checked,,"구현 권위: [ItemDefinitionSO.cs](../Assets/Scripts/Models/Economy/Content/ItemDefinitionSO.cs), [ItemDefinitionCatalogSO.cs](../Assets/Scripts/Models/Economy/Content/ItemDefinitionCatalogSO.cs) | 작성 자산: 구체 `*ItemDefinitionSO` 1,074개 | 설명 권위: [물질 경제·생산·물류 체계](handbook/04-items-production-logistics-economy.md)",../Assets/Scripts/Models/Economy/Content/ItemDefinitionSO.cs; ../Assets/Scripts/Models/Economy/Content/ItemDefinitionCatalogSO.cs; handbook/04-items-production-logistics-economy.md,docs_final/system-implementation-checklist.md
구현 확인,물리 아이템·예약·custody·목적지 수용량,checked,,"구현 권위: [WorldItemRepository.cs](../Assets/Scripts/Services/Items/WorldItemRepository.cs), [ItemTransferService.cs](../Assets/Scripts/Services/Items/ItemTransferService.cs) | 설명 권위: [물질 경제·생산·물류 체계](handbook/04-items-production-logistics-economy.md)",../Assets/Scripts/Services/Items/WorldItemRepository.cs; ../Assets/Scripts/Services/Items/ItemTransferService.cs; handbook/04-items-production-logistics-economy.md,docs_final/system-implementation-checklist.md
구현 확인,생산 bill·WIP·prepared output·출력 확정,checked,,"구현 권위: [ProductionBillRuntime.cs](../Assets/Scripts/Models/Economy/Content/ProductionBillRuntime.cs), `ProductionAggregateStateSession`, 생산 output capability·materializer 계열 | 설명 권위: [물질 경제·생산·물류 체계](handbook/04-items-production-logistics-economy.md)",../Assets/Scripts/Models/Economy/Content/ProductionBillRuntime.cs; handbook/04-items-production-logistics-economy.md,docs_final/system-implementation-checklist.md
구현 확인,작업 registry와 AI 노동 배분,checked,,"구현 권위: [CharacterAiScheduler.cs](../Assets/Scripts/Services/Character/AI/CharacterAiScheduler.cs), `WorkTypeId` 기반 provider·handler·policy | 설명 권위: [인물·노동·사회·생명 체계](handbook/05-characters-ai-society-health.md)",../Assets/Scripts/Services/Character/AI/CharacterAiScheduler.cs; handbook/05-characters-ai-society-health.md,docs_final/system-implementation-checklist.md
구현 확인,방·환경·전기·유체·컨베이어,checked,,"구현 권위: [Rooms](../Assets/Scripts/Models/Rooms/Core/), [Environment](../Assets/Scripts/Models/Environment/Core/), [Industrial](../Assets/Scripts/Services/Infrastructure/Industrial/) | 설명 권위: [공간 구축·시설·환경 시뮬레이션](handbook/03-world-building-facilities-environment.md)",../Assets/Scripts/Models/Rooms/Core/; ../Assets/Scripts/Models/Environment/Core/; ../Assets/Scripts/Services/Infrastructure/Industrial/; handbook/03-world-building-facilities-environment.md,docs_final/system-implementation-checklist.md
구현 확인,농업·축산·야생동물 생태,checked,,"구현 권위: [CropPlotRuntime.cs](../Assets/Scripts/Services/Economy/CropPlotRuntime.cs), [Husbandry](../Assets/Scripts/Services/Economy/Husbandry/), [Wildlife](../Assets/Scripts/Services/Wildlife/) | 작성 자산: 작물 12개, 야생동물 종 18개 | 설명 권위: [공간 구축·시설·환경 시뮬레이션](handbook/03-world-building-facilities-environment.md)",../Assets/Scripts/Services/Economy/CropPlotRuntime.cs; ../Assets/Scripts/Services/Economy/Husbandry/; ../Assets/Scripts/Services/Wildlife/; handbook/03-world-building-facilities-environment.md,docs_final/system-implementation-checklist.md
구현 확인,캐릭터 생존·소비·사회·직업·숙련,checked,,"구현 권위: [Characters](../Assets/Scripts/Models/Characters/), [Character services](../Assets/Scripts/Services/Character/), [CharacterConsumablesRuntime.cs](../Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs) | 설명 권위: [인물·노동·사회·생명 체계](handbook/05-characters-ai-society-health.md)",../Assets/Scripts/Models/Characters/; ../Assets/Scripts/Services/Character/; ../Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs; handbook/05-characters-ai-society-health.md,docs_final/system-implementation-checklist.md
구현 확인,시작 구성과 던전 주인 권위,checked,,"구현 권위: [StartPartyPreparationService.cs](../Assets/Scripts/Services/Character/Core/StartPartyPreparationService.cs), [StartPartyPreparationSnapshot.cs](../Assets/Scripts/Services/Character/Core/StartPartyPreparationSnapshot.cs), [OffenseExpeditionService.cs](../Assets/Scripts/Services/Offense/OffenseExpeditionService.cs) | 확인 범위: 주인 한 명과 같은 종족 직원 두 명의 시작 구성, 후보 준비와 확정, 주인 고정 기술, 주인의 원정 참가 차단 | 설명 권위: [게임 정체성과 운영 순환](handbook/01-game-vision-and-player-loop.md)",../Assets/Scripts/Services/Character/Core/StartPartyPreparationService.cs; ../Assets/Scripts/Services/Character/Core/StartPartyPreparationSnapshot.cs; ../Assets/Scripts/Services/Offense/OffenseExpeditionService.cs; handbook/01-game-vision-and-player-loop.md,docs_final/system-implementation-checklist.md
구현 확인,신체 건강·의료·수술·질병·번식,checked,,"구현 권위: [CharacterBodyHealthRuntime.cs](../Assets/Scripts/Services/Combat/CharacterBodyHealthRuntime.cs), [CharacterMedicalRuntime.cs](../Assets/Scripts/Services/Combat/CharacterMedicalRuntime.cs), [Medical](../Assets/Scripts/Services/Medical/) | 작성 자산: 질병 16개 | 설명 권위: [인물·노동·사회·생명 체계](handbook/05-characters-ai-society-health.md)",../Assets/Scripts/Services/Combat/CharacterBodyHealthRuntime.cs; ../Assets/Scripts/Services/Combat/CharacterMedicalRuntime.cs; ../Assets/Scripts/Services/Medical/; handbook/05-characters-ai-society-health.md,docs_final/system-implementation-checklist.md
구현 확인,연구 프로젝트·선행 topology·청사진·시설 요구,checked,,"구현 권위: [ResearchProjectSO.cs](../Assets/Scripts/Models/Research/Core/ResearchProjectSO.cs), [BlueprintResearchRuntime.cs](../Assets/Scripts/Services/Infrastructure/BlueprintResearchRuntime.cs) | 작성 자산: 연구 프로젝트 180개 | 설명 권위: [연구 체계와 전략적 진행](handbook/06-research-progression-and-strategy.md)",../Assets/Scripts/Models/Research/Core/ResearchProjectSO.cs; ../Assets/Scripts/Services/Infrastructure/BlueprintResearchRuntime.cs; handbook/06-research-progression-and-strategy.md,docs_final/system-implementation-checklist.md
구현 확인,시설 합성·작성 계보 교체·개체 진화 실행 경로,checked,,"구현 권위: [Synthesis](../Assets/Scripts/Services/Synthesis/), [FacilityEvolution](../Assets/Scripts/Services/FacilityEvolution/), [Facility evolution models](../Assets/Scripts/Models/Evolution/Facility/) | 작성 자산: 실물 합성 조합식 9개, 작성 계보 교체 조합식 6개 | 확인 범위: 실물 시설 희생과 결과 배치, 기록·방 조건을 읽는 작성 계보 교체, 같은 시설에 진화 노드를 남기는 개체 진화, 활성·휴면, 재조율, 포장 운반과 재설치 | 설명 권위: [공간 구축·시설·환경 시뮬레이션](handbook/03-world-building-facilities-environment.md)",../Assets/Scripts/Services/Synthesis/; ../Assets/Scripts/Services/FacilityEvolution/; ../Assets/Scripts/Models/Evolution/Facility/; handbook/03-world-building-facilities-environment.md,docs_final/system-implementation-checklist.md
구현 확인,침입 위협·방어 정책·침입자·교전,checked,,"구현 권위: [Invasion models](../Assets/Scripts/Models/Invasion/Core/), [Invasion services](../Assets/Scripts/Services/Invasion/) | 설명 권위: [무력 충돌·원정·세력 관계](handbook/07-combat-invasions-expeditions-factions.md)",../Assets/Scripts/Models/Invasion/Core/; ../Assets/Scripts/Services/Invasion/; handbook/07-combat-invasions-expeditions-factions.md,docs_final/system-implementation-checklist.md
구현 확인,원정·전투·보상·귀환/도착,checked,,"구현 권위: [Offense models](../Assets/Scripts/Models/Offense/Core/), [Offense services](../Assets/Scripts/Services/Offense/) | 작성 자산: 공격 조우 36개 | 설명 권위: [무력 충돌·원정·세력 관계](handbook/07-combat-invasions-expeditions-factions.md)",../Assets/Scripts/Models/Offense/Core/; ../Assets/Scripts/Services/Offense/; handbook/07-combat-invasions-expeditions-factions.md,docs_final/system-implementation-checklist.md
구현 확인,세력 관계·경로·호의·배상 outbox,checked,,"구현 권위: [Faction models](../Assets/Scripts/Models/Factions/Core/), [Faction services](../Assets/Scripts/Services/Factions/) | 작성 자산: 던전 세력 12개 | 설명 권위: [무력 충돌·원정·세력 관계](handbook/07-combat-invasions-expeditions-factions.md)",../Assets/Scripts/Models/Factions/Core/; ../Assets/Scripts/Services/Factions/; handbook/07-combat-invasions-expeditions-factions.md,docs_final/system-implementation-checklist.md
구현 확인,사건 요구 조건·즉시 effect·경보 action,checked,,"구현 권위: [V20CampaignRuntime.cs](../Assets/Scripts/Services/Run/V20CampaignRuntime.cs), [V20ContentResolutionService.cs](../Assets/Scripts/Services/Run/V20ContentResolutionService.cs) | 설명 권위: [사건 콘텐츠의 작성과 시스템 통합](handbook/08-content-events-and-authoring.md)",../Assets/Scripts/Services/Run/V20CampaignRuntime.cs; ../Assets/Scripts/Services/Run/V20ContentResolutionService.cs; handbook/08-content-events-and-authoring.md,docs_final/system-implementation-checklist.md
구현 확인,메타 진행과 런 생명주기,checked,,구현 권위: [MetaProgressionRuntime.cs](../Assets/Scripts/Services/Infrastructure/Core/MetaProgressionRuntime.cs) | 설명 권위: [게임 정체성과 운영 순환](handbook/01-game-vision-and-player-loop.md),../Assets/Scripts/Services/Infrastructure/Core/MetaProgressionRuntime.cs; handbook/01-game-vision-and-player-loop.md,docs_final/system-implementation-checklist.md
구현 확인,section 기반 트랜잭션 저장·복원,checked,,"구현 권위: [Foundation save](../Assets/Scripts/Services/Foundation/Save/), [Infrastructure save](../Assets/Scripts/Services/Infrastructure/Core/Save/), 각 도메인 save section | 설명 권위: [영속성·결정론·검증 체계](handbook/09-save-restore-determinism-and-validation.md)",../Assets/Scripts/Services/Foundation/Save/; ../Assets/Scripts/Services/Infrastructure/Core/Save/; handbook/09-save-restore-determinism-and-validation.md,docs_final/system-implementation-checklist.md
구현 확인,canonical gram 질의와 질량 입고 기반,checked,,"구현 권위: [PhysicalMassContracts.cs](../Assets/Scripts/Models/Items/Core/PhysicalMassContracts.cs), [PhysicalItemMassQuery.cs](../Assets/Scripts/Services/Items/PhysicalItemMassQuery.cs), [CharacterCarryInventory.cs](../Assets/Scripts/Services/Items/CharacterCarryInventory.cs), [WarehouseMassAdmissionService.cs](../Assets/Scripts/Services/Items/WarehouseMassAdmissionService.cs), [FacilityBufferMassAdmissionService.cs](../Assets/Scripts/Services/Items/FacilityBufferMassAdmissionService.cs) | 확인 범위: 정의와 인스턴스 projector를 합치는 정수 gram 질의, 부분 stack 픽업, 정상·최대 운반 한도와 과적, 창고·시설 버퍼의 revision 결속 gram 예약과 commit, 장비·의복 질량 투영, 동일 질의 기반 kg 표시와 물리 아이템 저장 검증 | 범위 제한: 이 항목의 완료 범위는 공통 구조다. 전체 아이템 kg, 모든 동적 상태, 가상 재고, 원정 burden과 결합 밸런스는 아래 V27 부분 이행 항목에서 판정한다. | 설명 권위: [물질 경제, 생산과 물류](handbook/04-items-production-logistics-economy.md), [아이템, 재고, 예약과 운반](architecture/systems/05-items-inventory-and-hauling.md)",../Assets/Scripts/Models/Items/Core/PhysicalMassContracts.cs; ../Assets/Scripts/Services/Items/PhysicalItemMassQuery.cs; ../Assets/Scripts/Services/Items/CharacterCarryInventory.cs; ../Assets/Scripts/Services/Items/WarehouseMassAdmissionService.cs; ../Assets/Scripts/Services/Items/FacilityBufferMassAdmissionService.cs; handbook/04-items-production-logistics-economy.md; architecture/systems/05-items-inventory-and-hauling.md,docs_final/system-implementation-checklist.md
