schemaVersion,state,ownerDomain,destinationRule,producerSymbol,claimAuthority,capacityAuthority,consumerAndPersistence,cancelRelease,disposition,sourcePath,sourceDigest
1,DirectLooseOutput,combat.module-source,physical-source-buffer:combat.module-create:{moduleInstanceId}|physical-source-buffer:combat.module-return:{equipmentInstanceId}:{slotIndex}:{moduleInstanceId},EquipmentModuleRuntime|EquipmentModulePreparedOutputBinder|PhysicalItemExactSourcePublicationService,output owner,"exact unique module component and gram reservation, stack-identity binding, atomic Source publication, targeted facility release, rollback, and save capture guard",output WIP/commit authority,direct Loose publication,migrated,Assets/Scripts/Services/Combat/EquipmentModuleRuntime.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,DirectLooseOutput,economy.world-resource-output,physical-source-buffer:economy.world-resource-output:world-resource:{nodeId}:{workTypeId}:{cycleSequence},WorldResourceRuntime|WorldResourceOutputPublicationPortAdapter|PhysicalItemExactSourcePublicationService,output owner,"key-addressed frozen multi-line outcome, exact gram publication, exact finite/renewable source debit, admission-commit forward retry, acknowledged Loose release, V3 frozen restore validation, and transient save capture guard",output WIP/commit authority,direct Loose publication,migrated,Assets/Scripts/Models/Economy/Content/WorldResourceRuntime.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,DirectLooseOutput,run.v20-grant,physical-source-buffer:run.v20-grant:{actionId},V20ContentResolutionService|PhysicalItemExactSourcePublicationService,output owner,"exact multi-line gram plan, atomic prepared publication, cost rollback, acknowledged Loose release, and save capture guard",output WIP/commit authority,direct Loose publication,migrated,Assets/Scripts/Services/Run/V20ContentResolutionService.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,captivity.care-labor,captive-care:{id}|captive-labor-tool:{id},CaptivityRuntime|CaptivityCareLaborInputOwnerRuntime,exact LiveFacility captive-housing claim; ExactGramRequired policy,maximum current positive Food unit grams | exact current prisoner-work-kit unit grams,Captivity V3 derived pair + Physical Items child authority; restore participant 218 before shared 220,owner-position carried-aware release before paired revoke,migrated,Assets/Scripts/Services/Captivity/CaptivityCareLaborInputOwnerRuntime.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,captivity.circus,facility-input:exact:durable-equipment:captivity.circus:{stagePersistentId}:{assignmentSequence},CircusRuntime|CircusPerformanceSupplyRuntime|CircusPerformanceSupplyLifecycleRuntime|DurableFacilityEquipmentSlotRuntime,exact LiveFacility claim; durable exact-stack slot policy,"one 1,950g performance prop box plus one 3,150g banquet cart = 5,100g",Circus V4 pending Sink + durable slot + Physical Items child authority,lost-stage/capability close and carried-aware terminal drain,migrated,Assets/Scripts/Services/Captivity/CircusRuntime.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,captivity.interaction,facility-input:exact:captivity.interaction:v1:{captiveId}:{interactionId}:{facilityId}:{position}:{massRevision}:{capacity}:{fingerprint},CaptivityInteractionRuntime|CaptivityInteractionMaterialRuntime|CaptivityInteractionMaterialLifecycleRuntime,exact LiveFacility claim; ExactGramRequired policy,"category requirement count x maximum current catalog unit grams, with actual delivered exact lots selected at Sink",Captivity state committed Sink token + claim/profile replacement + Physical Items pending receipt join,owner-position carried-aware close; restore publish rollback restores prior authority,migrated,Assets/Scripts/Services/Captivity/CaptivityInteractionRuntime.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,captivity.performer,delegated:captivity.care-labor,CaptivityPerformerRuntime,no independent physical owner,delegated to captivity.care-labor,Captivity state-only carePriorityUnlocked,duplicate delivery chain removed,removed-duplicate-owner,Assets/Scripts/Models/Captivity/Core/CaptivityPerformerRuntime.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,captivity.wildlife-care,facility-input:exact:captivity.wildlife-care:{penPersistentId},WildlifeCaptureRuntime|WildlifeCareInputOwnerSource|WildlifeCareInputOwnerRuntime|WildlifeCareInputOwnerLifecycleRuntime,exact LiveFacility pen claim; ExactGramRequired policy,active animals x authored daily food/water units x current catalog maximum eligible unit grams,Wildlife/Circus current format + derived owner pair + Physical Items child authority,carried-aware shrink/terminal release before paired authority revoke,migrated,Assets/Scripts/Services/Captivity/WildlifeCareInputOwnerRuntime.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,character.career,durable-equipment:character.career:{academyPersistentId}:1,CareerApplicationAdapter|DurableFacilityEquipmentSlotRuntime,exact LiveFacility claim; durable exact-stack slot policy,policy-derived positive gram profile for one career-ledger lot,durable slot lifecycle + career aggregate effect + Physical Items child authority,owner-neutral slot reconcile and terminal lifecycle drain,migrated,Assets/Scripts/Services/Character/CareerApplicationAdapter.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,character.reproduction,durable-equipment:character.reproduction:{facilityPersistentId}:1,ReproductionCommandRuntime|DurableFacilityEquipmentSlotRuntime,exact LiveFacility claim; durable exact-stack slot policy,policy-derived positive gram profile for one breeding-ledger lot,durable slot lifecycle + reproduction aggregate effect + Physical Items child authority,owner-neutral slot reconcile and terminal lifecycle drain,migrated,Assets/Scripts/Services/Character/ReproductionCommandRuntime.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
