group,content_type,record_key,stable_id,display_name,description,mechanics,relations,existence_reason,reason_basis,review_status,review_reason,lifecycle_status,catalog_memberships,runtime_status,runtime_evidence,save_evidence,incoming_reference_count,incoming_source_types,system_role,strategic_niche,costs_and_risks,comparison_group,alternative_candidates,removal_impact,rationale_evidence,source_path,asset_guid,authored__adolescentStartAgeYears,authored__adultAgeYears,authored__construct,authored__definitionId,authored__elderAgeYears,authored__infantEndAgeYears,authored__m_Name,authored__speciesTag,authored__untreatedExpectedLifeYears
characters-traits,SpeciesLifeHistorySO,SpeciesLifeHistorySO|life-history:adventurer,life-history:adventurer,Life_Adventurer,,작성 자산 정의,,"Adventurer의 성년 18세, 노년 55세, 무치료 기대수명 87.2년을 규정해 성장·노화·세대교체의 시간축을 제공한다.",life-stages-and-longevity,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Models/Species/Core/CharacterSpeciesCatalog.cs; Assets/Scripts/Models/Species/Core/CharacterSpeciesDefinitionSO.cs,정적 저장 근거 없음,1,CharacterSpeciesSO,"Adventurer의 성년 18세, 노년 55세, 무치료 기대수명 87.2년을 규정해 성장·노화·세대교체의 시간축을 제공한다.",인물·특성 영역의 SpeciesLifeHistorySO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,SpeciesLifeHistorySO,"비교 후보(대체 가능성 미검증): SpeciesLifeHistorySO:life-history:beastkin, SpeciesLifeHistorySO:life-history:demon, SpeciesLifeHistorySO:life-history:golem, SpeciesLifeHistorySO:life-history:harpy, SpeciesLifeHistorySO:life-history:kobold, SpeciesLifeHistorySO:life-history:myconid, SpeciesLifeHistorySO:life-history:orc, SpeciesLifeHistorySO:life-history:slime, SpeciesLifeHistorySO:life-history:vampire",직접 참조 1건에 영향: CharacterSpeciesSO:characterspecies:10,life-stages-and-longevity; niche=type-contract; cost=type-contract,Assets/Resources/SO/Population/Life/Life_Adventurer.asset,6060b5e083c556a418a691a286116e33,13,18,0,life-history:adventurer,55,3,Life_Adventurer,Adventurer,87.2
characters-traits,SpeciesLifeHistorySO,SpeciesLifeHistorySO|life-history:beastkin,life-history:beastkin,Life_Beastkin,,작성 자산 정의,,"Beastkin의 성년 14세, 노년 48세, 무치료 기대수명 80.2년을 규정해 성장·노화·세대교체의 시간축을 제공한다.",life-stages-and-longevity,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Models/Species/Core/CharacterSpeciesCatalog.cs; Assets/Scripts/Models/Species/Core/CharacterSpeciesDefinitionSO.cs,정적 저장 근거 없음,1,CharacterSpeciesSO,"Beastkin의 성년 14세, 노년 48세, 무치료 기대수명 80.2년을 규정해 성장·노화·세대교체의 시간축을 제공한다.",인물·특성 영역의 SpeciesLifeHistorySO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,SpeciesLifeHistorySO,"비교 후보(대체 가능성 미검증): SpeciesLifeHistorySO:life-history:adventurer, SpeciesLifeHistorySO:life-history:demon, SpeciesLifeHistorySO:life-history:golem, SpeciesLifeHistorySO:life-history:harpy, SpeciesLifeHistorySO:life-history:kobold, SpeciesLifeHistorySO:life-history:myconid, SpeciesLifeHistorySO:life-history:orc, SpeciesLifeHistorySO:life-history:slime, SpeciesLifeHistorySO:life-history:vampire",직접 참조 1건에 영향: CharacterSpeciesSO:characterspecies:4,life-stages-and-longevity; niche=type-contract; cost=type-contract,Assets/Resources/SO/Population/Life/Life_Beastkin.asset,ce096f2ee13f72241ab1fefd9926463b,11,14,0,life-history:beastkin,48,2,Life_Beastkin,Beastkin,80.2
characters-traits,SpeciesLifeHistorySO,SpeciesLifeHistorySO|life-history:demon,life-history:demon,Life_Demon,,작성 자산 정의,,"Demon의 성년 18세, 노년 85세, 무치료 기대수명 117.2년을 규정해 성장·노화·세대교체의 시간축을 제공한다.",life-stages-and-longevity,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Models/Species/Core/CharacterSpeciesCatalog.cs; Assets/Scripts/Models/Species/Core/CharacterSpeciesDefinitionSO.cs,정적 저장 근거 없음,1,CharacterSpeciesSO,"Demon의 성년 18세, 노년 85세, 무치료 기대수명 117.2년을 규정해 성장·노화·세대교체의 시간축을 제공한다.",인물·특성 영역의 SpeciesLifeHistorySO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,SpeciesLifeHistorySO,"비교 후보(대체 가능성 미검증): SpeciesLifeHistorySO:life-history:adventurer, SpeciesLifeHistorySO:life-history:beastkin, SpeciesLifeHistorySO:life-history:golem, SpeciesLifeHistorySO:life-history:harpy, SpeciesLifeHistorySO:life-history:kobold, SpeciesLifeHistorySO:life-history:myconid, SpeciesLifeHistorySO:life-history:orc, SpeciesLifeHistorySO:life-history:slime, SpeciesLifeHistorySO:life-history:vampire",직접 참조 1건에 영향: CharacterSpeciesSO:characterspecies:5,life-stages-and-longevity; niche=type-contract; cost=type-contract,Assets/Resources/SO/Population/Life/Life_Demon.asset,3b567045811cf0b4f9c5adc54ed0530f,14,18,0,life-history:demon,85,3,Life_Demon,Demon,117.2
characters-traits,SpeciesLifeHistorySO,SpeciesLifeHistorySO|life-history:golem,life-history:golem,Life_Golem,,작성 자산 정의,,"Golem의 성년 0세, 노년 90세, 무치료 기대수명 122.2년을 규정해 성장·노화·세대교체의 시간축을 제공한다.",life-stages-and-longevity,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Models/Species/Core/CharacterSpeciesCatalog.cs; Assets/Scripts/Models/Species/Core/CharacterSpeciesDefinitionSO.cs,정적 저장 근거 없음,1,CharacterSpeciesSO,"Golem의 성년 0세, 노년 90세, 무치료 기대수명 122.2년을 규정해 성장·노화·세대교체의 시간축을 제공한다.",인물·특성 영역의 SpeciesLifeHistorySO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,SpeciesLifeHistorySO,"비교 후보(대체 가능성 미검증): SpeciesLifeHistorySO:life-history:adventurer, SpeciesLifeHistorySO:life-history:beastkin, SpeciesLifeHistorySO:life-history:demon, SpeciesLifeHistorySO:life-history:harpy, SpeciesLifeHistorySO:life-history:kobold, SpeciesLifeHistorySO:life-history:myconid, SpeciesLifeHistorySO:life-history:orc, SpeciesLifeHistorySO:life-history:slime, SpeciesLifeHistorySO:life-history:vampire",직접 참조 1건에 영향: CharacterSpeciesSO:characterspecies:9,life-stages-and-longevity; niche=type-contract; cost=type-contract,Assets/Resources/SO/Population/Life/Life_Golem.asset,5dda33ad5b235854d8e067b358b19864,-1,0,1,life-history:golem,90,-1,Life_Golem,Golem,122.2
characters-traits,SpeciesLifeHistorySO,SpeciesLifeHistorySO|life-history:harpy,life-history:harpy,Life_Harpy,,작성 자산 정의,,"Harpy의 성년 14세, 노년 52세, 무치료 기대수명 84.2년을 규정해 성장·노화·세대교체의 시간축을 제공한다.",life-stages-and-longevity,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Models/Species/Core/CharacterSpeciesCatalog.cs; Assets/Scripts/Models/Species/Core/CharacterSpeciesDefinitionSO.cs,정적 저장 근거 없음,1,CharacterSpeciesSO,"Harpy의 성년 14세, 노년 52세, 무치료 기대수명 84.2년을 규정해 성장·노화·세대교체의 시간축을 제공한다.",인물·특성 영역의 SpeciesLifeHistorySO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,SpeciesLifeHistorySO,"비교 후보(대체 가능성 미검증): SpeciesLifeHistorySO:life-history:adventurer, SpeciesLifeHistorySO:life-history:beastkin, SpeciesLifeHistorySO:life-history:demon, SpeciesLifeHistorySO:life-history:golem, SpeciesLifeHistorySO:life-history:kobold, SpeciesLifeHistorySO:life-history:myconid, SpeciesLifeHistorySO:life-history:orc, SpeciesLifeHistorySO:life-history:slime, SpeciesLifeHistorySO:life-history:vampire",직접 참조 1건에 영향: CharacterSpeciesSO:characterspecies:8,life-stages-and-longevity; niche=type-contract; cost=type-contract,Assets/Resources/SO/Population/Life/Life_Harpy.asset,6c3e17c49a5fd134eae5096bd2eca81d,11,14,0,life-history:harpy,52,2,Life_Harpy,Harpy,84.2
characters-traits,SpeciesLifeHistorySO,SpeciesLifeHistorySO|life-history:kobold,life-history:kobold,Life_Kobold,,작성 자산 정의,,"Kobold의 성년 10세, 노년 38세, 무치료 기대수명 70.2년을 규정해 성장·노화·세대교체의 시간축을 제공한다.",life-stages-and-longevity,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Models/Species/Core/CharacterSpeciesCatalog.cs; Assets/Scripts/Models/Species/Core/CharacterSpeciesDefinitionSO.cs,정적 저장 근거 없음,1,CharacterSpeciesSO,"Kobold의 성년 10세, 노년 38세, 무치료 기대수명 70.2년을 규정해 성장·노화·세대교체의 시간축을 제공한다.",인물·특성 영역의 SpeciesLifeHistorySO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,SpeciesLifeHistorySO,"비교 후보(대체 가능성 미검증): SpeciesLifeHistorySO:life-history:adventurer, SpeciesLifeHistorySO:life-history:beastkin, SpeciesLifeHistorySO:life-history:demon, SpeciesLifeHistorySO:life-history:golem, SpeciesLifeHistorySO:life-history:harpy, SpeciesLifeHistorySO:life-history:myconid, SpeciesLifeHistorySO:life-history:orc, SpeciesLifeHistorySO:life-history:slime, SpeciesLifeHistorySO:life-history:vampire",직접 참조 1건에 영향: CharacterSpeciesSO:characterspecies:6,life-stages-and-longevity; niche=type-contract; cost=type-contract,Assets/Resources/SO/Population/Life/Life_Kobold.asset,bd495604825435c4d983169f4b1d0507,8,10,0,life-history:kobold,38,1,Life_Kobold,Kobold,70.2
characters-traits,SpeciesLifeHistorySO,SpeciesLifeHistorySO|life-history:myconid,life-history:myconid,Life_Myconid,,작성 자산 정의,,"Myconid의 성년 6세, 노년 30세, 무치료 기대수명 62.2년을 규정해 성장·노화·세대교체의 시간축을 제공한다.",life-stages-and-longevity,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Models/Species/Core/CharacterSpeciesCatalog.cs; Assets/Scripts/Models/Species/Core/CharacterSpeciesDefinitionSO.cs,정적 저장 근거 없음,1,CharacterSpeciesSO,"Myconid의 성년 6세, 노년 30세, 무치료 기대수명 62.2년을 규정해 성장·노화·세대교체의 시간축을 제공한다.",인물·특성 영역의 SpeciesLifeHistorySO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,SpeciesLifeHistorySO,"비교 후보(대체 가능성 미검증): SpeciesLifeHistorySO:life-history:adventurer, SpeciesLifeHistorySO:life-history:beastkin, SpeciesLifeHistorySO:life-history:demon, SpeciesLifeHistorySO:life-history:golem, SpeciesLifeHistorySO:life-history:harpy, SpeciesLifeHistorySO:life-history:kobold, SpeciesLifeHistorySO:life-history:orc, SpeciesLifeHistorySO:life-history:slime, SpeciesLifeHistorySO:life-history:vampire",직접 참조 1건에 영향: CharacterSpeciesSO:characterspecies:7,life-stages-and-longevity; niche=type-contract; cost=type-contract,Assets/Resources/SO/Population/Life/Life_Myconid.asset,1a6654515c6cacd48bc80aac36fe2f75,4,6,0,life-history:myconid,30,1,Life_Myconid,Myconid,62.2
characters-traits,SpeciesLifeHistorySO,SpeciesLifeHistorySO|life-history:orc,life-history:orc,Life_Orc,,작성 자산 정의,,"Orc의 성년 14세, 노년 45세, 무치료 기대수명 77.2년을 규정해 성장·노화·세대교체의 시간축을 제공한다.",life-stages-and-longevity,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Models/Species/Core/CharacterSpeciesCatalog.cs; Assets/Scripts/Models/Species/Core/CharacterSpeciesDefinitionSO.cs,정적 저장 근거 없음,1,CharacterSpeciesSO,"Orc의 성년 14세, 노년 45세, 무치료 기대수명 77.2년을 규정해 성장·노화·세대교체의 시간축을 제공한다.",인물·특성 영역의 SpeciesLifeHistorySO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,SpeciesLifeHistorySO,"비교 후보(대체 가능성 미검증): SpeciesLifeHistorySO:life-history:adventurer, SpeciesLifeHistorySO:life-history:beastkin, SpeciesLifeHistorySO:life-history:demon, SpeciesLifeHistorySO:life-history:golem, SpeciesLifeHistorySO:life-history:harpy, SpeciesLifeHistorySO:life-history:kobold, SpeciesLifeHistorySO:life-history:myconid, SpeciesLifeHistorySO:life-history:slime, SpeciesLifeHistorySO:life-history:vampire",직접 참조 1건에 영향: CharacterSpeciesSO:characterspecies:2,life-stages-and-longevity; niche=type-contract; cost=type-contract,Assets/Resources/SO/Population/Life/Life_Orc.asset,a15b4d1fda8bc15408d8e6f8da762004,11,14,0,life-history:orc,45,2,Life_Orc,Orc,77.2
characters-traits,SpeciesLifeHistorySO,SpeciesLifeHistorySO|life-history:slime,life-history:slime,Life_Slime,,작성 자산 정의,,"Slime의 성년 8세, 노년 42세, 무치료 기대수명 74.2년을 규정해 성장·노화·세대교체의 시간축을 제공한다.",life-stages-and-longevity,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Models/Species/Core/CharacterSpeciesCatalog.cs; Assets/Scripts/Models/Species/Core/CharacterSpeciesDefinitionSO.cs,정적 저장 근거 없음,1,CharacterSpeciesSO,"Slime의 성년 8세, 노년 42세, 무치료 기대수명 74.2년을 규정해 성장·노화·세대교체의 시간축을 제공한다.",인물·특성 영역의 SpeciesLifeHistorySO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,SpeciesLifeHistorySO,"비교 후보(대체 가능성 미검증): SpeciesLifeHistorySO:life-history:adventurer, SpeciesLifeHistorySO:life-history:beastkin, SpeciesLifeHistorySO:life-history:demon, SpeciesLifeHistorySO:life-history:golem, SpeciesLifeHistorySO:life-history:harpy, SpeciesLifeHistorySO:life-history:kobold, SpeciesLifeHistorySO:life-history:myconid, SpeciesLifeHistorySO:life-history:orc, SpeciesLifeHistorySO:life-history:vampire",직접 참조 1건에 영향: CharacterSpeciesSO:characterspecies:1,life-stages-and-longevity; niche=type-contract; cost=type-contract,Assets/Resources/SO/Population/Life/Life_Slime.asset,88dfee0aee784d946955fb238976ad23,6,8,0,life-history:slime,42,1,Life_Slime,Slime,74.2
characters-traits,SpeciesLifeHistorySO,SpeciesLifeHistorySO|life-history:vampire,life-history:vampire,Life_Vampire,,작성 자산 정의,,"Vampire의 성년 18세, 노년 130세, 무치료 기대수명 162.2년을 규정해 성장·노화·세대교체의 시간축을 제공한다.",life-stages-and-longevity,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Models/Species/Core/CharacterSpeciesCatalog.cs; Assets/Scripts/Models/Species/Core/CharacterSpeciesDefinitionSO.cs,정적 저장 근거 없음,1,CharacterSpeciesSO,"Vampire의 성년 18세, 노년 130세, 무치료 기대수명 162.2년을 규정해 성장·노화·세대교체의 시간축을 제공한다.",인물·특성 영역의 SpeciesLifeHistorySO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,SpeciesLifeHistorySO,"비교 후보(대체 가능성 미검증): SpeciesLifeHistorySO:life-history:adventurer, SpeciesLifeHistorySO:life-history:beastkin, SpeciesLifeHistorySO:life-history:demon, SpeciesLifeHistorySO:life-history:golem, SpeciesLifeHistorySO:life-history:harpy, SpeciesLifeHistorySO:life-history:kobold, SpeciesLifeHistorySO:life-history:myconid, SpeciesLifeHistorySO:life-history:orc, SpeciesLifeHistorySO:life-history:slime",직접 참조 1건에 영향: CharacterSpeciesSO:characterspecies:3,life-stages-and-longevity; niche=type-contract; cost=type-contract,Assets/Resources/SO/Population/Life/Life_Vampire.asset,f44d45b581aaf314883fe7eb6b412357,14,18,0,life-history:vampire,130,3,Life_Vampire,Vampire,162.2
