schemaVersion,itemId,currentUnitMassGrams,maxStack,stockCategory,candidateUnitSemanticKind,candidateRule,candidateConfidence,assignmentStatus,reviewReason
v27.mass.semantic-candidate.1,ammo:armor-piercing-cartridge,150,120,Ammunition,AmmunitionUnitOrPack,ammunition-stock-category,high,candidate-only,Exact feature/category/stable-ID evidence; explicit assignment still required.
v27.mass.semantic-candidate.1,ammo:arrow-bone,80,100,Ammunition,AmmunitionUnitOrPack,ammunition-stock-category,high,candidate-only,Exact feature/category/stable-ID evidence; explicit assignment still required.
v27.mass.semantic-candidate.1,ammo:arrow-iron,90,100,Ammunition,AmmunitionUnitOrPack,ammunition-stock-category,high,candidate-only,Exact feature/category/stable-ID evidence; explicit assignment still required.
v27.mass.semantic-candidate.1,ammo:arrow-rune,80,75,Ammunition,AmmunitionUnitOrPack,ammunition-stock-category,high,candidate-only,Exact feature/category/stable-ID evidence; explicit assignment still required.
v27.mass.semantic-candidate.1,ammo:arrow-steel,85,100,Ammunition,AmmunitionUnitOrPack,ammunition-stock-category,high,candidate-only,Exact feature/category/stable-ID evidence; explicit assignment still required.
v27.mass.semantic-candidate.1,ammo:blacksteel-bolt,150,120,Ammunition,AmmunitionUnitOrPack,ammunition-stock-category,high,candidate-only,Exact feature/category/stable-ID evidence; explicit assignment still required.
v27.mass.semantic-candidate.1,ammo:blasting-charge,150,120,Ammunition,AmmunitionUnitOrPack,ammunition-stock-category,high,candidate-only,Exact feature/category/stable-ID evidence; explicit assignment still required.
v27.mass.semantic-candidate.1,ammo:bolt-bone,100,100,Ammunition,AmmunitionUnitOrPack,ammunition-stock-category,high,candidate-only,Exact feature/category/stable-ID evidence; explicit assignment still required.
v27.mass.semantic-candidate.1,ammo:bolt-iron,110,100,Ammunition,AmmunitionUnitOrPack,ammunition-stock-category,high,candidate-only,Exact feature/category/stable-ID evidence; explicit assignment still required.
v27.mass.semantic-candidate.1,ammo:bolt-rune,100,75,Ammunition,AmmunitionUnitOrPack,ammunition-stock-category,high,candidate-only,Exact feature/category/stable-ID evidence; explicit assignment still required.
v27.mass.semantic-candidate.1,ammo:bolt-steel,105,100,Ammunition,AmmunitionUnitOrPack,ammunition-stock-category,high,candidate-only,Exact feature/category/stable-ID evidence; explicit assignment still required.
v27.mass.semantic-candidate.1,ammo:incendiary-arrow,150,120,Ammunition,AmmunitionUnitOrPack,ammunition-stock-category,high,candidate-only,Exact feature/category/stable-ID evidence; explicit assignment still required.
v27.mass.semantic-candidate.1,ammo:incendiary-bolt,150,120,Ammunition,AmmunitionUnitOrPack,ammunition-stock-category,high,candidate-only,Exact feature/category/stable-ID evidence; explicit assignment still required.
v27.mass.semantic-candidate.1,ammo:mana-disruptor-bolt,150,120,Ammunition,AmmunitionUnitOrPack,ammunition-stock-category,high,candidate-only,Exact feature/category/stable-ID evidence; explicit assignment still required.
v27.mass.semantic-candidate.1,ammo:paper-cartridge,150,120,Ammunition,AmmunitionUnitOrPack,ammunition-stock-category,high,candidate-only,Exact feature/category/stable-ID evidence; explicit assignment still required.
v27.mass.semantic-candidate.1,ammo:rune-cartridge,150,120,Ammunition,AmmunitionUnitOrPack,ammunition-stock-category,high,candidate-only,Exact feature/category/stable-ID evidence; explicit assignment still required.
v27.mass.semantic-candidate.1,ammo:scatter-cartridge,150,120,Ammunition,AmmunitionUnitOrPack,ammunition-stock-category,high,candidate-only,Exact feature/category/stable-ID evidence; explicit assignment still required.
v27.mass.semantic-candidate.1,ammo:signal-flare,150,120,Ammunition,AmmunitionUnitOrPack,ammunition-stock-category,high,candidate-only,Exact feature/category/stable-ID evidence; explicit assignment still required.
v27.mass.semantic-candidate.1,ammo:smoke-cartridge,150,120,Ammunition,AmmunitionUnitOrPack,ammunition-stock-category,high,candidate-only,Exact feature/category/stable-ID evidence; explicit assignment still required.
v27.mass.semantic-candidate.1,ammo:tranquilizer-dart,150,120,Ammunition,AmmunitionUnitOrPack,ammunition-stock-category,high,candidate-only,Exact feature/category/stable-ID evidence; explicit assignment still required.
v27.mass.semantic-candidate.1,ammo:trap-canister,150,120,Ammunition,AmmunitionUnitOrPack,ammunition-stock-category,high,candidate-only,Exact feature/category/stable-ID evidence; explicit assignment still required.
v27.mass.semantic-candidate.1,apparel:apron,420,1,General,ApparelPiece,apparel-stable-id,high,candidate-only,Exact feature/category/stable-ID evidence; explicit assignment still required.
v27.mass.semantic-candidate.1,apparel:belt,200,1,General,ApparelPiece,apparel-stable-id,high,candidate-only,Exact feature/category/stable-ID evidence; explicit assignment still required.
v27.mass.semantic-candidate.1,apparel:blouse,380,1,General,ApparelPiece,apparel-stable-id,high,candidate-only,Exact feature/category/stable-ID evidence; explicit assignment still required.
