stable_id,display_name,problem,solution_family,portfolio_role,player_commitment,delayed_alternative,weakness_and_pressure,activation_receipt,transition_or_recovery,first_milestone_skip,balance_and_implementation_status
research:agriculture:gathering,야생 채집,식량과 생물 원료,야생 채집·임시 조달,비상 유지,"외부 노드 탐색과 운반 노동을 즉시 식량·약초 확보에 쓴다",경작지·실내 재배를 갖춘 반복 생산,"계절 고갈·외부 위험·운반 거리·낮은 예측 가능성",실제 채집 완료와 물리 비축 입고,"비축을 채운 뒤 외부 경작·실내 재배 또는 교역 조달로 옮긴다",가능,"설계 확정; 채집량·위험·운반 WU는 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:agriculture:field,외부 경작,식량과 생물 원료,외부 순환 농업,입문,"외부 면적·파종·수확 동선과 계절 비축을 경작에 배정한다",지하 재배 공간과 교역·서비스 구역,"서리·가뭄·수질·외부 침입·수확기 물류",파종·수확·종자 보존·소비가 이어진 실제 생산 기록,"퇴비·관개로 안정화하거나 비축과 지하 재배로 계절 위험을 넘긴다",가능,"설계 확정; 작물 BOM·수확량·공간·운반 WU는 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:agriculture:compost,퇴비·윤작,식량과 생물 원료,외부 순환 농업,확장,"부패물·분뇨·운반을 토양 회복의 반복 공정으로 묶는다",관개·실내 배양·외부 거래에 쓸 연구와 인력,"오염물 취급·저장·운반·작물 병해가 순환망을 시험한다",실제 폐기물 인계·퇴비 생산·토양 투입 뒤 수확으로 이어지는 기록,"퇴비 흐름을 멈추면 외부 조달·종자 비축·저투입 작물로 회복한다",가능,"설계 확정; 물리 전환율·오염·작업량은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:agriculture:irrigation,관개,식량과 생물 원료,외부 순환 농업,주력 정착,"저수·급수·경작지 배치를 묶어 수확 변동을 줄이는 대신 물망을 운영한다",실내 재배의 공간 투자와 수차·산업화로 가는 초기 자원,"가뭄·관로 파손·급수 경쟁·저수 부족",저장수의 실제 이송과 급수 작업을 거친 수확 안정 기록,"저수 비축·수동 급수·재이용수 전환으로 급수망 고장을 버틴다",가능,"설계 확정; 수량·관개 처리량·저수 공간은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:agriculture:indoor,실내 재배,식량과 생물 원료,지하·실내 생태,입문,"생활·서비스 공간 일부를 배양·습도·환기·청결이 필요한 생산 구역으로 전환한다",외부 농지 확장과 초반 환대 공간,"환기 부족·배양재 고갈·오염·주거 공간 경쟁",실내 재배 시설의 환경 조건과 실제 생산·소비 기록,"외부 비축·분산 재배·수동 급수로 생산 구역 격리와 복구를 지원한다",가능,"설계 확정; 환경 조건·처리량·공간·노동은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:agriculture:subterranean,지하 자급,식량과 생물 원료,지하·실내 생태,주력 정착,"균류·영양 순환·지하 동선을 하나의 내부 자급망으로 운영한다",외부 농지·대형 상업 공간·수차 입지,"포자 오염·환기 고장·밝은 문화와의 충돌·배양재 병목",균류 생산과 영양 순환이 실제 식량 소비를 지속 충당한 기록,"오염 구역 격리·외부 비축·수동 재배로 내부망을 회복한다",가능,"설계 확정; 균류 생산·환경·오염·복구 비용은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:agriculture:greenhouse-horticulture,온실 원예,식량과 생물 원료,통제 온실,주력 정착,"물·열·전력·기후 관측을 폐쇄형 온실과 고가 작물에 집중한다",외부 면적 기반 확장과 군수·방어용 정밀재 투자,"전력·열·급수의 공통 고장·높은 건설비·전문 인력 의존",온실 환경이 유지된 상태에서 품종별 생산과 실제 판매·의료 소비가 이어지는 기록,"기후 구역 차단·종자 보존·실내 재배·외부 비축으로 온실 정지를 넘긴다",가능,"설계 확정; 시설 BOM·유틸리티·수확·회수 기간은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:agriculture:phenology,생물계절학과 종자 선별,식량과 생물 원료,계절 예측·종자 안정화,전환 연결,"계절 관측·종자 선별·보관 작업을 재배 주력의 계획과 비축 시점에 결속한다",즉시 생산 시설 확장과 단기 교역 조달,"관측 실패·종자 손실·계절 전환 지연·저장 공간 경쟁",관측 기록을 근거로 파종·종자 보존·수확 계획이 실제로 변경된 기록,"보존 종자·외부 조달·다른 재배 구역을 사용해 잘못된 예측의 손실을 제한한다",가능,"설계 확정; 관측 정확도·종자 회수·저장 비용은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:agriculture:soil-cycles,토양 순환과 작물 보호,식량과 생물 원료,토양·병해 관리,전환 연결,"토양·균류·병원체 지식과 보호 공정을 외부·지하 재배망에 함께 유지한다",새 작물 품종·온실 확장·다른 산업 계열,"토양 오염·병해·보호 재료 부족·검사와 생산의 인력 경쟁",실제 토양 진단·보호 처리·작물 상태 회복이 연결된 기록,"오염된 토지를 휴경하고 종자·실내 재배·교역으로 생산을 우회한다",가능,"설계 확정; 보호 재료·검사 노동·수확 손실·회복 기간은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:agriculture:cultivar-breeding,품종 개량,식량과 생물 원료,통제 온실·전문 품종,확장,"육종 온실·유전 기록·전문 인력을 장기 품종 선택에 묶는다",기본 작물 대량 생산·방어와 의료의 단기 투자,"긴 육종 기간·실패 품종·온실 공용 부하·종자 독점 위험",선별된 품종이 실제 환경 또는 하류 생산의 약점을 해결한 기록,"보존 종자와 보통 품종을 유지해 육종 실패와 시설 정지를 견딘다",가능,"설계 확정; 육종 작업·기간·품종 성능·종자 회수는 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
