"stable_id","display_name","source_declared_function","selection_and_effect_evidence","portfolio_commitment","family_alternative_candidates","activation_and_conflict_receipt","pressure_and_recovery","status"
"trait:107","깔끔함","개체 차이의 내용은 '청소와 유지보수에 강하고 오염 사고에 덜 흔들린다'이다. 효과 2개, 정체성 규칙 3개, 유효 구형 보정 0개, 전투 능력 0개, 환경 보호 0개, 행동 선호 0개, 기분 반응 0개, 사건 가중치 0개, 유전 결과 0개로 반영한다.","선택 가족 hygiene; 희귀도 Rare (희귀); 대상 종족 []; 비양립 []; 행동 []; 전투 {""abilities"":[]}; 환경 {""coldExposureMultiplier"":1,""comfortMaximumOffset"":0,""comfortMinimumOffset"":0,""heatExposureMultiplier"":1,""safeMaximumOffset"":0,""safeMinimumOffset"":0}; 사건 []; 정체성 [{""rid"":7737211921986486485},{""rid"":7737211921986486486},{""rid"":7737211921986486487}]; 수정치 {""dislikedFacilityRoles"":0,""dislikedWorkTypes"":0,""preferredFacilityRoles"":0,""preferredWorkTypes"":0}; 기분 []; 능력치 ; 경험 1","이점이 강화하는 작업·전투·환경·관계 경로를 인물에게 맡기고, 같은 선택 가족의 상충 특성·다른 인력 배치·보완 자원을 뒤로 미룬다.","trait:245","종족 적합성·선택 가족·비양립 규칙을 통과해 특성을 부여 → 강화/약화되는 행동·작업·전투·환경·사건의 실제 결과를 기록 → 동일 가족의 상충 특성을 중복 부여하지 않는다.","강점과 무관한 역할에 오래 배치하면 선택 가치가 사라진다. 가족 대안·다른 인력·시설 보완으로 역할을 다시 분배한다.","전수 설계; 선택·비양립·효과·사건·저장·수치 실행 검증 OPEN"
"trait:109","내한성 점액","개체 차이의 내용은 '슬라임의 최저 쾌적선 -4°C, 최저 안전선 -2°C, 냉기 노출 ×0.6. 치명 온도는 바꾸지 않는다'이다. 효과 3개, 정체성 규칙 2개, 유효 구형 보정 0개, 전투 능력 0개, 환경 보호 3개, 행동 선호 0개, 기분 반응 0개, 사건 가중치 0개, 유전 결과 0개로 반영한다.","선택 가족 species-adaptation; 희귀도 Rare (희귀); 대상 종족 [""Slime""]; 비양립 []; 행동 []; 전투 {""abilities"":[]}; 환경 {""coldExposureMultiplier"":0.6,""comfortMaximumOffset"":0,""comfortMinimumOffset"":-4,""heatExposureMultiplier"":1,""safeMaximumOffset"":0,""safeMinimumOffset"":-2}; 사건 []; 정체성 [{""rid"":7737211921986486439},{""rid"":7737211921986486440}]; 수정치 {""dislikedFacilityRoles"":0,""dislikedWorkTypes"":0,""preferredFacilityRoles"":0,""preferredWorkTypes"":0}; 기분 []; 능력치 ; 경험 1","이점이 강화하는 작업·전투·환경·관계 경로를 인물에게 맡기고, 같은 선택 가족의 상충 특성·다른 인력 배치·보완 자원을 뒤로 미룬다.","같은 선택 가족의 대체 특성 없음","종족 적합성·선택 가족·비양립 규칙을 통과해 특성을 부여 → 강화/약화되는 행동·작업·전투·환경·사건의 실제 결과를 기록 → 동일 가족의 상충 특성을 중복 부여하지 않는다.","강점과 무관한 역할에 오래 배치하면 선택 가치가 사라진다. 가족 대안·다른 인력·시설 보완으로 역할을 다시 분배한다.","전수 설계; 선택·비양립·효과·사건·저장·수치 실행 검증 OPEN"
"trait:200","지구력","개체 차이의 내용은 '긴 교대 뒤에도 작업 리듬을 쉽게 잃지 않는다'이다. 효과 2개, 정체성 규칙 2개, 유효 구형 보정 0개, 전투 능력 0개, 환경 보호 0개, 행동 선호 0개, 기분 반응 0개, 사건 가중치 0개, 유전 결과 0개로 반영한다.","선택 가족 stamina; 희귀도 Uncommon (비일반); 대상 종족 []; 비양립 []; 행동 []; 전투 {""abilities"":[]}; 환경 {""coldExposureMultiplier"":1,""comfortMaximumOffset"":0,""comfortMinimumOffset"":0,""heatExposureMultiplier"":1,""safeMaximumOffset"":0,""safeMinimumOffset"":0}; 사건 []; 정체성 [{""rid"":7737211921986486537},{""rid"":7737211921986486538}]; 수정치 {""dislikedFacilityRoles"":0,""dislikedWorkTypes"":0,""preferredFacilityRoles"":0,""preferredWorkTypes"":0}; 기분 []; 능력치 ; 경험 1","이점이 강화하는 작업·전투·환경·관계 경로를 인물에게 맡기고, 같은 선택 가족의 상충 특성·다른 인력 배치·보완 자원을 뒤로 미룬다.","같은 선택 가족의 대체 특성 없음","종족 적합성·선택 가족·비양립 규칙을 통과해 특성을 부여 → 강화/약화되는 행동·작업·전투·환경·사건의 실제 결과를 기록 → 동일 가족의 상충 특성을 중복 부여하지 않는다.","강점과 무관한 역할에 오래 배치하면 선택 가치가 사라진다. 가족 대안·다른 인력·시설 보완으로 역할을 다시 분배한다.","전수 설계; 선택·비양립·효과·사건·저장·수치 실행 검증 OPEN"
"trait:202","안정된 발놀림","개체 차이의 내용은 '잔해와 비탈에서 속도를 유지하며 추락 위험을 싫어하지 않는다'이다. 효과 2개, 정체성 규칙 2개, 유효 구형 보정 0개, 전투 능력 0개, 환경 보호 0개, 행동 선호 0개, 기분 반응 0개, 사건 가중치 0개, 유전 결과 0개로 반영한다.","선택 가족 mobility; 희귀도 Uncommon (비일반); 대상 종족 []; 비양립 []; 행동 []; 전투 {""abilities"":[]}; 환경 {""coldExposureMultiplier"":1,""comfortMaximumOffset"":0,""comfortMinimumOffset"":0,""heatExposureMultiplier"":1,""safeMaximumOffset"":0,""safeMinimumOffset"":0}; 사건 []; 정체성 [{""rid"":7737211921986486437},{""rid"":7737211921986486438}]; 수정치 {""dislikedFacilityRoles"":0,""dislikedWorkTypes"":0,""preferredFacilityRoles"":0,""preferredWorkTypes"":0}; 기분 []; 능력치 ; 경험 1","이점이 강화하는 작업·전투·환경·관계 경로를 인물에게 맡기고, 같은 선택 가족의 상충 특성·다른 인력 배치·보완 자원을 뒤로 미룬다.","같은 선택 가족의 대체 특성 없음","종족 적합성·선택 가족·비양립 규칙을 통과해 특성을 부여 → 강화/약화되는 행동·작업·전투·환경·사건의 실제 결과를 기록 → 동일 가족의 상충 특성을 중복 부여하지 않는다.","강점과 무관한 역할에 오래 배치하면 선택 가치가 사라진다. 가족 대안·다른 인력·시설 보완으로 역할을 다시 분배한다.","전수 설계; 선택·비양립·효과·사건·저장·수치 실행 검증 OPEN"
"trait:207","빠른 회복","개체 차이의 내용은 '치료 지시를 잘 따르고 회복 과정의 작은 진전을 기뻐한다'이다. 효과 6개, 정체성 규칙 2개, 유효 구형 보정 0개, 전투 능력 0개, 환경 보호 0개, 행동 선호 0개, 기분 반응 0개, 사건 가중치 0개, 유전 결과 0개로 반영한다.","선택 가족 recovery; 희귀도 Rare (희귀); 대상 종족 []; 비양립 []; 행동 []; 전투 {""abilities"":[]}; 환경 {""coldExposureMultiplier"":1,""comfortMaximumOffset"":0,""comfortMinimumOffset"":0,""heatExposureMultiplier"":1,""safeMaximumOffset"":0,""safeMinimumOffset"":0}; 사건 []; 정체성 [{""rid"":7737211921986486502},{""rid"":7737211921986486503}]; 수정치 {""dislikedFacilityRoles"":0,""dislikedWorkTypes"":0,""preferredFacilityRoles"":0,""preferredWorkTypes"":0}; 기분 []; 능력치 ; 경험 1","이점이 강화하는 작업·전투·환경·관계 경로를 인물에게 맡기고, 같은 선택 가족의 상충 특성·다른 인력 배치·보완 자원을 뒤로 미룬다.","같은 선택 가족의 대체 특성 없음","종족 적합성·선택 가족·비양립 규칙을 통과해 특성을 부여 → 강화/약화되는 행동·작업·전투·환경·사건의 실제 결과를 기록 → 동일 가족의 상충 특성을 중복 부여하지 않는다.","강점과 무관한 역할에 오래 배치하면 선택 가치가 사라진다. 가족 대안·다른 인력·시설 보완으로 역할을 다시 분배한다.","전수 설계; 선택·비양립·효과·사건·저장·수치 실행 검증 OPEN"
"trait:215","침착함","개체 차이의 내용은 '긴급 상황에서 먼저 상황을 정리하고 주변의 공포에 덜 휩쓸린다'이다. 효과 1개, 정체성 규칙 2개, 유효 구형 보정 0개, 전투 능력 0개, 환경 보호 0개, 행동 선호 0개, 기분 반응 0개, 사건 가중치 0개, 유전 결과 0개로 반영한다.","선택 가족 crisis-temperament; 희귀도 Rare (희귀); 대상 종족 []; 비양립 []; 행동 []; 전투 {""abilities"":[]}; 환경 {""coldExposureMultiplier"":1,""comfortMaximumOffset"":0,""comfortMinimumOffset"":0,""heatExposureMultiplier"":1,""safeMaximumOffset"":0,""safeMinimumOffset"":0}; 사건 []; 정체성 [{""rid"":7737211921986486490},{""rid"":7737211921986486491}]; 수정치 {""dislikedFacilityRoles"":0,""dislikedWorkTypes"":0,""preferredFacilityRoles"":0,""preferredWorkTypes"":0}; 기분 []; 능력치 ; 경험 1","이점이 강화하는 작업·전투·환경·관계 경로를 인물에게 맡기고, 같은 선택 가족의 상충 특성·다른 인력 배치·보완 자원을 뒤로 미룬다.","같은 선택 가족의 대체 특성 없음","종족 적합성·선택 가족·비양립 규칙을 통과해 특성을 부여 → 강화/약화되는 행동·작업·전투·환경·사건의 실제 결과를 기록 → 동일 가족의 상충 특성을 중복 부여하지 않는다.","강점과 무관한 역할에 오래 배치하면 선택 가치가 사라진다. 가족 대안·다른 인력·시설 보완으로 역할을 다시 분배한다.","전수 설계; 선택·비양립·효과·사건·저장·수치 실행 검증 OPEN"
"trait:217","낙천가","개체 차이의 내용은 '작은 성공을 함께 축하하고 공동 작업의 분위기를 끌어올린다'이다. 효과 1개, 정체성 규칙 2개, 유효 구형 보정 0개, 전투 능력 0개, 환경 보호 0개, 행동 선호 0개, 기분 반응 0개, 사건 가중치 0개, 유전 결과 0개로 반영한다.","선택 가족 outlook; 희귀도 Rare (희귀); 대상 종족 []; 비양립 []; 행동 []; 전투 {""abilities"":[]}; 환경 {""coldExposureMultiplier"":1,""comfortMaximumOffset"":0,""comfortMinimumOffset"":0,""heatExposureMultiplier"":1,""safeMaximumOffset"":0,""safeMinimumOffset"":0}; 사건 []; 정체성 [{""rid"":7737211921986486493},{""rid"":7737211921986486494}]; 수정치 {""dislikedFacilityRoles"":0,""dislikedWorkTypes"":0,""preferredFacilityRoles"":0,""preferredWorkTypes"":0}; 기분 []; 능력치 ; 경험 1","이점이 강화하는 작업·전투·환경·관계 경로를 인물에게 맡기고, 같은 선택 가족의 상충 특성·다른 인력 배치·보완 자원을 뒤로 미룬다.","trait:216","종족 적합성·선택 가족·비양립 규칙을 통과해 특성을 부여 → 강화/약화되는 행동·작업·전투·환경·사건의 실제 결과를 기록 → 동일 가족의 상충 특성을 중복 부여하지 않는다.","강점과 무관한 역할에 오래 배치하면 선택 가치가 사라진다. 가족 대안·다른 인력·시설 보완으로 역할을 다시 분배한다.","전수 설계; 선택·비양립·효과·사건·저장·수치 실행 검증 OPEN"
"trait:219","관대한 마음","개체 차이의 내용은 '사과와 보상을 받으면 갈등을 빨리 끝내려 한다'이다. 효과 1개, 정체성 규칙 3개, 유효 구형 보정 0개, 전투 능력 0개, 환경 보호 0개, 행동 선호 0개, 기분 반응 0개, 사건 가중치 0개, 유전 결과 0개로 반영한다.","선택 가족 grievance; 희귀도 Uncommon (비일반); 대상 종족 []; 비양립 [""temper:grudge""]; 행동 []; 전투 {""abilities"":[]}; 환경 {""coldExposureMultiplier"":1,""comfortMaximumOffset"":0,""comfortMinimumOffset"":0,""heatExposureMultiplier"":1,""safeMaximumOffset"":0,""safeMinimumOffset"":0}; 사건 []; 정체성 [{""rid"":7737211921986486504},{""rid"":7737211921986486505},{""rid"":7737211921986486506}]; 수정치 {""dislikedFacilityRoles"":0,""dislikedWorkTypes"":0,""preferredFacilityRoles"":0,""preferredWorkTypes"":0}; 기분 []; 능력치 ; 경험 1","이점이 강화하는 작업·전투·환경·관계 경로를 인물에게 맡기고, 같은 선택 가족의 상충 특성·다른 인력 배치·보완 자원을 뒤로 미룬다.","trait:218","종족 적합성·선택 가족·비양립 규칙을 통과해 특성을 부여 → 강화/약화되는 행동·작업·전투·환경·사건의 실제 결과를 기록 → 동일 가족의 상충 특성을 중복 부여하지 않는다.","강점과 무관한 역할에 오래 배치하면 선택 가치가 사라진다. 가족 대안·다른 인력·시설 보완으로 역할을 다시 분배한다.","전수 설계; 선택·비양립·효과·사건·저장·수치 실행 검증 OPEN"
"trait:227","회수 전문가","개체 차이의 내용은 '버려진 장비와 부산물에서 쓸 만한 부품을 먼저 찾는다'이다. 효과 1개, 정체성 규칙 2개, 유효 구형 보정 0개, 전투 능력 0개, 환경 보호 0개, 행동 선호 0개, 기분 반응 0개, 사건 가중치 0개, 유전 결과 0개로 반영한다.","선택 가족 salvage; 희귀도 Uncommon (비일반); 대상 종족 []; 비양립 []; 행동 []; 전투 {""abilities"":[]}; 환경 {""coldExposureMultiplier"":1,""comfortMaximumOffset"":0,""comfortMinimumOffset"":0,""heatExposureMultiplier"":1,""safeMaximumOffset"":0,""safeMinimumOffset"":0}; 사건 []; 정체성 [{""rid"":7737211921986486433},{""rid"":7737211921986486434}]; 수정치 {""dislikedFacilityRoles"":0,""dislikedWorkTypes"":0,""preferredFacilityRoles"":0,""preferredWorkTypes"":0}; 기분 []; 능력치 ; 경험 1","이점이 강화하는 작업·전투·환경·관계 경로를 인물에게 맡기고, 같은 선택 가족의 상충 특성·다른 인력 배치·보완 자원을 뒤로 미룬다.","같은 선택 가족의 대체 특성 없음","종족 적합성·선택 가족·비양립 규칙을 통과해 특성을 부여 → 강화/약화되는 행동·작업·전투·환경·사건의 실제 결과를 기록 → 동일 가족의 상충 특성을 중복 부여하지 않는다.","강점과 무관한 역할에 오래 배치하면 선택 가치가 사라진다. 가족 대안·다른 인력·시설 보완으로 역할을 다시 분배한다.","전수 설계; 선택·비양립·효과·사건·저장·수치 실행 검증 OPEN"
"trait:230","빠른 학습자","개체 차이의 내용은 '새 공정을 직접 시험할 기회를 선호하고 첫 성공에 크게 고무된다'이다. 효과 1개, 정체성 규칙 2개, 유효 구형 보정 0개, 전투 능력 0개, 환경 보호 0개, 행동 선호 0개, 기분 반응 0개, 사건 가중치 0개, 유전 결과 0개로 반영한다.","선택 가족 learning; 희귀도 Exceptional (특별); 대상 종족 []; 비양립 []; 행동 []; 전투 {""abilities"":[]}; 환경 {""coldExposureMultiplier"":1,""comfortMaximumOffset"":0,""comfortMinimumOffset"":0,""heatExposureMultiplier"":1,""safeMaximumOffset"":0,""safeMinimumOffset"":0}; 사건 []; 정체성 [{""rid"":7737211921986486510},{""rid"":7737211921986486511}]; 수정치 {""dislikedFacilityRoles"":0,""dislikedWorkTypes"":0,""preferredFacilityRoles"":0,""preferredWorkTypes"":0}; 기분 []; 능력치 ; 경험 1","이점이 강화하는 작업·전투·환경·관계 경로를 인물에게 맡기고, 같은 선택 가족의 상충 특성·다른 인력 배치·보완 자원을 뒤로 미룬다.","같은 선택 가족의 대체 특성 없음","종족 적합성·선택 가족·비양립 규칙을 통과해 특성을 부여 → 강화/약화되는 행동·작업·전투·환경·사건의 실제 결과를 기록 → 동일 가족의 상충 특성을 중복 부여하지 않는다.","강점과 무관한 역할에 오래 배치하면 선택 가치가 사라진다. 가족 대안·다른 인력·시설 보완으로 역할을 다시 분배한다.","전수 설계; 선택·비양립·효과·사건·저장·수치 실행 검증 OPEN"
"trait:231","손님맞이꾼","개체 차이의 내용은 '낯선 이를 편하게 만들며 식사와 좌석의 작은 결례를 먼저 발견한다'이다. 효과 0개, 정체성 규칙 0개, 유효 구형 보정 10개, 전투 능력 0개, 환경 보호 0개, 행동 선호 1개, 기분 반응 1개, 사건 가중치 1개, 유전 결과 0개로 반영한다.","선택 가족 hospitality; 희귀도 Uncommon (비일반); 대상 종족 []; 비양립 []; 행동 [{""behaviorTag"":""service:greet"",""utilityDelta"":0.5}]; 전투 {""abilities"":[]}; 환경 {""coldExposureMultiplier"":1,""comfortMaximumOffset"":0,""comfortMinimumOffset"":0,""heatExposureMultiplier"":1,""safeMaximumOffset"":0,""safeMinimumOffset"":0}; 사건 [{""eventCategoryId"":""guest-request"",""multiplier"":1.4}]; 정체성 ; 수정치 {""accidentChanceMultiplier"":1,""combatPowerMultiplier"":1,""consumptionMultiplier"":1,""crowdSensitivityMultiplier"":1,""dislikedFacilityRoles"":0,""dislikedWorkTypes"":0,""moveSpeedMultiplier"":1,""preferredFacilityRoles"":0,""preferredWorkTypes"":0,""researchSpeedMultiplier"":1,""spendingMultiplier"":1,""stayDurationMultiplier"":1,""waitPatienceMultiplier"":1,""workSpeedMultiplier"":1}; 기분 [{""durationDays"":3,""moodDelta"":3,""triggerTag"":""guest:satisfied""}]; 능력치 {""entries"":[]}; 경험 1","이점이 강화하는 작업·전투·환경·관계 경로를 인물에게 맡기고, 같은 선택 가족의 상충 특성·다른 인력 배치·보완 자원을 뒤로 미룬다.","같은 선택 가족의 대체 특성 없음","종족 적합성·선택 가족·비양립 규칙을 통과해 특성을 부여 → 강화/약화되는 행동·작업·전투·환경·사건의 실제 결과를 기록 → 동일 가족의 상충 특성을 중복 부여하지 않는다.","강점과 무관한 역할에 오래 배치하면 선택 가치가 사라진다. 가족 대안·다른 인력·시설 보완으로 역할을 다시 분배한다.","전수 설계; 선택·비양립·효과·사건·저장·수치 실행 검증 OPEN"
