group,content_type,record_key,stable_id,display_name,description,mechanics,relations,existence_reason,reason_basis,review_status,review_reason,lifecycle_status,catalog_memberships,runtime_status,runtime_evidence,save_evidence,incoming_reference_count,incoming_source_types,system_role,strategic_niche,costs_and_risks,comparison_group,alternative_candidates,removal_impact,rationale_evidence,source_path,asset_guid,authored__activationRequirements,authored__authoringRevision,authored__category,authored__category__enum,authored__category__label,authored__category__origin,authored__completionRewards,authored__completionRewards__count,authored__conflictAmbitionIds,authored__conflictAmbitionIds__count,authored__cooperationAmbitionIds,authored__cooperationAmbitionIds__count,authored__description,authored__displayName,authored__failureConditions,authored__m_Name,authored__relatedEventWeights,authored__relatedEventWeights__count,authored__sourceNote,authored__stableId,authored__targetProgress
characters-traits,CharacterAmbitionDefinitionSO,CharacterAmbitionDefinitionSO|ambition:avenge-fallen,ambition:avenge-fallen,쓰러진 이의 이름,가까운 이를 죽인 지휘관을 찾아 생포하거나 쓰러뜨리려 한다.,category 5,,작성 목적은 '가까운 이를 죽인 지휘관을 찾아 생포하거나 쓰러뜨리려 한다'이다. 게임 규칙은 category 5로 구성된다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/CharacterNarrativeCatalog.cs; Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Character/CharacterNarrativeRuntime.cs; Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs,Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Character/CharacterNarrativeRuntime.cs,0,,작성 목적은 '가까운 이를 죽인 지휘관을 찾아 생포하거나 쓰러뜨리려 한다'이다. 게임 규칙은 category 5로 구성된다.,인물·특성 영역의 CharacterAmbitionDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,CharacterAmbitionDefinitionSO:category:5,"비교 후보(대체 가능성 미검증): CharacterAmbitionDefinitionSO:ambition:find-origin, CharacterAmbitionDefinitionSO:ambition:map-depths",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V20/Narrative/Ambitions/ambition_avenge-fallen.asset,4c34eb1846957704fbbce998b5c5df64,"{""characters"":[{""excludedTraitId"":null,""maximumLifeStage"":4,""minimumHealth"":0,""minimumLifeStage"":3,""requiredTraitId"":null}],""excludedFlags"":[],""facilities"":[],""factions"":[],""items"":[],""requiredFlags"":[],""research"":[],""worldMetrics"":[]}",1,5,CharacterAmbitionCategory,Vengeance Or Discovery,explicit-serialized,"[{""amount"":1,""durationDays"":0,""kind"":2,""targetId"":""vengeance""}]",1,[],0,[],0,가까운 이를 죽인 지휘관을 찾아 생포하거나 쓰러뜨리려 한다.,쓰러진 이의 이름,"{""characters"":[],""excludedFlags"":[],""facilities"":[],""factions"":[],""items"":[],""requiredFlags"":[],""research"":[],""worldMetrics"":[]}",ambition_avenge-fallen,"[{""id"":""life-event:killer-sighted"",""weight"":2}]",1,V20 content-density expansion; hand-authored Korean source revision 1.,ambition:avenge-fallen,300
characters-traits,CharacterAmbitionDefinitionSO,CharacterAmbitionDefinitionSO|ambition:become-steward,ambition:become-steward,관리인의 자리,던전의 혼란을 정리하는 공식 관리인이 되려 한다.,category 2,,작성 목적은 '던전의 혼란을 정리하는 공식 관리인이 되려 한다'이다. 게임 규칙은 category 2로 구성된다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/CharacterNarrativeCatalog.cs; Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Character/CharacterNarrativeRuntime.cs; Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs,Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Character/CharacterNarrativeRuntime.cs,0,,작성 목적은 '던전의 혼란을 정리하는 공식 관리인이 되려 한다'이다. 게임 규칙은 category 2로 구성된다.,인물·특성 영역의 CharacterAmbitionDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,CharacterAmbitionDefinitionSO:category:2,"비교 후보(대체 가능성 미검증): CharacterAmbitionDefinitionSO:ambition:cultural-voice, CharacterAmbitionDefinitionSO:ambition:guard-captain",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V20/Narrative/Ambitions/ambition_become-steward.asset,053a91ba90ec00a4786e0a562f9c386e,"{""characters"":[{""excludedTraitId"":null,""maximumLifeStage"":4,""minimumHealth"":0,""minimumLifeStage"":3,""requiredTraitId"":null}],""excludedFlags"":[],""facilities"":[],""factions"":[],""items"":[],""requiredFlags"":[],""research"":[],""worldMetrics"":[]}",1,2,CharacterAmbitionCategory,Status,explicit-serialized,"[{""amount"":1,""durationDays"":0,""kind"":12,""targetId"":""flag:earned-stewardship""}]",1,[],0,[],0,던전의 혼란을 정리하는 공식 관리인이 되려 한다.,관리인의 자리,"{""characters"":[],""excludedFlags"":[],""facilities"":[],""factions"":[],""items"":[],""requiredFlags"":[],""research"":[],""worldMetrics"":[]}",ambition_become-steward,"[{""id"":""life-event:position-rivalry"",""weight"":2}]",1,V20 content-density expansion; hand-authored Korean source revision 1.,ambition:become-steward,250
characters-traits,CharacterAmbitionDefinitionSO,CharacterAmbitionDefinitionSO|ambition:break-debt,ambition:break-debt,물려받은 빚 청산,가구를 옭아맨 오래된 세력 의무를 끝내려 한다.,category 4,,작성 목적은 '가구를 옭아맨 오래된 세력 의무를 끝내려 한다'이다. 게임 규칙은 category 4로 구성된다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/CharacterNarrativeCatalog.cs; Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Character/CharacterNarrativeRuntime.cs; Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs,Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Character/CharacterNarrativeRuntime.cs,0,,작성 목적은 '가구를 옭아맨 오래된 세력 의무를 끝내려 한다'이다. 게임 규칙은 category 4로 구성된다.,인물·특성 영역의 CharacterAmbitionDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,CharacterAmbitionDefinitionSO:category:4,"비교 후보(대체 가능성 미검증): CharacterAmbitionDefinitionSO:ambition:faction-champion, CharacterAmbitionDefinitionSO:ambition:faction-peacemaker",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V20/Narrative/Ambitions/ambition_break-debt.asset,1ab8b0f20ebf64b4494a7db1d5000db6,"{""characters"":[{""excludedTraitId"":null,""maximumLifeStage"":4,""minimumHealth"":0,""minimumLifeStage"":3,""requiredTraitId"":null}],""excludedFlags"":[],""facilities"":[],""factions"":[],""items"":[],""requiredFlags"":[],""research"":[],""worldMetrics"":[]}",1,4,CharacterAmbitionCategory,Faction,explicit-serialized,"[{""amount"":1,""durationDays"":0,""kind"":7,""targetId"":""faction:creditor""}]",1,[],0,[],0,가구를 옭아맨 오래된 세력 의무를 끝내려 한다.,물려받은 빚 청산,"{""characters"":[],""excludedFlags"":[],""facilities"":[],""factions"":[],""items"":[],""requiredFlags"":[],""research"":[],""worldMetrics"":[]}",ambition_break-debt,"[{""id"":""life-event:inherited-debt"",""weight"":2}]",1,V20 content-density expansion; hand-authored Korean source revision 1.,ambition:break-debt,260
characters-traits,CharacterAmbitionDefinitionSO,CharacterAmbitionDefinitionSO|ambition:build-clinic,ambition:build-clinic,모두를 위한 진료소,신분과 종족에 관계없이 치료받는 시설을 세우려 한다.,category 3,,작성 목적은 '신분과 종족에 관계없이 치료받는 시설을 세우려 한다'이다. 게임 규칙은 category 3로 구성된다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/CharacterNarrativeCatalog.cs; Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Character/CharacterNarrativeRuntime.cs; Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs,Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Character/CharacterNarrativeRuntime.cs,0,,작성 목적은 '신분과 종족에 관계없이 치료받는 시설을 세우려 한다'이다. 게임 규칙은 category 3로 구성된다.,인물·특성 영역의 CharacterAmbitionDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,CharacterAmbitionDefinitionSO:category:3,"비교 후보(대체 가능성 미검증): CharacterAmbitionDefinitionSO:ambition:end-hunger, CharacterAmbitionDefinitionSO:ambition:mentor-generation",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V20/Narrative/Ambitions/ambition_build-clinic.asset,e255b6d5867d14d4b8ee0173bd907c44,"{""characters"":[{""excludedTraitId"":null,""maximumLifeStage"":4,""minimumHealth"":0,""minimumLifeStage"":3,""requiredTraitId"":null}],""excludedFlags"":[],""facilities"":[],""factions"":[],""items"":[],""requiredFlags"":[],""research"":[],""worldMetrics"":[]}",1,3,CharacterAmbitionCategory,Community,explicit-serialized,"[{""amount"":1,""durationDays"":0,""kind"":12,""targetId"":""flag:public-clinic""}]",1,[],0,[],0,신분과 종족에 관계없이 치료받는 시설을 세우려 한다.,모두를 위한 진료소,"{""characters"":[],""excludedFlags"":[],""facilities"":[],""factions"":[],""items"":[],""requiredFlags"":[],""research"":[],""worldMetrics"":[]}",ambition_build-clinic,"[{""id"":""life-event:clinic-shortage"",""weight"":2}]",1,V20 content-density expansion; hand-authored Korean source revision 1.,ambition:build-clinic,280
characters-traits,CharacterAmbitionDefinitionSO,CharacterAmbitionDefinitionSO|ambition:cultural-voice,ambition:cultural-voice,문화의 대변자,자신의 관습이 조롱받지 않고 공동체의 규칙에 반영되길 바란다.,category 2,,작성 목적은 '자신의 관습이 조롱받지 않고 공동체의 규칙에 반영되길 바란다'이다. 게임 규칙은 category 2로 구성된다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/CharacterNarrativeCatalog.cs; Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Character/CharacterNarrativeRuntime.cs; Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs,Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Character/CharacterNarrativeRuntime.cs,0,,작성 목적은 '자신의 관습이 조롱받지 않고 공동체의 규칙에 반영되길 바란다'이다. 게임 규칙은 category 2로 구성된다.,인물·특성 영역의 CharacterAmbitionDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,CharacterAmbitionDefinitionSO:category:2,"비교 후보(대체 가능성 미검증): CharacterAmbitionDefinitionSO:ambition:become-steward, CharacterAmbitionDefinitionSO:ambition:guard-captain",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V20/Narrative/Ambitions/ambition_cultural-voice.asset,773d3c14b822b00478560cfa295c0ad2,"{""characters"":[{""excludedTraitId"":null,""maximumLifeStage"":4,""minimumHealth"":0,""minimumLifeStage"":3,""requiredTraitId"":null}],""excludedFlags"":[],""facilities"":[],""factions"":[],""items"":[],""requiredFlags"":[],""research"":[],""worldMetrics"":[]}",1,2,CharacterAmbitionCategory,Status,explicit-serialized,"[{""amount"":1,""durationDays"":0,""kind"":1,""targetId"":""cultural-pride""}]",1,[],0,[],0,자신의 관습이 조롱받지 않고 공동체의 규칙에 반영되길 바란다.,문화의 대변자,"{""characters"":[],""excludedFlags"":[],""facilities"":[],""factions"":[],""items"":[],""requiredFlags"":[],""research"":[],""worldMetrics"":[]}",ambition_cultural-voice,"[{""id"":""life-event:cultural-petition"",""weight"":2}]",1,V20 content-density expansion; hand-authored Korean source revision 1.,ambition:cultural-voice,230
characters-traits,CharacterAmbitionDefinitionSO,CharacterAmbitionDefinitionSO|ambition:end-hunger,ambition:end-hunger,빈 식탁 없는 겨울,한겨울에도 모든 가구가 충분히 먹는 생산망을 만들려 한다.,category 3,,작성 목적은 '한겨울에도 모든 가구가 충분히 먹는 생산망을 만들려 한다'이다. 게임 규칙은 category 3로 구성된다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/CharacterNarrativeCatalog.cs; Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Character/CharacterNarrativeRuntime.cs; Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs,Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Character/CharacterNarrativeRuntime.cs,0,,작성 목적은 '한겨울에도 모든 가구가 충분히 먹는 생산망을 만들려 한다'이다. 게임 규칙은 category 3로 구성된다.,인물·특성 영역의 CharacterAmbitionDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,CharacterAmbitionDefinitionSO:category:3,"비교 후보(대체 가능성 미검증): CharacterAmbitionDefinitionSO:ambition:build-clinic, CharacterAmbitionDefinitionSO:ambition:mentor-generation",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V20/Narrative/Ambitions/ambition_end-hunger.asset,00ffc92b1b2c2634dbff7c3a117563d2,"{""characters"":[{""excludedTraitId"":null,""maximumLifeStage"":4,""minimumHealth"":0,""minimumLifeStage"":3,""requiredTraitId"":null}],""excludedFlags"":[],""facilities"":[],""factions"":[],""items"":[],""requiredFlags"":[],""research"":[],""worldMetrics"":[]}",1,3,CharacterAmbitionCategory,Community,explicit-serialized,"[{""amount"":1,""durationDays"":0,""kind"":12,""targetId"":""flag:winter-fed""}]",1,[],0,[],0,한겨울에도 모든 가구가 충분히 먹는 생산망을 만들려 한다.,빈 식탁 없는 겨울,"{""characters"":[],""excludedFlags"":[],""facilities"":[],""factions"":[],""items"":[],""requiredFlags"":[],""research"":[],""worldMetrics"":[]}",ambition_end-hunger,"[{""id"":""life-event:winter-pantry"",""weight"":2}]",1,V20 content-density expansion; hand-authored Korean source revision 1.,ambition:end-hunger,260
characters-traits,CharacterAmbitionDefinitionSO,CharacterAmbitionDefinitionSO|ambition:faction-champion,ambition:faction-champion,동맹의 방패,선택한 세력의 위기를 막아 신뢰받는 투사가 되려 한다.,category 4,,작성 목적은 '선택한 세력의 위기를 막아 신뢰받는 투사가 되려 한다'이다. 게임 규칙은 category 4로 구성된다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/CharacterNarrativeCatalog.cs; Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Character/CharacterNarrativeRuntime.cs; Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs,Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Character/CharacterNarrativeRuntime.cs,0,,작성 목적은 '선택한 세력의 위기를 막아 신뢰받는 투사가 되려 한다'이다. 게임 규칙은 category 4로 구성된다.,인물·특성 영역의 CharacterAmbitionDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,CharacterAmbitionDefinitionSO:category:4,"비교 후보(대체 가능성 미검증): CharacterAmbitionDefinitionSO:ambition:break-debt, CharacterAmbitionDefinitionSO:ambition:faction-peacemaker",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V20/Narrative/Ambitions/ambition_faction-champion.asset,2665daa95ddf30749bdf7f3d6f4bf95f,"{""characters"":[{""excludedTraitId"":null,""maximumLifeStage"":4,""minimumHealth"":0,""minimumLifeStage"":3,""requiredTraitId"":null}],""excludedFlags"":[],""facilities"":[],""factions"":[],""items"":[],""requiredFlags"":[],""research"":[],""worldMetrics"":[]}",1,4,CharacterAmbitionCategory,Faction,explicit-serialized,"[{""amount"":1,""durationDays"":0,""kind"":8,""targetId"":""faction:protected""}]",1,[],0,[],0,선택한 세력의 위기를 막아 신뢰받는 투사가 되려 한다.,동맹의 방패,"{""characters"":[],""excludedFlags"":[],""facilities"":[],""factions"":[],""items"":[],""requiredFlags"":[],""research"":[],""worldMetrics"":[]}",ambition_faction-champion,"[{""id"":""life-event:allied-distress"",""weight"":2}]",1,V20 content-density expansion; hand-authored Korean source revision 1.,ambition:faction-champion,300
characters-traits,CharacterAmbitionDefinitionSO,CharacterAmbitionDefinitionSO|ambition:faction-peacemaker,ambition:faction-peacemaker,두 깃발의 중재자,적대 세력 사이에 지속 가능한 계약을 성립시키려 한다.,category 4,,작성 목적은 '적대 세력 사이에 지속 가능한 계약을 성립시키려 한다'이다. 게임 규칙은 category 4로 구성된다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/CharacterNarrativeCatalog.cs; Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Character/CharacterNarrativeRuntime.cs; Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs,Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Character/CharacterNarrativeRuntime.cs,0,,작성 목적은 '적대 세력 사이에 지속 가능한 계약을 성립시키려 한다'이다. 게임 규칙은 category 4로 구성된다.,인물·특성 영역의 CharacterAmbitionDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,CharacterAmbitionDefinitionSO:category:4,"비교 후보(대체 가능성 미검증): CharacterAmbitionDefinitionSO:ambition:break-debt, CharacterAmbitionDefinitionSO:ambition:faction-champion",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V20/Narrative/Ambitions/ambition_faction-peacemaker.asset,a9afae87ad78c9a42ac621bf435d6265,"{""characters"":[{""excludedTraitId"":null,""maximumLifeStage"":4,""minimumHealth"":0,""minimumLifeStage"":3,""requiredTraitId"":null}],""excludedFlags"":[],""facilities"":[],""factions"":[],""items"":[],""requiredFlags"":[],""research"":[],""worldMetrics"":[]}",1,4,CharacterAmbitionCategory,Faction,explicit-serialized,"[{""amount"":1,""durationDays"":0,""kind"":6,""targetId"":""faction:negotiated""}]",1,[],0,[],0,적대 세력 사이에 지속 가능한 계약을 성립시키려 한다.,두 깃발의 중재자,"{""characters"":[],""excludedFlags"":[],""facilities"":[],""factions"":[],""items"":[],""requiredFlags"":[],""research"":[],""worldMetrics"":[]}",ambition_faction-peacemaker,"[{""id"":""life-event:envoy-appeal"",""weight"":2}]",1,V20 content-density expansion; hand-authored Korean source revision 1.,ambition:faction-peacemaker,320
characters-traits,CharacterAmbitionDefinitionSO,CharacterAmbitionDefinitionSO|ambition:field-scholar,ambition:field-scholar,현장 학자의 증명,원정에서 발견한 사실로 기존 학설을 뒤집으려 한다.,category 0,,작성 목적은 '원정에서 발견한 사실로 기존 학설을 뒤집으려 한다'이다. 게임 규칙은 category 0로 구성된다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/CharacterNarrativeCatalog.cs; Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Character/CharacterNarrativeRuntime.cs; Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs,Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Character/CharacterNarrativeRuntime.cs,0,,작성 목적은 '원정에서 발견한 사실로 기존 학설을 뒤집으려 한다'이다. 게임 규칙은 category 0로 구성된다.,인물·특성 영역의 CharacterAmbitionDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,CharacterAmbitionDefinitionSO:category:0,"비교 후보(대체 가능성 미검증): CharacterAmbitionDefinitionSO:ambition:master-healer, CharacterAmbitionDefinitionSO:ambition:master-smith",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V20/Narrative/Ambitions/ambition_field-scholar.asset,b49761cfab2b5cf409ccbeaa31c5a9de,"{""characters"":[{""excludedTraitId"":null,""maximumLifeStage"":4,""minimumHealth"":0,""minimumLifeStage"":3,""requiredTraitId"":null}],""excludedFlags"":[],""facilities"":[],""factions"":[],""items"":[],""requiredFlags"":[],""research"":[],""worldMetrics"":[]}",1,0,CharacterAmbitionCategory,Mastery,explicit-serialized,"[{""amount"":100,""durationDays"":0,""kind"":3,""targetId"":""proficiency:scholarship""}]",1,[],0,[],0,원정에서 발견한 사실로 기존 학설을 뒤집으려 한다.,현장 학자의 증명,"{""characters"":[],""excludedFlags"":[],""facilities"":[],""factions"":[],""items"":[],""requiredFlags"":[],""research"":[],""worldMetrics"":[]}",ambition_field-scholar,"[{""id"":""life-event:disputed-thesis"",""weight"":2}]",1,V20 content-density expansion; hand-authored Korean source revision 1.,ambition:field-scholar,280
characters-traits,CharacterAmbitionDefinitionSO,CharacterAmbitionDefinitionSO|ambition:find-origin,ambition:find-origin,기원의 흔적,자신의 출생과 관련된 기록·실험·유적의 진실을 찾으려 한다.,category 5,,작성 목적은 '자신의 출생과 관련된 기록·실험·유적의 진실을 찾으려 한다'이다. 게임 규칙은 category 5로 구성된다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/CharacterNarrativeCatalog.cs; Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Character/CharacterNarrativeRuntime.cs; Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs,Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Character/CharacterNarrativeRuntime.cs,0,,작성 목적은 '자신의 출생과 관련된 기록·실험·유적의 진실을 찾으려 한다'이다. 게임 규칙은 category 5로 구성된다.,인물·특성 영역의 CharacterAmbitionDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,CharacterAmbitionDefinitionSO:category:5,"비교 후보(대체 가능성 미검증): CharacterAmbitionDefinitionSO:ambition:avenge-fallen, CharacterAmbitionDefinitionSO:ambition:map-depths",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V20/Narrative/Ambitions/ambition_find-origin.asset,219b1e9fa79864240bdb4d5f0c14e338,"{""characters"":[{""excludedTraitId"":null,""maximumLifeStage"":4,""minimumHealth"":0,""minimumLifeStage"":3,""requiredTraitId"":null}],""excludedFlags"":[],""facilities"":[],""factions"":[],""items"":[],""requiredFlags"":[],""research"":[],""worldMetrics"":[]}",1,5,CharacterAmbitionCategory,Vengeance Or Discovery,explicit-serialized,"[{""amount"":1,""durationDays"":0,""kind"":12,""targetId"":""flag:origin-known""}]",1,[],0,[],0,자신의 출생과 관련된 기록·실험·유적의 진실을 찾으려 한다.,기원의 흔적,"{""characters"":[],""excludedFlags"":[],""facilities"":[],""factions"":[],""items"":[],""requiredFlags"":[],""research"":[],""worldMetrics"":[]}",ambition_find-origin,"[{""id"":""life-event:origin-clue"",""weight"":2}]",1,V20 content-density expansion; hand-authored Korean source revision 1.,ambition:find-origin,300
