"stable_id","display_name","research_project_id","unlock_role","source_design_intent","singleton_reason","reward_category_presentation","target_side_requirement_bindings","portfolio_commitment","activation_receipt_and_authority","binding_gap_and_status"
"research:metallurgy:advanced","metallurgy_advanced","research:metallurgy:advanced","Equipment Family","정밀 열처리로 걸작 장비의 기반을 만든다.","","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:recipe:material:spring-steel | ProductionRecipeSO:recipe:tool:alloy-crucible","무기·방어구·작업복 계열의 제작·보급·정비를 준비해 특정 조우·환경·직무에 맞춘다. 다른 장비 계보의 소재·숙련·보급 경로는 늦어진다.","연구 완료 영수증 → target-side requiredResearchId가 research:metallurgy:advanced인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 2개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:metallurgy:blacksteel","metallurgy_blacksteel","research:metallurgy:blacksteel","Equipment Family","강철과 마나 결정을 결합해 비전 금속을 만든다.","","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","CraftMaterialSO:material:blacksteel-ingot | ProductionRecipeSO:recipe:blacksteel | ProductionRecipeSO:recipe:component:blacksteel-defense-plate","무기·방어구·작업복 계열의 제작·보급·정비를 준비해 특정 조우·환경·직무에 맞춘다. 다른 장비 계보의 소재·숙련·보급 경로는 늦어진다.","연구 완료 영수증 → target-side requiredResearchId가 research:metallurgy:blacksteel인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 3개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:metallurgy:iron","metallurgy_iron","research:metallurgy:iron","Equipment Family","철괴를 표준 장비와 건축 부품으로 가공한다.","","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","CombatShieldSO:equipment-item:shield:iron | CombatWeaponSO:equipment-item:weapon:mace | CombatWeaponSO:equipment-item:weapon:warhammer | CraftMaterialSO:material:iron-ingot | ProductionRecipeSO:recipe:arrow-iron | ProductionRecipeSO:recipe:bolt-iron | ProductionRecipeSO:recipe:iron-ingot | ProductionRecipeSO:recipe:iron-slag-block | ProductionRecipeSO:recipe:material:lead-ingot","무기·방어구·작업복 계열의 제작·보급·정비를 준비해 특정 조우·환경·직무에 맞춘다. 다른 장비 계보의 소재·숙련·보급 경로는 늦어진다.","연구 완료 영수증 → target-side requiredResearchId가 research:metallurgy:iron인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 9개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:metallurgy:precious","metallurgy_precious","research:metallurgy:precious","Equipment Family","금과 보석을 권위 시설과 고가 장비에 사용한다.","","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","CraftMaterialSO:material:gold-ingot | ProductionRecipeSO:recipe:gold-ingot | ProductionRecipeSO:recipe:gold-leaf | ProductionRecipeSO:recipe:gold-ornament","무기·방어구·작업복 계열의 제작·보급·정비를 준비해 특정 조우·환경·직무에 맞춘다. 다른 장비 계보의 소재·숙련·보급 경로는 늦어진다.","연구 완료 영수증 → target-side requiredResearchId가 research:metallurgy:precious인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 4개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:metallurgy:primitive","metallurgy_primitive","research:metallurgy:primitive","Equipment Family","돌, 뼈와 연철로 기본 도구와 무기를 만든다.","","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","CraftMaterialSO:resource:bone","무기·방어구·작업복 계열의 제작·보급·정비를 준비해 특정 조우·환경·직무에 맞춘다. 다른 장비 계보의 소재·숙련·보급 경로는 늦어진다.","연구 완료 영수증 → target-side requiredResearchId가 research:metallurgy:primitive인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 1개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:metallurgy:steel","metallurgy_steel","research:metallurgy:steel","Equipment Family","철과 숯으로 더 단단하고 가벼운 강철을 만든다.","","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","CombatWeaponSO:equipment-item:weapon:estoc | CombatWeaponSO:equipment-item:weapon:greatsword | CombatWeaponSO:equipment-item:weapon:pollaxe | CraftMaterialSO:material:steel-ingot | ProductionRecipeSO:recipe:arrow-steel | ProductionRecipeSO:recipe:bolt-steel | ProductionRecipeSO:recipe:steel-ingot","무기·방어구·작업복 계열의 제작·보급·정비를 준비해 특정 조우·환경·직무에 맞춘다. 다른 장비 계보의 소재·숙련·보급 경로는 늦어진다.","연구 완료 영수증 → target-side requiredResearchId가 research:metallurgy:steel인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 7개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:mining:deep","mining_deep","research:mining:deep","Foundation","연료와 유지보수를 대가로 깊은 광맥을 판다.","여러 후속 연구와 기존 제작 계통을 여는 기반 연구다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:recipe:ammo:blasting-charge | ProductionRecipeSO:recipe:component:lead-counterweight | ProductionRecipeSO:recipe:tool:deep-shaft-hoist","이 연구가 여는 기본 작업·재료·시설을 실제 생산·생활 루프에 투입한다. 같은 시기의 다른 기반 연구는 뒤로 밀리고, 확보한 기반을 이용한 후속 선택이 열린다.","연구 완료 영수증 → target-side requiredResearchId가 research:mining:deep인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 3개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:mining:mana","mining_mana","research:mining:mana","Production Chain","불안정한 마나 광맥에서 결정을 추출한다.","","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:recipe:component:mana-shield-plate | ProductionRecipeSO:recipe:tool:mana-probe","상류 재료부터 하류 소비처까지 연결해 중간재·운반·저장을 감당한다. 단일 산출물이나 다른 산업 계열에 자본을 묶지 않는 선택을 포기한다.","연구 완료 영수증 → target-side requiredResearchId가 research:mining:mana인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 2개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:mining:quarry","mining_quarry","research:mining:quarry","Foundation","석재를 지속적으로 캐며 희귀 광맥을 탐색한다.","여러 후속 연구와 기존 제작 계통을 여는 기반 연구다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:source:quarry","이 연구가 여는 기본 작업·재료·시설을 실제 생산·생활 루프에 투입한다. 같은 시기의 다른 기반 연구는 뒤로 밀리고, 확보한 기반을 이용한 후속 선택이 열린다.","연구 완료 영수증 → target-side requiredResearchId가 research:mining:quarry인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 1개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:mining:sorting","mining_sorting","research:mining:sorting","Foundation","석탄, 철, 금과 마나 결정을 분리한다.","여러 후속 연구와 기존 제작 계통을 여는 기반 연구다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","명시적 target-side definition 없음","이 연구가 여는 기본 작업·재료·시설을 실제 생산·생활 루프에 투입한다. 같은 시기의 다른 기반 연구는 뒤로 밀리고, 확보한 기반을 이용한 후속 선택이 열린다.","연구 완료 영수증 → target-side requiredResearchId가 research:mining:sorting인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 0개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
