stable_id,display_name,problem,solution_family,portfolio_role,player_commitment,delayed_alternative,weakness_and_pressure,activation_receipt,transition_or_recovery,first_milestone_skip,balance_and_implementation_status
research:medical:prosthetics,보철 공학,결손을 즉시 완전 회복이 아닌 제작·착용·수선이 필요한 역할 복귀로 전환,기계 보철과 적응 치료,기능 회복 주력,"금속·목재 부품·재단·수선·적응 훈련을 지정 인물과 직책에 배정한다","장기 휴식·직책 교체·외부 치료·자연 회복","보철 파손·수선 병목·부품 부족·새 작업 적응 실패","보철 제작·장착·훈련·수선과 직책 복귀가 같은 인물 기록으로 남긴 증거","보조 직책·수리 우선·예비 부품·외부 의뢰로 장비 공백을 넘긴다",가능,"설계 확정; 부품·수선·적응·직책 효과는 밸런스 기준 배정; 실제 장착·복귀 검증 OPEN"
research:medical:organ-preservation,장기 보존,기증 장기를 즉시 소비되지 않는 의료 재고와 추적 책임으로 관리,저온 장기 보관,이식 준비 전환,"저온 보관·기증자 기록·운반·격리·우선순위를 수술과 연결해 장기 재고를 유지한다","즉시 수술·보철·외부 장기 조달·치료 연기","신선도 저하·정전·기록 단절·보관 공간 점유","기증·보관·운반·수령·사용 또는 폐기가 동일 장기 이력에 남긴 증거","보철·기본 치료·외부 조달·폐기 절차로 보관 실패를 통제한다",가능,"설계 확정; 신선도·저온·추적·운반·윤리적 후속은 밸런스 기준 배정; 실제 재고 권위 검증 OPEN"
research:medical:regenerative-culture,재생 배양,조직 재생을 장비와 시간에 묶인 치료 중간재 생산으로 전환,재생 조직 배양,고급 치료 전환,"배양실·시약·온도 관리·전문 노동·격리와 의료 주문을 연결한다","보철·일반 수술·외부 이식·치료 연기","배양 오염·전력 또는 온도 실패·시약 병목·장기 대기","배양 시작·유지·품질·사용·폐기가 의료 이력과 연결된 기록","보철·안정화 치료·배양 폐기·외부 조달로 실패한 배치를 정리한다",가능,"설계 확정; 배양 시간·시약·온도·격리·수율은 밸런스 기준 배정; 실제 배치 이력 검증 OPEN"
research:medical:organ-regeneration,장기 재생,손상 장기 교체를 재생 배양·수술·회복 자원의 복합 선택으로 만듦,재생 장기 이식,중증 회복 특화,"재생 조직·수술실·기증 또는 대체 재료·전문의·회복 침상을 한 환자에게 장기 배정한다","보철·만성 관리·역할 교체·외부 치료","거부·감염·회복 지연·수술실 독점·재생 재료 고갈","장기 출처·수술·회복·후속 검사·재치료가 환자 이력으로 남긴 증거","보철 전환·안정화 치료·외부 이송·대기 우선순위 조정으로 실패를 제한한다",가능,"설계 확정; 재생·수술·회복·거부·침상 점유는 밸런스 기준 배정; 실제 이식 후속 검증 OPEN"
research:medical:xenotransplant,이종 이식,다른 종의 기관을 긴급 구제와 거부·관계·관리 위험의 교환으로 다룸,이종 기관 이식,고위험 구제 특화,"호환성 분석·격리·거부 관리·기증 기록·전문의와 장기 추적을 확보한다","동종 이식 대기·보철·치료 연기·외부 의료","거부 반응·추적 치료·기증자 관계·장기 적합성 오판","종·기증·호환성·수술·거부 관리·후속 검사가 연속 기록으로 남긴 증거","보철·기본 치료·격리·외부 의뢰로 거부와 관계 손실을 회복한다",가능,"설계 확정; 호환성·거부·기증·격리·관계 영향은 밸런스 기준 배정; 실제 이종 이식 검증 OPEN"
research:medical:blood-rejuvenation,혈액 회춘,노화와 중증 회복을 혈액 재료·전문 치료·장기 후속 관리의 선택으로 전환,회춘 수혈,숙련 인력 보존 특화,"혈액 재료·정제·수혈 장비·전문의·회복 일정을 장기적으로 유지한다","만성 관리·은퇴·후계 양성·일반 재생","재료 부족·수혈 부작용·의료 자원 독점·장기 의존","수혈의 출처·정제·대상·회복·후속 관리가 같은 의료 기록에 남긴 증거","만성 관리·은퇴·역할 전환·일반 치료로 수혈 공백을 견딘다",가능,"설계 확정; 혈액·정제·전문가·부작용·장기 비용은 밸런스 기준 배정; 실제 의료 추적 검증 OPEN"
research:genetics:controlled-heredity,통제 유전,형질 선택을 즉시 능력 상승이 아닌 상담·돌봄·세대 책임의 장기 선택으로 만듦,유전 상담과 관리,계통 특화,"형질 기록·상담·생식 의료·가구 동의·장기 돌봄을 유지해 특정 계통 계획을 실행한다","다양성 유지·자연 세대 교체·외부 영입·개별 치료","예측 실패·다양성 감소·상담 부담·가구 관계 악화","형질 분석·상담·선택·출생 후 추적이 가구 이력에 남긴 증거","계획 중단·다양한 영입·일반 돌봄·기록 정정으로 경로를 되돌린다",가능,"설계 확정; 기록·상담·세대·다양성·관계 영향은 밸런스 기준 배정; 실제 장기 추적 검증 OPEN"
research:genetics:cross-lineage-stabilization,교차계통 안정화,서로 다른 생식 계통의 결합을 장기 의료·공명·가구 안정성의 고위험 선택으로 관리,교차계통 생식 안정화,문명 장기 특화,"통제 유전·재생 배양·이식·공명 설비·전문의·장기 관찰을 하나의 세대 계획에 결속한다","동일 계통 승계·외부 영입·출생 연기·일반 돌봄","공명 실패·의료 장기 점유·예측 불가 형질·가구 부담","호환성·동의·시술·출생·후속 관찰이 연결된 가구·의료 기록으로 남긴 증거","계획 중단·일반 돌봄·외부 의료·가구 지원으로 불안정 구간을 회복한다",가능,"설계 확정; 공명·의료·세대·관찰·위험은 밸런스 기준 배정; 실제 세대 후속 검증 OPEN"
research:medical:aberrant-augmentation,이형 개조,비전 기관 개조를 고성능 장비가 아닌 신체·정체성·유지보수 책임이 있는 선택으로 제한,비전 기관 개조,고위험 역할 특화,"룬 봉합·비전 기관·격리·동의·전문의·후속 정비를 지정 인물과 위험 직책에 집중한다","표준 장비·훈련·보철·역할 재배치","거부·공명 사고·후속 치료·관계 변화·특정 인물 의존","개조 전 평가·시술·능력 사용·정비·부작용이 인물 이력에 남긴 증거","개조 기능 중지·역할 하향·의료 관찰·장비 대체로 위험을 통제한다",가능,"설계 확정; 개조·동의·유지·부작용·역할 영향은 밸런스 기준 배정; 실제 장기 상태 검증 OPEN"
research:medical:bloodcraft-augmentation,혈술 개조,혈액 기반 감각·능력 개조를 자원 순환과 거부 부담의 교환으로 다룸,혈술 기관 강화,야간·정찰 특화,"혈액낭·시약·감시·수혈·회복 규칙을 야간 또는 정찰 역할의 인력에게 배정한다","일반 장비·조명·근무 교대·원정 축소","거부·수혈 부담·야간 의존·의료 자원 경합","개조된 감각 또는 능력이 실제 야간 작업·정찰·의료 관리 기록으로 남긴 증거","근무 전환·일반 장비·치료·기능 제한으로 부작용을 줄인다",가능,"설계 확정; 혈액·거부·감시·역할·의료 경합은 밸런스 기준 배정; 실제 기능·회복 검증 OPEN"
research:medical:avian-prosthetics,조류 보철학,비행 인력의 손상을 일반 보철이 아닌 날개 하중·기낭·귀환 능력이 얽힌 특수 회복으로 처리,조류 전용 경량 보철,종족 대응 특화,"경량 재료·날개 고정·호흡 관리·비행 훈련·안전 착륙 공간을 조류 인력에게 배정한다","지상 직책 전환·일반 치료·외부 운송","비행 재활 실패·추락·경량 재료 부족·전문가 병목","보철 장착·재활·비행 또는 지상 전환·수선이 인물 이력에 남긴 증거","지상 역할·호위 이동·일반 보철·비행 중지로 손실을 제한한다",가능,"설계 확정; 경량 재료·재활·비행 위험·종족 차이는 밸런스 기준 배정; 실제 이동·재활 검증 OPEN"
research:medical:mycelial-grafting,균사 접목학,균사 군체의 손상과 재배를 의료·농업·오염 관리가 공유하는 순환으로 다룸,균사 접목과 재배양,군체 종족·식량 연계,"세정·격리·포자 재료·재배 공간·돌봄 인력을 균사 치료와 생산에 함께 배정한다","일반 치료·외부 버섯 구매·군체 축소·다른 식량 경로","포자 오염·재배 실패·공간 점유·의료와 식량 수요 충돌","접목·재배양·건강·수확 또는 치료 결과가 같은 군체 기록으로 남긴 증거","구역 격리·일반 식량·치료 중단·포자 폐기로 확산을 막는다",가능,"설계 확정; 포자·오염·공간·의료-식량 경합은 밸런스 기준 배정; 실제 군체 순환 검증 OPEN"
research:medical:slime-bioengineering,점액 생체공학,점액 외피와 응집핵의 재성형을 안정성·재료·개체 정체성의 선택으로 다룸,점액 신체 안정화,점액 종족 특화,"점액 재료·안정화 설비·격리·관찰·전문의와 대상의 상태 기록을 유지한다","일반 휴식·역할 전환·외부 의료·위험 작업 회피","응집 실패·외피 손상·격리 사고·전문 설비 점유","재성형·안정화·역할 복귀·후속 관찰이 개체 이력에 남긴 증거","안정화 휴식·격리·기본 역할·외부 지원으로 실패를 수습한다",가능,"설계 확정; 안정화·격리·재료·개체 상태·회복은 밸런스 기준 배정; 실제 특수 신체 검증 OPEN"
research:medical:construct-core-engineering,구성체 핵 공학,구성체의 핵을 수술 대상과 전력·냉각·부품 의존이 있는 동력 기관으로 관리,구성체 핵 규격화,구성체 운영 특화,"핵 부품·냉각·동력 접속·정비 공간·공학 인력을 구성체 역할과 함께 확보한다","수동 노동·일반 기계·구성체 운용 축소","과열·동력 단절·부품 부족·정비자 병목","핵 규격·장착·부하·냉각·수리 이력이 실제 구성체 작업에 남긴 증거","부하 절단·수동 전환·예비 부품·구역 격리로 고장을 제한한다",가능,"설계 확정; 동력·냉각·부품·정비·작업 역할은 밸런스 기준 배정; 실제 구성체 가동 검증 OPEN"
research:medical:construct-core-maintenance,구성체 핵 정비,구성체를 한 번 만든 뒤 방치하지 않고 정비 주문·부품 재고·작업 중단 규칙으로 유지,구성체 예방 정비,기계 회복력 특화,"냉각관·서보·감지핵·동력핵 재고와 점검 인력을 정기 정비 일정에 배정한다","고장 후 교체·수동 노동 예비·구성체 수 축소","정비 지연·부품 잠김·공통 고장·정비 인력 과부하","점검·부품 교체·부하 조정·재가동이 구성체별 이력으로 남긴 증거","예방 정지·수동 전환·부품 재활용·작업 우선순위 축소로 고장을 복구한다",가능,"설계 확정; 점검·부품·정지·예비 노동·저장 권위는 밸런스 기준 배정; 실제 정비 이력 검증 OPEN"
research:medical:mana-core-engineering,마핵 공학,비전 개조의 핵과 열을 공명·냉각·격리 기반망이 필요한 장기 장비로 처리,마핵과 열낭 공학,비전 신체 특화,"마핵·룬 구속·냉각·전력·격리·정비자를 개조 대상과 위험 구역에 묶는다","일반 장비·비전 공정 축소·물리 방어·역할 전환","과열·공명 교란·정전·핵 손상·전문가 독점","마핵 장착·부하·냉각·정비·기능 제한이 대상 이력에 남긴 증거","마핵 비활성화·부하 절단·일반 장비·격리로 사고를 회복한다",가능,"설계 확정; 마나·열·전력·격리·수리·역할은 밸런스 기준 배정; 실제 공명 고장 검증 OPEN"
research:medical:whole-body-regeneration,전신 재생,여러 고급 의학 계통을 한 인물의 극단적 회복에 집중하는 최후 수단,전신 복합 재생,최후 수단 특화,"장기 재생·회춘·동면·점액 기술·전문의·전력·침상을 하나의 중증 회복 계획에 결속한다","부분 치료·보철·역할 승계·외부 이송","기반망 복합 고장·의료 자원 독점·회복 장기화·다른 환자 대기","치료 사유·복합 입력·단계별 상태·해제·후속 돌봄이 보존된 의료 기록","부분 치료로 하향·동면 유지·역할 승계·외부 치료로 손실을 제한한다",가능,"설계 확정; 복합 의료·침상·전력·전문가·대기 비용은 밸런스 기준 배정; 실제 최후 수단 검증 OPEN"
