schemaVersion,definitionId,workstationTag,winnerSourceKind,winnerSourceCapabilityId,winnerProducerId,winnerBranchId,maximumSingleCompletionMassGrams,measurementCapabilityId,outputCapabilityIds,contextSourceDigest,planSourceDigest,scopeSourceDigest
v27-production-output-clearance-measurement-plan@1,building:1019,workstation:forge-basic,2,production-facility-output-capacity:combat-craft,production-facility-output-capacity:combat-craft,combat-craft-primary:armor:powered-harness,18000,production-output-clearance-measurement:combat-craft,production-output:combat-equipment-craft,70b896c4535c8d5249779509cbdd37334be3789a024a0987273bc85ca8e468d0,5d04c5146195faff1af80560864b0008b770a73bc7d96580ae118a4f7a9679f8,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:1073,workstation:mill,1,production-output-clearance-source:recipe,recipe:malt,branch:normal,700,production-output-clearance-measurement:recipe,production-output:standard-definition,71c97fba0180f7168d0c8475792ce7579efba087d9aeca00b5f8677e9bc0f8ac,5198177701bcb78ba279902ff77c91028753d5bd63ff31d56cb966683dc34de9,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:1074,workstation:brewery,1,production-output-clearance-source:recipe,recipe:fermented-liquor,branch:normal,1000,production-output-clearance-measurement:recipe,production-output:standard-definition,200b8670c1e01ee6d97a4ea3ba6ae36f2d472a29cb8d384cc15a7efd6056f34f,7f5e56d7731edb4353d181864cd73b0ea1d5a47fe797a53919bf25e516532483,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:1075,workstation:sawmill,1,production-output-clearance-source:recipe,recipe:sawmill-lumber,branch:normal,3600,production-output-clearance-measurement:recipe,production-output:standard-definition,151c8f218c3455b63caac31453ca47d41d1571dfacf3df0c80251847159845e8,7b0a68bc296c6bce90b30df59ffd577af1fa8363d4aa810a957732918dec82a9,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:1076,workstation:charcoal-kiln,1,production-output-clearance-source:recipe,recipe:charcoal,branch:normal,900,production-output-clearance-measurement:recipe,production-output:standard-definition,6fef8e43c1493874d637b1a722c00b55261f6b485846f2a7cf9c0fb213f7cd2b,c74da70412ca8216d91ac93196231a40e38b04442f7f0964f0143c968e4296dc,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:1077,workstation:stonecutter,1,production-output-clearance-source:recipe,recipe:stone-block,branch:normal,2600,production-output-clearance-measurement:recipe,production-output:standard-definition,849bc40516168a4e411d61032e995be3c215b1d8abac932a83fcd2b71e8005de,62ad6e1465f944cccda679eab6d21d409a2713d55d127bf9efb3f6799c876bb0,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:1079,workstation:furnace,1,production-output-clearance-source:recipe,recipe:gold-ingot,branch:normal,1350,production-output-clearance-measurement:recipe,production-output:standard-definition,e51d4f767097f30d19ef50ceeb018c37268288806b4b93a6460ae717fe813e01,2287dc9af44fddf6e02cd8f090069e6fa5e1b6c5c97cf9ab86727918a94657e9,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:1080,workstation:steelworks,1,production-output-clearance-source:recipe,recipe:steel-ingot,branch:normal,850,production-output-clearance-measurement:recipe,production-output:standard-definition,2ce1b4ded3311121f565c290edbcd82a03508a3be1163f2d5295008cbf934506,6673602b34b176d5b02f9b010a1aeecd2a59edcf5267588ce16a14c41ad7f601,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:1081,workstation:jeweler,1,production-output-clearance-source:recipe,recipe:gold-leaf,branch:normal,400,production-output-clearance-measurement:recipe,production-output:standard-definition,a123bb702d79f76d9d314f873b8b7ecfed7a49209b0f7a80d3ee983f5238b938,c5444e01f29cc1532b664c33a2420694ecbd1bd3f2a49d1937c5faca26ac35c3,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:1082,workstation:arcane-forge,1,production-output-clearance-source:recipe,recipe:blacksteel,branch:normal,1000,production-output-clearance-measurement:recipe,production-output:standard-definition,f63182202ce682352282f5747c910c0075addf52d60ad5703655f25f96cd25d9,f9296d674c4c4382800645a0f0628ec56fd1d84c23fe49c8eaa9e1af8e6a7129,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
