"stable_id","display_name","research_project_id","unlock_role","source_design_intent","singleton_reason","reward_category_presentation","target_side_requirement_bindings","portfolio_commitment","activation_receipt_and_authority","binding_gap_and_status"
"research:forestry:charcoal","forestry_charcoal","research:forestry:charcoal","Foundation","원목을 고열 연료인 숯으로 바꾼다.","여러 후속 연구와 기존 제작 계통을 여는 기반 연구다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:recipe:charcoal","이 연구가 여는 기본 작업·재료·시설을 실제 생산·생활 루프에 투입한다. 같은 시기의 다른 기반 연구는 뒤로 밀리고, 확보한 기반을 이용한 후속 선택이 열린다.","연구 완료 영수증 → target-side requiredResearchId가 research:forestry:charcoal인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 1개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:forestry:fungal","forestry_fungal","research:forestry:fungal","System Facility","지하 균목을 재배해 목재와 버섯을 함께 생산한다.","독립된 작업 규칙과 입력·출력을 가진 시스템 시설을 연다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:recipe:supply:inoculated-log","독립된 공간·작업 규칙·입출력을 가진 체계를 짓고 인력·공간·기반망을 배정한다. 같은 투자로 다른 생산·서비스 체계를 먼저 세울 수는 없다.","연구 완료 영수증 → target-side requiredResearchId가 research:forestry:fungal인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 1개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:forestry:logging","forestry_logging","research:forestry:logging","Foundation","외부 수목에서 원목과 수액을 얻는다.","여러 후속 연구와 기존 제작 계통을 여는 기반 연구다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:source:logging","이 연구가 여는 기본 작업·재료·시설을 실제 생산·생활 루프에 투입한다. 같은 시기의 다른 기반 연구는 뒤로 밀리고, 확보한 기반을 이용한 후속 선택이 열린다.","연구 완료 영수증 → target-side requiredResearchId가 research:forestry:logging인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 1개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:forestry:sawmill","forestry_sawmill","research:forestry:sawmill","Foundation","원목을 규격 목재와 제작용 자루로 가공한다.","여러 후속 연구와 기존 제작 계통을 여는 기반 연구다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","CraftMaterialSO:material:lumber | ProductionRecipeSO:recipe:sawmill-lumber","이 연구가 여는 기본 작업·재료·시설을 실제 생산·생활 루프에 투입한다. 같은 시기의 다른 기반 연구는 뒤로 밀리고, 확보한 기반을 이용한 후속 선택이 열린다.","연구 완료 영수증 → target-side requiredResearchId가 research:forestry:sawmill인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 2개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:forestry:tools","forestry_tools","research:forestry:tools","Foundation","나무를 안전하게 베고 운반할 도구를 만든다.","여러 후속 연구와 기존 제작 계통을 여는 기반 연구다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","명시적 target-side definition 없음","이 연구가 여는 기본 작업·재료·시설을 실제 생산·생활 루프에 투입한다. 같은 시기의 다른 기반 연구는 뒤로 밀리고, 확보한 기반을 이용한 후속 선택이 열린다.","연구 완료 영수증 → target-side requiredResearchId가 research:forestry:tools인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 0개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:forestry:treated","forestry_treated","research:forestry:treated","Foundation","수액과 숯으로 목재의 내구와 방습성을 높인다.","여러 후속 연구와 기존 제작 계통을 여는 기반 연구다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:recipe:material:laminated-lumber | ProductionRecipeSO:recipe:treated-lumber","이 연구가 여는 기본 작업·재료·시설을 실제 생산·생활 루프에 투입한다. 같은 시기의 다른 기반 연구는 뒤로 밀리고, 확보한 기반을 이용한 후속 선택이 열린다.","연구 완료 영수증 → target-side requiredResearchId가 research:forestry:treated인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 2개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:husbandry:breeding","husbandry_breeding","research:husbandry:breeding","Foundation","성별, 성장 단계와 임신을 고려해 개체 수를 관리한다.","여러 후속 연구와 기존 제작 계통을 여는 기반 연구다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:recipe:record:breeding-ledger","이 연구가 여는 기본 작업·재료·시설을 실제 생산·생활 루프에 투입한다. 같은 시기의 다른 기반 연구는 뒤로 밀리고, 확보한 기반을 이용한 후속 선택이 열린다.","연구 완료 영수증 → target-side requiredResearchId가 research:husbandry:breeding인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 1개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:husbandry:capture","husbandry_capture","research:husbandry:capture","Foundation","살아 있는 야생동물을 안정화해 우리로 옮긴다.","여러 후속 연구와 기존 제작 계통을 여는 기반 연구다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:recipe:trail-charm | ProductionRecipeSO:source:animal-blood | ProductionRecipeSO:source:animal-bone | ProductionRecipeSO:source:animal-fang | ProductionRecipeSO:source:animal-fat | ProductionRecipeSO:source:animal-hide | ProductionRecipeSO:source:animal-meat","이 연구가 여는 기본 작업·재료·시설을 실제 생산·생활 루프에 투입한다. 같은 시기의 다른 기반 연구는 뒤로 밀리고, 확보한 기반을 이용한 후속 선택이 열린다.","연구 완료 영수증 → target-side requiredResearchId가 research:husbandry:capture인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 7개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:husbandry:feed","husbandry_feed","research:husbandry:feed","Foundation","식성과 위생에 맞는 사료와 깔짚을 공급한다.","여러 후속 연구와 기존 제작 계통을 여는 기반 연구다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:recipe:bedding-animal | ProductionRecipeSO:recipe:bedding-straw | ProductionRecipeSO:recipe:dog-food | ProductionRecipeSO:recipe:dog-food-fresh | ProductionRecipeSO:recipe:hay-feed | ProductionRecipeSO:recipe:low-fuel-manure | ProductionRecipeSO:recipe:silage | ProductionRecipeSO:source:animal-manure","이 연구가 여는 기본 작업·재료·시설을 실제 생산·생활 루프에 투입한다. 같은 시기의 다른 기반 연구는 뒤로 밀리고, 확보한 기반을 이용한 후속 선택이 열린다.","연구 완료 영수증 → target-side requiredResearchId가 research:husbandry:feed인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 8개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:husbandry:seasonal-breeding","husbandry_seasonal_breeding","research:husbandry:seasonal-breeding","System Facility","생물계절 기록을 번식 일정과 회복 주기에 반영한다.","독립된 작업 규칙과 입력·출력을 가진 시스템 시설을 연다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","명시적 target-side definition 없음","독립된 공간·작업 규칙·입출력을 가진 체계를 짓고 인력·공간·기반망을 배정한다. 같은 투자로 다른 생산·서비스 체계를 먼저 세울 수는 없다.","연구 완료 영수증 → target-side requiredResearchId가 research:husbandry:seasonal-breeding인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 0개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
