design_area,definition_type,definition_count,final_value_location,final_numeric_fields,primary_comparison_axes,static_completion_rule,document_state,runtime_state
research,ResearchProjectSO,180,research/research-numeric-ledger.csv,requiredWork|maximumResearchers|prerequisite_count|required_facility_count|direct_unlock_count,actual/effective WU|first activation day|delayed alternative|researcher lock,each research ID has authored work/prerequisite/unlock values and one portfolio role,locked,execution verification pending
research,ResearchUnlockBundleDefinitionSO,180,research/research-numeric-ledger.csv plus ../../content-db/fields/research-effects/research-unlock-bundle.csv,research project WU|bundle role|unlock definition references,unlock BOM|facility count|activation delay|reward duplication,unlock bundles have no independent authored WU or price; project WU is direct asset authority and the content DB retains the structural target list,locked,execution verification pending
facilities,BuildingSO,419,facilities/facility-numeric-ledger.md,width|height|construction BOM|construction WU|repair WU|clean WU|operate WU|construction value|maintenance|demolition refund|capacity fields,construction WU/EWU|cells|maintenance|throughput|common failure|demolition recovery,each building has spatial and operating values plus one same-era comparator family,locked,execution verification pending
facilities,FacilityBlueprintSO,7,facilities/facility-blueprint-numeric-ledger.csv,default cost|research WU|required research|rarity|direct unlock count,assembly price|research delay|rarity|room capability,each blueprint resolves its current cost and research gate; unlocked part BOM and capacity bind through the facility ledger,locked,execution verification pending
facilities,FacilitySynthesisRecipeSO,9,facilities/facility-synthesis-numeric-ledger.csv,input building count|public state|required research recipe|level inheritance ratio,part BOM|inheritance value|access state|space reuse,each synthesis recipe retains a physical building input count and nonfree inherited level ratio,locked,execution verification pending
facilities,FacilityEvolutionRecipeSO,6,facilities/facility-evolution-numeric-ledger.csv,source facility count|star grades|room score/fixture/token/material counts|identity threshold,history cost|room requirement|identity pressure|replacement comparison,each evolution retains a room/history requirement that a fresh facility cannot obtain freely,locked,execution verification pending
production,ProductionRecipeSO,355,production/production-numeric-ledger.csv plus production/production-physical-bom-ledger.csv,inputs.*.amount|outputs.*.amount|outputs.*.probability|requiredWork|preparationWork|finishingWork|processingGameHours|water|wastewater,physical BOM|direct WU|EWU|batch throughput|WIP|buffer|sale value,all 328 transforms conserve mass and every output has an authored consumer or market route,locked,execution verification pending
production,CropDefinitionSO,12,production/crop-numeric-ledger.csv,seed kg/value|harvest yield kg/value|growth hours|sow/harvest WU|water|temperature|indoor,food/material EWU|water|cells|climate loss|harvest timing,each crop leaves a water climate space or time cost that a faster or higher-value crop does not erase,locked,agriculture verification pending
items,GenericItemDefinitionSO,710,items/item-numeric-ledger.csv,unitWeight|unitPrice|maxStack|saleRate|nutrition|freshnessSeconds|durability|treatment values,kg|price|stack days|effect per use|repair or consumption WU,each item has one physical or service role and a same-purpose comparator,locked,execution verification pending
items,ResourceItemDefinitionSO,364,items/item-numeric-ledger.csv,unitWeight|unitPrice|maxStack|saleRate|nutritionValue|fuelValue|feedEligible|freshnessSeconds,kg|price|source yield|processing depth|shared consumers|spoilage,each resource has a source or recipe and at least one real sink; strategic materials have three consumers,locked,execution verification pending
items,ApparelDefinitionSO,56,items/apparel-numeric-ledger.csv,physical item kg|physical item price|base weight|body form|layer|fit|attachment points|material tags|tailoring coefficient|required research,physical kg|price|body/slot compatibility|material economy|research timing,each apparel ID resolves its definition values and physical-item kg/price; crafting WU and BOM bind through the production recipe ledger,locked,execution verification pending
items,EnvironmentalWorkwearSO,4,items/environmental-workwear-numeric-ledger.csv,physical item kg|physical item price|comfort/safe temperature offsets|cold/heat exposure multipliers|required research,environment loss avoided|physical kg|price|research timing|worker assignment,each workwear ID resolves target-environment protection and physical item values; crafting WU and BOM bind through the production recipe ledger,locked,execution verification pending
items,EquipmentModuleDefinitionSO,20,items/equipment-module-numeric-ledger.csv,lineage|minimum era|power per grade|utility per grade|serialized effects,slot opportunity|combat power|utility|lineage/era gate,each module has a distinct lineage-era effect lane and the reward source must supply its acquisition cost,locked,execution verification pending
combat-items,CombatWeaponSO,31,items/combat-equipment-numeric-ledger.csv,concrete craft BOM kg market value|required craft WU|damage penetration tracking attack time|range reload magazine misfire,damage/time|accuracy|range|ammo|kg|repair WU|hands,each weapon wins a defined encounter niche and loses a different one through range ammo mobility or maintenance,locked,combat verification pending
