"portfolio_id","horizon_day","research_id","closure_role","required_wu","maximum_researchers","target_chain","source_path","numeric_authority","static_status"
"sanctuary","960","research:agriculture:compost","prerequisite-closure","28","1","research:agriculture:cultivar-breeding|research:agriculture:irrigation|research:agriculture:soil-cycles|research:health:vaccination","Assets/Resources/SO/Research/Projects/agriculture_compost.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:agriculture:cultivar-breeding","explicit-target","546","1","research:agriculture:cultivar-breeding","Assets/Resources/SO/Research/Projects/agriculture_cultivar_breeding.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:agriculture:field","explicit-target","28","1","research:agriculture:cultivar-breeding|research:agriculture:field|research:agriculture:irrigation|research:agriculture:phenology|research:agriculture:soil-cycles|research:health:vaccination|research:husbandry:seasonal-breeding|research:life:seasonal-calendar|research:survival:seasonal-storage","Assets/Resources/SO/Research/Projects/agriculture_field.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:agriculture:gathering","prerequisite-closure","17","1","research:agriculture:cultivar-breeding|research:agriculture:field|research:agriculture:irrigation|research:agriculture:phenology|research:agriculture:soil-cycles|research:health:vaccination|research:husbandry:seasonal-breeding|research:life:seasonal-calendar|research:survival:seasonal-storage","Assets/Resources/SO/Research/Projects/agriculture_gathering.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:agriculture:indoor","prerequisite-closure","60","1","research:agriculture:cultivar-breeding|research:agriculture:soil-cycles","Assets/Resources/SO/Research/Projects/agriculture_indoor.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:agriculture:irrigation","explicit-target","42","1","research:agriculture:cultivar-breeding|research:agriculture:irrigation|research:agriculture:soil-cycles","Assets/Resources/SO/Research/Projects/agriculture_irrigation.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:agriculture:phenology","explicit-target","268","1","research:agriculture:cultivar-breeding|research:agriculture:phenology|research:agriculture:soil-cycles|research:husbandry:seasonal-breeding","Assets/Resources/SO/Research/Projects/agriculture_phenology.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:agriculture:soil-cycles","explicit-target","697","1","research:agriculture:cultivar-breeding|research:agriculture:soil-cycles","Assets/Resources/SO/Research/Projects/agriculture_soil_cycles.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:arcane:alchemy","prerequisite-closure","28","1","research:agriculture:cultivar-breeding|research:agriculture:soil-cycles|research:health:vaccination","Assets/Resources/SO/Research/Projects/arcane_alchemy.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:arcane:records","prerequisite-closure","17","1","research:agriculture:cultivar-breeding|research:agriculture:phenology|research:agriculture:soil-cycles|research:health:vaccination|research:husbandry:seasonal-breeding|research:life:seasonal-calendar|research:survival:seasonal-storage","Assets/Resources/SO/Research/Projects/arcane_records.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:authority:quarters","prerequisite-closure","17","1","research:agriculture:cultivar-breeding|research:agriculture:soil-cycles|research:health:vaccination","Assets/Resources/SO/Research/Projects/authority_quarters.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:commerce:logistics","prerequisite-closure","17","1","research:agriculture:cultivar-breeding|research:agriculture:soil-cycles|research:health:vaccination","Assets/Resources/SO/Research/Projects/commerce_logistics.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:cuisine:crops","explicit-target","17","1","research:cuisine:crops","Assets/Resources/SO/Research/Projects/cuisine_crops.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:equipment:material-testing","prerequisite-closure","255","1","research:agriculture:cultivar-breeding|research:agriculture:soil-cycles|research:health:vaccination","Assets/Resources/SO/Research/Projects/equipment_material_testing.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:forestry:charcoal","prerequisite-closure","42","1","research:agriculture:cultivar-breeding|research:agriculture:soil-cycles|research:health:vaccination","Assets/Resources/SO/Research/Projects/forestry_charcoal.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:forestry:fungal","prerequisite-closure","84","1","research:agriculture:cultivar-breeding|research:agriculture:soil-cycles","Assets/Resources/SO/Research/Projects/forestry_fungal.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:forestry:logging","prerequisite-closure","28","1","research:agriculture:cultivar-breeding|research:agriculture:soil-cycles|research:health:vaccination","Assets/Resources/SO/Research/Projects/forestry_logging.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:forestry:sawmill","prerequisite-closure","28","1","research:agriculture:cultivar-breeding|research:agriculture:soil-cycles|research:health:vaccination","Assets/Resources/SO/Research/Projects/forestry_sawmill.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:forestry:tools","prerequisite-closure","17","1","research:agriculture:cultivar-breeding|research:agriculture:soil-cycles|research:health:vaccination","Assets/Resources/SO/Research/Projects/forestry_tools.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:forestry:treated","prerequisite-closure","60","1","research:agriculture:cultivar-breeding|research:agriculture:soil-cycles","Assets/Resources/SO/Research/Projects/forestry_treated.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:genetics:hereditary-records","prerequisite-closure","691","1","research:agriculture:cultivar-breeding","Assets/Resources/SO/Research/Projects/genetics_hereditary_records.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:health:isolation-medicine","prerequisite-closure","255","1","research:health:vaccination","Assets/Resources/SO/Research/Projects/health_isolation_medicine.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:health:pathogen-observation","prerequisite-closure","519","1","research:agriculture:cultivar-breeding|research:agriculture:soil-cycles|research:health:vaccination","Assets/Resources/SO/Research/Projects/health_pathogen_observation.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:health:vaccination","explicit-target","982","1","research:health:vaccination","Assets/Resources/SO/Research/Projects/health_vaccination.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:husbandry:breeding","prerequisite-closure","60","1","research:agriculture:cultivar-breeding|research:husbandry:seasonal-breeding","Assets/Resources/SO/Research/Projects/husbandry_breeding.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:husbandry:capture","prerequisite-closure","17","1","research:agriculture:cultivar-breeding|research:husbandry:seasonal-breeding","Assets/Resources/SO/Research/Projects/husbandry_capture.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:husbandry:feed","prerequisite-closure","42","1","research:agriculture:cultivar-breeding|research:husbandry:seasonal-breeding","Assets/Resources/SO/Research/Projects/husbandry_feed.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:husbandry:seasonal-breeding","explicit-target","191","1","research:husbandry:seasonal-breeding","Assets/Resources/SO/Research/Projects/husbandry_seasonal_breeding.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:husbandry:selective","prerequisite-closure","84","1","research:agriculture:cultivar-breeding","Assets/Resources/SO/Research/Projects/husbandry_selective.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:husbandry:stable","prerequisite-closure","28","1","research:agriculture:cultivar-breeding|research:husbandry:seasonal-breeding","Assets/Resources/SO/Research/Projects/husbandry_stable.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:husbandry:taming","prerequisite-closure","42","1","research:agriculture:cultivar-breeding|research:husbandry:seasonal-breeding","Assets/Resources/SO/Research/Projects/husbandry_taming.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:industry:assisted-processing","prerequisite-closure","328","1","research:health:vaccination","Assets/Resources/SO/Research/Projects/industry_assisted_processing.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:industry:automatic-bills","prerequisite-closure","873","1","research:health:vaccination","Assets/Resources/SO/Research/Projects/industry_automatic_bills.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:industry:automatic-sanitation","prerequisite-closure","873","1","research:health:vaccination","Assets/Resources/SO/Research/Projects/industry_automatic_sanitation.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:industry:breakers","prerequisite-closure","582","1","research:health:vaccination","Assets/Resources/SO/Research/Projects/industry_breakers.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:industry:conveyor","prerequisite-closure","582","1","research:health:vaccination","Assets/Resources/SO/Research/Projects/industry_conveyor.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:industry:powered-tools","prerequisite-closure","700","1","research:agriculture:cultivar-breeding|research:agriculture:soil-cycles|research:health:vaccination","Assets/Resources/SO/Research/Projects/industry_powered_tools.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:industry:steam-power","prerequisite-closure","446","1","research:agriculture:cultivar-breeding|research:agriculture:soil-cycles|research:health:vaccination","Assets/Resources/SO/Research/Projects/industry_steam_power.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:life:seasonal-calendar","explicit-target","84","1","research:agriculture:cultivar-breeding|research:agriculture:phenology|research:agriculture:soil-cycles|research:husbandry:seasonal-breeding|research:life:seasonal-calendar|research:survival:seasonal-storage","Assets/Resources/SO/Research/Projects/life_seasonal_calendar.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:medical-reception","prerequisite-closure","42","1","research:health:vaccination","Assets/Resources/SO/Research/Projects/medical_reception.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:medical:anatomy","prerequisite-closure","42","1","research:agriculture:cultivar-breeding|research:agriculture:soil-cycles|research:health:vaccination","Assets/Resources/SO/Research/Projects/medical_anatomy.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:medical:gerontology","prerequisite-closure","519","1","research:agriculture:cultivar-breeding|research:agriculture:soil-cycles|research:health:vaccination","Assets/Resources/SO/Research/Projects/medical_gerontology.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:metallurgy:advanced","prerequisite-closure","60","1","research:agriculture:cultivar-breeding|research:agriculture:soil-cycles|research:health:vaccination","Assets/Resources/SO/Research/Projects/metallurgy_advanced.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:metallurgy:iron","prerequisite-closure","28","1","research:agriculture:cultivar-breeding|research:agriculture:soil-cycles|research:health:vaccination","Assets/Resources/SO/Research/Projects/metallurgy_iron.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:metallurgy:primitive","prerequisite-closure","17","1","research:agriculture:cultivar-breeding|research:agriculture:soil-cycles|research:health:vaccination","Assets/Resources/SO/Research/Projects/metallurgy_primitive.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:metallurgy:steel","prerequisite-closure","42","1","research:agriculture:cultivar-breeding|research:agriculture:soil-cycles|research:health:vaccination","Assets/Resources/SO/Research/Projects/metallurgy_steel.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:pharmacology:advanced","prerequisite-closure","84","1","research:agriculture:cultivar-breeding|research:agriculture:soil-cycles|research:health:vaccination","Assets/Resources/SO/Research/Projects/pharmacology_advanced.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:pharmacology:anesthesia","prerequisite-closure","60","1","research:agriculture:cultivar-breeding|research:agriculture:soil-cycles|research:health:vaccination","Assets/Resources/SO/Research/Projects/pharmacology_anesthesia.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:pharmacology:antiseptic","prerequisite-closure","28","1","research:agriculture:cultivar-breeding|research:agriculture:soil-cycles|research:health:vaccination","Assets/Resources/SO/Research/Projects/pharmacology_antiseptic.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:pharmacology:distillation","prerequisite-closure","42","1","research:agriculture:cultivar-breeding|research:agriculture:soil-cycles|research:health:vaccination","Assets/Resources/SO/Research/Projects/pharmacology_distillation.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:pharmacology:herbalism","prerequisite-closure","17","1","research:agriculture:cultivar-breeding|research:agriculture:soil-cycles|research:health:vaccination","Assets/Resources/SO/Research/Projects/pharmacology_herbalism.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:pharmacology:stimulants","prerequisite-closure","60","1","research:agriculture:cultivar-breeding|research:agriculture:soil-cycles|research:health:vaccination","Assets/Resources/SO/Research/Projects/pharmacology_stimulants.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:plumbing:basics","prerequisite-closure","130","1","research:health:vaccination","Assets/Resources/SO/Research/Projects/plumbing_basics.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:plumbing:sewer","prerequisite-closure","228","1","research:health:vaccination","Assets/Resources/SO/Research/Projects/plumbing_sewer.asset","research-numeric-ledger.csv","closure-resolved"
"sanctuary","960","research:service-flow","prerequisite-closure","28","1","research:health:vaccination","Assets/Resources/SO/Research/Projects/service_flow.asset","research-numeric-ledger.csv","closure-resolved"
