"portfolio_id","horizon_day","target_research_id","target_role","commitment_effect","selection_reason"
"sanctuary","30","research:agriculture:field","food-entry","외부 경작을 첫 식량 주력으로 확정","외부 면적·파종·수확 동선에 인력과 비축을 배정한다."
"sanctuary","30","research:cuisine:crops","food-entry","작물을 주민 소비로 연결","수확물을 실제 식사로 전환하지 못하는 경작 투자를 막는다."
"sanctuary","30","research:survival:sanitation","life-support","분산 위생의 최소 운영선을 확보","중앙 배관을 먼저 열지 않고도 소규모 생활·오염 처리를 유지한다."
"sanctuary","120","research:agriculture:irrigation","yield-stability","수질과 운반을 작물 안정성에 결속","가뭄·수확기 물류가 주력망의 약점으로 남는다."
"sanctuary","120","research:agriculture:phenology","seasonal-planning","작부 계획과 종자 선별을 투자","계절 관측·기록 시설을 확보하는 대신 다른 전문화 연구가 늦어진다."
"sanctuary","120","research:survival:preservation","reserve-bridge","신선 생산을 계절 비축으로 전환","생산·보관 노동과 공간을 투자해 봉쇄와 흉작에 대응한다."
"sanctuary","400","research:agriculture:soil-cycles","agricultural-specialization","토양 순환·작물 보호를 주력 정착으로 확정","병원체 관찰과 균목림까지 요구해 단순 농업 단독 질주를 막는다."
"sanctuary","400","research:survival:seasonal-storage","reserve-specialization","장기 비축 공간을 확보","재고 고착과 운반 부하를 감수하고 외부 조달 의존을 낮춘다."
"sanctuary","400","research:life:seasonal-calendar","seasonal-coordination","생산·번식·보수 일정을 계절 전환에 묶음","예측이 빗나가면 준비 재고가 조기 소모되는 계획형 약점을 만든다."
"sanctuary","960","research:agriculture:cultivar-breeding","cultivar-capstone","품종 선별과 고가 작물의 장기 생산을 확보","온실·연구·물·정밀 부품 투자로 값싼 외부 경작과 구분한다."
"sanctuary","960","research:husbandry:seasonal-breeding","herd-capstone","번식 주기와 축산 비축을 계절 운영에 결속","사료·질병·우리 공간의 장기 비용을 감수한다."
"sanctuary","960","research:health:vaccination","biosecurity-capstone","작물·가축·주민의 감염 하방을 예방 투자로 줄임","백신 연구·보관·접종 노동이 단기 생산 확장을 늦춘다."
"underground","30","research:agriculture:indoor","food-entry","실내 재배를 첫 식량 주력으로 확정","외부 농지 대신 실내 공간·청결·재배 설비를 점유한다."
"underground","30","research:cuisine:crops","food-entry","실내 산출을 소비로 연결","재배 구역만 늘리고 식사 처리 병목을 방치하지 않는다."
"underground","30","research:survival:sanitation","life-support","오염을 관리하는 최소 생활망 확보","전력망 없이도 초기 청결·폐기 경로를 유지한다."
"underground","120","research:agriculture:subterranean","subterranean-specialization","동굴 환경을 생산 조건으로 채택","표면 위험을 줄이는 대신 조도·습도·공간 제약을 짊어진다."
