source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
CulturalPracticeDefinitionSO,practice:beastkin-scent-vigil,CulturalPracticeDefinitionSO|practice:beastkin-scent-vigil,requires,textile:cloth,1,,requirements.items.0.itemDefinitionId,item Definition Id,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Narrative/Practices/practice_beastkin-scent-vigil.asset
CulturalPracticeDefinitionSO,practice:demon-third-bell,CulturalPracticeDefinitionSO|practice:demon-third-bell,requires,item:bell,1,,requirements.items.0.itemDefinitionId,item Definition Id,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Narrative/Practices/practice_demon-third-bell.asset
CulturalPracticeDefinitionSO,practice:harpy-dawn-chorus,CulturalPracticeDefinitionSO|practice:harpy-dawn-chorus,requires,food:dried-fruit,1,,requirements.items.0.itemDefinitionId,item Definition Id,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Narrative/Practices/practice_harpy-dawn-chorus.asset
CulturalPracticeDefinitionSO,practice:kobold-bench-feast,CulturalPracticeDefinitionSO|practice:kobold-bench-feast,requires,food:mushroom-stew,1,,requirements.items.0.itemDefinitionId,item Definition Id,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Narrative/Practices/practice_kobold-bench-feast.asset
CulturalPracticeDefinitionSO,practice:myconid-spore-return,CulturalPracticeDefinitionSO|practice:myconid-spore-return,requires,resource:compost,1,,requirements.items.0.itemDefinitionId,item Definition Id,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Narrative/Practices/practice_myconid-spore-return.asset
CulturalPracticeDefinitionSO,practice:vampire-consent-cup,CulturalPracticeDefinitionSO|practice:vampire-consent-cup,requires,food:blood-reserve,1,,requirements.items.0.itemDefinitionId,item Definition Id,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Narrative/Practices/practice_vampire-consent-cup.asset
CulturalPracticeDefinitionSO,practice:vampire-incense-memory,CulturalPracticeDefinitionSO|practice:vampire-incense-memory,requires,item:candle,1,,requirements.items.0.itemDefinitionId,item Definition Id,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Narrative/Practices/practice_vampire-incense-memory.asset
FestivalDefinitionSO,festival:ash-oath,FestivalDefinitionSO|festival:ash-oath,requires,building:faction-audience-hall,,,requiredBuildingDefinitionId,required Building Definition Id,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Society/Festivals/festival_ash-oath.asset
FestivalDefinitionSO,festival:blood-lantern,FestivalDefinitionSO|festival:blood-lantern,requires,workstation:v19:memorial-room,,,requiredBuildingDefinitionId,required Building Definition Id,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Society/Festivals/festival_blood-lantern.asset
FestivalDefinitionSO,festival:clear-confluence,FestivalDefinitionSO|festival:clear-confluence,requires,building:clean-water-reservoir,,,requiredBuildingDefinitionId,required Building Definition Id,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Society/Festivals/festival_clear-confluence.asset
FestivalDefinitionSO,festival:core-resonance,FestivalDefinitionSO|festival:core-resonance,requires,building:rune-tuning-room,,,requiredBuildingDefinitionId,required Building Definition Id,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Society/Festivals/festival_core-resonance.asset
FestivalDefinitionSO,festival:dungeon-accord-day,FestivalDefinitionSO|festival:dungeon-accord-day,requires,building:faction-audience-hall,,,requiredBuildingDefinitionId,required Building Definition Id,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Society/Festivals/festival_dungeon-accord-day.asset
FestivalDefinitionSO,festival:frontier-map-night,FestivalDefinitionSO|festival:frontier-map-night,requires,building:expedition-map-room,,,requiredBuildingDefinitionId,required Building Definition Id,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Society/Festivals/festival_frontier-map-night.asset
FestivalDefinitionSO,festival:high-sun,FestivalDefinitionSO|festival:high-sun|Assets/Resources/SO/V20/Society/Festivals/festival_high-sun.asset,requires,building:festival-common-hall,,,requiredBuildingDefinitionId,required Building Definition Id,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Society/Festivals/festival_high-sun.asset
FestivalDefinitionSO,festival:long-night-memorial,FestivalDefinitionSO|festival:long-night-memorial|Assets/Resources/SO/V20/Society/Festivals/festival_long-night-memorial.asset,requires,workstation:v19:memorial-room,,,requiredBuildingDefinitionId,required Building Definition Id,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Society/Festivals/festival_long-night-memorial.asset
FestivalDefinitionSO,festival:many-tables,FestivalDefinitionSO|festival:many-tables,requires,building:festival-common-hall,,,requiredBuildingDefinitionId,required Building Definition Id,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Society/Festivals/festival_many-tables.asset
FestivalDefinitionSO,festival:open-sky-chorus,FestivalDefinitionSO|festival:open-sky-chorus,requires,building:weather-observation-tower,,,requiredBuildingDefinitionId,required Building Definition Id,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Society/Festivals/festival_open-sky-chorus.asset
FestivalDefinitionSO,festival:pack-first-hunt,FestivalDefinitionSO|festival:pack-first-hunt,requires,building:festival-common-hall,,,requiredBuildingDefinitionId,required Building Definition Id,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Society/Festivals/festival_pack-first-hunt.asset
