stable_id,target_integration,actual_cause,locked_context,escalation_stages,meaningful_choices,domain_execution,completion_receipt,persistent_trace,future_reaction,current_status
seasonal:autumn-caravan-rush,C4,"가을 대상단이 대량 계약과 숙박을 동시에 요청","계약 세력·화물 재고·객실·주방·운반 인력","계약 제안→객실·제작 병목→미인도 또는 서비스 붕괴","전량 수락; 계약 상한; 분할 인도와 객실 분리","화물 예약·제작·배식·객실 정리·운반을 실행","인도·정산·객실 사용·미납 또는 거절 기록","가을 계약 이력·객실 압력·재고 고갈","겨울 신뢰·손님 평판·다음 계약 가격이 반응","설계 확정; 계약·서비스·재고 runtime OPEN"
seasonal:autumn-early-frost,C4,"수확 직전 작물과 야외 보급선에 이른 서리 경보","밭·수확 주문·저장·원정 적재·보온 자재","서리 경보→작물 손상·보급 지연→식량·원정 손실","긴급 수확; 피복·보온; 원정 연기와 비축 전환","수확·운반·피복 설치·적재 취소를 실행","반입 작물·보호 구역·취소된 원정·손실 기록","서리 취약 밭·식량 비축·원정 일정","겨울 식량 압력·농업 연구·상단 의존이 반응","설계 확정; 농업·원정 receipt runtime OPEN"
seasonal:autumn-harvest-dispute,C4,"공동 경작지의 실제 수확물이 코볼트 연합의 몫 청구와 충돌","밭·수확 재고·코볼트 세력·계약·경비","청구→수확 중단 또는 경비 대치→세력 이탈·보복","실물 분배; 공동 계량 심사; 경작지 방어와 장기 협상","재고 분리·계량·운반·집무 심사·경비 배치를 실행","화물 인도·심사 판정·수확 재개 또는 봉쇄","공동 경작 권리·세력 신뢰·방어 이력","겨울 계약·원정 지원·침입 후보가 반응","설계 확정; 소유·계약·세력 runtime OPEN"
seasonal:autumn-migration-window,C4,"안정된 날씨가 원정과 야생 포획의 희소한 기회를 열음","원정대·포획 장비·외곽 방어·사료·귀환 경로","기회 개방→인력 외부 이탈→기상 종료·내부 방어 공백","원정 우선; 포획 우선; 방어 유지와 제한 정찰","적재·정찰·포획·호위·귀환 작업을 실행","원정 성과·포획 이송·방어 공백·귀환 시간","이동창 활용·포획 개체·경계 공백","겨울 식량·축산·탐사·침입이 반응","설계 확정; 원정·포획·방어 경합 runtime OPEN"
seasonal:autumn-predator-descent,C4,"먹이를 잃은 포식자가 축사와 외곽 운반로를 탐색","가축·축사·운반로·경비·사체 또는 먹이","흔적 발견→가축 습격·운반 중단→포식자 둥지와 지속 위협","축사 강화; 호위 운반; 유인·추적 원정","울타리 수리·호위·미끼·정찰·전투를 실행","가축 안전·운반 재개·포식자 이탈 또는 손실","포식자 경로·가축 손실·외곽 보안","겨울 굶주린 무리·축산 생산·경비 피로가 반응","설계 확정; 생태·보안 runtime OPEN"
seasonal:autumn-rot-cart,C4,"오염 의심 교역 식품이 창고와 식당 입구에 도착","수레 화물·창고·주방·검사 인력·손님","검수 대기→오염 확산 또는 계약 지연→식중독·평판 손실","격리 검사; 반송·손실 수용; 열처리·제한 배식","화물 격리·검사·폐기·조리·세정 작업을 실행","검사 결과·폐기·안전 식사·반송 계약","오염 출처·창고 위생·상단 신뢰","주방 위생·손님 사건·계약 위험이 반응","설계 확정; 검사·위생 runtime OPEN"
seasonal:autumn-spoiled-silage,C4,"잘못 적치한 사료가 발열해 축사와 화재 대응을 압박","사료 더미·축사·가축·급수·소방 자재","발열 감지→연기·사료 폐기→화재 또는 가축 질병","긴급 뒤집기; 격리 폐기; 가축 이송과 화재 대비","사료 이동·급수·청소·가축 이송·소화 작업","온도 안정·폐기·가축 상태·화재 예방 기록","사료 관리·축사 위생·비상 재고","겨울 사료·화재·가축 질병이 반응","설계 확정; 사료·화재 runtime OPEN"
seasonal:spring-fever-camp,C4,"열병 피난 행렬이 치료·격리·숙박을 요청","피난민·격리 침상·약제·객실·외부 세력","접근 요청→대기 과밀·노출→유행 또는 관계 손실","격리 수용; 보급만 지원; 호송과 외부 진료 연결","접수·격리·투약·배식·호송을 실행","수용·치료·전파·이송·사망 또는 회복 기록","피난민 이력·격리 사용·세력 신뢰","여름 손님·질병·계약 지원이 반응","설계 확정; 의료·숙박 runtime OPEN"
seasonal:spring-migrant-herd,C4,"이동 초식군이 밭을 지나고 포식자를 끌어들임","밭·울타리·수렵·가축·포식자 경로","접근→작물 훼손·포식자 유입→가축 피해와 식량 손실","유도 통로; 수확·수렵; 밭 방어와 경계 강화","울타리·유인·수확·수렵·호위 작업을 실행","무리 이동·작물 상태·수렵물·포식자 경로","봄 생태 경로·밭 피해·식량 보충","가을 포식자·축산·수렵 계약이 반응","설계 확정; 생태·농업 runtime OPEN"
seasonal:spring-nesting-season,C4,"야생동물이 시설 틈에 둥지를 틀어 생산과 포획 기회를 만듦","시설 틈·작업장·포획자·보육 또는 사육 공간","둥지 발견→생산 방해·보호 갈등→개체 이탈 또는 시설 손상","보호 구역; 포획·이송; 둥지 제거와 즉시 수리","작업 중지·포획·이송·수리·구역 권한을 실행","둥지 상태·개체 이송·시설 재가동·손상 기록","야생동물 관계·시설 틈·포획 이력","축산·문화 관습·다음 생태 사건이 반응","설계 확정; 시설 점유·포획 runtime OPEN"
