group,content_type,record_key,stable_id,display_name,description,mechanics,relations,existence_reason,reason_basis,review_status,review_reason,lifecycle_status,catalog_memberships,runtime_status,runtime_evidence,save_evidence,incoming_reference_count,incoming_source_types,system_role,strategic_niche,costs_and_risks,comparison_group,alternative_candidates,removal_impact,rationale_evidence,source_path,asset_guid
characters-traits,FestivalDefinitionSO,FestivalDefinitionSO|festival:high-sun|Assets/Resources/SO/Population/Festivals/festival_high-sun.asset,festival:high-sun,고일제,,작성 자산 정의,,공동체 문화 관습을 최소 0명의 참여와 물자 0종의 공동 소비로 실행한다. 성공·부분 성공·실패 결과가 기분과 세력 관계의 차이를 남긴다.,festival-requirements-and-outcomes,수동 검토 필요,duplicate-stable-id-authority,duplicate-authority-review,카탈로그 등록 정적 근거 없음,type-consumer-registration-unverified,Assets/Scripts/Services/Character/FestivalDefinitionCatalog.cs; Assets/Scripts/Services/Character/FuneralFestivalRuntime.cs; Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs,Assets/Scripts/Services/Character/FuneralFestivalRuntime.cs,0,,공동체 문화 관습을 최소 0명의 참여와 물자 0종의 공동 소비로 실행한다. 성공·부분 성공·실패 결과가 기분과 세력 관계의 차이를 남긴다.,인물·특성 영역의 FestivalDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,FestivalDefinitionSO,"비교 후보(대체 가능성 미검증): FestivalDefinitionSO:festival:long-night-memorial, FestivalDefinitionSO:festival:sprout, FestivalDefinitionSO:festival:storage, FestivalDefinitionSO:festival:ash-oath, FestivalDefinitionSO:festival:blood-lantern, FestivalDefinitionSO:festival:clear-confluence, FestivalDefinitionSO:festival:core-resonance, FestivalDefinitionSO:festival:dungeon-accord-day, FestivalDefinitionSO:festival:frontier-map-night, FestivalDefinitionSO:festival:high-sun, FestivalDefinitionSO:festival:long-night-memorial, FestivalDefinitionSO:festival:many-tables 외 7개",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,festival-requirements-and-outcomes; niche=type-contract; cost=type-contract,Assets/Resources/SO/Population/Festivals/festival_high-sun.asset,d5e836dc6cd43bc4491f65dcb841de8e
characters-traits,FestivalDefinitionSO,FestivalDefinitionSO|festival:high-sun|Assets/Resources/SO/V20/Society/Festivals/festival_high-sun.asset,festival:high-sun,고일제,가장 긴 작업일 뒤 차가운 음료와 공연으로 여름 피로를 푼다.,작성 자산 정의,requires:building:festival-common-hall; requires:food:twilight-beer×8,행사의 사회적 기능은 '가장 긴 작업일 뒤 차가운 음료와 공연으로 여름 피로를 푼다'이다. 공동체 문화 관습을 최소 8명의 참여와 물자 1종의 공동 소비로 실행한다. building:festival-common-hall을 요구해 문화 행사를 실제 공간 투자와 연결한다. 성공·부분 성공·실패 결과가 기분과 세력 관계의 차이를 남긴다.,festival-requirements-and-outcomes,수동 검토 필요,duplicate-stable-id-authority,duplicate-authority-review,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/FestivalDefinitionCatalog.cs; Assets/Scripts/Services/Character/FuneralFestivalRuntime.cs; Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs,Assets/Scripts/Services/Character/FuneralFestivalRuntime.cs,0,,행사의 사회적 기능은 '가장 긴 작업일 뒤 차가운 음료와 공연으로 여름 피로를 푼다'이다. 공동체 문화 관습을 최소 8명의 참여와 물자 1종의 공동 소비로 실행한다. building:festival-common-hall을 요구해 문화 행사를 실제 공간 투자와 연결한다. 성공·부분 성공·실패 결과가 기분과 세력 관계의 차이를 남긴다.,인물·특성 영역의 FestivalDefinitionSO 규칙을 분리해 재사용한다.,requiredBuildingDefinitionId=building:festival-common-hall,FestivalDefinitionSO,"비교 후보(대체 가능성 미검증): FestivalDefinitionSO:festival:high-sun, FestivalDefinitionSO:festival:long-night-memorial, FestivalDefinitionSO:festival:sprout, FestivalDefinitionSO:festival:storage, FestivalDefinitionSO:festival:ash-oath, FestivalDefinitionSO:festival:blood-lantern, FestivalDefinitionSO:festival:clear-confluence, FestivalDefinitionSO:festival:core-resonance, FestivalDefinitionSO:festival:dungeon-accord-day, FestivalDefinitionSO:festival:frontier-map-night, FestivalDefinitionSO:festival:long-night-memorial, FestivalDefinitionSO:festival:many-tables 외 7개",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,festival-requirements-and-outcomes; niche=type-contract; cost=requiredBuildingDefinitionId,Assets/Resources/SO/V20/Society/Festivals/festival_high-sun.asset,efb8414de90085345b302e7ccba14657
characters-traits,FestivalDefinitionSO,FestivalDefinitionSO|festival:long-night-memorial|Assets/Resources/SO/Population/Festivals/festival_long-night-memorial.asset,festival:long-night-memorial,긴밤 추모제,,작성 자산 정의,,공동체 문화 관습을 최소 0명의 참여와 물자 0종의 공동 소비로 실행한다. 성공·부분 성공·실패 결과가 기분과 세력 관계의 차이를 남긴다.,festival-requirements-and-outcomes,수동 검토 필요,duplicate-stable-id-authority,duplicate-authority-review,카탈로그 등록 정적 근거 없음,type-consumer-registration-unverified,Assets/Scripts/Services/Character/FestivalDefinitionCatalog.cs; Assets/Scripts/Services/Character/FuneralFestivalRuntime.cs; Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs,Assets/Scripts/Services/Character/FuneralFestivalRuntime.cs,0,,공동체 문화 관습을 최소 0명의 참여와 물자 0종의 공동 소비로 실행한다. 성공·부분 성공·실패 결과가 기분과 세력 관계의 차이를 남긴다.,인물·특성 영역의 FestivalDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,FestivalDefinitionSO,"비교 후보(대체 가능성 미검증): FestivalDefinitionSO:festival:high-sun, FestivalDefinitionSO:festival:sprout, FestivalDefinitionSO:festival:storage, FestivalDefinitionSO:festival:ash-oath, FestivalDefinitionSO:festival:blood-lantern, FestivalDefinitionSO:festival:clear-confluence, FestivalDefinitionSO:festival:core-resonance, FestivalDefinitionSO:festival:dungeon-accord-day, FestivalDefinitionSO:festival:frontier-map-night, FestivalDefinitionSO:festival:high-sun, FestivalDefinitionSO:festival:long-night-memorial, FestivalDefinitionSO:festival:many-tables 외 7개",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,festival-requirements-and-outcomes; niche=type-contract; cost=type-contract,Assets/Resources/SO/Population/Festivals/festival_long-night-memorial.asset,95e4a9ec03d0d924d98421fa13e80f28
characters-traits,FestivalDefinitionSO,FestivalDefinitionSO|festival:long-night-memorial|Assets/Resources/SO/V20/Society/Festivals/festival_long-night-memorial.asset,festival:long-night-memorial,긴밤 추모제,한 해의 사망자를 함께 기억하고 남은 슬픔을 결의로 바꾼다.,작성 자산 정의,requires:craft:candle×12; requires:workstation:v19:memorial-room,행사의 사회적 기능은 '한 해의 사망자를 함께 기억하고 남은 슬픔을 결의로 바꾼다'이다. 공동체 문화 관습을 최소 10명의 참여와 물자 1종의 공동 소비로 실행한다. workstation:v19:memorial-room을 요구해 문화 행사를 실제 공간 투자와 연결한다. 성공·부분 성공·실패 결과가 기분과 세력 관계의 차이를 남긴다.,festival-requirements-and-outcomes,수동 검토 필요,duplicate-stable-id-authority,duplicate-authority-review,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/FestivalDefinitionCatalog.cs; Assets/Scripts/Services/Character/FuneralFestivalRuntime.cs; Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs,Assets/Scripts/Services/Character/FuneralFestivalRuntime.cs,0,,행사의 사회적 기능은 '한 해의 사망자를 함께 기억하고 남은 슬픔을 결의로 바꾼다'이다. 공동체 문화 관습을 최소 10명의 참여와 물자 1종의 공동 소비로 실행한다. workstation:v19:memorial-room을 요구해 문화 행사를 실제 공간 투자와 연결한다. 성공·부분 성공·실패 결과가 기분과 세력 관계의 차이를 남긴다.,인물·특성 영역의 FestivalDefinitionSO 규칙을 분리해 재사용한다.,requiredBuildingDefinitionId=workstation:v19:memorial-room,FestivalDefinitionSO,"비교 후보(대체 가능성 미검증): FestivalDefinitionSO:festival:high-sun, FestivalDefinitionSO:festival:long-night-memorial, FestivalDefinitionSO:festival:sprout, FestivalDefinitionSO:festival:storage, FestivalDefinitionSO:festival:ash-oath, FestivalDefinitionSO:festival:blood-lantern, FestivalDefinitionSO:festival:clear-confluence, FestivalDefinitionSO:festival:core-resonance, FestivalDefinitionSO:festival:dungeon-accord-day, FestivalDefinitionSO:festival:frontier-map-night, FestivalDefinitionSO:festival:high-sun, FestivalDefinitionSO:festival:many-tables 외 7개",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,festival-requirements-and-outcomes; niche=type-contract; cost=requiredBuildingDefinitionId,Assets/Resources/SO/V20/Society/Festivals/festival_long-night-memorial.asset,89ed7fb1528d03b448f151e9dfbda55d
characters-traits,FestivalDefinitionSO,FestivalDefinitionSO|festival:sprout|Assets/Resources/SO/Population/Festivals/festival_sprout.asset,festival:sprout,새싹제,,작성 자산 정의,,공동체 문화 관습을 최소 0명의 참여와 물자 0종의 공동 소비로 실행한다. 성공·부분 성공·실패 결과가 기분과 세력 관계의 차이를 남긴다.,festival-requirements-and-outcomes,수동 검토 필요,duplicate-stable-id-authority,duplicate-authority-review,카탈로그 등록 정적 근거 없음,type-consumer-registration-unverified,Assets/Scripts/Services/Character/FestivalDefinitionCatalog.cs; Assets/Scripts/Services/Character/FuneralFestivalRuntime.cs; Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs,Assets/Scripts/Services/Character/FuneralFestivalRuntime.cs,0,,공동체 문화 관습을 최소 0명의 참여와 물자 0종의 공동 소비로 실행한다. 성공·부분 성공·실패 결과가 기분과 세력 관계의 차이를 남긴다.,인물·특성 영역의 FestivalDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,FestivalDefinitionSO,"비교 후보(대체 가능성 미검증): FestivalDefinitionSO:festival:high-sun, FestivalDefinitionSO:festival:long-night-memorial, FestivalDefinitionSO:festival:storage, FestivalDefinitionSO:festival:ash-oath, FestivalDefinitionSO:festival:blood-lantern, FestivalDefinitionSO:festival:clear-confluence, FestivalDefinitionSO:festival:core-resonance, FestivalDefinitionSO:festival:dungeon-accord-day, FestivalDefinitionSO:festival:frontier-map-night, FestivalDefinitionSO:festival:high-sun, FestivalDefinitionSO:festival:long-night-memorial, FestivalDefinitionSO:festival:many-tables 외 7개",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,festival-requirements-and-outcomes; niche=type-contract; cost=type-contract,Assets/Resources/SO/Population/Festivals/festival_sprout.asset,9f94b0ec3fc712149963d91d1e216d20
characters-traits,FestivalDefinitionSO,FestivalDefinitionSO|festival:sprout|Assets/Resources/SO/V20/Society/Festivals/festival_sprout.asset,festival:sprout,새싹제,첫 파종과 겨울 비축의 끝을 함께 기념한다.,작성 자산 정의,requires:building:festival-common-hall; requires:seed-lot:twilight-grain×12,행사의 사회적 기능은 '첫 파종과 겨울 비축의 끝을 함께 기념한다'이다. 공동체 문화 관습을 최소 8명의 참여와 물자 1종의 공동 소비로 실행한다. building:festival-common-hall을 요구해 문화 행사를 실제 공간 투자와 연결한다. 성공·부분 성공·실패 결과가 기분과 세력 관계의 차이를 남긴다.,festival-requirements-and-outcomes,수동 검토 필요,duplicate-stable-id-authority,duplicate-authority-review,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/FestivalDefinitionCatalog.cs; Assets/Scripts/Services/Character/FuneralFestivalRuntime.cs; Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs,Assets/Scripts/Services/Character/FuneralFestivalRuntime.cs,0,,행사의 사회적 기능은 '첫 파종과 겨울 비축의 끝을 함께 기념한다'이다. 공동체 문화 관습을 최소 8명의 참여와 물자 1종의 공동 소비로 실행한다. building:festival-common-hall을 요구해 문화 행사를 실제 공간 투자와 연결한다. 성공·부분 성공·실패 결과가 기분과 세력 관계의 차이를 남긴다.,인물·특성 영역의 FestivalDefinitionSO 규칙을 분리해 재사용한다.,requiredBuildingDefinitionId=building:festival-common-hall,FestivalDefinitionSO,"비교 후보(대체 가능성 미검증): FestivalDefinitionSO:festival:high-sun, FestivalDefinitionSO:festival:long-night-memorial, FestivalDefinitionSO:festival:sprout, FestivalDefinitionSO:festival:storage, FestivalDefinitionSO:festival:ash-oath, FestivalDefinitionSO:festival:blood-lantern, FestivalDefinitionSO:festival:clear-confluence, FestivalDefinitionSO:festival:core-resonance, FestivalDefinitionSO:festival:dungeon-accord-day, FestivalDefinitionSO:festival:frontier-map-night, FestivalDefinitionSO:festival:high-sun, FestivalDefinitionSO:festival:long-night-memorial 외 7개",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,festival-requirements-and-outcomes; niche=type-contract; cost=requiredBuildingDefinitionId,Assets/Resources/SO/V20/Society/Festivals/festival_sprout.asset,eda079e610dd00c4a977329c7317d289
characters-traits,FestivalDefinitionSO,FestivalDefinitionSO|festival:storage|Assets/Resources/SO/Population/Festivals/festival_storage.asset,festival:storage,저장제,,작성 자산 정의,,공동체 문화 관습을 최소 0명의 참여와 물자 0종의 공동 소비로 실행한다. 성공·부분 성공·실패 결과가 기분과 세력 관계의 차이를 남긴다.,festival-requirements-and-outcomes,수동 검토 필요,duplicate-stable-id-authority,duplicate-authority-review,카탈로그 등록 정적 근거 없음,type-consumer-registration-unverified,Assets/Scripts/Services/Character/FestivalDefinitionCatalog.cs; Assets/Scripts/Services/Character/FuneralFestivalRuntime.cs; Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs,Assets/Scripts/Services/Character/FuneralFestivalRuntime.cs,0,,공동체 문화 관습을 최소 0명의 참여와 물자 0종의 공동 소비로 실행한다. 성공·부분 성공·실패 결과가 기분과 세력 관계의 차이를 남긴다.,인물·특성 영역의 FestivalDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,FestivalDefinitionSO,"비교 후보(대체 가능성 미검증): FestivalDefinitionSO:festival:high-sun, FestivalDefinitionSO:festival:long-night-memorial, FestivalDefinitionSO:festival:sprout, FestivalDefinitionSO:festival:ash-oath, FestivalDefinitionSO:festival:blood-lantern, FestivalDefinitionSO:festival:clear-confluence, FestivalDefinitionSO:festival:core-resonance, FestivalDefinitionSO:festival:dungeon-accord-day, FestivalDefinitionSO:festival:frontier-map-night, FestivalDefinitionSO:festival:high-sun, FestivalDefinitionSO:festival:long-night-memorial, FestivalDefinitionSO:festival:many-tables 외 7개",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,festival-requirements-and-outcomes; niche=type-contract; cost=type-contract,Assets/Resources/SO/Population/Festivals/festival_storage.asset,b0351c25d38b7244eb39b30692750ca8
characters-traits,FestivalDefinitionSO,FestivalDefinitionSO|festival:storage|Assets/Resources/SO/V20/Society/Festivals/festival_storage.asset,festival:storage,저장제,창고를 점검하고 첫 보존식을 나누며 겨울 준비를 선언한다.,작성 자산 정의,requires:building:festival-common-hall; requires:food:preserved-ration×16,행사의 사회적 기능은 '창고를 점검하고 첫 보존식을 나누며 겨울 준비를 선언한다'이다. 공동체 문화 관습을 최소 10명의 참여와 물자 1종의 공동 소비로 실행한다. building:festival-common-hall을 요구해 문화 행사를 실제 공간 투자와 연결한다. 성공·부분 성공·실패 결과가 기분과 세력 관계의 차이를 남긴다.,festival-requirements-and-outcomes,수동 검토 필요,duplicate-stable-id-authority,duplicate-authority-review,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/FestivalDefinitionCatalog.cs; Assets/Scripts/Services/Character/FuneralFestivalRuntime.cs; Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs,Assets/Scripts/Services/Character/FuneralFestivalRuntime.cs,0,,행사의 사회적 기능은 '창고를 점검하고 첫 보존식을 나누며 겨울 준비를 선언한다'이다. 공동체 문화 관습을 최소 10명의 참여와 물자 1종의 공동 소비로 실행한다. building:festival-common-hall을 요구해 문화 행사를 실제 공간 투자와 연결한다. 성공·부분 성공·실패 결과가 기분과 세력 관계의 차이를 남긴다.,인물·특성 영역의 FestivalDefinitionSO 규칙을 분리해 재사용한다.,requiredBuildingDefinitionId=building:festival-common-hall,FestivalDefinitionSO,"비교 후보(대체 가능성 미검증): FestivalDefinitionSO:festival:high-sun, FestivalDefinitionSO:festival:long-night-memorial, FestivalDefinitionSO:festival:sprout, FestivalDefinitionSO:festival:storage, FestivalDefinitionSO:festival:ash-oath, FestivalDefinitionSO:festival:blood-lantern, FestivalDefinitionSO:festival:clear-confluence, FestivalDefinitionSO:festival:core-resonance, FestivalDefinitionSO:festival:dungeon-accord-day, FestivalDefinitionSO:festival:frontier-map-night, FestivalDefinitionSO:festival:high-sun, FestivalDefinitionSO:festival:long-night-memorial 외 7개",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,festival-requirements-and-outcomes; niche=type-contract; cost=requiredBuildingDefinitionId,Assets/Resources/SO/V20/Society/Festivals/festival_storage.asset,64b34ff82a8f37f48b27f7659566f9cc
combat-health-world,DefenseBurnEffectSO,DefenseBurnEffectSO|asset:P1_FireVent_2_Burn,asset:P1_FireVent_2_Burn,P1_FireVent_2_Burn,,작성 자산 정의,,방어 시설의 지속 화상 효과를 수치·기간·중첩 규칙으로 정의한다. 다른 콘텐츠 1개가 이 정의를 참조한다.,type-contract+description-and-relations,수동 검토 필요,synthetic-stable-id,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,resources-authored-consumer-unverified,정적 비-Editor 소비자 근거 없음,정적 저장 근거 없음,1,BuildingSO,방어 시설의 지속 화상 효과를 수치·기간·중첩 규칙으로 정의한다. 다른 콘텐츠 1개가 이 정의를 참조한다.,방어 시설의 지속 화상 효과를 수치·기간·중첩 규칙으로 정의한다,duration=5,DefenseBurnEffectSO,비교 후보(대체 가능성 미검증): DefenseBurnEffectSO:asset:P1_StormFireTrap_2_Burn,직접 참조 1건에 영향: BuildingSO:building:32,type-contract+description-and-relations; niche=type-contract; cost=duration,Assets/Resources/SO/Defense/Effects/P1/P1_FireVent_2_Burn.asset,235b702a65756b7fab5de81f026586b7
combat-health-world,DefenseBurnEffectSO,DefenseBurnEffectSO|asset:P1_StormFireTrap_2_Burn,asset:P1_StormFireTrap_2_Burn,P1_StormFireTrap_2_Burn,,작성 자산 정의,,방어 시설의 지속 화상 효과를 수치·기간·중첩 규칙으로 정의한다. 다른 콘텐츠 1개가 이 정의를 참조한다.,type-contract+description-and-relations,수동 검토 필요,synthetic-stable-id,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,resources-authored-consumer-unverified,정적 비-Editor 소비자 근거 없음,정적 저장 근거 없음,1,BuildingSO,방어 시설의 지속 화상 효과를 수치·기간·중첩 규칙으로 정의한다. 다른 콘텐츠 1개가 이 정의를 참조한다.,방어 시설의 지속 화상 효과를 수치·기간·중첩 규칙으로 정의한다,duration=6,DefenseBurnEffectSO,비교 후보(대체 가능성 미검증): DefenseBurnEffectSO:asset:P1_FireVent_2_Burn,직접 참조 1건에 영향: BuildingSO:building:58,type-contract+description-and-relations; niche=type-contract; cost=duration,Assets/Resources/SO/Defense/Effects/P1/Synthesis/P1_StormFireTrap_2_Burn.asset,b776411c4b7a6b93a8470da56c96992a
