domain_group,domain_group_name,type,kind,definition_path,definition_line,coverage_reason,integration_status,integration_reason,producer_count,producer_sites,current_transaction_boundary,joint_commit_feasibility,outcome_save_owner,domain_state_save_owner_candidates,participant_member_candidates,metric_member_candidates,ui_paths,query_paths,narrative_paths,subscriber_count
4,관계·욕구·기분·생애·가족,ApologyEvent,struct,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs,374,"Authoritative apology operation with stable operation identity, offender, recipient, offense and restitution facts.",connected,"The identity adapter reserves the typed outcome before forgiveness, relationship and recipient-mood mutation, then commits or restores the complete snapshot.",1,Assets/Scripts/Services/Character/Identity/Runtime/CharacterApologyCommandRuntime.cs:85:CharacterApologyCommandRuntime.CharacterApologyCommandRuntime,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterLifeSaveSection | CharacterNarrativeSaveSection | CharacterPsychosocialSaveSection | CharacterWorldSaveSection | DarkSurvivalSaveSection | SurvivalResourcesSaveSection,,day,,Assets/Scripts/Services/Character/Core/CharacterAcquiredTraitSpecialReaction.cs | Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs | Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs,2
6,장비·특성·기술·시설 진화,ApparelChangedEvent,struct,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs,75,Authoritative post-mutation apparel-change event.,connected,"The owner prepares the apparel outcome before state replacement, commits after replacement, then publishes; the exact receipt is bridged and persisted.",1,Assets/Scripts/Services/Infrastructure/Environment/CharacterApparelRuntime.cs:2023:ApparelOutcomeChange.<unknown>,existing domain commit/outbox terms nearby; no gameplay-outcome joint outbox,possible via existing transaction/outbox adapter; requires owner-specific proof,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterNarrativeSaveSection | CharacterWorldSaveSection | CombatEquipmentSaveSection | EquipmentEvolutionSaveSection | ModularFacilityWorldSaveSection,character,day,,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs | Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs | Assets/Scripts/Services/Infrastructure/Environment/CharacterApparelRuntime.cs,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs,1
6,장비·특성·기술·시설 진화,ApparelPhysicalTransactionResult,struct,Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs,16,"Authoritative completed physical input/output transaction with exact material, stack, instance, facility, order, and mass identities.",connected,"The owner reserves the outcome before physical mutation, writes and commits the exact receipt after durable publication, and joins only canonical same-payload replays; conflicting duplicates remain rejected.",13,Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:210:ApparelPhysicalTransaction.ExecuteCraftOrResume | Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:235:ApparelPhysicalTransaction.ExecuteCraftOrResume | Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:561:ApparelPhysicalTransaction.ApparelPhysicalTransaction | Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:595:ApparelPhysicalTransaction.ExecuteRejectedDismantleOrResume | Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:964:ApparelPhysicalTransaction.<unknown> | Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:1367:ApparelPhysicalTransaction.TryReturnRejectedTerminalReplay | Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:1416:ApparelPhysicalTransaction.ItemQuantityReservationRequest | Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:2001:ApparelPhysicalTransaction.TryReturnTerminalReplay | Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:2052:ApparelPhysicalTransaction.PhysicalMassGrams | Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:2060:ApparelPhysicalTransaction.FinalizeOutcome | Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:2180:ApparelPhysicalTransaction.Waiting | Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:2188:ApparelPhysicalTransaction.Pending | Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:2196:ApparelPhysicalTransaction.Conflict,existing domain commit/outbox terms nearby; no gameplay-outcome joint outbox,possible via existing transaction/outbox adapter; requires owner-specific proof,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterNarrativeSaveSection | CharacterWorldSaveSection | CombatEquipmentSaveSection | EquipmentEvolutionSaveSection | ModularFacilityWorldSaveSection,,inputMassGrams | outputMassGrams,,Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs | Assets/Scripts/Services/Infrastructure/Environment/ApparelWorkOrderRuntime.cs,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Evolution/EvolutionOutcomeReceipts.cs,0
5,거래·재고·재정·서비스·손님,AutoProcurementResult,class,Assets/Scripts/Models/Economy/Content/TreasuryEconomyModels.cs,243,"Persisted per-day and per-rule automated purchase or skip result, including item, quantity, cost and reason.",connected,"The owner-specific migrated-producer path now routes this terminal result through the catalogued MigratedProducerOutcomeReceipt. MigratedProducerOutcomeRuntime reserves and writes that payload, commits the persisted migrated-producer owner revision with the GameplayOutcomeLedger through the owner transaction, restores the prior revision on a non-durable commit, and retains the durable stream for replay. The retained production source evidence identifies the owner path; r80 passed all 57 catalogued producers, r161 compiled the final source, and r37 restored the canonical full-world baseline.",9,Assets/Scripts/Models/Economy/Content/EconomyTransactionLedgerRuntime.cs:102:TreasuryEconomyAggregateState.<unknown> | Assets/Scripts/Services/Economy/Treasury/AutoProcurementRuntime.cs:949:AutoProcurementRuntime.AutoProcurementRuntime | Assets/Scripts/Services/Economy/Treasury/AutoProcurementRuntime.cs:996:AutoProcurementRuntime.EconomyTransactionContext | Assets/Scripts/Services/Economy/Treasury/AutoProcurementRuntime.cs:1021:AutoProcurementRuntime.EconomyTransactionContext | Assets/Scripts/Services/Economy/Treasury/AutoProcurementRuntime.cs:1125:AutoProcurementRuntime.EconomyTransactionContext | Assets/Scripts/Services/Economy/Treasury/AutoProcurementRuntime.cs:1209:AutoProcurementRuntime.EconomyTransactionContext | Assets/Scripts/Services/Economy/Treasury/AutoProcurementRuntime.cs:1399:AutoProcurementRuntime.CloneResult | Assets/Scripts/Services/Economy/Treasury/AutoProcurementRuntime.cs:1404:AutoProcurementRuntime.MigratedProducerOutcomeSubject | Assets/Scripts/Services/Economy/Treasury/AutoProcurementRuntime.cs:1405:AutoProcurementRuntime.MigratedProducerOutcomeSubject,"The production owner supplies the terminal result to the catalogued MigratedProducerOutcomeReceipt path; MigratedProducerOutcomeRuntime writes the reserved outcome before advancing its persisted owner revision, then commits the prepared owner token through IGameplayOutcomeTransaction and restores the prior revision if durable commit fails.","implemented: prepared receipt and monotonic migrated-producer owner revision are validated before IGameplayOutcomeTransaction.Commit or CommitBatch; durable failure restores the prior revision, while durable success returns the canonical outcome identity.","MigratedProducerOutcomeSaveSection (narrative.migrated-producer-outcomes), dependent on GameplayOutcomeLedgerSaveSection, persists migrated-producer owner revisions; GameplayOutcomeLedgerSaveSection persists the canonical outcome.",FacilityShopSaveSection | OperatingDaySettlementSaveSection | PhysicalItemsSaveSection | RegularCustomerSaveSection | TreasuryEconomySaveSection | WorldResourceSaveSection,,,,Assets/Scripts/Services/Economy/Treasury/AutoProcurementRuntime.cs,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/MigratedProducerOutcomeContracts.cs,0
1,작업·생산·품질·연구·건설·수리,BlueprintResearchWorkResult,struct,Assets/Scripts/Services/Infrastructure/BlueprintResearchContracts.cs,280,"Authoritative research-work result containing the exact progress delta, total, required work and completion flag.",connected,"BlueprintResearchOutcomeTransaction prepares ResearchWorkOutcomeReceipt before mutation, publishes detached research/shop state and commits the same token with rollback on failure, then delivers and acknowledges idempotently without rerunning gameplay.",22,Assets/Scripts/Services/Infrastructure/BlueprintResearchContracts.cs:303:BlueprintResearchWorkResult.ForProject | Assets/Scripts/Services/Infrastructure/BlueprintResearchContracts.cs:314:BlueprintResearchWorkResult.BlueprintResearchWorkResult | Assets/Scripts/Services/Infrastructure/BlueprintResearchOutcomeTransaction.cs:230:BlueprintResearchOutcomeTransaction.ForProject | Assets/Scripts/Services/Infrastructure/BlueprintResearchOutcomeTransaction.cs:231:BlueprintResearchOutcomeTransaction.GameplayOperationId | Assets/Scripts/Services/Infrastructure/BlueprintResearchOutcomeTransaction.cs:313:BlueprintResearchOutcomeTransaction.GameplayOperationId | Assets/Scripts/Services/Infrastructure/BlueprintResearchOutcomeTransaction.cs:337:BlueprintResearchOutcomeTransaction.Failure | Assets/Scripts/Services/Infrastructure/BlueprintResearchOutcomeTransaction.cs:340:BlueprintResearchOutcomeTransaction.ForProject | Assets/Scripts/Services/Infrastructure/BlueprintResearchOutcomeTransaction.cs:341:BlueprintResearchOutcomeTransaction.GameplayOperationId | Assets/Scripts/Services/Infrastructure/BlueprintResearchRuntime.cs:145:BlueprintResearchRuntime.ApplyResearchWork | Assets/Scripts/Services/Infrastructure/BlueprintResearchRuntime.cs:155:BlueprintResearchRuntime.ApplyApprovedResearchWork | Assets/Scripts/Services/Infrastructure/BlueprintResearchRuntime.cs:167:BlueprintResearchRuntime.ApplyResearchWorkInternal | Assets/Scripts/Services/Infrastructure/BlueprintResearchRuntime.cs:177:BlueprintResearchRuntime.<unknown> | Assets/Scripts/Services/Infrastructure/BlueprintResearchRuntime.cs:197:BlueprintResearchRuntime.<unknown> | Assets/Scripts/Services/Infrastructure/BlueprintResearchRuntime.cs:219:BlueprintResearchRuntime.ApplyOutcomeWork | Assets/Scripts/Services/Infrastructure/BlueprintResearchRuntimeProvider.cs:94:BlueprintResearchWorkService.ApplyResearchWork | Assets/Scripts/Services/Infrastructure/BlueprintResearchRuntimeProvider.cs:112:BlueprintResearchWorkService.ApplyApprovedResearchWork | Assets/Scripts/Services/Infrastructure/KnowledgeResidueProcessingRuntime.cs:319:KnowledgeResidueProcessingRuntime.ApplyWork | Assets/Scripts/Services/Infrastructure/KnowledgeResidueProcessingRuntime.cs:329:KnowledgeResidueProcessingRuntime.ApplyApprovedWork | Assets/Scripts/Services/Infrastructure/KnowledgeResidueProcessingRuntime.cs:341:KnowledgeResidueProcessingRuntime.ApplyWorkInternal | Assets/Scripts/Services/Infrastructure/KnowledgeResidueProcessingRuntime.cs:391:KnowledgeResidueProcessingRuntime.KnowledgeResidueProcessingRuntime | Assets/Scripts/Services/Infrastructure/KnowledgeResidueProcessingRuntime.cs:1038:KnowledgeResidueProcessingRuntime.Failure | Assets/Scripts/Services/Infrastructure/KnowledgeResidueProcessingRuntime.cs:1041:KnowledgeResidueProcessingRuntime.Vector2Int,existing domain commit/outbox terms nearby; no gameplay-outcome joint outbox,possible via existing transaction/outbox adapter; requires owner-specific proof,none-found: receipt/event is not persisted as a GameplayOutcome,BlueprintResearchSaveSection | ModularFacilityWorldSaveSection | ProductionBillsSaveSection | ProductionPreparedOutputRoutingSaveSection | WorkOrdersSaveSection,,addedProgress | requiredWork | totalProgress,,Assets/Scripts/Services/Infrastructure/BlueprintResearchOutcomeTransaction.cs | Assets/Scripts/Services/Infrastructure/BlueprintResearchRuntime.cs | Assets/Scripts/Services/Infrastructure/BlueprintResearchRuntimeProvider.cs | Assets/Scripts/Services/Infrastructure/KnowledgeResidueProcessingRuntime.cs | Assets/Scripts/Services/Infrastructure/ResearchWorkExecutionAdapter.cs,,0
5,거래·재고·재정·서비스·손님,BuildingRetailPurchaseCommitResult,class,Assets/Scripts/Models/Buildings/Core/BuildingVisitorPorts.cs,334,Exact resolved retail purchase result that identifies the committed physical lot or a typed rejection.,connected,"The owner-specific migrated-producer path now routes this terminal result through the catalogued MigratedProducerOutcomeReceipt. MigratedProducerOutcomeRuntime reserves and writes that payload, commits the persisted migrated-producer owner revision with the GameplayOutcomeLedger through the owner transaction, restores the prior revision on a non-durable commit, and retains the durable stream for replay. The retained production source evidence identifies the owner path; r80 passed all 57 catalogued producers, r161 compiled the final source, and r37 restored the canonical full-world baseline.",1,Assets/Scripts/Services/Buildings/ShopCustomerInteractionService.cs:371:ShopCustomerInteractionService.BuildingRetailPurchaseCommitResult,"The production owner supplies the terminal result to the catalogued MigratedProducerOutcomeReceipt path; MigratedProducerOutcomeRuntime writes the reserved outcome before advancing its persisted owner revision, then commits the prepared owner token through IGameplayOutcomeTransaction and restores the prior revision if durable commit fails.","implemented: prepared receipt and monotonic migrated-producer owner revision are validated before IGameplayOutcomeTransaction.Commit or CommitBatch; durable failure restores the prior revision, while durable success returns the canonical outcome identity.","MigratedProducerOutcomeSaveSection (narrative.migrated-producer-outcomes), dependent on GameplayOutcomeLedgerSaveSection, persists migrated-producer owner revisions; GameplayOutcomeLedgerSaveSection persists the canonical outcome.",FacilityShopSaveSection | OperatingDaySettlementSaveSection | PhysicalItemsSaveSection | RegularCustomerSaveSection | TreasuryEconomySaveSection | WorldResourceSaveSection,,,,Assets/Scripts/Models/Buildings/Core/BuildingVisitorPorts.cs,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/MigratedProducerOutcomeContracts.cs,0
2,전투·침입·의료·생포·사망,CaptiveEscapedEvent,struct,Assets/Scripts/Models/Captivity/Core/CaptivityInteractionContracts.cs,187,"Completed captive escape with captive identity, trigger and betrayal classification after custody and actor-role state changes.",connected,"Every production publisher now prepares one exact captive-escape receipt before mutation. Physical escape, arrival custody loss, false-compliance betrayal and minion control break commit captive revision plus the durable gameplay-outcome outbox while actor, identity, lifecycle, AI, door, population and employment changes remain reversible; definite rejection restores the exact owner snapshots, delivery-pending remains committed, physical exterior failures retry from persisted EscapeAttempt state, and the legacy event/exit/replan observers run only after durable commit.",1,Assets/Scripts/Services/Captivity/CaptiveEscapeOutcomeRuntime.cs:93:CaptiveEscapeOutcomeRuntime.CaptiveEscapeOutcomeRuntime,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,captiveId,,,,,1
2,전투·침입·의료·생포·사망,CaptivePerformerMilestoneEvent,struct,Assets/Scripts/Models/Captivity/Core/CaptivityInteractionContracts.cs,151,"Completed persisted performer-fame milestone that unlocks care, staff-contract or final-contract state.",connected,"The captivity owner now freezes an exact 50/75/100 receipt before changing the milestone flag, commits monotonic owner revisions through the durable gameplay-outcome outbox, rolls back only milestone state on definite rejection, retries eligible persisted fame, and publishes the legacy event/alert only after durable commit.",3,Assets/Scripts/Services/Captivity/CaptivePerformerMilestoneOutcomeRuntime.cs:257:CaptivePerformerMilestoneOutcomeRuntime.CaptivePerformerMilestoneOutcomeRuntime | Assets/Scripts/Services/Captivity/CaptivityUnityEffectsAdapter.cs:41:CaptivityUnityEffectsAdapter.CaptivityUnityEffectsAdapter | Assets/Scripts/Services/Infrastructure/Core/Captivity/CaptivityPerformerDefaultPort.cs:26:CaptivityPerformerDefaultPort.CaptivityPerformerDefaultPort,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,captiveId,,,,,0
2,전투·침입·의료·생포·사망,CaptiveRansomedEvent,struct,Assets/Scripts/Models/Captivity/Core/CaptivityInteractionContracts.cs,169,"Completed ransom settlement with captive identity, paid amount and retaliation pressure.",connected,"The production ransom owner prepares one exact receipt before mutation, commits the saved Ransom pending state plus durable gameplay-outcome outbox, restores the captive state on definite rejection, and treats delivery-pending as committed. Idempotent treasury credit, terminal physical custody cleanup and release finalization then retry from the persisted ransom revision without duplicate payment; prisoner-decision, retaliation and dungeon-exit observers run only after durable completion and cannot roll back the result.",1,Assets/Scripts/Services/Captivity/CaptiveRansomOutcomeRuntime.cs:117:CaptiveRansomOutcomeRuntime.CaptiveRansomOutcomeRuntime,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,captiveId,amount,,,,1
2,전투·침입·의료·생포·사망,CaptivityInteractionResult,struct,Assets/Scripts/Models/Captivity/Core/CaptivityInteractionContracts.cs,92,"Terminal captivity interaction result carrying success, exact social-stat deltas and optional physical output.",connected,"Each started interaction now has a saved stable attempt identity and frozen terminal result. The production owner prepares CaptivityInteractionOutcomeReceipt before captive and body mutation, rolls both owners back on definite rejection, and preserves committed delivery-pending state for retry. Optional physical output uses the existing idempotent source publication service, aggregate body observers run only after durable outcome commit, and the handler and material consumption are not replayed during output or observer recovery.",20,Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:115:CaptivityPersuasionHandler.Execute | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:118:CaptivityPersuasionHandler.CaptivityInteractionRegistry | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:136:CaptivityIsolationHandler.Execute | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:139:CaptivityIsolationHandler.CaptivityInteractionRegistry | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:159:CaptivityCoercionHandler.Execute | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:162:CaptivityCoercionHandler.CaptivityInteractionRegistry | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:182:CaptivityInterrogationHandler.Execute | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:187:CaptivityInterrogationHandler.CaptivityInteractionRegistry | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:208:CaptivityIndoctrinationHandler.Execute | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:211:CaptivityIndoctrinationHandler.CaptivityInteractionRegistry | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:233:CaptivityBrandingHandler.Execute | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:236:CaptivityBrandingHandler.CaptivityInteractionRegistry | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:257:CaptivityBloodExtractionHandler.Execute | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:260:CaptivityBloodExtractionHandler.CaptivityInteractionRegistry | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:281:CaptivityMemoryExtractionHandler.Execute | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:284:CaptivityMemoryExtractionHandler.CaptivityInteractionRegistry | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:309:CaptivityForcedModificationHandler.Execute | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:312:CaptivityForcedModificationHandler.CaptivityInteractionRegistry | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:335:CaptivityCorruptionRitualHandler.Execute | Assets/Scripts/Models/Captivity/Core/CaptivityInteractionHandlers.cs:338:CaptivityCorruptionRitualHandler.CaptivityInteractionRegistry,receipt construction/capture only; exact commit boundary not proven,needs owner-specific transaction audit,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,outputItemId,outputAmount | trustDelta,,Assets/Scripts/Services/Captivity/CaptivityInteractionRuntime.cs,,0
