"stable_id","display_name","source_declared_function","selection_and_effect_evidence","portfolio_commitment","family_alternative_candidates","activation_and_conflict_receipt","pressure_and_recovery","status"
"trait:218","원한을 품음","개체 차이의 내용은 '배신을 오래 기억하고 같은 상대와의 타협을 꺼린다'이다. 효과 1개, 정체성 규칙 1개, 유효 구형 보정 0개, 전투 능력 0개, 환경 보호 0개, 행동 선호 0개, 기분 반응 0개, 사건 가중치 0개, 유전 결과 0개로 반영한다.","선택 가족 grievance; 희귀도 Common (일반); 대상 종족 []; 비양립 [""temper:forgiving""]; 행동 []; 전투 {""abilities"":[]}; 환경 {""coldExposureMultiplier"":1,""comfortMaximumOffset"":0,""comfortMinimumOffset"":0,""heatExposureMultiplier"":1,""safeMaximumOffset"":0,""safeMinimumOffset"":0}; 사건 []; 정체성 [{""rid"":7737211921986486492}]; 수정치 {""dislikedFacilityRoles"":0,""dislikedWorkTypes"":0,""preferredFacilityRoles"":0,""preferredWorkTypes"":0}; 기분 []; 능력치 ; 경험 1","불리한 조건을 인력 배치·환경·시설·동료·의료의 비용으로 받아들이고, 그 대가로 다른 인물의 이점·희귀성·역할 집중을 확보한다.","trait:219","종족 적합성·선택 가족·비양립 규칙을 통과해 특성을 부여 → 강화/약화되는 행동·작업·전투·환경·사건의 실제 결과를 기록 → 동일 가족의 상충 특성을 중복 부여하지 않는다.","불리 조건이 누적되기 전에 작업·환경·치료·보조 인력을 조정한다. 가족 대안·동료 조합·공간 재배치로 영향을 분산한다.","전수 설계; 선택·비양립·효과·사건·저장·수치 실행 검증 OPEN"
"trait:500","들일 둔감","개체 차이의 내용은 '현장 숙련의 출발이 느리다'이다. 효과 1개, 정체성 규칙 0개, 유효 구형 보정 0개, 전투 능력 0개, 환경 보호 0개, 행동 선호 0개, 기분 반응 0개, 사건 가중치 0개, 유전 결과 0개로 반영한다.","선택 가족 aptitude:fieldwork; 희귀도 Common (일반); 대상 종족 []; 비양립 []; 행동 []; 전투 {""abilities"":[]}; 환경 {""coldExposureMultiplier"":1,""comfortMaximumOffset"":0,""comfortMinimumOffset"":0,""heatExposureMultiplier"":1,""safeMaximumOffset"":0,""safeMinimumOffset"":0}; 사건 []; 정체성 []; 수정치 {""dislikedFacilityRoles"":0,""dislikedWorkTypes"":0,""preferredFacilityRoles"":0,""preferredWorkTypes"":0}; 기분 []; 능력치 ; 경험 1","불리한 조건을 인력 배치·환경·시설·동료·의료의 비용으로 받아들이고, 그 대가로 다른 인물의 이점·희귀성·역할 집중을 확보한다.","trait:400","종족 적합성·선택 가족·비양립 규칙을 통과해 특성을 부여 → 강화/약화되는 행동·작업·전투·환경·사건의 실제 결과를 기록 → 동일 가족의 상충 특성을 중복 부여하지 않는다.","불리 조건이 누적되기 전에 작업·환경·치료·보조 인력을 조정한다. 가족 대안·동료 조합·공간 재배치로 영향을 분산한다.","전수 설계; 선택·비양립·효과·사건·저장·수치 실행 검증 OPEN"
"trait:501","시공 서툼","개체 차이의 내용은 '건설·공학 숙련의 출발이 느리다'이다. 효과 1개, 정체성 규칙 0개, 유효 구형 보정 0개, 전투 능력 0개, 환경 보호 0개, 행동 선호 0개, 기분 반응 0개, 사건 가중치 0개, 유전 결과 0개로 반영한다.","선택 가족 aptitude:construction; 희귀도 Common (일반); 대상 종족 []; 비양립 []; 행동 []; 전투 {""abilities"":[]}; 환경 {""coldExposureMultiplier"":1,""comfortMaximumOffset"":0,""comfortMinimumOffset"":0,""heatExposureMultiplier"":1,""safeMaximumOffset"":0,""safeMinimumOffset"":0}; 사건 []; 정체성 []; 수정치 {""dislikedFacilityRoles"":0,""dislikedWorkTypes"":0,""preferredFacilityRoles"":0,""preferredWorkTypes"":0}; 기분 []; 능력치 ; 경험 1","불리한 조건을 인력 배치·환경·시설·동료·의료의 비용으로 받아들이고, 그 대가로 다른 인물의 이점·희귀성·역할 집중을 확보한다.","trait:401","종족 적합성·선택 가족·비양립 규칙을 통과해 특성을 부여 → 강화/약화되는 행동·작업·전투·환경·사건의 실제 결과를 기록 → 동일 가족의 상충 특성을 중복 부여하지 않는다.","불리 조건이 누적되기 전에 작업·환경·치료·보조 인력을 조정한다. 가족 대안·동료 조합·공간 재배치로 영향을 분산한다.","전수 설계; 선택·비양립·효과·사건·저장·수치 실행 검증 OPEN"
"trait:502","제작 서툼","개체 차이의 내용은 '제작 숙련의 출발이 느리다'이다. 효과 1개, 정체성 규칙 0개, 유효 구형 보정 0개, 전투 능력 0개, 환경 보호 0개, 행동 선호 0개, 기분 반응 0개, 사건 가중치 0개, 유전 결과 0개로 반영한다.","선택 가족 aptitude:crafting; 희귀도 Common (일반); 대상 종족 []; 비양립 []; 행동 []; 전투 {""abilities"":[]}; 환경 {""coldExposureMultiplier"":1,""comfortMaximumOffset"":0,""comfortMinimumOffset"":0,""heatExposureMultiplier"":1,""safeMaximumOffset"":0,""safeMinimumOffset"":0}; 사건 []; 정체성 []; 수정치 {""dislikedFacilityRoles"":0,""dislikedWorkTypes"":0,""preferredFacilityRoles"":0,""preferredWorkTypes"":0}; 기분 []; 능력치 ; 경험 1","불리한 조건을 인력 배치·환경·시설·동료·의료의 비용으로 받아들이고, 그 대가로 다른 인물의 이점·희귀성·역할 집중을 확보한다.","trait:402","종족 적합성·선택 가족·비양립 규칙을 통과해 특성을 부여 → 강화/약화되는 행동·작업·전투·환경·사건의 실제 결과를 기록 → 동일 가족의 상충 특성을 중복 부여하지 않는다.","불리 조건이 누적되기 전에 작업·환경·치료·보조 인력을 조정한다. 가족 대안·동료 조합·공간 재배치로 영향을 분산한다.","전수 설계; 선택·비양립·효과·사건·저장·수치 실행 검증 OPEN"
"trait:503","조리 서툼","개체 차이의 내용은 '식량 생산 숙련의 출발이 느리다'이다. 효과 1개, 정체성 규칙 0개, 유효 구형 보정 0개, 전투 능력 0개, 환경 보호 0개, 행동 선호 0개, 기분 반응 0개, 사건 가중치 0개, 유전 결과 0개로 반영한다.","선택 가족 aptitude:food; 희귀도 Common (일반); 대상 종족 []; 비양립 []; 행동 []; 전투 {""abilities"":[]}; 환경 {""coldExposureMultiplier"":1,""comfortMaximumOffset"":0,""comfortMinimumOffset"":0,""heatExposureMultiplier"":1,""safeMaximumOffset"":0,""safeMinimumOffset"":0}; 사건 []; 정체성 []; 수정치 {""dislikedFacilityRoles"":0,""dislikedWorkTypes"":0,""preferredFacilityRoles"":0,""preferredWorkTypes"":0}; 기분 []; 능력치 ; 경험 1","불리한 조건을 인력 배치·환경·시설·동료·의료의 비용으로 받아들이고, 그 대가로 다른 인물의 이점·희귀성·역할 집중을 확보한다.","trait:403","종족 적합성·선택 가족·비양립 규칙을 통과해 특성을 부여 → 강화/약화되는 행동·작업·전투·환경·사건의 실제 결과를 기록 → 동일 가족의 상충 특성을 중복 부여하지 않는다.","불리 조건이 누적되기 전에 작업·환경·치료·보조 인력을 조정한다. 가족 대안·동료 조합·공간 재배치로 영향을 분산한다.","전수 설계; 선택·비양립·효과·사건·저장·수치 실행 검증 OPEN"
"trait:504","학문 둔감","개체 차이의 내용은 '학술 숙련의 출발이 느리다'이다. 효과 1개, 정체성 규칙 0개, 유효 구형 보정 0개, 전투 능력 0개, 환경 보호 0개, 행동 선호 0개, 기분 반응 0개, 사건 가중치 0개, 유전 결과 0개로 반영한다.","선택 가족 aptitude:scholarship; 희귀도 Common (일반); 대상 종족 []; 비양립 []; 행동 []; 전투 {""abilities"":[]}; 환경 {""coldExposureMultiplier"":1,""comfortMaximumOffset"":0,""comfortMinimumOffset"":0,""heatExposureMultiplier"":1,""safeMaximumOffset"":0,""safeMinimumOffset"":0}; 사건 []; 정체성 []; 수정치 {""dislikedFacilityRoles"":0,""dislikedWorkTypes"":0,""preferredFacilityRoles"":0,""preferredWorkTypes"":0}; 기분 []; 능력치 ; 경험 1","불리한 조건을 인력 배치·환경·시설·동료·의료의 비용으로 받아들이고, 그 대가로 다른 인물의 이점·희귀성·역할 집중을 확보한다.","trait:404","종족 적합성·선택 가족·비양립 규칙을 통과해 특성을 부여 → 강화/약화되는 행동·작업·전투·환경·사건의 실제 결과를 기록 → 동일 가족의 상충 특성을 중복 부여하지 않는다.","불리 조건이 누적되기 전에 작업·환경·치료·보조 인력을 조정한다. 가족 대안·동료 조합·공간 재배치로 영향을 분산한다.","전수 설계; 선택·비양립·효과·사건·저장·수치 실행 검증 OPEN"
"trait:505","의료 서툼","개체 차이의 내용은 '의료 숙련의 출발이 느리다'이다. 효과 1개, 정체성 규칙 0개, 유효 구형 보정 0개, 전투 능력 0개, 환경 보호 0개, 행동 선호 0개, 기분 반응 0개, 사건 가중치 0개, 유전 결과 0개로 반영한다.","선택 가족 aptitude:medicine; 희귀도 Common (일반); 대상 종족 []; 비양립 []; 행동 []; 전투 {""abilities"":[]}; 환경 {""coldExposureMultiplier"":1,""comfortMaximumOffset"":0,""comfortMinimumOffset"":0,""heatExposureMultiplier"":1,""safeMaximumOffset"":0,""safeMinimumOffset"":0}; 사건 []; 정체성 []; 수정치 {""dislikedFacilityRoles"":0,""dislikedWorkTypes"":0,""preferredFacilityRoles"":0,""preferredWorkTypes"":0}; 기분 []; 능력치 ; 경험 1","불리한 조건을 인력 배치·환경·시설·동료·의료의 비용으로 받아들이고, 그 대가로 다른 인물의 이점·희귀성·역할 집중을 확보한다.","trait:405","종족 적합성·선택 가족·비양립 규칙을 통과해 특성을 부여 → 강화/약화되는 행동·작업·전투·환경·사건의 실제 결과를 기록 → 동일 가족의 상충 특성을 중복 부여하지 않는다.","불리 조건이 누적되기 전에 작업·환경·치료·보조 인력을 조정한다. 가족 대안·동료 조합·공간 재배치로 영향을 분산한다.","전수 설계; 선택·비양립·효과·사건·저장·수치 실행 검증 OPEN"
"trait:506","낯가림","개체 차이의 내용은 '사교 숙련의 출발이 느리다'이다. 효과 1개, 정체성 규칙 0개, 유효 구형 보정 0개, 전투 능력 0개, 환경 보호 0개, 행동 선호 0개, 기분 반응 0개, 사건 가중치 0개, 유전 결과 0개로 반영한다.","선택 가족 aptitude:social; 희귀도 Common (일반); 대상 종족 []; 비양립 []; 행동 []; 전투 {""abilities"":[]}; 환경 {""coldExposureMultiplier"":1,""comfortMaximumOffset"":0,""comfortMinimumOffset"":0,""heatExposureMultiplier"":1,""safeMaximumOffset"":0,""safeMinimumOffset"":0}; 사건 []; 정체성 []; 수정치 {""dislikedFacilityRoles"":0,""dislikedWorkTypes"":0,""preferredFacilityRoles"":0,""preferredWorkTypes"":0}; 기분 []; 능력치 ; 경험 1","불리한 조건을 인력 배치·환경·시설·동료·의료의 비용으로 받아들이고, 그 대가로 다른 인물의 이점·희귀성·역할 집중을 확보한다.","trait:406","종족 적합성·선택 가족·비양립 규칙을 통과해 특성을 부여 → 강화/약화되는 행동·작업·전투·환경·사건의 실제 결과를 기록 → 동일 가족의 상충 특성을 중복 부여하지 않는다.","불리 조건이 누적되기 전에 작업·환경·치료·보조 인력을 조정한다. 가족 대안·동료 조합·공간 재배치로 영향을 분산한다.","전수 설계; 선택·비양립·효과·사건·저장·수치 실행 검증 OPEN"
"trait:507","몸싸움 서툼","개체 차이의 내용은 '근접 전투 숙련의 출발이 느리다'이다. 효과 1개, 정체성 규칙 0개, 유효 구형 보정 0개, 전투 능력 0개, 환경 보호 0개, 행동 선호 0개, 기분 반응 0개, 사건 가중치 0개, 유전 결과 0개로 반영한다.","선택 가족 aptitude:melee; 희귀도 Common (일반); 대상 종족 []; 비양립 []; 행동 []; 전투 {""abilities"":[]}; 환경 {""coldExposureMultiplier"":1,""comfortMaximumOffset"":0,""comfortMinimumOffset"":0,""heatExposureMultiplier"":1,""safeMaximumOffset"":0,""safeMinimumOffset"":0}; 사건 []; 정체성 []; 수정치 {""dislikedFacilityRoles"":0,""dislikedWorkTypes"":0,""preferredFacilityRoles"":0,""preferredWorkTypes"":0}; 기분 []; 능력치 ; 경험 1","불리한 조건을 인력 배치·환경·시설·동료·의료의 비용으로 받아들이고, 그 대가로 다른 인물의 이점·희귀성·역할 집중을 확보한다.","trait:407","종족 적합성·선택 가족·비양립 규칙을 통과해 특성을 부여 → 강화/약화되는 행동·작업·전투·환경·사건의 실제 결과를 기록 → 동일 가족의 상충 특성을 중복 부여하지 않는다.","불리 조건이 누적되기 전에 작업·환경·치료·보조 인력을 조정한다. 가족 대안·동료 조합·공간 재배치로 영향을 분산한다.","전수 설계; 선택·비양립·효과·사건·저장·수치 실행 검증 OPEN"
"trait:508","사격 서툼","개체 차이의 내용은 '원거리 전투 숙련의 출발이 느리다'이다. 효과 1개, 정체성 규칙 0개, 유효 구형 보정 0개, 전투 능력 0개, 환경 보호 0개, 행동 선호 0개, 기분 반응 0개, 사건 가중치 0개, 유전 결과 0개로 반영한다.","선택 가족 aptitude:ranged; 희귀도 Common (일반); 대상 종족 []; 비양립 []; 행동 []; 전투 {""abilities"":[]}; 환경 {""coldExposureMultiplier"":1,""comfortMaximumOffset"":0,""comfortMinimumOffset"":0,""heatExposureMultiplier"":1,""safeMaximumOffset"":0,""safeMinimumOffset"":0}; 사건 []; 정체성 []; 수정치 {""dislikedFacilityRoles"":0,""dislikedWorkTypes"":0,""preferredFacilityRoles"":0,""preferredWorkTypes"":0}; 기분 []; 능력치 ; 경험 1","불리한 조건을 인력 배치·환경·시설·동료·의료의 비용으로 받아들이고, 그 대가로 다른 인물의 이점·희귀성·역할 집중을 확보한다.","trait:408","종족 적합성·선택 가족·비양립 규칙을 통과해 특성을 부여 → 강화/약화되는 행동·작업·전투·환경·사건의 실제 결과를 기록 → 동일 가족의 상충 특성을 중복 부여하지 않는다.","불리 조건이 누적되기 전에 작업·환경·치료·보조 인력을 조정한다. 가족 대안·동료 조합·공간 재배치로 영향을 분산한다.","전수 설계; 선택·비양립·효과·사건·저장·수치 실행 검증 OPEN"
