"stable_id","display_name","research_project_id","unlock_role","source_design_intent","singleton_reason","reward_category_presentation","target_side_requirement_bindings","portfolio_commitment","activation_receipt_and_authority","binding_gap_and_status"
"research:defense:alliance-signals","defense_alliance_signals","research:defense:alliance-signals","System Facility","동맹 지원군의 접근 경로와 방어시설 허용 목록을 공유하는 신호 체계를 만든다.","독립된 작업 규칙과 입력·출력을 가진 시스템 시설을 연다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:recipe:ammo:signal-flare | ProductionRecipeSO:recipe:supply:alliance-signal-kit","독립된 공간·작업 규칙·입출력을 가진 체계를 짓고 인력·공간·기반망을 배정한다. 같은 투자로 다른 생산·서비스 체계를 먼저 세울 수는 없다.","연구 완료 영수증 → target-side requiredResearchId가 research:defense:alliance-signals인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 2개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:defense:corridor-mechanisms","defense_corridor_mechanisms","research:defense:corridor-mechanisms","Foundation","침입 감지기와 문 연동 낙하문으로 좁은 통로의 발동 순서를 설계한다.","여러 후속 연구와 기존 제작 계통을 여는 기반 연구다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:recipe:component:corridor-detonator","이 연구가 여는 기본 작업·재료·시설을 실제 생산·생활 루프에 투입한다. 같은 시기의 다른 기반 연구는 뒤로 밀리고, 확보한 기반을 이용한 후속 선택이 열린다.","연구 완료 영수증 → target-side requiredResearchId가 research:defense:corridor-mechanisms인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 1개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:defense:fortification","defense_fortification","research:defense:fortification","Foundation","성벽과 방어 설비를 보강한다.","여러 후속 연구와 기존 제작 계통을 여는 기반 연구다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","CombatShieldSO:equipment-item:shield:tower","이 연구가 여는 기본 작업·재료·시설을 실제 생산·생활 루프에 투입한다. 같은 시기의 다른 기반 연구는 뒤로 밀리고, 확보한 기반을 이용한 후속 선택이 열린다.","연구 완료 영수증 → target-side requiredResearchId가 research:defense:fortification인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 1개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:defense:ranged-positions","defense_ranged_positions","research:defense:ranged-positions","Foundation","엄폐와 원거리 교전 위치를 체계화한다.","여러 후속 연구와 기존 제작 계통을 여는 기반 연구다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:recipe:arrow-bone | ProductionRecipeSO:recipe:bolt-bone","이 연구가 여는 기본 작업·재료·시설을 실제 생산·생활 루프에 투입한다. 같은 시기의 다른 기반 연구는 뒤로 밀리고, 확보한 기반을 이용한 후속 선택이 열린다.","연구 완료 영수증 → target-side requiredResearchId가 research:defense:ranged-positions인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 2개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:defense:remote-control","defense_remote_control","research:defense:remote-control","System Facility","방어 통제대에서 무장 정책과 발동 구역을 원격으로 전환한다.","독립된 작업 규칙과 입력·출력을 가진 시스템 시설을 연다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","명시적 target-side definition 없음","독립된 공간·작업 규칙·입출력을 가진 체계를 짓고 인력·공간·기반망을 배정한다. 같은 투자로 다른 생산·서비스 체계를 먼저 세울 수는 없다.","연구 완료 영수증 → target-side requiredResearchId가 research:defense:remote-control인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 0개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:defense:rune-identification","defense_rune_identification","research:defense:rune-identification","System Facility","감지 장치가 허용 대상과 적대 대상을 더 정확하게 구분하도록 룬 식별 규칙을 새긴다.","독립된 작업 규칙과 입력·출력을 가진 시스템 시설을 연다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:recipe:ammo:mana-disruptor-bolt | ProductionRecipeSO:recipe:tool:rune-identification-lens","독립된 공간·작업 규칙·입출력을 가진 체계를 짓고 인력·공간·기반망을 배정한다. 같은 투자로 다른 생산·서비스 체계를 먼저 세울 수는 없다.","연구 완료 영수증 → target-side requiredResearchId가 research:defense:rune-identification인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 2개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:defense:siege-fortification","defense_siege_fortification","research:defense:siege-fortification","System Facility","강화 낙하문과 벽면 발사구를 공성 장비와 중장갑 침입자에 맞게 보강한다.","독립된 작업 규칙과 입력·출력을 가진 시스템 시설을 연다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","CombatShieldSO:equipment-item:shield:pavise | ProductionRecipeSO:recipe:component:siege-reinforcement-kit","독립된 공간·작업 규칙·입출력을 가진 체계를 짓고 인력·공간·기반망을 배정한다. 같은 투자로 다른 생산·서비스 체계를 먼저 세울 수는 없다.","연구 완료 영수증 → target-side requiredResearchId가 research:defense:siege-fortification인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 2개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:defense:supply","defense_supply","research:defense:supply","Foundation","탄약·촉매 보급고와 함정 정비대로 방어시설의 실물 보급과 재장전을 표준화한다.","여러 후속 연구와 기존 제작 계통을 여는 기반 연구다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","명시적 target-side definition 없음","이 연구가 여는 기본 작업·재료·시설을 실제 생산·생활 루프에 투입한다. 같은 시기의 다른 기반 연구는 뒤로 밀리고, 확보한 기반을 이용한 후속 선택이 열린다.","연구 완료 영수증 → target-side requiredResearchId가 research:defense:supply인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 0개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:defense:tactical-command","defense_tactical_command","research:defense:tactical-command","Foundation","다중 경비의 전선과 교대를 통합 지휘한다.","여러 후속 연구와 기존 제작 계통을 여는 기반 연구다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","명시적 target-side definition 없음","이 연구가 여는 기본 작업·재료·시설을 실제 생산·생활 루프에 투입한다. 같은 시기의 다른 기반 연구는 뒤로 밀리고, 확보한 기반을 이용한 후속 선택이 열린다.","연구 완료 영수증 → target-side requiredResearchId가 research:defense:tactical-command인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 0개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:defense:watch","defense_watch","research:defense:watch","Foundation","당직과 순찰, 침입 경보 절차를 확립한다.","여러 후속 연구와 기존 제작 계통을 여는 기반 연구다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:recipe:tool:watch-signal-horn","이 연구가 여는 기본 작업·재료·시설을 실제 생산·생활 루프에 투입한다. 같은 시기의 다른 기반 연구는 뒤로 밀리고, 확보한 기반을 이용한 후속 선택이 열린다.","연구 완료 영수증 → target-side requiredResearchId가 research:defense:watch인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 1개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
