"portfolio_id","horizon_day","research_id","closure_role","required_wu","maximum_researchers","target_chain","source_path","numeric_authority","static_status"
"underground","960","research:agriculture:compost","prerequisite-closure","28","1","research:agriculture:indoor|research:agriculture:subterranean|research:climate:environment-control|research:climate:regional-climatology|research:forestry:fungal|research:health:isolation-medicine|research:medical:mycelial-grafting|research:plumbing:reuse|research:plumbing:rune-purification","Assets/Resources/SO/Research/Projects/agriculture_compost.asset","research-numeric-ledger.csv","closure-resolved"
"underground","960","research:agriculture:field","prerequisite-closure","28","1","research:agriculture:indoor|research:agriculture:subterranean|research:climate:environment-control|research:climate:regional-climatology|research:forestry:fungal|research:health:isolation-medicine|research:medical:mycelial-grafting|research:plumbing:reuse|research:plumbing:rune-purification","Assets/Resources/SO/Research/Projects/agriculture_field.asset","research-numeric-ledger.csv","closure-resolved"
"underground","960","research:agriculture:gathering","prerequisite-closure","17","1","research:agriculture:indoor|research:agriculture:subterranean|research:climate:environment-control|research:climate:regional-climatology|research:forestry:fungal|research:health:isolation-medicine|research:medical:mycelial-grafting|research:plumbing:reuse|research:plumbing:rune-purification","Assets/Resources/SO/Research/Projects/agriculture_gathering.asset","research-numeric-ledger.csv","closure-resolved"
"underground","960","research:agriculture:greenhouse-horticulture","prerequisite-closure","255","1","research:climate:environment-control|research:climate:regional-climatology","Assets/Resources/SO/Research/Projects/agriculture_greenhouse_horticulture.asset","research-numeric-ledger.csv","closure-resolved"
"underground","960","research:agriculture:indoor","explicit-target","60","1","research:agriculture:indoor|research:agriculture:subterranean|research:climate:environment-control|research:climate:regional-climatology|research:forestry:fungal|research:medical:mycelial-grafting","Assets/Resources/SO/Research/Projects/agriculture_indoor.asset","research-numeric-ledger.csv","closure-resolved"
"underground","960","research:agriculture:irrigation","prerequisite-closure","42","1","research:agriculture:indoor|research:agriculture:subterranean|research:climate:environment-control|research:climate:regional-climatology|research:forestry:fungal|research:medical:mycelial-grafting","Assets/Resources/SO/Research/Projects/agriculture_irrigation.asset","research-numeric-ledger.csv","closure-resolved"
"underground","960","research:agriculture:subterranean","explicit-target","84","1","research:agriculture:subterranean","Assets/Resources/SO/Research/Projects/agriculture_subterranean.asset","research-numeric-ledger.csv","closure-resolved"
"underground","960","research:arcane:advanced","prerequisite-closure","42","1","research:climate:environment-control|research:climate:regional-climatology|research:environment:rune-insulation|research:plumbing:rune-purification","Assets/Resources/SO/Research/Projects/arcane_advanced.asset","research-numeric-ledger.csv","closure-resolved"
"underground","960","research:arcane:alchemy","prerequisite-closure","28","1","research:climate:environment-control|research:climate:regional-climatology|research:environment:rune-insulation|research:health:isolation-medicine|research:medical:mycelial-grafting|research:plumbing:reuse|research:plumbing:rune-purification","Assets/Resources/SO/Research/Projects/arcane_alchemy.asset","research-numeric-ledger.csv","closure-resolved"
"underground","960","research:arcane:records","prerequisite-closure","17","1","research:climate:environment-control|research:climate:regional-climatology|research:environment:rune-insulation|research:health:isolation-medicine|research:medical:mycelial-grafting|research:plumbing:reuse|research:plumbing:rune-purification","Assets/Resources/SO/Research/Projects/arcane_records.asset","research-numeric-ledger.csv","closure-resolved"
"underground","960","research:arcane:resonance","prerequisite-closure","60","1","research:climate:regional-climatology|research:plumbing:rune-purification","Assets/Resources/SO/Research/Projects/arcane_resonance.asset","research-numeric-ledger.csv","closure-resolved"
"underground","960","research:authority:office","prerequisite-closure","42","1","research:climate:regional-climatology|research:plumbing:rune-purification","Assets/Resources/SO/Research/Projects/authority_office.asset","research-numeric-ledger.csv","closure-resolved"
"underground","960","research:authority:prestige","prerequisite-closure","28","1","research:climate:regional-climatology|research:plumbing:rune-purification","Assets/Resources/SO/Research/Projects/authority_prestige.asset","research-numeric-ledger.csv","closure-resolved"
"underground","960","research:authority:quarters","prerequisite-closure","17","1","research:climate:regional-climatology|research:health:isolation-medicine|research:plumbing:rune-purification","Assets/Resources/SO/Research/Projects/authority_quarters.asset","research-numeric-ledger.csv","closure-resolved"
"underground","960","research:authority:ritual","prerequisite-closure","60","1","research:climate:regional-climatology|research:plumbing:rune-purification","Assets/Resources/SO/Research/Projects/authority_ritual.asset","research-numeric-ledger.csv","closure-resolved"
"underground","960","research:climate:environment-control","explicit-target","437","1","research:climate:environment-control|research:climate:regional-climatology","Assets/Resources/SO/Research/Projects/climate_environment_control.asset","research-numeric-ledger.csv","closure-resolved"
"underground","960","research:climate:regional-climatology","explicit-target","3819","1","research:climate:regional-climatology","Assets/Resources/SO/Research/Projects/climate_regional_climatology.asset","research-numeric-ledger.csv","closure-resolved"
"underground","960","research:climate:weather-observation","prerequisite-closure","153","1","research:climate:environment-control|research:climate:regional-climatology","Assets/Resources/SO/Research/Projects/climate_weather_observation.asset","research-numeric-ledger.csv","closure-resolved"
"underground","960","research:commerce:logistics","prerequisite-closure","17","1","research:climate:environment-control|research:climate:regional-climatology|research:health:isolation-medicine|research:plumbing:rune-purification","Assets/Resources/SO/Research/Projects/commerce_logistics.asset","research-numeric-ledger.csv","closure-resolved"
"underground","960","research:cuisine:crops","explicit-target","17","1","research:cuisine:crops","Assets/Resources/SO/Research/Projects/cuisine_crops.asset","research-numeric-ledger.csv","closure-resolved"
"underground","960","research:defense:watch","prerequisite-closure","17","1","research:climate:environment-control|research:climate:regional-climatology|research:plumbing:rune-purification","Assets/Resources/SO/Research/Projects/defense_watch.asset","research-numeric-ledger.csv","closure-resolved"
"underground","960","research:environment:cold-work","prerequisite-closure","42","1","research:climate:environment-control|research:climate:regional-climatology|research:environment:rune-insulation","Assets/Resources/SO/Research/Projects/environment_cold_work.asset","research-numeric-ledger.csv","closure-resolved"
"underground","960","research:environment:rune-insulation","explicit-target","84","1","research:climate:environment-control|research:climate:regional-climatology|research:environment:rune-insulation","Assets/Resources/SO/Research/Projects/environment_rune_insulation.asset","research-numeric-ledger.csv","closure-resolved"
"underground","960","research:equipment:industrial-metrology","prerequisite-closure","437","1","research:climate:regional-climatology","Assets/Resources/SO/Research/Projects/equipment_industrial_metrology.asset","research-numeric-ledger.csv","closure-resolved"
"underground","960","research:equipment:material-testing","prerequisite-closure","255","1","research:climate:regional-climatology|research:health:isolation-medicine","Assets/Resources/SO/Research/Projects/equipment_material_testing.asset","research-numeric-ledger.csv","closure-resolved"
"underground","960","research:equipment:prototype-engineering","prerequisite-closure","328","1","research:climate:regional-climatology","Assets/Resources/SO/Research/Projects/equipment_prototype_engineering.asset","research-numeric-ledger.csv","closure-resolved"
"underground","960","research:forestry:charcoal","prerequisite-closure","42","1","research:climate:environment-control|research:climate:regional-climatology|research:forestry:fungal|research:health:isolation-medicine|research:medical:mycelial-grafting|research:plumbing:reuse|research:plumbing:rune-purification","Assets/Resources/SO/Research/Projects/forestry_charcoal.asset","research-numeric-ledger.csv","closure-resolved"
"underground","960","research:forestry:fungal","explicit-target","84","1","research:forestry:fungal|research:medical:mycelial-grafting","Assets/Resources/SO/Research/Projects/forestry_fungal.asset","research-numeric-ledger.csv","closure-resolved"
"underground","960","research:forestry:logging","prerequisite-closure","28","1","research:climate:environment-control|research:climate:regional-climatology|research:forestry:fungal|research:health:isolation-medicine|research:medical:mycelial-grafting|research:plumbing:reuse|research:plumbing:rune-purification","Assets/Resources/SO/Research/Projects/forestry_logging.asset","research-numeric-ledger.csv","closure-resolved"
"underground","960","research:forestry:sawmill","prerequisite-closure","28","1","research:climate:environment-control|research:climate:regional-climatology|research:forestry:fungal|research:health:isolation-medicine|research:medical:mycelial-grafting|research:plumbing:reuse|research:plumbing:rune-purification","Assets/Resources/SO/Research/Projects/forestry_sawmill.asset","research-numeric-ledger.csv","closure-resolved"
"underground","960","research:forestry:tools","prerequisite-closure","17","1","research:climate:environment-control|research:climate:regional-climatology|research:forestry:fungal|research:health:isolation-medicine|research:medical:mycelial-grafting|research:plumbing:reuse|research:plumbing:rune-purification","Assets/Resources/SO/Research/Projects/forestry_tools.asset","research-numeric-ledger.csv","closure-resolved"
"underground","960","research:forestry:treated","prerequisite-closure","60","1","research:forestry:fungal|research:medical:mycelial-grafting","Assets/Resources/SO/Research/Projects/forestry_treated.asset","research-numeric-ledger.csv","closure-resolved"
"underground","960","research:health:isolation-medicine","explicit-target","255","1","research:health:isolation-medicine","Assets/Resources/SO/Research/Projects/health_isolation_medicine.asset","research-numeric-ledger.csv","closure-resolved"
"underground","960","research:health:pathogen-observation","prerequisite-closure","519","1","research:health:isolation-medicine","Assets/Resources/SO/Research/Projects/health_pathogen_observation.asset","research-numeric-ledger.csv","closure-resolved"
"underground","960","research:industry:assisted-processing","prerequisite-closure","328","1","research:climate:regional-climatology|research:plumbing:rune-purification","Assets/Resources/SO/Research/Projects/industry_assisted_processing.asset","research-numeric-ledger.csv","closure-resolved"
"underground","960","research:industry:automatic-bills","prerequisite-closure","873","1","research:climate:regional-climatology|research:plumbing:rune-purification","Assets/Resources/SO/Research/Projects/industry_automatic_bills.asset","research-numeric-ledger.csv","closure-resolved"
