type,kind,definition_path,definition_line,inventory_scope,domain_group,domain_group_name,classification,classification_reason,coverage_disposition,coverage_reason,intended_ledger_status,integration_status,integration_reason,producer_count,producer_sites,publish_count,subscriber_count,participant_member_candidates,metric_member_candidates,current_transaction_boundary,joint_commit_feasibility,outcome_save_owner,domain_state_save_owner_candidates,ui_paths,query_paths,narrative_paths
ApologyEvent,struct,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs,360,pre-existing-runtime-candidate,4,관계·욕구·기분·생애·가족,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"ApologyEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Character/Identity/Runtime/CharacterApologyCommandRuntime.cs:85:CharacterApologyCommandRuntime.CharacterApologyCommandRuntime,1,2,,day,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterLifeSaveSection | CharacterNarrativeSaveSection | CharacterPsychosocialSaveSection | CharacterWorldSaveSection | DarkSurvivalSaveSection | SurvivalResourcesSaveSection,,Assets/Scripts/Services/Character/Core/CharacterAcquiredTraitSpecialReaction.cs | Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs | Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs
ApparelChangedEvent,struct,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs,75,pre-existing-runtime-candidate,6,장비·특성·기술·시설 진화,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"ApparelChangedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Infrastructure/Environment/CharacterApparelRuntime.cs:1841:CharacterApparelAggregate.<unknown>,1,1,character,day,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterNarrativeSaveSection | CharacterWorldSaveSection | CombatEquipmentSaveSection | EquipmentEvolutionSaveSection | ModularFacilityWorldSaveSection,,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs | Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs | Assets/Scripts/Services/Infrastructure/Environment/CharacterApparelRuntime.cs,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs
BlueprintResearchCompletedEvent,struct,Assets/Scripts/Services/Infrastructure/BlueprintResearchContracts.cs,342,pre-existing-runtime-candidate,1,작업·생산·품질·연구·건설·수리,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"BlueprintResearchCompletedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",4,Assets/Scripts/Services/Infrastructure/BlueprintResearchRuntime.cs:901:BlueprintResearchRuntime.<unknown> | Assets/Scripts/Services/Infrastructure/BlueprintResearchRuntime.cs:902:BlueprintResearchRuntime.BlueprintResearchCompletedEvent | Assets/Scripts/Services/Infrastructure/BlueprintResearchRuntime.cs:929:BlueprintResearchRuntime.BlueprintResearchCompletedEvent | Assets/Scripts/Services/Infrastructure/BlueprintResearchRuntime.cs:930:BlueprintResearchRuntime.BlueprintResearchCompletedEvent,2,7,,,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,BlueprintResearchSaveSection | ModularFacilityWorldSaveSection | ProductionBillsSaveSection | ProductionPreparedOutputRoutingSaveSection | WorkOrdersSaveSection,Assets/Scripts/Views/Buildings/UI/UIBuildingSelectButton.cs | Assets/Scripts/Views/FacilityEvolution/UI/FacilityEvolutionPanel.cs | Assets/Scripts/Views/Synthesis/UI/FacilitySynthesisPanel.cs,Assets/Scripts/Services/Codex/CodexRuntimeApplicationAdapter.cs | Assets/Scripts/Services/Infrastructure/BlueprintResearchRuntime.cs | Assets/Scripts/Services/Infrastructure/DungeonSpaceExpansionRuntime.cs | Assets/Scripts/Services/Meta/MetaRuntimeApplicationAdapter.cs | Assets/Scripts/Views/Buildings/UI/UIBuildingSelectButton.cs,
BossInvasionStartedEvent,struct,Assets/Scripts/Models/Invasion/Core/InvasionThreatSystem.cs,275,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,NonResult,invasion lifecycle start signal; capture the later committed invasion results,NonResult,invasion lifecycle start signal; capture the later committed invasion results,N/A,excluded,invasion lifecycle start signal; capture the later committed invasion results,1,Assets/Scripts/Services/Invasion/InvasionDirectorRuntime.cs:319:InvasionDirectorRuntime.<unknown>,1,2,intruder,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Invasion/InvasionDirectorRuntime.cs,
BufferAggregationReceipt,struct,Assets/Scripts/Services/Items/BufferStackAggregationService.cs,61,pre-existing-runtime-candidate,1,작업·생산·품질·연구·건설·수리,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"BufferAggregationReceipt is a result-bearing struct carrying exact post-operation data; retain it as a Record candidate, subject to owner commit proof and duplicate suppression.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",2,Assets/Scripts/Services/Items/BufferStackAggregationService.cs:336:BufferStackAggregationService.BufferStackAggregationService | Assets/Scripts/Services/Items/BufferStackAggregationService.cs:557:BufferStackAggregationService.BufferStackAggregationService,0,0,,canonicalQuantity | depositedQuantity | removedPhysicalStackCount,receipt construction/capture only; exact commit boundary not proven,needs owner-specific transaction audit,none-found: receipt/event is not persisted as a GameplayOutcome,BlueprintResearchSaveSection | ModularFacilityWorldSaveSection | ProductionBillsSaveSection | ProductionPreparedOutputRoutingSaveSection | WorkOrdersSaveSection,,Assets/Scripts/Services/Items/Diagnostics/PreparedOutputHaulPlannerGateDebugScenarios.cs,
CaptiveEscapedEvent,struct,Assets/Scripts/Models/Captivity/Core/CaptivityInteractionContracts.cs,187,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"CaptiveEscapedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",3,Assets/Scripts/Services/Captivity/CaptivityEscapeRuntime.cs:303:PendingInvasionEscape.PendingInvasionEscape | Assets/Scripts/Services/Captivity/CaptivityRuntime.cs:1380:CaptivityRuntime.<unknown> | Assets/Scripts/Services/Captivity/CaptivityRuntime.cs:1721:CaptivityRuntime.CharacterId,3,1,captiveId,,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Captivity/CaptivityRuntime.cs,
CaptivePerformerMilestoneEvent,struct,Assets/Scripts/Models/Captivity/Core/CaptivityInteractionContracts.cs,151,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"CaptivePerformerMilestoneEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",3,Assets/Scripts/Models/Captivity/Core/CaptivityPerformerRuntime.cs:200:CaptivityPerformerRuntime.CaptivityPerformerRuntime | Assets/Scripts/Services/Captivity/CaptivityUnityEffectsAdapter.cs:41:CaptivityUnityEffectsAdapter.CaptivityUnityEffectsAdapter | Assets/Scripts/Services/Infrastructure/Core/Captivity/CaptivityPerformerDefaultPort.cs:26:CaptivityPerformerDefaultPort.CaptivityPerformerDefaultPort,3,0,captiveId,,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,,
CaptiveRansomedEvent,struct,Assets/Scripts/Models/Captivity/Core/CaptivityInteractionContracts.cs,169,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"CaptiveRansomedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Captivity/CaptivityRuntime.cs:1457:CaptivityRuntime.EconomyTransactionContext,1,1,captiveId,amount,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Captivity/CaptivityRuntime.cs,
CareerMentorshipAwardCommitReceipt,struct,Assets/Scripts/Services/Character/CareerApplicationAdapter.cs,323,pre-existing-runtime-candidate,4,관계·욕구·기분·생애·가족,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"CareerMentorshipAwardCommitReceipt is a result-bearing struct carrying exact post-operation data; retain it as a Record candidate, subject to owner commit proof and duplicate suppression.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",5,Assets/Scripts/Services/Character/CareerApplicationAdapter.cs:365:CareerMentorshipAwardCommitReceipt.FromCommittedUse | Assets/Scripts/Services/Character/CareerApplicationAdapter.cs:378:CareerMentorshipAwardCommitReceipt.Restore | Assets/Scripts/Services/Character/CareerApplicationAdapter.cs:551:CareerMentorshipAwardEffect.FromCommittedUse | Assets/Scripts/Services/Run/ObservedCareerLifeEventReceipts.cs:711:ObservedLastLessonLifeEventReceipt.Restore | Assets/Scripts/Services/Run/Wim040ObservedLifeEventReceiptDebugFixture.cs:239:Wim040ObservedLifeEventReceiptDebugFixture.Restore,0,0,academyBuildingId | sourceOperationId,,existing domain commit/outbox terms nearby; no gameplay-outcome joint outbox,possible via existing transaction/outbox adapter; requires owner-specific proof,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterLifeSaveSection | CharacterNarrativeSaveSection | CharacterPsychosocialSaveSection | CharacterWorldSaveSection | DarkSurvivalSaveSection | SurvivalResourcesSaveSection,,Assets/Scripts/Services/Character/CareerApplicationAdapter.cs | Assets/Scripts/Services/Run/V20ContentResolutionService.cs,
CertifiedSeedPlanExecutionReceipt,class,Assets/Scripts/Services/Economy/CertifiedSeedRuntime.cs,19,pre-existing-runtime-candidate,7,환경·농업·야생동물·질병·재난,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"CertifiedSeedPlanExecutionReceipt is a result-bearing class carrying exact post-operation data; retain it as a Record candidate, subject to owner commit proof and duplicate suppression.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",2,Assets/Scripts/Services/Economy/CertifiedSeedRuntime.cs:75:CertifiedSeedPlanExecutionReceipt.CaptureIdentifiers | Assets/Scripts/Services/Economy/CertifiedSeedRuntime.cs:235:CertifiedSeedRuntime.CertifiedSeedPlanExecutionReceipt,0,0,facilityInstanceId,,receipt construction/capture only; exact commit boundary not proven,needs owner-specific transaction audit,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterEnvironmentSaveSection | CropEcologySaveSection | CropPlotSaveSection | EnvironmentalFieldSaveSection | EnvironmentalFireSaveSection | PopulationHealthSaveSection | WildlifeSaveSection,,Assets/Scripts/Services/Economy/CertifiedSeedRuntime.cs,
