stable_id,display_name,problem,solution_family,portfolio_role,player_commitment,delayed_alternative,weakness_and_pressure,activation_receipt,transition_or_recovery,first_milestone_skip,balance_and_implementation_status
research:mining:surface,노천 채석,초기 석재와 얕은 광석 확보,외부 노천 채취,입문,"외부 지형·작업자 안전·귀환 운반선을 일상 노동에 편입한다","목재 중심 건축·폐허 회수·상단 구매","날씨·습격·운반 거리·얕은 광맥 고갈","실제 암석 채취와 석재 또는 얕은 광석의 입고 기록","회수 자재·교역·작은 재고를 써서 채취 중단 구간을 넘긴다",가능,"설계 확정; 광맥·위험·운반·생산성은 밸런스 기준 배정; 실제 지형 작업·재고·사건 연결 검증 OPEN"
research:mining:quarry,채석장,지속적인 구조재와 희귀 광맥 탐색,정착형 채석 거점,주력 정착,"하나의 외부 채석 구역에 경로·보호·채굴 인력과 적재 공간을 묶는다","분산 노천 채취·목재 구조·상단 거래","고정 거점 봉쇄·낙석·경로 단절·인력 고착","채석장 주문이 구조재를 지속 입고하고 희귀 광맥 탐색 결과를 남긴 기록","노천 작업조·자재 비축·다른 재료 구조로 수요를 낮춘다",가능,"설계 확정; 매장량·안전·경로·시설 점유는 밸런스 기준 배정; 실제 고갈·탐색·복구 검증 OPEN"
research:mining:stonecutting,석재 가공,거친 석재를 운송·시공 가능한 구조재로 전환,규격 석재 공정,전환 연결,"절단 작업대·석재 적치·가공 노동을 건설 수요와 같은 구역에 둔다","거친 석재 직접 사용·목재 골조·외부 규격재 구매","절단 병목·분진·작업대 경합·원석 재고 잠김","거친 석재가 규격 블록으로 바뀌어 실제 방벽·방·기반 시설에 투입된 기록","거친 자재 시공·목재 대체·외부 조달로 공사 중단을 막는다",가능,"설계 확정; 변환 손실·작업량·공간·건설 수요는 밸런스 기준 배정; 실제 시공 소비 검증 OPEN"
research:mining:sorting,광석 선별,혼합 채취물을 목적별 금속·연료·결정 흐름으로 분리,선별과 등급 재고,병목 해소,"선별 구역·전용 저장·운반 우선순위를 두고 정제 전 단계의 혼합물을 관리한다","무차별 제련·필요할 때만 채취·상단에서 완제품 구매","선별 노동·저장 칸 점유·잘못된 분류·특정 광물 과잉","석탄·철·귀금속·마나 재료가 서로 다른 생산 주문으로 실제 이동한 기록","혼합 재고를 저등급 공정에 흘리고 부족 재료만 교역으로 메운다",가능,"설계 확정; 분류 수율·재고 한도·운반 우선순위는 밸런스 기준 배정; 실제 물류·주문 연결 검증 OPEN"
research:mining:deep,심부 채굴,얕은 자원 이후의 고위험 원료 확보,심부 광맥 원정,고위험 주력,"깊은 작업선에 연료·정비·환기·구조 인력과 복귀 재고를 선투자한다","재활용·교역·저기술 재료 절약·외부 전초기지","붕괴·장거리 보급·정비 누적·숙련 인력 이탈","심부 채굴 작업이 고급 광물을 반입하고 설비 유지·위험 이력을 함께 남긴 기록","얕은 재료 공정·수리 재활용·원정 중단 규칙으로 손실 확산을 차단한다",가능,"설계 확정; 깊이·연료·정비·위험·보상은 밸런스 기준 배정; 실제 원정·사고·회수 검증 OPEN"
research:mining:mana,마나 시추,불안정한 마나 광맥에서 결정을 안전하게 확보,마나 광맥 시추,비전 산업 주력,"시추 장비·격리 공간·룬 또는 전력 정비를 마나 수요 시설과 연결한다","연료 동력·무역 결정·저등급 장비·비전 공정 보류","공명 사고·광맥 변동·격리 실패·촉매 부족","시추 산출물이 룬 전력·정밀 제작·비전 방어 중 하나의 실제 부하를 충당한 기록","비전 부하 절단·저장 결정·비마나 대체 공정으로 사고 구역을 격리한다",가능,"설계 확정; 광맥 안정도·격리·촉매·부하 연결은 밸런스 기준 배정; 실제 공명·정전·회복 검증 OPEN"
research:metallurgy:primitive,원시 단조,초기 도구·무기와 수리용 금속 부품 확보,돌·뼈·연철의 현장 단조,입문,"작은 단조·연료·기본 공구를 유지해 즉시 제작과 수리를 내부 노동으로 감당한다","목재·석기 도구·상단 구매·전문 공방 의뢰","연료 소모·낮은 내구·작업대 경합·숙련자 부상","기본 도구 또는 무기가 실제 채집·건설·방어 주문에 지급된 기록","석기·목재 도구와 외부 구매로 단조 중단 구간을 버틴다",가능,"설계 확정; 내구·연료·수리·작업량은 밸런스 기준 배정; 실제 장비 소모·교체 검증 OPEN"
research:metallurgy:iron,철제 가공,표준 장비와 건축 부품을 안정적으로 공급,철괴 표준화 공정,주력 정착,"철 원료·제련·대장간·부품 재고를 건설과 장비 수요에 맞춰 묶는다","원시 단조 연장·목재 구조·소량 고가 구매","철광 병목·연료 경쟁·부품 재고 잠김·공방 과부하","철제 도구·장비·건축 부품이 여러 실제 주문에서 소비된 기록","원시 장비 수리·건설 우선순위 축소·교역 철괴로 핵심 수요를 유지한다",가능,"설계 확정; 철 수율·연료·수리·건축 공유 수요는 밸런스 기준 배정; 실제 다중 소비처 검증 OPEN"
research:metallurgy:steel,제강,강도와 중량을 개선한 장비·구조재 확보,숯 기반 제강,상위 장비 전환,"숯 생산·철괴·고열 설비·품질 검사를 결속해 강철 수요를 계획한다","철제 장비 다량 운용·사슬 또는 목재 방호·외부 강철 조달","숯 병목·고열 설비 정지·품질 실패·민수와 군수 경합","강철이 방어·공구·기계 부품 중 둘 이상의 실제 수요에 투입된 기록","철제 장비·수리 재활용·군수 우선 배정으로 제강 중단을 넘긴다",가능,"설계 확정; 숯·제련·품질·공유 수요는 밸런스 기준 배정; 실제 산업·방어 경합 검증 OPEN"
research:metallurgy:advanced,고급 단조,정밀 열처리와 장인 노동으로 고성능 장비를 제한적으로 제작,정밀 단조 공방,선택적 특화,"장인 시간·정밀 설비·검사 재료를 핵심 직책과 고위험 원정 장비에 집중한다","표준 강철 대량 보급·상단 명품 구매·마나 장비 특화","장인 병목·실패품·시설 독점·부품 수급 지연","고급 장비가 지정 인물 또는 고난도 작업에서 실제 성과와 수리 이력을 남긴 기록","표준 장비 재배치·대여 장비·손상품 회수로 장인 공방 정지를 견딘다",가능,"설계 확정; 장인 작업·품질·수리·희소성은 밸런스 기준 배정; 실제 역할 특화 검증 OPEN"
research:metallurgy:blacksteel,흑강,강철과 마나 결정으로 비전 금속 장비를 구축,흑강 복합 공정,비전 군수 주력,"강철·결정·룬 정비·격리 공정을 하나의 고가치 장비 계통에 투자한다","일반 강철 군수·결정의 전력 사용·귀금 세공","결정 부족·공명 손상·복합 공정 정지·장비 수리 난도","흑강 재료와 장비가 비전 방어 또는 정밀 시설에서 실제 사용된 기록","강철 장비로 역할을 낮추고 결정을 전력·의료에 우선 배정한다",가능,"설계 확정; 결정 소비·공명·수리·대체 비용은 밸런스 기준 배정; 실제 비전 수요 경합 검증 OPEN"
research:metallurgy:precious,귀금 세공,권위·외교·고가 장비에 쓸 희소 재료를 가공,귀금속과 보석 세공,외부 관계 특화,"희소 금속·보석·보안 저장·장인 시간을 계약·명성·의례용 물자에 묶는다","철강 기반 시설·현금성 원석 판매·평민 장비 투자","도난·가격 변동·장인 병목·방어와 권위 수요 충돌","세공품이 계약 이행·권위 시설·고가 교역 중 하나에서 실물로 인도된 기록","원석 판매·표준 철강·계약 연기로 현금과 물자 흐름을 회복한다",가능,"설계 확정; 희소성·보관 위험·교역 가치·권위 효과는 밸런스 기준 배정; 실제 계약·손실 검증 OPEN"
research:equipment:mail-weaving,사슬 편조,기동성을 유지하는 유연 방호를 공급,사슬과 충전재 방호 공정,기동 방어 특화,"철 고리·섬유 충전재·수선 작업을 이동 인력과 원정 장비에 우선 배정한다","판금 방어·거리 유지 전술·수비대 고정 배치","부품 소모·수선 노동·둔격 취약·철과 섬유 경합","사슬 방호구가 정찰·원정·기동 대응에서 실제 착용·수선된 기록","경량 의복·방패·후방 복귀로 손상 장비의 공백을 메운다",가능,"설계 확정; 방호·중량·수선·자재 경합은 밸런스 기준 배정; 실제 장비 역할·피해 검증 OPEN"
research:equipment:articulated-plate,관절식 판금,중장 방호와 작업 가능성을 함께 확보,관절 구조 판금 조립,거점 방어 특화,"강철 판재·사슬 연결부·정밀 장인 시간을 핵심 방어 인력과 고위험 작업에 집중한다","사슬 방호·방패 진형·요새화·동맹 방어","제작 지연·무거운 수리 부담·기동 저하·강철 수요 집중","관절식 판금이 방어 거점 또는 위험 작업에서 실제 장착·수리된 기록","사슬·방패·요새 경로로 대응 인력을 보호하고 수리 우선순위를 낮춘다",가능,"설계 확정; 판재·중량·수리·기동 손실은 밸런스 기준 배정; 실제 방어·노동 영향 검증 OPEN"
