stable_id,display_name,problem,solution_family,portfolio_role,player_commitment,delayed_alternative,weakness_and_pressure,activation_receipt,transition_or_recovery,first_milestone_skip,balance_and_implementation_status
research:industry:steam-power,증기 동력과 배전,동력과 산업화,증기 중앙망,입문,"연료·물·보일러·배전·정비를 산업 구역에 집중한다",분산 수공업·외부 농업 확장·수차 전환,"연료 부족·열·보일러 손상·중앙 정전",발전·배전·실제 생산 시설 가동 기록,"수동 작업·구역 차단·비상 저장으로 핵심 구역을 유지한다",가능,"설계 확정; 연료·출력·정비·공간은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:industry:waterwheel,수차 발전,동력과 산업화,수차 보조망,전환 연결,"수원 입지·구동축·송전 거리를 받아들여 증기 연료 부담을 줄인다",즉시 공장 증설과 외부 농지 확장,"수위·계절·파손·송전 거리",수차 출력이 실제 부하 일부를 지속 공급한 기록,"증기 보조·수동 운전·부하 절단으로 수원 고장을 넘긴다",가능,"설계 확정; 수량·출력·거리·계절성은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:industry:mana-power,마나 동력과 룬 전력망,동력과 산업화,마나 전력망,주력 정착,"마나 자원·룬 도체·정비 인력·정밀 시설을 하나의 고밀도 전력망에 결속한다",연료 기반 공장 증설과 물리 방어 투자,"공명 교란·촉매 부족·룬 정비·공통 정전",마나 출력이 룬 공정·의료 또는 문명 시설의 실제 부하를 충당한 기록,"증기·수차 보조와 부하 차단으로 공명 사고를 격리한다",가능,"설계 확정; 마나·촉매·출력·정비·고장 비용은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:industry:assisted-processing,동력 보조 가공,동력과 산업화,수공업에서 전동 공정으로의 전환,전환 연결,"기존 작업대에 전동 모듈과 정비 부담을 붙여 반복 가공을 빠르게 한다",새 시설만 짓는 확장과 수동 장인 생산,"전력 부족·모듈 고장·수동 숙련 공백·작업대 경합",기존 수동 시설이 보조 전력으로 실제 주문 처리량을 높인 기록,"전동 모듈을 해제하고 수동 주문·지역 버퍼로 작업을 유지한다",가능,"설계 확정; 속도·전력·정비·시설 경합은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:industry:powered-tools,공장 공학,동력과 산업화,증기 중앙망·공장 생산,주력 정착,"정밀 도구·강철·물류·배전을 여러 공정의 공용 산업 기반으로 묶는다",서비스 경제·외부 조달·분산 수공업,"공통 부품 부족·정비 인력 과부하·전력망 장애",동력 공구가 실제 생산 주문의 병목을 줄인 기록,"수동 작업대·우선순위 생산·예비 부품으로 핵심 공정을 보호한다",가능,"설계 확정; 공구 BOM·처리량·정비·전력은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:industry:breakers,차단기와 산업 정비,동력과 산업화,산업 복원력,비상 유지,"구역 차단·정비 부품·점검 인력을 전력망의 연쇄 고장 방지에 배정한다",새 생산선·자동화 처리량·군수 확장,"과부하·차단 오판·정비 부품 고갈·복구 지연",고장 구역을 분리해 다른 핵심 부하가 실제로 유지된 기록,"수동 운전·비상 저장·우회 배선으로 고장 구역을 수습한다",가능,"설계 확정; 차단 용량·정비 시간·예비 부품은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:industry:storage,산업 저장과 변압,동력과 산업화,산업 완충망,확장,"전력 저장·변압·부하 우선순위를 생산·의료·방어 구역 사이에 배치한다",즉시 생산 설비 추가와 수동 비상망 확장,"완충 고갈·변압기 손상·우선순위 충돌·희귀 부품 의존",저장 전력이 실제 피크 부하나 정전 중 핵심 시설을 유지한 기록,"비핵심 부하 중지·수동 서비스·구역 분리로 저장 고갈을 넘긴다",가능,"설계 확정; 저장량·변환 손실·공간·정비는 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:industry:conveyor,컨베이어와 물류 포트,저장·운반·생산 조직,컨베이어 공장,주력 정착,"정해진 배치·포트·전력·정비와 재고 규칙으로 반복 물류를 자동화한다",분산 창고·직접 운반·외부 공급망,"포트 막힘·잘못된 우선순위·연쇄 정지·과잉 생산",원료가 포트·가공·출고를 거쳐 실제 소비처에 도착한 기록,"수동 운반·지역 버퍼·라인 정지로 막힌 공정을 해소한다",가능,"설계 확정; 처리량·전력·정비·버퍼·혼잡은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:industry:junctions,분기·필터·우선순위 제어,저장·운반·생산 조직,컨베이어 공장,확장,"여러 생산선의 입력·출력·우선순위를 설계하고 유지한다",새 생산 라인 추가와 원정 장비 투자,"필터 오류·잘못된 우선순위·숨은 출력 포화·정비 복잡성",기근·의료·방어 수요에 따라 실제 화물이 우선 전달된 기록,"수동 우회·필터 해제·비상 버퍼로 잘못된 분기를 복구한다",가능,"설계 확정; 분기 용량·규칙·혼잡·운영 주의력은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:industry:lifts,승강·오버플로·고속 운송,저장·운반·생산 조직,수직 물류 확장,확장,"수직 구역·승강기·오버플로 저장·정비 동선을 대형 정착지 구조에 결속한다",평면 확장·근거리 생산·외부 공급,"승강기 정지·적재 병목·추락 위험·오버플로 확산",다른 고도의 화물이 실제 필요 시설로 제시간에 도착한 기록,"계단 운반·구역 비축·상하층 작업 중지로 승강 장애를 수습한다",가능,"설계 확정; 적재량·속도·공간·정비·안전은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:industry:automatic-bills,자동 주문과 재고 감지,저장·운반·생산 조직,자동 주문 공장,주력 정착,"재고 기준·반복 주문·전력·정비·우선순위를 정책으로 유지한다",수동 주문 판단·서비스 운영·외부 계약 관리,"잘못된 재고 기준·과잉 생산·부품 고갈·정전 중 누적 주문",실제 재고 변동이 반복 주문과 물리 생산·소비로 연결된 기록,"자동 주문 중지·수동 우선순위·버퍼 비축으로 공급망을 회복한다",가능,"설계 확정; 주문 임계값·처리량·정비·주의력 절감은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:industry:line-balancing,라인 균형과 방어 보급,저장·운반·생산 조직,군수·산업 전환 연결,전환 연결,"자동 생산선과 방어 보급을 같은 재료·버퍼·인력 계획으로 조정한다",상업 생산 극대화·새 생산 라인·원정 장비 투자,"군수 우선으로 인한 생활재 부족·라인 불균형·탄약 과잉",침입 또는 원정 준비 시 실제 방어 물자가 필요한 곳으로 전달된 기록,"군수 주문 축소·수동 배급·생활재 버퍼로 전시 병목을 완화한다",가능,"설계 확정; 보급 우선순위·재고·운반·기회비용은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:industry:precision,정밀 자동화,동력과 산업화,정밀 자동화,확장,"계측·고급 재료·정비를 품질 편차와 손실을 줄이는 공정에 배정한다",생산량 중심 확장·수동 장인 품질·군수 준비,"측정 오차·고급 부품 부족·느린 교정·단일 공정 의존",정밀 공정이 실제 재료 손실 또는 품질 실패를 줄인 기록,"표준 공정·수동 검사·다른 생산선으로 정밀 설비 고장을 견딘다",가능,"설계 확정; 품질 분포·손실·교정 노동·부품은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:industry:rune-automation,룬 자동화,동력과 산업화,룬 자동화,확장,"룬 제어반·마나 전력·정비 인력을 복잡한 공정과 유지보수에 집중한다",물리 자동화 확장·다른 비전 연구·수동 운영,"공명 오류·마나 과부하·룬 부품 부족·복잡한 복구",룬 제어가 실제 생산선의 작업·정비 우선순위를 바꾼 기록,"수동 제어·증기 보조·구역 차단으로 공명 고장을 제한한다",가능,"설계 확정; 마나·제어 효과·정비·고장 전파는 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:industry:automatic-sanitation,자동 위생과 산업 안전,물·위생·오염,산업 안전 자동화,확장,"정비·전력·위생 장치와 작업 구역 안전 규칙을 산업 생산선에 결속한다",생산량·군수·서비스 자동화 확장,"센서 고장·청소 부품 부족·안전 우회·오염 누적",실제 위험 구역에서 청소·격리·안전 작업이 자동 보조된 기록,"수동 청소·구역 폐쇄·보호 장비로 자동 안전망 실패를 수습한다",가능,"설계 확정; 안전 처리량·전력·부품·오염 위험은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:climate:environment-control,기후 제어,환경·생산·의료,통제 환경 기반망,주력 정착,"온실·냉각·단열·관측·전력을 서로 다른 생활과 생산 구역의 환경 조건에 결속한다",새 산업 설비·군수·외부 조달 투자,"전력 피크·냉각 실패·환경 의존 구역의 동시 붕괴",온도·습도·공기 조건이 실제 온실·의료·주거 요구를 안정적으로 충족한 기록,"수동 환기·단열·구역 폐쇄·비상 전력으로 환경 제어 정지를 수습한다",가능,"설계 확정; 열·냉각·전력·공간·환경 효과는 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
