group,content_type,record_key,stable_id,display_name,description,mechanics,relations,existence_reason,reason_basis,review_status,review_reason,lifecycle_status,catalog_memberships,runtime_status,runtime_evidence,save_evidence,incoming_reference_count,incoming_source_types,system_role,strategic_niche,costs_and_risks,comparison_group,alternative_candidates,removal_impact,rationale_evidence,source_path,asset_guid,authored__authoringRevision,authored__cooldownRounds,authored__description,authored__displayName,authored__effects,authored__effects__count,authored__kind,authored__kind__enum,authored__kind__label,authored__kind__origin,authored__m_Name,authored__sourceNote,authored__stableId,authored__targetRule,authored__targetRule__enum,authored__targetRule__label,authored__targetRule__origin
combat-health-world,EnemyAbilityDefinitionSO,EnemyAbilityDefinitionSO|enemy-ability:arcane-null,enemy-ability:arcane-null,마법 차단,대상의 비전 강화 효과를 제거하고 취약하게 만든다.,작성 자산 정의,,작성 목적은 '대상의 비전 강화 효과를 제거하고 취약하게 만든다'이다. 다른 콘텐츠 4개가 이 정의를 참조한다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Offense/EnemyEncounterFactory.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,Assets/Scripts/Services/Offense/EnemyEncounterFactory.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,4,EnemyArchetypeDefinitionSO,작성 목적은 '대상의 비전 강화 효과를 제거하고 취약하게 만든다'이다. 다른 콘텐츠 4개가 이 정의를 참조한다.,전투·건강·세계 영역의 EnemyAbilityDefinitionSO 규칙을 분리해 재사용한다.,cooldownRounds=4,EnemyAbilityDefinitionSO,"비교 후보(대체 가능성 미검증): EnemyAbilityDefinitionSO:enemy-ability:armor-break, EnemyAbilityDefinitionSO:enemy-ability:blood-drain, EnemyAbilityDefinitionSO:enemy-ability:charge, EnemyAbilityDefinitionSO:enemy-ability:core-repair, EnemyAbilityDefinitionSO:enemy-ability:field-dressing, EnemyAbilityDefinitionSO:enemy-ability:frost-bind, EnemyAbilityDefinitionSO:enemy-ability:hook-pull, EnemyAbilityDefinitionSO:enemy-ability:poison-cloud, EnemyAbilityDefinitionSO:enemy-ability:powder-shot, EnemyAbilityDefinitionSO:enemy-ability:rally, EnemyAbilityDefinitionSO:enemy-ability:retreat-cover, EnemyAbilityDefinitionSO:enemy-ability:rune-ward 외 5개","직접 참조 4건에 영향: EnemyArchetypeDefinitionSO:enemy:inquisition-censor, EnemyArchetypeDefinitionSO:enemy:inquisition-rune-sniper, EnemyArchetypeDefinitionSO:enemy:truth-null-warden, EnemyArchetypeDefinitionSO:enemy:truth-sealkeeper",description-and-relations; niche=type-contract; cost=cooldownRounds,Assets/Resources/SO/V20/Combat/Abilities/enemy-ability_arcane-null.asset,a1fade85db6cae04a81aa801b0d1e083,1,4,대상의 비전 강화 효과를 제거하고 취약하게 만든다.,마법 차단,"[{""durationRounds"":0,""kind"":8,""magnitude"":1,""targetTag"":""arcane""}]",1,0,EnemyAbilityEffectKind,Damage,implicit-csharp-default,enemy-ability_arcane-null,V20 hand-authored enemy ability.,enemy-ability:arcane-null,2,OffenseBattleTargetRule,Enemy,explicit-serialized
combat-health-world,EnemyAbilityDefinitionSO,EnemyAbilityDefinitionSO|enemy-ability:armor-break,enemy-ability:armor-break,갑주 파쇄,단단한 목표의 방어를 약화시키는 강타를 가한다.,작성 자산 정의,,작성 목적은 '단단한 목표의 방어를 약화시키는 강타를 가한다'이다. 다른 콘텐츠 4개가 이 정의를 참조한다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Offense/EnemyEncounterFactory.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,Assets/Scripts/Services/Offense/EnemyEncounterFactory.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,4,EnemyArchetypeDefinitionSO,작성 목적은 '단단한 목표의 방어를 약화시키는 강타를 가한다'이다. 다른 콘텐츠 4개가 이 정의를 참조한다.,전투·건강·세계 영역의 EnemyAbilityDefinitionSO 규칙을 분리해 재사용한다.,cooldownRounds=3,EnemyAbilityDefinitionSO,"비교 후보(대체 가능성 미검증): EnemyAbilityDefinitionSO:enemy-ability:arcane-null, EnemyAbilityDefinitionSO:enemy-ability:blood-drain, EnemyAbilityDefinitionSO:enemy-ability:charge, EnemyAbilityDefinitionSO:enemy-ability:core-repair, EnemyAbilityDefinitionSO:enemy-ability:field-dressing, EnemyAbilityDefinitionSO:enemy-ability:frost-bind, EnemyAbilityDefinitionSO:enemy-ability:hook-pull, EnemyAbilityDefinitionSO:enemy-ability:poison-cloud, EnemyAbilityDefinitionSO:enemy-ability:powder-shot, EnemyAbilityDefinitionSO:enemy-ability:rally, EnemyAbilityDefinitionSO:enemy-ability:retreat-cover, EnemyAbilityDefinitionSO:enemy-ability:rune-ward 외 5개","직접 참조 4건에 영향: EnemyArchetypeDefinitionSO:enemy:crown-marshal, EnemyArchetypeDefinitionSO:enemy:inquisition-purifier, EnemyArchetypeDefinitionSO:enemy:rival-siege-frame",description-and-relations; niche=type-contract; cost=cooldownRounds,Assets/Resources/SO/V20/Combat/Abilities/enemy-ability_armor-break.asset,e1fd12e6ae7d96f479b21b51611cb20e,1,3,단단한 목표의 방어를 약화시키는 강타를 가한다.,갑주 파쇄,"[{""durationRounds"":2,""kind"":4,""magnitude"":0.3,""targetTag"":""armored""}]",1,0,EnemyAbilityEffectKind,Damage,implicit-csharp-default,enemy-ability_armor-break,V20 hand-authored enemy ability.,enemy-ability:armor-break,2,OffenseBattleTargetRule,Enemy,explicit-serialized
combat-health-world,EnemyAbilityDefinitionSO,EnemyAbilityDefinitionSO|enemy-ability:blood-drain,enemy-ability:blood-drain,혈액 흡수,상처 입은 대상에게 피해를 주고 자신을 회복한다.,작성 자산 정의,,작성 목적은 '상처 입은 대상에게 피해를 주고 자신을 회복한다'이다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Offense/EnemyEncounterFactory.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,Assets/Scripts/Services/Offense/EnemyEncounterFactory.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,0,,작성 목적은 '상처 입은 대상에게 피해를 주고 자신을 회복한다'이다.,전투·건강·세계 영역의 EnemyAbilityDefinitionSO 규칙을 분리해 재사용한다.,cooldownRounds=3,EnemyAbilityDefinitionSO,"비교 후보(대체 가능성 미검증): EnemyAbilityDefinitionSO:enemy-ability:arcane-null, EnemyAbilityDefinitionSO:enemy-ability:armor-break, EnemyAbilityDefinitionSO:enemy-ability:charge, EnemyAbilityDefinitionSO:enemy-ability:core-repair, EnemyAbilityDefinitionSO:enemy-ability:field-dressing, EnemyAbilityDefinitionSO:enemy-ability:frost-bind, EnemyAbilityDefinitionSO:enemy-ability:hook-pull, EnemyAbilityDefinitionSO:enemy-ability:poison-cloud, EnemyAbilityDefinitionSO:enemy-ability:powder-shot, EnemyAbilityDefinitionSO:enemy-ability:rally, EnemyAbilityDefinitionSO:enemy-ability:retreat-cover, EnemyAbilityDefinitionSO:enemy-ability:rune-ward 외 5개",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,description-and-relations; niche=type-contract; cost=cooldownRounds,Assets/Resources/SO/V20/Combat/Abilities/enemy-ability_blood-drain.asset,00a3f181ddeb1ef4d939200be5d08053,1,3,상처 입은 대상에게 피해를 주고 자신을 회복한다.,혈액 흡수,"[{""durationRounds"":0,""kind"":0,""magnitude"":1.2,""targetTag"":""wounded""}]",1,0,EnemyAbilityEffectKind,Damage,implicit-csharp-default,enemy-ability_blood-drain,V20 hand-authored enemy ability.,enemy-ability:blood-drain,2,OffenseBattleTargetRule,Enemy,explicit-serialized
combat-health-world,EnemyAbilityDefinitionSO,EnemyAbilityDefinitionSO|enemy-ability:charge,enemy-ability:charge,돌진,거리를 좁히며 첫 타격의 충격을 높인다.,작성 자산 정의,,작성 목적은 '거리를 좁히며 첫 타격의 충격을 높인다'이다. 다른 콘텐츠 4개가 이 정의를 참조한다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Offense/EnemyEncounterFactory.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,Assets/Scripts/Services/Offense/EnemyEncounterFactory.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,4,EnemyArchetypeDefinitionSO,작성 목적은 '거리를 좁히며 첫 타격의 충격을 높인다'이다. 다른 콘텐츠 4개가 이 정의를 참조한다.,전투·건강·세계 영역의 EnemyAbilityDefinitionSO 규칙을 분리해 재사용한다.,cooldownRounds=2,EnemyAbilityDefinitionSO,"비교 후보(대체 가능성 미검증): EnemyAbilityDefinitionSO:enemy-ability:arcane-null, EnemyAbilityDefinitionSO:enemy-ability:armor-break, EnemyAbilityDefinitionSO:enemy-ability:blood-drain, EnemyAbilityDefinitionSO:enemy-ability:core-repair, EnemyAbilityDefinitionSO:enemy-ability:field-dressing, EnemyAbilityDefinitionSO:enemy-ability:frost-bind, EnemyAbilityDefinitionSO:enemy-ability:hook-pull, EnemyAbilityDefinitionSO:enemy-ability:poison-cloud, EnemyAbilityDefinitionSO:enemy-ability:powder-shot, EnemyAbilityDefinitionSO:enemy-ability:rally, EnemyAbilityDefinitionSO:enemy-ability:retreat-cover, EnemyAbilityDefinitionSO:enemy-ability:rune-ward 외 5개","직접 참조 4건에 영향: EnemyArchetypeDefinitionSO:enemy:crown-levy, EnemyArchetypeDefinitionSO:enemy:merchant-caravan-blade, EnemyArchetypeDefinitionSO:enemy:neutral-mercenary, EnemyArchetypeDefinitionSO:enemy:rival-packbreaker",description-and-relations; niche=type-contract; cost=cooldownRounds,Assets/Resources/SO/V20/Combat/Abilities/enemy-ability_charge.asset,8d63f96c34db36a439daa52ed5b9f1ad,1,2,거리를 좁히며 첫 타격의 충격을 높인다.,돌진,"[{""durationRounds"":0,""kind"":0,""magnitude"":1.25,""targetTag"":""front""}]",1,0,EnemyAbilityEffectKind,Damage,implicit-csharp-default,enemy-ability_charge,V20 hand-authored enemy ability.,enemy-ability:charge,2,OffenseBattleTargetRule,Enemy,explicit-serialized
combat-health-world,EnemyAbilityDefinitionSO,EnemyAbilityDefinitionSO|enemy-ability:core-repair,enemy-ability:core-repair,핵 긴급수리,구성체의 핵과 외장을 전투 중 수리한다.,작성 자산 정의,,작성 목적은 '구성체의 핵과 외장을 전투 중 수리한다'이다. 다른 콘텐츠 3개가 이 정의를 참조한다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Offense/EnemyEncounterFactory.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,Assets/Scripts/Services/Offense/EnemyEncounterFactory.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,3,EnemyArchetypeDefinitionSO,작성 목적은 '구성체의 핵과 외장을 전투 중 수리한다'이다. 다른 콘텐츠 3개가 이 정의를 참조한다.,전투·건강·세계 영역의 EnemyAbilityDefinitionSO 규칙을 분리해 재사용한다.,cooldownRounds=4,EnemyAbilityDefinitionSO,"비교 후보(대체 가능성 미검증): EnemyAbilityDefinitionSO:enemy-ability:arcane-null, EnemyAbilityDefinitionSO:enemy-ability:armor-break, EnemyAbilityDefinitionSO:enemy-ability:blood-drain, EnemyAbilityDefinitionSO:enemy-ability:charge, EnemyAbilityDefinitionSO:enemy-ability:field-dressing, EnemyAbilityDefinitionSO:enemy-ability:frost-bind, EnemyAbilityDefinitionSO:enemy-ability:hook-pull, EnemyAbilityDefinitionSO:enemy-ability:poison-cloud, EnemyAbilityDefinitionSO:enemy-ability:powder-shot, EnemyAbilityDefinitionSO:enemy-ability:rally, EnemyAbilityDefinitionSO:enemy-ability:retreat-cover, EnemyAbilityDefinitionSO:enemy-ability:rune-ward 외 5개","직접 참조 3건에 영향: EnemyArchetypeDefinitionSO:enemy:neutral-clockwork, EnemyArchetypeDefinitionSO:enemy:rival-siege-frame, EnemyArchetypeDefinitionSO:enemy:truth-null-warden",description-and-relations; niche=type-contract; cost=cooldownRounds,Assets/Resources/SO/V20/Combat/Abilities/enemy-ability_core-repair.asset,5efc7a682f03ccb47952654186cfbeaa,1,4,구성체의 핵과 외장을 전투 중 수리한다.,핵 긴급수리,"[{""durationRounds"":0,""kind"":2,""magnitude"":24,""targetTag"":""construct""}]",1,0,EnemyAbilityEffectKind,Damage,implicit-csharp-default,enemy-ability_core-repair,V20 hand-authored enemy ability.,enemy-ability:core-repair,1,OffenseBattleTargetRule,Ally,explicit-serialized
combat-health-world,EnemyAbilityDefinitionSO,EnemyAbilityDefinitionSO|enemy-ability:field-dressing,enemy-ability:field-dressing,야전 처치,가장 크게 다친 아군의 출혈과 체력을 회복한다.,작성 자산 정의,,작성 목적은 '가장 크게 다친 아군의 출혈과 체력을 회복한다'이다. 다른 콘텐츠 3개가 이 정의를 참조한다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Offense/EnemyEncounterFactory.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,Assets/Scripts/Services/Offense/EnemyEncounterFactory.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,3,EnemyArchetypeDefinitionSO,작성 목적은 '가장 크게 다친 아군의 출혈과 체력을 회복한다'이다. 다른 콘텐츠 3개가 이 정의를 참조한다.,전투·건강·세계 영역의 EnemyAbilityDefinitionSO 규칙을 분리해 재사용한다.,cooldownRounds=3,EnemyAbilityDefinitionSO,"비교 후보(대체 가능성 미검증): EnemyAbilityDefinitionSO:enemy-ability:arcane-null, EnemyAbilityDefinitionSO:enemy-ability:armor-break, EnemyAbilityDefinitionSO:enemy-ability:blood-drain, EnemyAbilityDefinitionSO:enemy-ability:charge, EnemyAbilityDefinitionSO:enemy-ability:core-repair, EnemyAbilityDefinitionSO:enemy-ability:frost-bind, EnemyAbilityDefinitionSO:enemy-ability:hook-pull, EnemyAbilityDefinitionSO:enemy-ability:poison-cloud, EnemyAbilityDefinitionSO:enemy-ability:powder-shot, EnemyAbilityDefinitionSO:enemy-ability:rally, EnemyAbilityDefinitionSO:enemy-ability:retreat-cover, EnemyAbilityDefinitionSO:enemy-ability:rune-ward 외 5개","직접 참조 3건에 영향: EnemyArchetypeDefinitionSO:enemy:crown-chaplain, EnemyArchetypeDefinitionSO:enemy:legion-surgeon, EnemyArchetypeDefinitionSO:enemy:settler-herbalist",description-and-relations; niche=type-contract; cost=cooldownRounds,Assets/Resources/SO/V20/Combat/Abilities/enemy-ability_field-dressing.asset,d15097306defe1f48af15f8d909043f9,1,3,가장 크게 다친 아군의 출혈과 체력을 회복한다.,야전 처치,"[{""durationRounds"":0,""kind"":2,""magnitude"":18,""targetTag"":""injured-ally""}]",1,0,EnemyAbilityEffectKind,Damage,implicit-csharp-default,enemy-ability_field-dressing,V20 hand-authored enemy ability.,enemy-ability:field-dressing,1,OffenseBattleTargetRule,Ally,explicit-serialized
combat-health-world,EnemyAbilityDefinitionSO,EnemyAbilityDefinitionSO|enemy-ability:frost-bind,enemy-ability:frost-bind,서리 구속,대상의 이동과 다음 행동을 크게 늦춘다.,작성 자산 정의,,작성 목적은 '대상의 이동과 다음 행동을 크게 늦춘다'이다. 다른 콘텐츠 2개가 이 정의를 참조한다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Offense/EnemyEncounterFactory.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,Assets/Scripts/Services/Offense/EnemyEncounterFactory.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,2,EnemyArchetypeDefinitionSO,작성 목적은 '대상의 이동과 다음 행동을 크게 늦춘다'이다. 다른 콘텐츠 2개가 이 정의를 참조한다.,전투·건강·세계 영역의 EnemyAbilityDefinitionSO 규칙을 분리해 재사용한다.,cooldownRounds=3,EnemyAbilityDefinitionSO,"비교 후보(대체 가능성 미검증): EnemyAbilityDefinitionSO:enemy-ability:arcane-null, EnemyAbilityDefinitionSO:enemy-ability:armor-break, EnemyAbilityDefinitionSO:enemy-ability:blood-drain, EnemyAbilityDefinitionSO:enemy-ability:charge, EnemyAbilityDefinitionSO:enemy-ability:core-repair, EnemyAbilityDefinitionSO:enemy-ability:field-dressing, EnemyAbilityDefinitionSO:enemy-ability:hook-pull, EnemyAbilityDefinitionSO:enemy-ability:poison-cloud, EnemyAbilityDefinitionSO:enemy-ability:powder-shot, EnemyAbilityDefinitionSO:enemy-ability:rally, EnemyAbilityDefinitionSO:enemy-ability:retreat-cover, EnemyAbilityDefinitionSO:enemy-ability:rune-ward 외 5개","직접 참조 2건에 영향: EnemyArchetypeDefinitionSO:enemy:rival-stormcaller, EnemyArchetypeDefinitionSO:enemy:settler-trapper",description-and-relations; niche=type-contract; cost=cooldownRounds,Assets/Resources/SO/V20/Combat/Abilities/enemy-ability_frost-bind.asset,47fa1e19a5166bd4e8d8de8bd5e8e0a7,1,3,대상의 이동과 다음 행동을 크게 늦춘다.,서리 구속,"[{""durationRounds"":2,""kind"":3,""magnitude"":3,""targetTag"":""fast""}]",1,0,EnemyAbilityEffectKind,Damage,implicit-csharp-default,enemy-ability_frost-bind,V20 hand-authored enemy ability.,enemy-ability:frost-bind,2,OffenseBattleTargetRule,Enemy,explicit-serialized
combat-health-world,EnemyAbilityDefinitionSO,EnemyAbilityDefinitionSO|enemy-ability:hook-pull,enemy-ability:hook-pull,갈고리 끌기,후열 대상을 전열로 끌어내 진형을 무너뜨린다.,작성 자산 정의,,작성 목적은 '후열 대상을 전열로 끌어내 진형을 무너뜨린다'이다. 다른 콘텐츠 2개가 이 정의를 참조한다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Offense/EnemyEncounterFactory.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,Assets/Scripts/Services/Offense/EnemyEncounterFactory.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,2,EnemyArchetypeDefinitionSO,작성 목적은 '후열 대상을 전열로 끌어내 진형을 무너뜨린다'이다. 다른 콘텐츠 2개가 이 정의를 참조한다.,전투·건강·세계 영역의 EnemyAbilityDefinitionSO 규칙을 분리해 재사용한다.,cooldownRounds=3,EnemyAbilityDefinitionSO,"비교 후보(대체 가능성 미검증): EnemyAbilityDefinitionSO:enemy-ability:arcane-null, EnemyAbilityDefinitionSO:enemy-ability:armor-break, EnemyAbilityDefinitionSO:enemy-ability:blood-drain, EnemyAbilityDefinitionSO:enemy-ability:charge, EnemyAbilityDefinitionSO:enemy-ability:core-repair, EnemyAbilityDefinitionSO:enemy-ability:field-dressing, EnemyAbilityDefinitionSO:enemy-ability:frost-bind, EnemyAbilityDefinitionSO:enemy-ability:poison-cloud, EnemyAbilityDefinitionSO:enemy-ability:powder-shot, EnemyAbilityDefinitionSO:enemy-ability:rally, EnemyAbilityDefinitionSO:enemy-ability:retreat-cover, EnemyAbilityDefinitionSO:enemy-ability:rune-ward 외 5개","직접 참조 2건에 영향: EnemyArchetypeDefinitionSO:enemy:legion-pikeman, EnemyArchetypeDefinitionSO:enemy:rival-packbreaker",description-and-relations; niche=type-contract; cost=cooldownRounds,Assets/Resources/SO/V20/Combat/Abilities/enemy-ability_hook-pull.asset,dfa6d7bb696cc2d49bb81f65a4d65fce,1,3,후열 대상을 전열로 끌어내 진형을 무너뜨린다.,갈고리 끌기,"[{""durationRounds"":0,""kind"":3,""magnitude"":2,""targetTag"":""backline""}]",1,0,EnemyAbilityEffectKind,Damage,implicit-csharp-default,enemy-ability_hook-pull,V20 hand-authored enemy ability.,enemy-ability:hook-pull,2,OffenseBattleTargetRule,Enemy,explicit-serialized
combat-health-world,EnemyAbilityDefinitionSO,EnemyAbilityDefinitionSO|enemy-ability:poison-cloud,enemy-ability:poison-cloud,독성 구름,구역에 지속 독 피해를 남겨 엄폐지를 비우게 한다.,작성 자산 정의,,작성 목적은 '구역에 지속 독 피해를 남겨 엄폐지를 비우게 한다'이다. 다른 콘텐츠 3개가 이 정의를 참조한다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Offense/EnemyEncounterFactory.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,Assets/Scripts/Services/Offense/EnemyEncounterFactory.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,3,EnemyArchetypeDefinitionSO,작성 목적은 '구역에 지속 독 피해를 남겨 엄폐지를 비우게 한다'이다. 다른 콘텐츠 3개가 이 정의를 참조한다.,전투·건강·세계 영역의 EnemyAbilityDefinitionSO 규칙을 분리해 재사용한다.,cooldownRounds=4,EnemyAbilityDefinitionSO,"비교 후보(대체 가능성 미검증): EnemyAbilityDefinitionSO:enemy-ability:arcane-null, EnemyAbilityDefinitionSO:enemy-ability:armor-break, EnemyAbilityDefinitionSO:enemy-ability:blood-drain, EnemyAbilityDefinitionSO:enemy-ability:charge, EnemyAbilityDefinitionSO:enemy-ability:core-repair, EnemyAbilityDefinitionSO:enemy-ability:field-dressing, EnemyAbilityDefinitionSO:enemy-ability:frost-bind, EnemyAbilityDefinitionSO:enemy-ability:hook-pull, EnemyAbilityDefinitionSO:enemy-ability:powder-shot, EnemyAbilityDefinitionSO:enemy-ability:rally, EnemyAbilityDefinitionSO:enemy-ability:retreat-cover, EnemyAbilityDefinitionSO:enemy-ability:rune-ward 외 5개","직접 참조 3건에 영향: EnemyArchetypeDefinitionSO:enemy:merchant-alchemist, EnemyArchetypeDefinitionSO:enemy:rival-spore-shepherd, EnemyArchetypeDefinitionSO:enemy:settler-herbalist",description-and-relations; niche=type-contract; cost=cooldownRounds,Assets/Resources/SO/V20/Combat/Abilities/enemy-ability_poison-cloud.asset,16f295755b6bedd408391a0fe9fe8932,1,4,구역에 지속 독 피해를 남겨 엄폐지를 비우게 한다.,독성 구름,"[{""durationRounds"":3,""kind"":1,""magnitude"":7,""targetTag"":""cluster""}]",1,0,EnemyAbilityEffectKind,Damage,implicit-csharp-default,enemy-ability_poison-cloud,V20 hand-authored enemy ability.,enemy-ability:poison-cloud,2,OffenseBattleTargetRule,Enemy,explicit-serialized
combat-health-world,EnemyAbilityDefinitionSO,EnemyAbilityDefinitionSO|enemy-ability:powder-shot,enemy-ability:powder-shot,화약 일제,긴 준비 뒤 방어구를 뚫는 강한 사격을 가한다.,작성 자산 정의,,작성 목적은 '긴 준비 뒤 방어구를 뚫는 강한 사격을 가한다'이다. 다른 콘텐츠 2개가 이 정의를 참조한다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Offense/EnemyEncounterFactory.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,Assets/Scripts/Services/Offense/EnemyEncounterFactory.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,2,EnemyArchetypeDefinitionSO,작성 목적은 '긴 준비 뒤 방어구를 뚫는 강한 사격을 가한다'이다. 다른 콘텐츠 2개가 이 정의를 참조한다.,전투·건강·세계 영역의 EnemyAbilityDefinitionSO 규칙을 분리해 재사용한다.,cooldownRounds=3,EnemyAbilityDefinitionSO,"비교 후보(대체 가능성 미검증): EnemyAbilityDefinitionSO:enemy-ability:arcane-null, EnemyAbilityDefinitionSO:enemy-ability:armor-break, EnemyAbilityDefinitionSO:enemy-ability:blood-drain, EnemyAbilityDefinitionSO:enemy-ability:charge, EnemyAbilityDefinitionSO:enemy-ability:core-repair, EnemyAbilityDefinitionSO:enemy-ability:field-dressing, EnemyAbilityDefinitionSO:enemy-ability:frost-bind, EnemyAbilityDefinitionSO:enemy-ability:hook-pull, EnemyAbilityDefinitionSO:enemy-ability:poison-cloud, EnemyAbilityDefinitionSO:enemy-ability:rally, EnemyAbilityDefinitionSO:enemy-ability:retreat-cover, EnemyAbilityDefinitionSO:enemy-ability:rune-ward 외 5개","직접 참조 2건에 영향: EnemyArchetypeDefinitionSO:enemy:legion-arquebus, EnemyArchetypeDefinitionSO:enemy:neutral-smoke-sapper",description-and-relations; niche=type-contract; cost=cooldownRounds,Assets/Resources/SO/V20/Combat/Abilities/enemy-ability_powder-shot.asset,703cc8ca0f9c59149a303cd6d2000a54,1,3,긴 준비 뒤 방어구를 뚫는 강한 사격을 가한다.,화약 일제,"[{""durationRounds"":0,""kind"":0,""magnitude"":1.55,""targetTag"":""armored""}]",1,0,EnemyAbilityEffectKind,Damage,implicit-csharp-default,enemy-ability_powder-shot,V20 hand-authored enemy ability.,enemy-ability:powder-shot,2,OffenseBattleTargetRule,Enemy,explicit-serialized
