stable_id,target_integration,actual_cause,locked_context,meaningful_choices,domain_execution,completion_receipt,persistent_trace,future_reaction,current_status
life-event:apprentice-mistake,C3,"도제의 실제 제작 배치에서 손상품과 재료 손실 발생","도제·멘토·제작 주문·재료 재고","교육; 회수·재생; 고위험 주문 제외","교육·분류·운반·재생 작업 예약","교육 또는 회수·손실 확정","실패 원인·멘토 관계·공정 이력","대작·승급·재발 방지 투자","설계 확정; 장기 작업 runtime OPEN"
life-event:captains-test,C4,"침입 경보에서 퇴로와 민간 동선이 함께 위협","대장 후보·경계 구역·철수 동선·무기","제한 역습; 철수 엄호; 요새 고정","전투조·호위·방벽 수리 배정","교전·귀환·장비 소모·방어선 상태","대장 평판·취약 동선·방어 교리","침입 편성·대장 임명·세력 신뢰","설계 확정; 조우·철수 runtime OPEN"
life-event:childhood-bully,C3,"문화가 다른 아동 사이 반복 놀림이 보육 구역 다툼으로 번짐","가해·피해 아동·보호자·보육실·문화 물자","공개 화해; 분리 교육; 보호자 공동 작업","모임·교육·보호자 배정","참여·중재·재결합 결과","가구 관계·문화 신뢰·갈등 이력","문화 청원·축제·아동 사건","설계 확정; 문화·보육 runtime OPEN"
life-event:clinic-shortage,C4,"주민과 외부 손님이 동시에 중증이고 약제·침상·전문의 부족","환자·접수·약제·침상·손님 세력","위급도 우선; 주민 우선; 이송·교섭","치료 슬롯·약제·호송 또는 계약 요청","투약·대기·이송·회복 또는 악화","치료 우선순위·세력 신뢰·의료 부족","손님 계약·진료소 평판·의료 사건","설계 확정; 접수·재고 runtime OPEN"
life-event:cultural-petition,C3,"공동 식당의 메뉴·조리 동선이 가구의 문화 금기를 침해","가구·주방·재료 보관·조리대","별도 조리대; 공통 대체식; 시간 분리","시설 재배치·재료 분리·조리·청소","식사 제공·분리 보관·전환 완료","식단 규칙·공간 점유·문화 신뢰","손님 요청·축제 메뉴·정착","설계 확정; 식단·방 재구성 runtime OPEN"
life-event:dangerous-friendship,C3,"아동 둘이 산업 구역 위험 동선을 통과","아동·보호자·위험 시설·출입문","안전 교육; 안전 통로; 출입 제한","교육·표지·문 권한·보육 재배정","교육·통로·출입 기록","안전 규칙·보호자 관계·위험 동선","산업 사고·도제 배치","설계 확정; 출입·동선 runtime OPEN"
life-event:disputed-thesis,C3,"새 연구 결과가 기존 이론과 진행 주문에 충돌","연구자·기록실·실험 시설·시약","공개 재현; 추가 표본; 기존 공정 보류","실험 슬롯·시약·검토·주문 조정","재현 결과·검증 기록·공정 상태","연구 신뢰·논문 계보·지연 주문","연구·유물 감정·학술 계약","설계 확정; 기록·실험 runtime OPEN"
life-event:elder-birthday,C2,"노년 인물의 가구·식사·은퇴 조건에서 기일 도래","노년 인물·가구·식사·휴게 공간","자동 기념; 가족 식사; 작은 행사","식사·가구 모임·기념품 이동","행사 참여·식사 소비","가구 결속·세대 기억","은퇴·마지막 수업·유산","설계 확정; 자동 receipt reader OPEN"
life-event:family-room,C3,"가구 증가로 침상·보관·세정이 충돌","가구·침상·보관·세정·후보 방","가족실 전환; 공동 보육실 확장; 임시 배정","파츠 해체·운반·청소·이전","방 조건·이전·새 용도","가구 배정·방 이력·이전 비용","출생·보호자·손님 객실","설계 확정; 조립식 재배정 runtime OPEN"
life-event:first-forbidden-door,C3,"아동이 출입 제한 구역의 작업과 위험물에 관심","아동·보호자·잠긴 문·인접 시설","동행 점검; 안전 견학; 금지와 대체 활동","동행·권한·교육·보육 작업","점검·권한·교육 완료","안전 교육·출입 규칙·보호자 관계","산업 안전·도제 배치","설계 확정; 문 권한 runtime OPEN"
life-event:first-lost-tooth,C2,"아동 생활 단계와 문화 관습 조건 충족","아동·보호자·가구·기념 물자","자동 기념; 기념품 보관; 공동 기록","기념품 이동·가구 기록","물품 보관 또는 문화 기록","아동 계보·문화 참여","보육·세대 행사","설계 확정; 자동 기록 reader OPEN"
life-event:first-safe-task,C2,"청소년이 감독 아래 안전 작업 완료","청소년·멘토·작업장·안전 장비","자동 성취; 장비 지급; 다음 도제 배정","주문 검증·장비 회수·멘토 기록","완료 주문·안전 조건","도제 숙련·멘토 관계·직무 후보","실수·대작·승급","설계 확정; 주문 기반 trigger OPEN"
life-event:foundling-question,C3,"입양 아동이 출생 기록 열람을 요청","아동·보호자·기록실·봉인 문서","공동 열람; 성년까지 보관; 출처 추적","기록 조회·상담·외부 연락·권한 변경","열람·봉인·추적 결과","출생 기록 권한·가구 신뢰","상속·세력 접촉·성년 사건","설계 확정; 기록 권한 runtime OPEN"
life-event:grave-visit,C2,"기일과 가구 관계·추모 공간 조건 일치","유족·묘지·기념 물자","자동 방문; 추모 물자; 작업 휴식","방문·물자 소비·휴식","방문·참여·추모 물자","유족 상태·유산 위치·추모 기억","원수·유물·가구 빚","설계 확정; 자동 방문 reader OPEN"
life-event:guardian-oath,C3,"보호자 상실 뒤 미성년자의 가구 배정 필요","아동·후보 보호자·가구 방·돌봄 일정","가까운 관계; 안정 가구; 공동 보호","가구 이전·돌봄 일정·방 배정","보호자·침상·돌봄 완료","보호 책임·가구 부담·승계 기록","식사·교육·독립·위기","설계 확정; 가구 권위 runtime OPEN"
life-event:household-meal,C2,"가구가 근무표 사이에서 공동 식사","가구·주방·식당 좌석·근무표","자동 식사; 교대 조정; 특별 메뉴","조리·배식·좌석·교대","식사 소비·참여·근무 변경","가구 결속·메뉴 선호·피로","주거·문화 식단·갈등","설계 확정; 식사 reader OPEN"
life-event:inherited-debt,C4,"사망자 가구의 세력 의무가 상속자에게 만기 도달","가구·채권 세력·계약·화물·기한","실물 상환; 정당성 심사; 분할 계약","물자 예약·운반·집무 심사·교섭","인도·판정·새 계약·기한","가구 의무·담보·세력 신뢰","압류·지원·보복·계약","설계 확정; 승계·기한 runtime OPEN"
life-event:killer-sighted,C4,"정찰이 사망 관련 표적의 실제 위치 확인","유족·정찰대·표적 세력·장비·전투 계획","생포 준비; 감시·증거; 포기·공개","원정·적재·정찰·추모 작업","교전·생포·증거·철수","복수 목표·전투 손실·세력 적대","침입·세력 장·장례","설계 확정; 원정·포로 runtime OPEN"
life-event:last-lesson,C3,"노련한 스승의 건강·은퇴 상태와 도제 수요가 만남","스승·도제·작업장·안전 장비","안전 시연; 원래 실습; 기록 강의","작업장·장비 점검·감독·강의","시연·작품·사고·기록","스승 건강·도제 숙련·교육 방식","은퇴·도구 상속·대작","설계 확정; 교육·건강 runtime OPEN"
life-event:lineage-relic,C3,"사망 또는 은퇴 뒤 유물 소유·공동 사용 요구 충돌","후계자·유물·보관·기록실·랜드마크","후계자 계승; 공동체 봉헌; 분해 배분","이동·보관 권한·전시 또는 분해","소유 이전·설치·분해 산출","유물 소유·가구 신뢰·장비 이력","계보 장비·세력 요구·유산","설계 확정; 소유권 runtime OPEN"
life-event:masterpiece-commission,C4,"도제 또는 장인이 고난도 제작 의뢰 수령","장인·도제·작업장·희소 재료·기한·세력","희소 재료; 표준 재료; 의뢰 연기","재료 예약·제작·검사·운반·교섭","완성품·손상품·인도·기한","장인 명성·재료 손실·세력 신뢰","추가 의뢰·경쟁 설계·세력 장","설계 확정; 제작·계약 runtime OPEN"
life-event:mentor-favor,C3,"도제 작업 배정이 멘토 재량으로 한쪽에 집중","멘토·도제·작업 주문·평가 공간","배정 공개; 재량 지지; 순환 과제","주문 재배치·기록 공개·평가","배정표·평가·숙련 변화","도제 관계·멘토 신뢰·공방 규칙","실수·대작·직책 경쟁","설계 확정; 배정 기록 runtime OPEN"
life-event:newborn-welcome,C2,"출생·가구·보호자·생활 공간 등록 완료","신생아·보호자·가구·침상·식사","자동 환영; 가구 식사; 문화 기록","출생 등록·식사·물품 배정","가구 등록·참여·기념품","세대 계보·보호 책임·문화 참여","영아 돌봄·주거·교육","설계 확정; 출생 reader OPEN"
life-event:position-rivalry,C3,"같은 직책의 실제 작업과 권한을 두 숙련자가 요구","후보 둘·직책·평가 작업·작업장","실기 평가; 공동 임무; 역할 분화","주문 예약·평가·직책 배정","평가·완료 주문·임명","직책 이력·후보 관계·권한","승급·대장 시험·논쟁","설계 확정; 직책 runtime OPEN"
life-event:quiet-promotion,C2,"누적 작업·안전·멘토 이력이 승급 조건 충족","승급자·직책·멘토·장비·작업장","자동 승급; 장비 지급; 새 역할","이력 검증·직책 변경·장비 이동","승급·장비·새 주문","숙련 등급·장비 책임·직책","경쟁·대장 시험·대작","설계 확정; 누적 이력 trigger OPEN"
life-event:retiree-story,C2,"은퇴자의 실패 이력과 청년의 유사 작업이 만남","은퇴자·청년·휴게실 또는 기록실·작업","자동 조언; 멘토 시간; 위험 작업 재배치","이야기 기록·멘토·위험 표시","기록·작업 배정·예방","멘토 이력·위험 원인·세대 연결","마지막 수업·은퇴·안전","설계 확정; 이력 reader OPEN"
life-event:retirement-request,C3,"노년 장인이 건강·연령·후계자 상태에서 은퇴 요청","장인·후계자·작업장·은퇴 공간","은퇴·멘토; 한 계절 연장; 단계 이관","직책 변경·도구 이동·교육·작업 축소","은퇴·후계자·도구 인계","은퇴 상태·숙련 이전·생산 변화","도구 상속·수업·경쟁","설계 확정; 역할 이관 runtime OPEN"
life-event:shared-lullaby,C2,"서로 다른 문화의 보육 관습이 공동 보육실에서 반복","아동·보호자·보육실·문화 기록","자동 융합; 문화 모임; 분리 시간","보육 참여·기록·시간표","참여·문화 항목·아동 관계","문화 융합·보육 관습·가구 신뢰","축제·청원·놀림","설계 확정; 문화 reader OPEN"
life-event:shift-saved,C2,"작업자가 동료의 위험 교대를 대신 완료","구조자·동료·위험 작업·장비·근무표","자동 도움; 장비 수리; 다음 교대 보상","교대 변경·장비 회수·휴식","완료 주문·장비 손상·휴식","동료 관계·피로·안전 이력","대장 시험·외상 치료·승급","설계 확정; 작업 reader OPEN"
life-event:stolen-design,C3,"도제 시제품과 경쟁 작업반의 설계 기록 충돌","도제·경쟁자·문서·작업장·심사 공간","공식 심사; 공동 설계; 새 시제품","기록 비교·심사·제작·재료 예약","판정·공동 소유·새 제작물","설계 소유·공방 평판·문서 이력","대작·논쟁·직책·세력 의뢰","설계 확정; 문서 권위 runtime OPEN"
life-event:story-compressed,C2,"개인·가구 기록이 추모 시점에 계보로 정리","기록실·가구·유물·추모 공간","자동 정리; 공개 열람; 제한 보관","기록 압축·유물 연결·권한 갱신","계보 요약·열람 상태","가구 서사·유물 출처·세력 기억","유산·입양 기록·추모","설계 확정; 기록 권한 reader OPEN"
life-event:tool-inheritance,C2,"은퇴자가 도구와 수리·사용 이력을 도제에게 인계","은퇴자·도제·도구·보관·작업장","자동 인계; 수리 뒤 지급; 공동 보관","소유 이전·수리·장비 지급·작업 배정","도구 소유·상태·사용자·수리","계보 장비·도제 숙련·공방 재고","대작·수업·계보 결속","설계 확정; 장비 권위 runtime OPEN"
