portfolio_id,horizon_day,stage,primary_research_ids,operating_building_ids,signature_content_ids,combat_case_id,signature_pressure_id,external_obligation_id,committed_payoff,delayed_investment,reconfiguration_when_pressure_hits,static_link_status
sanctuary,10,first-operation,research:agriculture:field|research:cuisine:crops,building:1095|building:1087,recipe:grain-porridge,encounter:01,seasonal:autumn-early-frost,—,경작 면적과 조리대를 연결해 수확물을 즉시 식량으로 바꾼다,실내 배양과 고정 산업 기반망,비축을 먼저 소비하고 파종·수확 인력을 보온·운반으로 재배치한다,all-ids-resolved
sanctuary,30,first-commitment,research:agriculture:field|research:cuisine:crops|research:survival:sanitation,building:1095|building:1087|building:1097,recipe:grain-porridge|recipe:incinerate-mixed,encounter:07,seasonal:summer-dry-well,—,식량 생산과 폐기 처리를 같은 일상 노동으로 묶어 부패 재고를 비용 없이 숨기지 못하게 한다,객실·계약·군수 공간,비상시 새 경작과 비핵심 운반을 멈추고 물·보존·위생에 노동을 투입한다,all-ids-resolved
sanctuary,120,main-network,research:agriculture:irrigation|research:agriculture:phenology|research:survival:preservation,building:8802|building:8850|building:1088,recipe:resource:clean-water|recipe:brined-vegetable,encounter:11,seasonal:summer-dry-well,faction-contract:beastkin:supply,관개와 보존을 연결해 계절 생산을 봉쇄 기간의 재고로 전환한다,정밀 자동화와 고위험 원정,가뭄에는 관개·조리·보존만 유지하고 외부 화물과 추가 파종을 뒤로 미룬다,all-ids-resolved
sanctuary,400,specialization,research:agriculture:soil-cycles|research:survival:seasonal-storage|research:life:seasonal-calendar,building:8852|building:8853|building:8849,recipe:supply:botanical-pesticide|recipe:component:sealed-seasonal-container,encounter:17,seasonal:spring-spore-rain,faction-contract:myconid:crisis,병해 대응과 장기 보관을 늘리는 대신 계절 계획·공간·정비를 상시 점유한다,대량 군수와 서비스 자동화,감염 구역을 끊고 기존 비축을 배급하며 병해 처리와 보관 복구를 먼저 끝낸다,all-ids-resolved
sanctuary,960,capstone,research:agriculture:cultivar-breeding|research:husbandry:seasonal-breeding|research:health:vaccination,building:8893|building:8855|building:8876,recipe:supply:certified-seed-kit|recipe:medicine:vaccine:cave-flu,encounter:25,seasonal:winter-cave-flu-wave,faction-contract:beastkin:strategic,품종·번식·예방을 결속해 고가 식량과 인구 안정성을 만든다,화약 군수와 비전 종착 의료,질병 파동에는 번식·고급 작물 증산을 늦추고 백신·사료·격리 동선을 우선한다,all-ids-resolved
underground,10,first-operation,research:agriculture:indoor|research:cuisine:crops,building:1096|building:1627|building:1087,recipe:mushroom-soup,encounter:01,seasonal:spring-spore-rain,—,실내 재배와 조리를 연결해 외부 면적 대신 환경 조건을 식량 생산의 관문으로 삼는다,표면 경작과 건조한 대형 작업장,오염 신호가 나면 새 배양을 멈추고 청결·환기·조리 구역을 분리한다,all-ids-resolved
underground,30,first-commitment,research:agriculture:indoor|research:cuisine:crops|research:survival:sanitation,building:1096|building:1627|building:1087,recipe:mushroom-soup|recipe:incinerate-mixed,encounter:07,seasonal:spring-spore-rain,—,배양 산출과 폐기 처리를 함께 운영해 오염을 재고 손실과 노동 손실로 드러낸다,개방형 환대와 외부 농지,배양 구역 하나를 격리하고 나머지 구역의 조리·위생을 유지한다,all-ids-resolved
underground,120,main-network,research:agriculture:subterranean|research:forestry:fungal|research:plumbing:reuse,building:8803|building:8813|building:9821,recipe:supply:mushroom-substrate|recipe:supply:inoculated-log|recipe:component:reclaimed-water-filter,encounter:11,seasonal:spring-spore-rain,faction-contract:myconid:supply,배양재·접종 원목·재이용수를 하나의 내부 생태망으로 만들어 표면 조달을 줄인다,외부 경작과 장거리 교역,배양재 생산을 줄이고 분산 보관·수동 위생·격리로 오염 확산을 차단한다,all-ids-resolved
underground,400,specialization,research:health:isolation-medicine|research:climate:environment-control|research:plumbing:rune-purification,building:8874|building:8856|building:9822,recipe:medical:isolation-care-kit|recipe:component:rune-purification-crystal,encounter:17,seasonal:summer-heat-grid,—,밀집 환경의 생산량을 격리·환경 제어·룬 정화 비용과 교환한다,개방형 공장과 서비스 면적,전력 또는 오염 사고에는 구역을 차단하고 격리 치료·수동 정화로 핵심 재배만 살린다,all-ids-resolved
underground,960,capstone,research:climate:regional-climatology|research:environment:rune-insulation|research:medical:mycelial-grafting,building:8889|building:1502,recipe:rune-cold-suit|recipe:medical:sterile-mycelium-graft,encounter:25,seasonal:winter-cave-flu-wave,faction-contract:myconid:strategic,환경 관측·단열·종족 특화 치료로 내부 정착의 장기 생존성을 만든다,표면 확장과 중량 군수,호흡기 질환에는 생산실을 줄이고 보온·격리·이식 재료를 우선 배치한다,all-ids-resolved
