"festival_id","season","day_of_season","culture_id","required_building_id","required_bom","required_kg","required_market_value","minimum_participants","success_outcome","partial_outcome","failure_outcome","final_value_source","static_status"
"festival:ash-oath","3","12","culture:demon-contract","building:faction-audience-hall","material:paper×12","10.8","108","6","mood=6;days=10;rapport=0;grief=0","mood=2;days=5;rapport=0;grief=0","mood=-3;days=4;rapport=0;grief=0","serialized V20 FestivalDefinitionSO asset + item-numeric-ledger.csv","locked"
"festival:blood-lantern","2","30","culture:vampire-nightcourt","workstation:v19:memorial-room","craft:candle×8","1.6","128","6","mood=6;days=10;rapport=0;grief=25","mood=2;days=5;rapport=0;grief=10","mood=-3;days=4;rapport=0;grief=0","serialized V20 FestivalDefinitionSO asset + item-numeric-ledger.csv","locked"
"festival:clear-confluence","1","20","culture:slime-confluence","building:clean-water-reservoir","resource:clean-water×24","12","24","8","mood=6;days=10;rapport=0;grief=0","mood=2;days=5;rapport=0;grief=0","mood=-3;days=4;rapport=0;grief=0","serialized V20 FestivalDefinitionSO asset + item-numeric-ledger.csv","locked"
"festival:core-resonance","1","6","culture:golem-core","building:rune-tuning-room","tool:maintenance-kit×2","4.7","216","5","mood=6;days=10;rapport=0;grief=0","mood=2;days=5;rapport=0;grief=0","mood=-3;days=4;rapport=0;grief=0","serialized V20 FestivalDefinitionSO asset + item-numeric-ledger.csv","locked"
"festival:dungeon-accord-day","2","12","requiredBuildingDefinitionId: building:faction-audience-hall","building:faction-audience-hall","craft:dreamweave-ritual-banner×1","1.35","174","12","mood=6;days=10;rapport=3;grief=0","mood=2;days=5;rapport=0;grief=0","mood=-3;days=4;rapport=-2;grief=0","serialized V20 FestivalDefinitionSO asset + item-numeric-ledger.csv","locked"
"festival:frontier-map-night","0","22","culture:adventurer-frontier","building:expedition-map-room","material:paper×8","7.2","72","6","mood=6;days=10;rapport=0;grief=0","mood=2;days=5;rapport=0;grief=0","mood=-3;days=4;rapport=0;grief=0","serialized V20 FestivalDefinitionSO asset + item-numeric-ledger.csv","locked"
"festival:high-sun","1","15","requiredBuildingDefinitionId: building:festival-common-hall","building:festival-common-hall","food:twilight-beer×8","3.8","168","8","mood=6;days=10;rapport=3;grief=0","mood=2;days=5;rapport=0;grief=0","mood=-3;days=4;rapport=-2;grief=0","serialized V20 FestivalDefinitionSO asset + item-numeric-ledger.csv","locked"
"festival:long-night-memorial","3","30","requiredBuildingDefinitionId: workstation:v19:memorial-room","workstation:v19:memorial-room","craft:candle×12","2.4","192","10","mood=6;days=10;rapport=3;grief=25","mood=2;days=5;rapport=0;grief=10","mood=-3;days=4;rapport=-2;grief=0","serialized V20 FestivalDefinitionSO asset + item-numeric-ledger.csv","locked"
"festival:many-tables","1","28","requiredBuildingDefinitionId: building:festival-common-hall","building:festival-common-hall","food:lavish-vegan×8","7.2","200","20","mood=6;days=10;rapport=3;grief=0","mood=2;days=5;rapport=0;grief=0","mood=-3;days=4;rapport=-2;grief=0","serialized V20 FestivalDefinitionSO asset + item-numeric-ledger.csv","locked"
"festival:open-sky-chorus","0","10","culture:harpy-aerie","building:weather-observation-tower","resource:night-grape×10","2.5","30","6","mood=6;days=10;rapport=0;grief=0","mood=2;days=5;rapport=0;grief=0","mood=-3;days=4;rapport=0;grief=0","serialized V20 FestivalDefinitionSO asset + item-numeric-ledger.csv","locked"
"festival:pack-first-hunt","2","8","culture:beastkin-pack","building:festival-common-hall","resource:meat×18","12.6","36","8","mood=6;days=10;rapport=0;grief=0","mood=2;days=5;rapport=0;grief=0","mood=-3;days=4;rapport=0;grief=0","serialized V20 FestivalDefinitionSO asset + item-numeric-ledger.csv","locked"
"festival:spore-bloom","0","25","culture:myconid-grove","building:cave-growing-rack","resource:cave-mushroom×14","3.5","28","6","mood=6;days=10;rapport=0;grief=0","mood=2;days=5;rapport=0;grief=0","mood=-3;days=4;rapport=0;grief=0","serialized V20 FestivalDefinitionSO asset + item-numeric-ledger.csv","locked"
"festival:sprout","0","15","requiredBuildingDefinitionId: building:festival-common-hall","building:festival-common-hall","seed-lot:twilight-grain×12","0.6","36","8","mood=6;days=10;rapport=3;grief=0","mood=2;days=5;rapport=0;grief=0","mood=-3;days=4;rapport=-2;grief=0","serialized V20 FestivalDefinitionSO asset + item-numeric-ledger.csv","locked"
"festival:storage","2","25","requiredBuildingDefinitionId: building:festival-common-hall","building:festival-common-hall","food:preserved-ration×16","8","240","10","mood=6;days=10;rapport=3;grief=0","mood=2;days=5;rapport=0;grief=0","mood=-3;days=4;rapport=-2;grief=0","serialized V20 FestivalDefinitionSO asset + item-numeric-ledger.csv","locked"
"festival:tool-clan-fair","2","18","culture:kobold-toolclan","building:apprentice-workbench","component:machine-parts×2","4.2","182","6","mood=6;days=10;rapport=0;grief=0","mood=2;days=5;rapport=0;grief=0","mood=-3;days=4;rapport=0;grief=0","serialized V20 FestivalDefinitionSO asset + item-numeric-ledger.csv","locked"
"festival:weapon-vigil","3","20","culture:orc-vigil","building:armory","material:charcoal×12","5.4","84","8","mood=6;days=10;rapport=0;grief=25","mood=2;days=5;rapport=0;grief=10","mood=-3;days=4;rapport=0;grief=0","serialized V20 FestivalDefinitionSO asset + item-numeric-ledger.csv","locked"
