stable_id,display_name,problem,solution_family,portfolio_role,player_commitment,delayed_alternative,weakness_and_pressure,activation_receipt,transition_or_recovery,first_milestone_skip,balance_and_implementation_status
research:forestry:logging,벌목,초기 목재와 수액의 안정적 확보,외부 수목 채취,입문,"외부 수목 구역·벌목 인력·안전한 회수 경로를 일상 생산선으로 운영한다","석재·재활용 자재·상단 목재·균목림","날씨·수목 고갈·운반 거리·외부 습격","원목과 수액이 실제 건설·연료·가공 주문으로 반입된 기록","회수 목재·상단 구매·소규모 재고로 외부 작업 중단을 넘긴다",가능,"설계 확정; 재생·고갈·위험·운반은 밸런스 기준 배정; 실제 외부 작업·재고 검증 OPEN"
research:forestry:tools,벌목 도구,벌목의 안전과 회수 효율을 내부 장비 체계에 연결,전용 벌목 장비,현장 작업 특화,"도끼·운반 보조·수리 부품을 외부 노동자에게 지급하고 회수 계획을 유지한다","무도구 채취·석재 전환·외부 벌목 계약","도구 마모·부상·수리 병목·장비 분실","도구 지급이 실제 벌목 작업의 안전·완료·수리 기록으로 이어진 증거","예비 도구·작업 인원 축소·수입 목재로 현장 중단을 복구한다",가능,"설계 확정; 내구·안전·수리·운반 차이는 밸런스 기준 배정; 실제 장비 수명 검증 OPEN"
research:forestry:sawmill,제재,원목을 규격 자재와 제작용 자루로 가공,규격 목재 공정,건설·제작 전환,"원목 적치·제재 작업대·운반선·목재 수요 시설을 같은 생산 흐름으로 묶는다","원목 직접 시공·석재 건축·외부 규격재 구매","제재 병목·톱날 수리·분진·원목 재고 잠김","규격 목재와 자루가 실제 건축·운반·제작 주문에서 소비된 기록","원목 직접 사용·석재 전환·외부 구매로 공사와 포장을 유지한다",가능,"설계 확정; 변환·도구·공간·공유 소비처는 밸런스 기준 배정; 실제 주문 소비 검증 OPEN"
research:forestry:charcoal,숯가마,목재를 고열 제련과 장거리 비축에 적합한 연료로 변환,숯 연료 공정,금속 산업 연결,"목재·가마 공간·화재 관리·운반을 제강과 고열 제작 수요에 선투자한다","원목 연료·증기 연료 전환·저기술 금속·외부 연료 구매","화재·연기·목재 부족·제강과 난방의 연료 경쟁","숯이 실제 제강·고열 공정 또는 비상 연료 저장으로 소모된 기록","원목 연료·철제 장비 연장·외부 연료로 고열 공정의 정지를 버틴다",가능,"설계 확정; 연료 변환·화재·공간·공유 수요는 밸런스 기준 배정; 실제 제련 연계 검증 OPEN"
research:forestry:treated,목재 처리,습기와 마모에 강한 구조재로 유지보수 비용을 관리,방습·내구 목재 처리,환경 대응 특화,"수액·숯·처리 설비를 습한 구역·외곽 구조·운송 설비의 수명 관리에 배정한다","석재 구조·자주 교체하는 원목·실내 집중 건설","처리 재료 부족·작업대 점유·침수·기존 구조 교체 노동","처리 목재가 실제 외부 구조·습한 저장·운송 시설에서 유지보수 이력을 줄인 기록","임시 원목 보수·석재 전환·구역 폐쇄로 손상 확산을 막는다",가능,"설계 확정; 내구·습기·처리 소모·교체 작업은 밸런스 기준 배정; 실제 환경 피해 검증 OPEN"
research:forestry:fungal,실내 균목림,외부 수목에 의존하지 않는 지하 목재·식량 보조 체계 구축,균목림 순환 재배,폐쇄 환경 주력,"실내 공간·수분·균목 관리·수확 노동을 지하 식량과 목재 흐름에 결속한다","외부 벌목·온실 작물·석재 중심 건축","오염·공간 점유·수분 관리 실패·생산 전환 지연","균목림에서 나온 목재와 버섯이 실제 건설·식량·가공 수요에 들어간 기록","외부 목재·비축 식량·구역 격리로 오염과 수확 실패를 넘긴다",가능,"설계 확정; 공간·수분·오염·공동 산출은 밸런스 기준 배정; 실제 순환·격리 검증 OPEN"
research:husbandry:capture,야생 포획,야생 동물을 생산·동반 자원으로 전환할 첫 개체 확보,생체 포획과 이송,입문,"포획 인력·안정화 물자·우리 공간·회수 경로를 마련해 살아 있는 개체를 데려온다","수렵·교역 가축·식물성 식량·외부 계약","도주·부상·공포·운반 중 폐사·우리 부족","살아 있는 개체가 안정화 후 실제 우리 또는 돌봄 주문으로 인계된 기록","수렵·교역·포획 중단과 치료로 손실을 끊고 식량 수요를 다른 경로로 돌린다",가능,"설계 확정; 포획 위험·회수·공간·안정화는 밸런스 기준 배정; 실제 이송·폐사 검증 OPEN"
research:husbandry:taming,길들이기,야생 개체를 반복 돌봄이 가능한 가축으로 전환,신뢰 형성 사육,생산 전환,"돌봄 시간·안전한 우리·사료와 담당자를 고정해 공포를 낮추는 데 투자한다","단기 수렵·포획 후 판매·식물성 식량·교역","훈련 지연·공격성·담당자 부상·다른 노동의 공백","개체의 공포 또는 길들임 상태가 실제 돌봄·이동·생산 주문을 허용한 기록","격리·전담 중단·수렵 전환으로 위험 개체의 영향을 제한한다",가능,"설계 확정; 신뢰·노동·위험·전환 기간은 밸런스 기준 배정; 실제 상태 변화 검증 OPEN"
research:husbandry:stable,축사 관리,가축을 생산 가능한 상태로 유지할 공간과 설비 확보,우리·방목·급수 운영,주력 정착,"울타리·물통·사료통·방목 경로·청소 노동을 가축 수와 함께 운영한다","야생 수렵·소규모 포획·식물성 식량·가축 거래","질병·도주·위생 실패·공간 경합·사료 운반 병목","우리 조건과 돌봄 주문이 실제 개체의 건강·생산·이동 기록으로 충족된 증거","개체 수 축소·격리 우리·보관 사료·수렵으로 축사 실패를 회복한다",가능,"설계 확정; 공간·위생·급수·경로·노동은 밸런스 기준 배정; 실제 사육 조건 검증 OPEN"
research:husbandry:feed,사료·깔짚,사육 생산을 식량 부산물·위생·물류와 맞물리게 함,사료와 깔짚 순환,운영 안정화,"곡물·섬유 부산물·저장·운반·청소를 가축 건강과 생산 일정에 연결한다","방목 의존·개체 수 축소·외부 사료 구매·수렵","사료 고갈·깔짚 오염·식량과의 경쟁·저장 부패","사료와 깔짚이 실제 급여·청소·질병 예방 주문에서 소모된 기록","방목·배급 전환·격리·보관 재고로 사료 충격을 흡수한다",가능,"설계 확정; 소비·위생·부패·농업과의 경쟁은 밸런스 기준 배정; 실제 사육 순환 검증 OPEN"
