"portfolio_id","horizon_day","building_id","quantity","unlocking_research_id","facility_role","assembly_reason"
"sanctuary","30","building:1095","1","research:agriculture:field","field-production","외부 식량 주력을 실제 재배 면적과 수확 동선으로 만든다."
"sanctuary","30","building:1087","1","research:cuisine:crops","food-processing","작물 재고가 바로 소비되지 않고 조리 병목을 거친다."
"sanctuary","120","building:1097","1","research:survival:sanitation","waste-control","농업·생활 폐기 흐름을 손실 없는 재고로 숨기지 않는다."
"sanctuary","120","building:8802","1","research:agriculture:irrigation","water-control","관개를 별도 기반망·수리 부담으로 투자한다."
"sanctuary","120","building:8850","1","research:agriculture:phenology","seasonal-planning","작부 계획을 기록·관찰 설비로 물질화한다."
"sanctuary","120","building:1088","1","research:survival:preservation","reserve-processing","수확 성수기 노동을 훈연·저장 공정에 옮긴다."
"sanctuary","400","building:8852","1","research:agriculture:soil-cycles","soil-specialization","토양 분석·병해 대응을 고급 농업의 실제 공간·부품 투자로 만든다."
"sanctuary","400","building:8853","1","research:survival:seasonal-storage","seasonal-reserve","장기 비축을 별도 보관 면적과 전환 불편으로 고정한다."
"sanctuary","400","building:8849","1","research:life:seasonal-calendar","seasonal-coordination","계절 계획을 영구적인 기록·운영 지점으로 남긴다."
"sanctuary","960","building:8893","1","research:agriculture:cultivar-breeding","cultivar-greenhouse","고급 품종은 물·정밀 재료·실내 환경을 투자한 온실에서만 확장한다."
"sanctuary","960","building:8855","1","research:husbandry:seasonal-breeding","breeding-stable","축산 비축은 번식 일정·사료·공간을 지속 점유하는 축사로 남긴다."
"sanctuary","960","building:8876","1","research:health:vaccination","vaccine-research","생물 보안은 연구·정밀 부품·보관을 지불한 예방 라인이다."
"underground","30","building:1096","1","research:agriculture:indoor","indoor-production","외부 농지 대신 내부 재배조와 그 재료·공간을 우선 배정한다."
"underground","30","building:1627","1","research:agriculture:indoor","growth-control","실내 재배의 환경 유지 부하를 설비로 드러낸다."
"underground","30","building:1087","1","research:cuisine:crops","food-processing","실내 산출이 조리·배식 병목을 건너뛰지 않는다."
"underground","120","building:8803","1","research:agriculture:subterranean","cavern-production","동굴 환경을 실제 재배 선반과 청결·물 입력으로 채택한다."
"underground","120","building:8813","1","research:forestry:fungal","substrate-production","균목림·배양재를 독립 물류와 오염 위험을 가진 생산선으로 둔다."
"underground","120","building:9821","1","research:plumbing:reuse","water-reuse","재이용수의 이득을 필터·정비·처리량 의존과 교환한다."
"underground","400","building:8874","1","research:health:isolation-medicine","containment","밀집 생활권의 감염 회복을 격리 공간·보호 재료·전담 용량에 묶는다."
"underground","400","building:8856","1","research:climate:environment-control","environment-control","실내 기후 안정성에 전력·정비·정밀 부품이라는 공통 고장 비용을 붙인다."
"underground","400","building:9822","1","research:plumbing:rune-purification","rune-purification","정화 능력은 마나 재료와 정비가 필요한 좁은 처리 설비로만 얻는다."
"underground","960","building:8889","1","research:climate:regional-climatology","regional-observation","장기 기후 적응은 관측·정밀 부품·마나 결정을 쓰는 상위 기반망이다."
"underground","960","building:1502","1","research:environment:rune-insulation","air-conditioning","밀집 지하 구역의 단열·공조를 전력·부품·정비와 교환한다."
"hospitality","30","building:8806","1","research:commerce:logistics","cargo-staging","거래 이전에 운반 장비·하역 공간을 투자해 재고 인계 비용을 남긴다."
"hospitality","30","building:8807","1","research:commerce:retail","price-signalling","진열·가격 제시를 물품·종이·공간으로 구현한다."
"hospitality","30","building:1029","1","research:authority:quarters","room-separation","주민 주거와 손님·상업 공간의 충돌을 방 배치 비용으로 만든다."
"hospitality","120","building:1700","1","research:hospitality-operations","guest-reception","숙박 처리량을 접수대·인력·청소 흐름에 결속한다."
"hospitality","120","building:8898","1","research:commerce:secure-trade","secure-contract","고가 거래는 금고·보안·정밀 부품을 지불한 경로에서만 처리한다."
"hospitality","120","building:1712","1","research:service-flow","order-intake","주문 처리와 대기열을 별도 접수·인계 노드로 만든다."
"hospitality","400","building:1714","1","research:service-automation","service-automation","객실 자동화는 부품·전력·정비로 노동을 교환한다."
"hospitality","400","building:8804","1","research:authority:prestige","reputation-production","위신은 장식 재료·공간·관리 노동을 쓰는 생산물이다."
"hospitality","400","building:8811","1","research:control:show","event-economy","공연은 소품 보관·안전·공간 점유를 가진 고위험 서비스 라인이다."
"hospitality","960","building:8808","1","research:control:blood-show","high-risk-spectacle","위험 공연은 물·배수·보안·평판 손실을 감수하는 별도 운영 구역이다."
"hospitality","960","building:8848","1","research:service:dining-operations","dining-operations","고급 배식은 서비스 인력·청소·재고 동선을 잠그는 운영 설비다."
"industrial","30","building:1093","1","research:metallurgy:primitive","basic-forging","기초 금속 가공을 작업대·도구·수리 부하가 있는 생산 중심으로 둔다."
"industrial","30","building:8815","1","research:forestry:tools","raw-material-tools","외부 원료 회수의 이득에 전용 도구·부품·작업 공간을 요구한다."
"industrial","120","building:1094","1","research:mining:quarry","quarrying","고정 채석 거점과 외부 운반·보호 부담을 동시에 연다."
"industrial","120","building:1079","1","research:metallurgy:iron","iron-processing","철제 하류 공정이 광석·연료·제련 병목을 공유하게 한다."
"industrial","120","building:9810","1","research:industry:steam-power","central-power","증기 발전은 생산·방어가 함께 의존하는 중앙 동력 투자다."
"industrial","400","building:1609","1","research:industry:assisted-processing","assisted-processing","보조 가공의 처리량은 기계 부품·전력 환경에서만 얻는다."
"industrial","400","building:9813","1","research:industry:storage","power-buffer","중앙 저장 확대가 축전·완충·공통 고장 범위를 함께 늘린다."
"industrial","400","building:9840","4","research:industry:conveyor","conveyor-line","한 칸짜리 컨베이어 네 대가 실제 고정 동선·정비·철거 비용을 만든다."
"industrial","400","building:9825","1","research:industry:electric-smelting","electric-smelting","고밀도 재료는 전력 기반 제련·열·수리 부담과 교환한다."
"industrial","960","building:9860","1","research:industry:automatic-bills","automation-control","자동 주문은 제어반·전력·정비가 있는 라인에서만 반복 가동한다."
"industrial","960","building:8829","1","research:industry:line-balancing","flow-metering","라인 균형은 정밀 계측·완충·운반 투자와 함께만 처리량 이득을 준다."
"industrial","960","building:9850","2","research:industry:lifts","vertical-lifts","수직 물류는 두 개의 리프트·고정 동선·전력 정비를 요구한다."
"expeditionary","30","building:1045","1","research:defense:watch","early-warning","경보·순찰의 이득에 경비 노동과 감시 설비를 결속한다."
"expeditionary","30","building:1055","1","research:defense:fortification","armament-storage","고정 방어는 무기 보관·발급·수리 동선을 요구한다."
"expeditionary","30","building:8834","1","research:equipment:weapon-patterns","weapon-patterns","무기 제작의 선택을 도면·재료·보관 투자로 남긴다."
"expeditionary","120","building:1041","1","research:defense:ranged-positions","ranged-training","사격선은 훈련·탄약·배치 공간이 갖춰질 때만 처리량을 낸다."
"expeditionary","120","building:1047","1","research:defense:tactical-command","tactical-command","기동 전력은 지휘·정찰·작전 배치의 실제 기반 시설을 필요로 한다."
"expeditionary","120","building:8836","1","research:equipment:bowyery","bow-production","궁시 보급은 섬유·목재·정밀 제작을 공유하는 장비 라인이다."
"expeditionary","400","building:9308","1","research:equipment:field-maintenance","field-repair","원정 장비 회복은 접수·수리·부품 재고를 지불해야 한다."
"expeditionary","400","building:1805","1","research:defense:siege-fortification","siege-defense","공성 대응은 대형 고정 방어와 기동 장비 사이의 자재 경쟁을 만든다."
"expeditionary","400","building:8837","1","research:equipment:mechanical-projectiles","mechanical-projectiles","기계식 투사는 정밀 부품과 수리 병목을 가진 별도 보급선이다."
"expeditionary","400","building:8840","1","research:equipment:black-powder","powder-processing","화약은 화재·물·보관 위험을 남기는 공정으로만 생산한다."
"expeditionary","400","building:8841","1","research:equipment:standard-ammunition","ammunition-processing","탄약은 반복 압착·수리·운반 용량을 점유한다."
"expeditionary","960","building:8900","1","research:equipment:ballistics","ballistic-range","탄도 장비는 정밀 부품·안전·수리 비용을 지불한 시험·정비 거점에서만 확장한다."
"arcane","30","building:1032","1","research:arcane:records","knowledge-storage","기록 체계는 연구용 보관·행정 면적을 먼저 요구한다."
"arcane","30","building:1091","1","research:arcane:alchemy","alchemy","연금은 룬 도체·시약·작업대가 필요한 정밀 공정의 입구다."
"arcane","30","building:8805","1","research:authority:ritual","ritual-space","비전 계열은 의식 공간·권위 재료에 초기 노동을 쓴다."
"arcane","120","building:1056","1","research:arcane:advanced","mana-storage","정밀 비전 재료는 별도 보관·인계 경로를 점유한다."
"arcane","120","building:8897","1","research:arcane:resonance","resonance","공명은 고가 정밀 부품·마나 결정·정비를 한 방에 결속한다."
"arcane","120","building:9812","1","research:industry:mana-power","mana-generation","마나 전력은 연료가 아니라 촉매·도체·정비를 소비하는 주력망이다."
"arcane","120","building:8823","1","research:industry:mana-power","rune-bus","생산·의료·비전 부하의 공용 결합점이 되어 고장 범위를 의도적으로 만든다."
"arcane","400","building:9826","1","research:equipment:rune-module-tuning","module-tuning","고유 장비 분기는 룬 조율·전력·정밀 재료와 함께만 열린다."
"arcane","400","building:8867","1","research:medical:regenerative-culture","regenerative-culture","재생 치료는 무균·정밀 부품·마나 결정의 장기 투자다."
"arcane","400","building:8878","1","research:genetics:hereditary-records","lineage-records","계보 자본을 저장·연구·의료와 경쟁하는 기록 시설로 남긴다."
"arcane","960","building:8868","1","research:medical:organ-regeneration","organ-regeneration","장기 재생은 고가 무균 수술실·마나·정밀 부품에 묶인 종착 치료다."
"arcane","960","building:8871","1","research:medical:whole-body-regeneration","whole-body-regeneration","전신 재생은 대형 장기 투자·유지·복구 위험을 감수해야 한다."
"arcane","960","building:8872","1","research:medical:temporal-stasis","temporal-stasis","시간 고정은 최고 수준의 마나·정밀 부품·공간을 계속 점유한다."
