stable_id,target_integration,actual_request,locked_context,escalation_stages,meaningful_choices,domain_execution,completion_receipt,persistent_trace,future_reaction,current_status
guest-request:allergen-banquet,C4,"금기가 다른 두 사절단이 같은 식탁과 안전한 메뉴를 요청","두 사절단·주방·분리 보관·조리대·식당 좌석","접수→재료·동선 충돌→오염 또는 외교 결례","분리 주방; 공통 대체식; 좌석·시간 분리","재료 예약·조리·세정·배식·좌석 배정","안전 식사·메뉴·참여·거절 기록","식단 규칙·주방 부담·두 세력 신뢰","문화 청원·축제·계약 메뉴가 반응","설계 확정; 서비스·문화 runtime OPEN"
guest-request:bodyguard-kit,C4,"위험 지역을 통과할 사절단이 보호 의복과 수리 장비를 요구","사절·방폭 외투·수리 키트·장비실·호위 경로","요청→장비 재고 잠김→호위 지연·사절 노출","장비 대여와 호위; 판매 후 수리 계약; 안전 경로 변경","장비 지급·수리·호위·반납 검사","장비 상태·대여·귀환·손실 또는 인도","장비 대여 규칙·사절 신뢰·외곽 경로","원정·군사 계약·장비 수요가 반응","설계 확정; 장비 소유·호위 runtime OPEN"
guest-request:coronation-feast,C4,"망명 귀족이 지지자 앞 대관 만찬을 위한 객실·음식을 요청","귀족·지지자·객실·고급 주방·경비·세력","접수→객실·재료 점유→주민 공간 압박·의례 실패","호화 대관 지원; 축소된 안전 만찬; 객실 거절과 외부 연계","객실 배정·조리·장식·경비·정산","참석·식사·객실·의례·지불 기록","귀족 지지·객실 평판·장식 이력","세력 장·손님 계층·겨울 계약이 반응","설계 확정; 환대·권위 runtime OPEN"
guest-request:disease-sample,C4,"외부 의사가 무균 시설과 항원 표본을 이용한 공동연구를 요청","외부 의사·표본·격리·연구실·시약·기록","접수→표본 노출·연구 경합→오염·격리 또는 연구 성과","격리 공동연구; 표본만 교환; 연구 거절과 안전 보관","접수·표본 격리·실험·세정·기록 작업","표본 이동·실험·오염·결과·퇴실","병원체 기록·연구 신뢰·격리 이력","예방접종·봄열·학술 계약이 반응","설계 확정; 의료·연구 runtime OPEN"
guest-request:emergency-surgery,C4,"중상 사절이 즉시 무균 수술실과 고급 약품을 요청","사절·수술실·침상·약제·전문의·세력","도착→치료 슬롯 경합→악화·사망 또는 다른 환자 대기","즉시 수술; 안정화 뒤 대기; 외부 이송과 약제 제공","접수·분류·수술·회복·호송을 실행","치료·대기·이송·회복 또는 사망 기록","의료 우선순위·세력 신뢰·약제 부족","계약·의료 평판·복수 사건이 반응","설계 확정; 수술·세력 runtime OPEN"
guest-request:flood-refuge,C4,"침수 정착지 주민이 침상·물·보존식을 요청","피난민·객실 또는 임시 침상·물·보존식·위생","접수→침상·물 배분→과밀·질병 또는 난민 이탈","전면 수용; 물자 중심 지원; 호송과 분산 정착","침상 배정·급수·배식·세정·호송","수용 인원·소비 물자·건강·귀환 기록","피난민 상태·물 비축·숙박 압력","해빙수·질병·세력 신뢰가 반응","설계 확정; 숙박·물류 runtime OPEN"
guest-request:memorial-performance,C4,"용병단이 전사자 이름을 부르는 공연과 추모 공간을 요청","용병·공연자·무대·추모 공간·기록·경비","준비→공간·근무 점유→공연 취소·추모 갈등 또는 안전 사고","완전 공연; 작은 기록 의식; 공간 거절과 화물 지원","무대 조립·기록 열람·식사·경비·정리","참여·공연·기록·추모 물자·정산","용병 신뢰·추모 이력·공간 사용","축제·군사 계약·유산 사건이 반응","설계 확정; 문화·서비스 runtime OPEN"
guest-request:militia-arms,C4,"습격받는 정착지가 방패와 탄약통을 긴급 요청","민병대·방패·탄약통·공방·운반·기한","요청→군수 주문 경합→기한 실패·정착지 피해 또는 내부 방어 공백","전량 군수 지원; 방패 중심 지원; 설계·수리 교육만 지원","제작·검사·포장·호위 운반·계약","인도·기한·장비 상태·정착지 결과","군수 의무·공방 병목·세력 방어 신뢰","침입·무기 계약·대장 사건이 반응","설계 확정; 군수·운반 runtime OPEN"
guest-request:monster-circus,C4,"학자 손님이 포획 생물의 안전한 공개 시연을 의뢰","학자·포획 생물·우리·무대·경비·의료","접수→우리·관객 경합→탈주·부상·연구 평판 손실","격리 시연; 비공개 관찰; 시연 거절과 표본 제공","포획·이송·우리 점검·경비·의료 대기·공연","생물 상태·시연·관객·사고·반납 기록","동물 복지·우리 안전·학술 신뢰","축제·포획·수인·연구 계약이 반응","설계 확정; 포획·안전 runtime OPEN"
guest-request:persecuted-family,C4,"추격받는 혼혈 가족이 격리되지 않은 가족실과 보호를 요청","가족·가족실·경비·추격 세력·가구 기록","접수→객실·보안 경합→추격자 도착·가구 노출 또는 관계 손실","은신 수용; 안전 호송; 제한 물자와 외부 중재","방 배정·보안·식사·기록 권한·호송","가족 안전·방 사용·추격 대응·이송 기록","망명 의무·가구 신뢰·추격 세력 태도","문화·세력 장·주거 사건이 반응","설계 확정; 주거·보안 runtime OPEN"
