source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
CulturalPracticeDefinitionSO,practice:adventurer-name-token,CulturalPracticeDefinitionSO|practice:adventurer-name-token,changes-mood,practice:adventurer-name-token,-2,3,neglectedEffects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Practices/practice_adventurer-name-token.asset
CulturalPracticeDefinitionSO,practice:adventurer-name-token,CulturalPracticeDefinitionSO|practice:adventurer-name-token,changes-mood,practice:adventurer-name-token,3,5,successEffects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Practices/practice_adventurer-name-token.asset
CulturalPracticeDefinitionSO,practice:adventurer-name-token,CulturalPracticeDefinitionSO|practice:adventurer-name-token,requires,material:paper,1,,requirements.items.0.itemDefinitionId,item Definition Id,content-reference,resolved-content,ResourceItemDefinitionSO|material:paper,Assets/Resources/SO/V20/Narrative/Practices/practice_adventurer-name-token.asset
CulturalPracticeDefinitionSO,practice:adventurer-return-table,CulturalPracticeDefinitionSO|practice:adventurer-return-table,changes-mood,practice:adventurer-return-table,-2,3,neglectedEffects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Practices/practice_adventurer-return-table.asset
CulturalPracticeDefinitionSO,practice:adventurer-return-table,CulturalPracticeDefinitionSO|practice:adventurer-return-table,changes-relationship,practice:adventurer-return-table,3,5,successEffects.0.targetId,Relationship (관계),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Practices/practice_adventurer-return-table.asset
CulturalPracticeDefinitionSO,practice:adventurer-return-table,CulturalPracticeDefinitionSO|practice:adventurer-return-table,requires,food:preserved-ration,1,,requirements.items.0.itemDefinitionId,item Definition Id,content-reference,resolved-content,ResourceItemDefinitionSO|food:preserved-ration,Assets/Resources/SO/V20/Narrative/Practices/practice_adventurer-return-table.asset
CulturalPracticeDefinitionSO,practice:beastkin-pack-meal,CulturalPracticeDefinitionSO|practice:beastkin-pack-meal,changes-mood,practice:beastkin-pack-meal,-2,3,neglectedEffects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Practices/practice_beastkin-pack-meal.asset
CulturalPracticeDefinitionSO,practice:beastkin-pack-meal,CulturalPracticeDefinitionSO|practice:beastkin-pack-meal,changes-relationship,practice:beastkin-pack-meal,3,5,successEffects.0.targetId,Relationship (관계),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Practices/practice_beastkin-pack-meal.asset
CulturalPracticeDefinitionSO,practice:beastkin-pack-meal,CulturalPracticeDefinitionSO|practice:beastkin-pack-meal,requires,resource:meat,1,,requirements.items.0.itemDefinitionId,item Definition Id,content-reference,resolved-content,ResourceItemDefinitionSO|resource:meat,Assets/Resources/SO/V20/Narrative/Practices/practice_beastkin-pack-meal.asset
CulturalPracticeDefinitionSO,practice:beastkin-scent-vigil,CulturalPracticeDefinitionSO|practice:beastkin-scent-vigil,changes-mood,practice:beastkin-scent-vigil,-2,3,neglectedEffects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Practices/practice_beastkin-scent-vigil.asset
CulturalPracticeDefinitionSO,practice:beastkin-scent-vigil,CulturalPracticeDefinitionSO|practice:beastkin-scent-vigil,changes-trauma,practice:beastkin-scent-vigil,-4,5,successEffects.0.targetId,Trauma (트라우마),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Practices/practice_beastkin-scent-vigil.asset
CulturalPracticeDefinitionSO,practice:beastkin-scent-vigil,CulturalPracticeDefinitionSO|practice:beastkin-scent-vigil,requires,textile:cloth,1,,requirements.items.0.itemDefinitionId,item Definition Id,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Narrative/Practices/practice_beastkin-scent-vigil.asset
CulturalPracticeDefinitionSO,practice:demon-oath-embers,CulturalPracticeDefinitionSO|practice:demon-oath-embers,changes-mood,practice:demon-oath-embers,-2,3,neglectedEffects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Practices/practice_demon-oath-embers.asset
CulturalPracticeDefinitionSO,practice:demon-oath-embers,CulturalPracticeDefinitionSO|practice:demon-oath-embers,requires,material:paper,1,,requirements.items.0.itemDefinitionId,item Definition Id,content-reference,resolved-content,ResourceItemDefinitionSO|material:paper,Assets/Resources/SO/V20/Narrative/Practices/practice_demon-oath-embers.asset
CulturalPracticeDefinitionSO,practice:demon-oath-embers,CulturalPracticeDefinitionSO|practice:demon-oath-embers,sets-world-flag,practice:demon-oath-embers,3,5,successEffects.0.targetId,WorldFlag (세계 플래그),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Practices/practice_demon-oath-embers.asset
CulturalPracticeDefinitionSO,practice:demon-third-bell,CulturalPracticeDefinitionSO|practice:demon-third-bell,changes-mood,practice:demon-third-bell,-2,3,neglectedEffects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Practices/practice_demon-third-bell.asset
CulturalPracticeDefinitionSO,practice:demon-third-bell,CulturalPracticeDefinitionSO|practice:demon-third-bell,changes-mood,practice:demon-third-bell,3,5,successEffects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Practices/practice_demon-third-bell.asset
CulturalPracticeDefinitionSO,practice:demon-third-bell,CulturalPracticeDefinitionSO|practice:demon-third-bell,requires,item:bell,1,,requirements.items.0.itemDefinitionId,item Definition Id,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Narrative/Practices/practice_demon-third-bell.asset
CulturalPracticeDefinitionSO,practice:golem-core-polish,CulturalPracticeDefinitionSO|practice:golem-core-polish,changes-health,practice:golem-core-polish,3,5,successEffects.0.targetId,Health (건강),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Practices/practice_golem-core-polish.asset
CulturalPracticeDefinitionSO,practice:golem-core-polish,CulturalPracticeDefinitionSO|practice:golem-core-polish,changes-mood,practice:golem-core-polish,-2,3,neglectedEffects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Practices/practice_golem-core-polish.asset
CulturalPracticeDefinitionSO,practice:golem-core-polish,CulturalPracticeDefinitionSO|practice:golem-core-polish,requires,tool:maintenance-kit,1,,requirements.items.0.itemDefinitionId,item Definition Id,content-reference,resolved-content,ResourceItemDefinitionSO|tool:maintenance-kit,Assets/Resources/SO/V20/Narrative/Practices/practice_golem-core-polish.asset
CulturalPracticeDefinitionSO,practice:golem-memory-plaque,CulturalPracticeDefinitionSO|practice:golem-memory-plaque,changes-mood,practice:golem-memory-plaque,-2,3,neglectedEffects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Practices/practice_golem-memory-plaque.asset
CulturalPracticeDefinitionSO,practice:golem-memory-plaque,CulturalPracticeDefinitionSO|practice:golem-memory-plaque,changes-trauma,practice:golem-memory-plaque,-4,5,successEffects.0.targetId,Trauma (트라우마),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Practices/practice_golem-memory-plaque.asset
CulturalPracticeDefinitionSO,practice:golem-memory-plaque,CulturalPracticeDefinitionSO|practice:golem-memory-plaque,requires,material:iron-ingot,1,,requirements.items.0.itemDefinitionId,item Definition Id,content-reference,resolved-content,CraftMaterialDefinitionSO|material:iron-ingot; ResourceItemDefinitionSO|material:iron-ingot,Assets/Resources/SO/V20/Narrative/Practices/practice_golem-memory-plaque.asset
CulturalPracticeDefinitionSO,practice:harpy-dawn-chorus,CulturalPracticeDefinitionSO|practice:harpy-dawn-chorus,changes-mood,practice:harpy-dawn-chorus,-2,3,neglectedEffects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Practices/practice_harpy-dawn-chorus.asset
CulturalPracticeDefinitionSO,practice:harpy-dawn-chorus,CulturalPracticeDefinitionSO|practice:harpy-dawn-chorus,changes-mood,practice:harpy-dawn-chorus,3,5,successEffects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Practices/practice_harpy-dawn-chorus.asset
CulturalPracticeDefinitionSO,practice:harpy-dawn-chorus,CulturalPracticeDefinitionSO|practice:harpy-dawn-chorus,requires,food:dried-fruit,1,,requirements.items.0.itemDefinitionId,item Definition Id,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Narrative/Practices/practice_harpy-dawn-chorus.asset
CulturalPracticeDefinitionSO,practice:harpy-first-flight,CulturalPracticeDefinitionSO|practice:harpy-first-flight,changes-mood,practice:harpy-first-flight,-2,3,neglectedEffects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Practices/practice_harpy-first-flight.asset
CulturalPracticeDefinitionSO,practice:harpy-first-flight,CulturalPracticeDefinitionSO|practice:harpy-first-flight,grants-skill-experience,practice:harpy-first-flight,3,5,successEffects.0.targetId,SkillExperience (숙련 경험치),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Practices/practice_harpy-first-flight.asset
CulturalPracticeDefinitionSO,practice:harpy-first-flight,CulturalPracticeDefinitionSO|practice:harpy-first-flight,requires,material:rope,1,,requirements.items.0.itemDefinitionId,item Definition Id,content-reference,resolved-content,ResourceItemDefinitionSO|material:rope,Assets/Resources/SO/V20/Narrative/Practices/practice_harpy-first-flight.asset
CulturalPracticeDefinitionSO,practice:kobold-bench-feast,CulturalPracticeDefinitionSO|practice:kobold-bench-feast,changes-mood,practice:kobold-bench-feast,-2,3,neglectedEffects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Practices/practice_kobold-bench-feast.asset
CulturalPracticeDefinitionSO,practice:kobold-bench-feast,CulturalPracticeDefinitionSO|practice:kobold-bench-feast,changes-mood,practice:kobold-bench-feast,3,5,successEffects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Practices/practice_kobold-bench-feast.asset
CulturalPracticeDefinitionSO,practice:kobold-bench-feast,CulturalPracticeDefinitionSO|practice:kobold-bench-feast,requires,food:mushroom-stew,1,,requirements.items.0.itemDefinitionId,item Definition Id,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Narrative/Practices/practice_kobold-bench-feast.asset
CulturalPracticeDefinitionSO,practice:kobold-tool-naming,CulturalPracticeDefinitionSO|practice:kobold-tool-naming,changes-mood,practice:kobold-tool-naming,-2,3,neglectedEffects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Practices/practice_kobold-tool-naming.asset
CulturalPracticeDefinitionSO,practice:kobold-tool-naming,CulturalPracticeDefinitionSO|practice:kobold-tool-naming,grants-skill-experience,practice:kobold-tool-naming,3,5,successEffects.0.targetId,SkillExperience (숙련 경험치),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Practices/practice_kobold-tool-naming.asset
CulturalPracticeDefinitionSO,practice:kobold-tool-naming,CulturalPracticeDefinitionSO|practice:kobold-tool-naming,requires,material:iron-ingot,1,,requirements.items.0.itemDefinitionId,item Definition Id,content-reference,resolved-content,CraftMaterialDefinitionSO|material:iron-ingot; ResourceItemDefinitionSO|material:iron-ingot,Assets/Resources/SO/V20/Narrative/Practices/practice_kobold-tool-naming.asset
CulturalPracticeDefinitionSO,practice:myconid-shared-mist,CulturalPracticeDefinitionSO|practice:myconid-shared-mist,changes-mood,practice:myconid-shared-mist,-2,3,neglectedEffects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Practices/practice_myconid-shared-mist.asset
CulturalPracticeDefinitionSO,practice:myconid-shared-mist,CulturalPracticeDefinitionSO|practice:myconid-shared-mist,changes-relationship,practice:myconid-shared-mist,3,5,successEffects.0.targetId,Relationship (관계),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Practices/practice_myconid-shared-mist.asset
CulturalPracticeDefinitionSO,practice:myconid-shared-mist,CulturalPracticeDefinitionSO|practice:myconid-shared-mist,requires,resource:clean-water,1,,requirements.items.0.itemDefinitionId,item Definition Id,content-reference,resolved-content,ResourceItemDefinitionSO|resource:clean-water,Assets/Resources/SO/V20/Narrative/Practices/practice_myconid-shared-mist.asset
CulturalPracticeDefinitionSO,practice:myconid-spore-return,CulturalPracticeDefinitionSO|practice:myconid-spore-return,changes-mood,practice:myconid-spore-return,-2,3,neglectedEffects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Practices/practice_myconid-spore-return.asset
CulturalPracticeDefinitionSO,practice:myconid-spore-return,CulturalPracticeDefinitionSO|practice:myconid-spore-return,changes-trauma,practice:myconid-spore-return,-4,5,successEffects.0.targetId,Trauma (트라우마),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Practices/practice_myconid-spore-return.asset
CulturalPracticeDefinitionSO,practice:myconid-spore-return,CulturalPracticeDefinitionSO|practice:myconid-spore-return,requires,resource:compost,1,,requirements.items.0.itemDefinitionId,item Definition Id,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Narrative/Practices/practice_myconid-spore-return.asset
CulturalPracticeDefinitionSO,practice:orc-shared-cauldron,CulturalPracticeDefinitionSO|practice:orc-shared-cauldron,changes-mood,practice:orc-shared-cauldron,-2,3,neglectedEffects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Practices/practice_orc-shared-cauldron.asset
CulturalPracticeDefinitionSO,practice:orc-shared-cauldron,CulturalPracticeDefinitionSO|practice:orc-shared-cauldron,changes-relationship,practice:orc-shared-cauldron,3,5,successEffects.0.targetId,Relationship (관계),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Practices/practice_orc-shared-cauldron.asset
CulturalPracticeDefinitionSO,practice:orc-shared-cauldron,CulturalPracticeDefinitionSO|practice:orc-shared-cauldron,requires,food:salted-meat-stew,1,,requirements.items.0.itemDefinitionId,item Definition Id,content-reference,resolved-content,ResourceItemDefinitionSO|food:salted-meat-stew,Assets/Resources/SO/V20/Narrative/Practices/practice_orc-shared-cauldron.asset
CulturalPracticeDefinitionSO,practice:orc-weapon-vigil,CulturalPracticeDefinitionSO|practice:orc-weapon-vigil,changes-mood,practice:orc-weapon-vigil,-2,3,neglectedEffects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Practices/practice_orc-weapon-vigil.asset
CulturalPracticeDefinitionSO,practice:orc-weapon-vigil,CulturalPracticeDefinitionSO|practice:orc-weapon-vigil,changes-trauma,practice:orc-weapon-vigil,-4,5,successEffects.0.targetId,Trauma (트라우마),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Practices/practice_orc-weapon-vigil.asset
CulturalPracticeDefinitionSO,practice:orc-weapon-vigil,CulturalPracticeDefinitionSO|practice:orc-weapon-vigil,requires,material:charcoal,1,,requirements.items.0.itemDefinitionId,item Definition Id,content-reference,resolved-content,ResourceItemDefinitionSO|material:charcoal,Assets/Resources/SO/V20/Narrative/Practices/practice_orc-weapon-vigil.asset
CulturalPracticeDefinitionSO,practice:slime-clear-water,CulturalPracticeDefinitionSO|practice:slime-clear-water,changes-mood,practice:slime-clear-water,-2,3,neglectedEffects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Practices/practice_slime-clear-water.asset
CulturalPracticeDefinitionSO,practice:slime-clear-water,CulturalPracticeDefinitionSO|practice:slime-clear-water,changes-relationship,practice:slime-clear-water,3,5,successEffects.0.targetId,Relationship (관계),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Practices/practice_slime-clear-water.asset
CulturalPracticeDefinitionSO,practice:slime-clear-water,CulturalPracticeDefinitionSO|practice:slime-clear-water,requires,resource:clean-water,1,,requirements.items.0.itemDefinitionId,item Definition Id,content-reference,resolved-content,ResourceItemDefinitionSO|resource:clean-water,Assets/Resources/SO/V20/Narrative/Practices/practice_slime-clear-water.asset
CulturalPracticeDefinitionSO,practice:slime-core-ring,CulturalPracticeDefinitionSO|practice:slime-core-ring,changes-health,practice:slime-core-ring,3,5,successEffects.0.targetId,Health (건강),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Narrative/Practices/practice_slime-core-ring.asset
