group,content_type,record_key,stable_id,display_name,description,mechanics,relations,existence_reason,reason_basis,review_status,review_reason,lifecycle_status,catalog_memberships,runtime_status,runtime_evidence,save_evidence,incoming_reference_count,incoming_source_types,system_role,strategic_niche,costs_and_risks,comparison_group,alternative_candidates,removal_impact,rationale_evidence,source_path,asset_guid,authored__authoringRevision,authored__cropId,authored__cultivarName,authored__description,authored__genomeId,authored__id,authored__loci,authored__loci__count,authored__m_Name,authored__tradeoffTags,authored__tradeoffTags__count
production-facilities,CropGenomeDefinitionSO,CropGenomeDefinitionSO|genome:bloodleaf:base,genome:bloodleaf:base,Genome_bloodleaf,기본 환경에 적응한 표준 품종.,작성 자산 정의,,작성 목적은 '기본 환경에 적응한 표준 품종'이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Models/Economy/Content/CropDefinitionSO.cs; Assets/Scripts/Services/Economy/CropEcologyRuntime.cs; Assets/Scripts/Services/Economy/CropHarvestReachableMaximumWitnessAuthority.cs,Assets/Scripts/Services/Economy/CropEcologyRuntime.cs; Assets/Scripts/Services/Economy/CropHarvestReachableMaximumWitnessAuthority.cs,1,CropDefinitionSO,작성 목적은 '기본 환경에 적응한 표준 품종'이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,생산·시설 영역의 CropGenomeDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,CropGenomeDefinitionSO,"비교 후보(대체 가능성 미검증): CropGenomeDefinitionSO:genome:cave-mushroom:base, CropGenomeDefinitionSO:genome:dreamleaf:base, CropGenomeDefinitionSO:genome:ember-root:base, CropGenomeDefinitionSO:genome:moonflower:base, CropGenomeDefinitionSO:genome:night-grape:base, CropGenomeDefinitionSO:genome:shade-fiber:base, CropGenomeDefinitionSO:genome:twilight-grain:base, CropGenomeDefinitionSO:genome:ember-cotton:base, CropGenomeDefinitionSO:genome:ember-cotton:bulk, CropGenomeDefinitionSO:genome:ember-cotton:climate, CropGenomeDefinitionSO:genome:frost-flax:base, CropGenomeDefinitionSO:genome:frost-flax:bulk 외 19개",직접 참조 1건에 영향: CropDefinitionSO:crop:bloodleaf,description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/Economy/CropGenomes/Genome_bloodleaf.asset,492fddf692c4b5f499aac16db74a7c55,1,crop:bloodleaf,bloodleaf 기본종,기본 환경에 적응한 표준 품종.,genome:bloodleaf:base,93005,"[{""alleleA"":0,""alleleB"":0,""locus"":0},{""alleleA"":0,""alleleB"":0,""locus"":1},{""alleleA"":0,""alleleB"":0,""locus"":2},{""alleleA"":0,""alleleB"":0,""locus"":3},{""alleleA"":0,""alleleB"":0,""locus"":4},{""alleleA"":0,""alleleB"":0,""locus"":5}]",6,Genome_bloodleaf,[],0
production-facilities,CropGenomeDefinitionSO,CropGenomeDefinitionSO|genome:bloodleaf:heat,genome:bloodleaf:heat,genome_bloodleaf_heat,고온에서도 잎이 타지 않지만 병해 저항이 낮다.,작성 자산 정의,,작성 목적은 '고온에서도 잎이 타지 않지만 병해 저항이 낮다'이다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Models/Economy/Content/CropDefinitionSO.cs; Assets/Scripts/Services/Economy/CropEcologyRuntime.cs; Assets/Scripts/Services/Economy/CropHarvestReachableMaximumWitnessAuthority.cs,Assets/Scripts/Services/Economy/CropEcologyRuntime.cs; Assets/Scripts/Services/Economy/CropHarvestReachableMaximumWitnessAuthority.cs,0,,작성 목적은 '고온에서도 잎이 타지 않지만 병해 저항이 낮다'이다.,생산·시설 영역의 CropGenomeDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,CropGenomeDefinitionSO,"비교 후보(대체 가능성 미검증): CropGenomeDefinitionSO:genome:bloodleaf:base, CropGenomeDefinitionSO:genome:cave-mushroom:base, CropGenomeDefinitionSO:genome:dreamleaf:base, CropGenomeDefinitionSO:genome:ember-root:base, CropGenomeDefinitionSO:genome:moonflower:base, CropGenomeDefinitionSO:genome:night-grape:base, CropGenomeDefinitionSO:genome:shade-fiber:base, CropGenomeDefinitionSO:genome:twilight-grain:base, CropGenomeDefinitionSO:genome:ember-cotton:base, CropGenomeDefinitionSO:genome:ember-cotton:bulk, CropGenomeDefinitionSO:genome:ember-cotton:climate, CropGenomeDefinitionSO:genome:frost-flax:base 외 19개",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V20/Ecology/Cultivars/genome_bloodleaf_heat.asset,f5bd8b5a400c68c4eb942b87306c712c,1,crop:bloodleaf,잿불혈엽,고온에서도 잎이 타지 않지만 병해 저항이 낮다.,genome:bloodleaf:heat,9006,"[{""alleleA"":0,""alleleB"":0,""locus"":0},{""alleleA"":2,""alleleB"":2,""locus"":1},{""alleleA"":0,""alleleB"":0,""locus"":2},{""alleleA"":1,""alleleB"":1,""locus"":3},{""alleleA"":-2,""alleleB"":-2,""locus"":4},{""alleleA"":0,""alleleB"":0,""locus"":5}]",6,genome_bloodleaf_heat,"[""cost:disease-resistance""]",1
production-facilities,CropGenomeDefinitionSO,CropGenomeDefinitionSO|genome:cave-mushroom:base,genome:cave-mushroom:base,Genome_cave-mushroom,기본 환경에 적응한 표준 품종.,작성 자산 정의,,작성 목적은 '기본 환경에 적응한 표준 품종'이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Models/Economy/Content/CropDefinitionSO.cs; Assets/Scripts/Services/Economy/CropEcologyRuntime.cs; Assets/Scripts/Services/Economy/CropHarvestReachableMaximumWitnessAuthority.cs,Assets/Scripts/Services/Economy/CropEcologyRuntime.cs; Assets/Scripts/Services/Economy/CropHarvestReachableMaximumWitnessAuthority.cs,1,CropDefinitionSO,작성 목적은 '기본 환경에 적응한 표준 품종'이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,생산·시설 영역의 CropGenomeDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,CropGenomeDefinitionSO,"비교 후보(대체 가능성 미검증): CropGenomeDefinitionSO:genome:bloodleaf:base, CropGenomeDefinitionSO:genome:dreamleaf:base, CropGenomeDefinitionSO:genome:ember-root:base, CropGenomeDefinitionSO:genome:moonflower:base, CropGenomeDefinitionSO:genome:night-grape:base, CropGenomeDefinitionSO:genome:shade-fiber:base, CropGenomeDefinitionSO:genome:twilight-grain:base, CropGenomeDefinitionSO:genome:ember-cotton:base, CropGenomeDefinitionSO:genome:ember-cotton:bulk, CropGenomeDefinitionSO:genome:ember-cotton:climate, CropGenomeDefinitionSO:genome:frost-flax:base, CropGenomeDefinitionSO:genome:frost-flax:bulk 외 19개",직접 참조 1건에 영향: CropDefinitionSO:crop:cave-mushroom,description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/Economy/CropGenomes/Genome_cave-mushroom.asset,b6ce63ae53ecdef4aa94192f97a44413,1,crop:cave-mushroom,cave-mushroom 기본종,기본 환경에 적응한 표준 품종.,genome:cave-mushroom:base,93004,"[{""alleleA"":0,""alleleB"":0,""locus"":0},{""alleleA"":0,""alleleB"":0,""locus"":1},{""alleleA"":0,""alleleB"":0,""locus"":2},{""alleleA"":0,""alleleB"":0,""locus"":3},{""alleleA"":0,""alleleB"":0,""locus"":4},{""alleleA"":0,""alleleB"":0,""locus"":5}]",6,Genome_cave-mushroom,[],0
production-facilities,CropGenomeDefinitionSO,CropGenomeDefinitionSO|genome:cave-mushroom:dry,genome:cave-mushroom:dry,genome_cave-mushroom_dry,습도 변동에 강하지만 포자 회수량이 적다.,작성 자산 정의,,작성 목적은 '습도 변동에 강하지만 포자 회수량이 적다'이다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Models/Economy/Content/CropDefinitionSO.cs; Assets/Scripts/Services/Economy/CropEcologyRuntime.cs; Assets/Scripts/Services/Economy/CropHarvestReachableMaximumWitnessAuthority.cs,Assets/Scripts/Services/Economy/CropEcologyRuntime.cs; Assets/Scripts/Services/Economy/CropHarvestReachableMaximumWitnessAuthority.cs,0,,작성 목적은 '습도 변동에 강하지만 포자 회수량이 적다'이다.,생산·시설 영역의 CropGenomeDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,CropGenomeDefinitionSO,"비교 후보(대체 가능성 미검증): CropGenomeDefinitionSO:genome:bloodleaf:base, CropGenomeDefinitionSO:genome:cave-mushroom:base, CropGenomeDefinitionSO:genome:dreamleaf:base, CropGenomeDefinitionSO:genome:ember-root:base, CropGenomeDefinitionSO:genome:moonflower:base, CropGenomeDefinitionSO:genome:night-grape:base, CropGenomeDefinitionSO:genome:shade-fiber:base, CropGenomeDefinitionSO:genome:twilight-grain:base, CropGenomeDefinitionSO:genome:ember-cotton:base, CropGenomeDefinitionSO:genome:ember-cotton:bulk, CropGenomeDefinitionSO:genome:ember-cotton:climate, CropGenomeDefinitionSO:genome:frost-flax:base 외 19개",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V20/Ecology/Cultivars/genome_cave-mushroom_dry.asset,659b026f15a32564ea495e14251dc42a,1,crop:cave-mushroom,마른굴버섯,습도 변동에 강하지만 포자 회수량이 적다.,genome:cave-mushroom:dry,9005,"[{""alleleA"":1,""alleleB"":1,""locus"":0},{""alleleA"":1,""alleleB"":1,""locus"":1},{""alleleA"":0,""alleleB"":0,""locus"":2},{""alleleA"":0,""alleleB"":0,""locus"":3},{""alleleA"":1,""alleleB"":1,""locus"":4},{""alleleA"":-2,""alleleB"":-2,""locus"":5}]",6,genome_cave-mushroom_dry,"[""cost:seed-yield""]",1
production-facilities,CropGenomeDefinitionSO,CropGenomeDefinitionSO|genome:dreamleaf:base,genome:dreamleaf:base,Genome_dreamleaf,기본 환경에 적응한 표준 품종.,작성 자산 정의,,작성 목적은 '기본 환경에 적응한 표준 품종'이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Models/Economy/Content/CropDefinitionSO.cs; Assets/Scripts/Services/Economy/CropEcologyRuntime.cs; Assets/Scripts/Services/Economy/CropHarvestReachableMaximumWitnessAuthority.cs,Assets/Scripts/Services/Economy/CropEcologyRuntime.cs; Assets/Scripts/Services/Economy/CropHarvestReachableMaximumWitnessAuthority.cs,1,CropDefinitionSO,작성 목적은 '기본 환경에 적응한 표준 품종'이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,생산·시설 영역의 CropGenomeDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,CropGenomeDefinitionSO,"비교 후보(대체 가능성 미검증): CropGenomeDefinitionSO:genome:bloodleaf:base, CropGenomeDefinitionSO:genome:cave-mushroom:base, CropGenomeDefinitionSO:genome:ember-root:base, CropGenomeDefinitionSO:genome:moonflower:base, CropGenomeDefinitionSO:genome:night-grape:base, CropGenomeDefinitionSO:genome:shade-fiber:base, CropGenomeDefinitionSO:genome:twilight-grain:base, CropGenomeDefinitionSO:genome:ember-cotton:base, CropGenomeDefinitionSO:genome:ember-cotton:bulk, CropGenomeDefinitionSO:genome:ember-cotton:climate, CropGenomeDefinitionSO:genome:frost-flax:base, CropGenomeDefinitionSO:genome:frost-flax:bulk 외 19개",직접 참조 1건에 영향: CropDefinitionSO:crop:dreamleaf,description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/Economy/CropGenomes/Genome_dreamleaf.asset,5f6b1b68673a9f44abbc200364293627,1,crop:dreamleaf,dreamleaf 기본종,기본 환경에 적응한 표준 품종.,genome:dreamleaf:base,93007,"[{""alleleA"":0,""alleleB"":0,""locus"":0},{""alleleA"":0,""alleleB"":0,""locus"":1},{""alleleA"":0,""alleleB"":0,""locus"":2},{""alleleA"":0,""alleleB"":0,""locus"":3},{""alleleA"":0,""alleleB"":0,""locus"":4},{""alleleA"":0,""alleleB"":0,""locus"":5}]",6,Genome_dreamleaf,[],0
production-facilities,CropGenomeDefinitionSO,CropGenomeDefinitionSO|genome:dreamleaf:cold,genome:dreamleaf:cold,genome_dreamleaf_cold,겨울 저온에서 향 성분을 유지하지만 성장이 느리다.,작성 자산 정의,,작성 목적은 '겨울 저온에서 향 성분을 유지하지만 성장이 느리다'이다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Models/Economy/Content/CropDefinitionSO.cs; Assets/Scripts/Services/Economy/CropEcologyRuntime.cs; Assets/Scripts/Services/Economy/CropHarvestReachableMaximumWitnessAuthority.cs,Assets/Scripts/Services/Economy/CropEcologyRuntime.cs; Assets/Scripts/Services/Economy/CropHarvestReachableMaximumWitnessAuthority.cs,0,,작성 목적은 '겨울 저온에서 향 성분을 유지하지만 성장이 느리다'이다.,생산·시설 영역의 CropGenomeDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,CropGenomeDefinitionSO,"비교 후보(대체 가능성 미검증): CropGenomeDefinitionSO:genome:bloodleaf:base, CropGenomeDefinitionSO:genome:cave-mushroom:base, CropGenomeDefinitionSO:genome:dreamleaf:base, CropGenomeDefinitionSO:genome:ember-root:base, CropGenomeDefinitionSO:genome:moonflower:base, CropGenomeDefinitionSO:genome:night-grape:base, CropGenomeDefinitionSO:genome:shade-fiber:base, CropGenomeDefinitionSO:genome:twilight-grain:base, CropGenomeDefinitionSO:genome:ember-cotton:base, CropGenomeDefinitionSO:genome:ember-cotton:bulk, CropGenomeDefinitionSO:genome:ember-cotton:climate, CropGenomeDefinitionSO:genome:frost-flax:base 외 19개",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V20/Ecology/Cultivars/genome_dreamleaf_cold.asset,88bf81840f3182f40a6b7941d2c7a80c,1,crop:dreamleaf,긴밤꿈잎,겨울 저온에서 향 성분을 유지하지만 성장이 느리다.,genome:dreamleaf:cold,9007,"[{""alleleA"":2,""alleleB"":2,""locus"":0},{""alleleA"":0,""alleleB"":0,""locus"":1},{""alleleA"":-2,""alleleB"":-2,""locus"":2},{""alleleA"":1,""alleleB"":1,""locus"":3},{""alleleA"":0,""alleleB"":0,""locus"":4},{""alleleA"":0,""alleleB"":0,""locus"":5}]",6,genome_dreamleaf_cold,"[""cost:growth-time""]",1
production-facilities,CropGenomeDefinitionSO,CropGenomeDefinitionSO|genome:ember-cotton:base,genome:ember-cotton:base,genome_ember-cotton_base,여섯 기존 좌위만 사용하는 V22 기본 섬유 품종.,작성 자산 정의,,작성 목적은 '여섯 기존 좌위만 사용하는 V22 기본 섬유 품종'이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Models/Economy/Content/CropDefinitionSO.cs; Assets/Scripts/Services/Economy/CropEcologyRuntime.cs; Assets/Scripts/Services/Economy/CropHarvestReachableMaximumWitnessAuthority.cs,Assets/Scripts/Services/Economy/CropEcologyRuntime.cs; Assets/Scripts/Services/Economy/CropHarvestReachableMaximumWitnessAuthority.cs,1,CropDefinitionSO,작성 목적은 '여섯 기존 좌위만 사용하는 V22 기본 섬유 품종'이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,생산·시설 영역의 CropGenomeDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,CropGenomeDefinitionSO,"비교 후보(대체 가능성 미검증): CropGenomeDefinitionSO:genome:bloodleaf:base, CropGenomeDefinitionSO:genome:cave-mushroom:base, CropGenomeDefinitionSO:genome:dreamleaf:base, CropGenomeDefinitionSO:genome:ember-root:base, CropGenomeDefinitionSO:genome:moonflower:base, CropGenomeDefinitionSO:genome:night-grape:base, CropGenomeDefinitionSO:genome:shade-fiber:base, CropGenomeDefinitionSO:genome:twilight-grain:base, CropGenomeDefinitionSO:genome:ember-cotton:bulk, CropGenomeDefinitionSO:genome:ember-cotton:climate, CropGenomeDefinitionSO:genome:frost-flax:base, CropGenomeDefinitionSO:genome:frost-flax:bulk 외 19개",직접 참조 1건에 영향: CropDefinitionSO:crop:ember-cotton,description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/Economy/CropGenomes/V22Textiles/genome_ember-cotton_base.asset,f2eb5ce2d306e4548877d4ddf69c9033,1,crop:ember-cotton,잿불 목화 기본종,여섯 기존 좌위만 사용하는 V22 기본 섬유 품종.,genome:ember-cotton:base,9404,"[{""alleleA"":0,""alleleB"":0,""locus"":0},{""alleleA"":0,""alleleB"":0,""locus"":1},{""alleleA"":0,""alleleB"":0,""locus"":2},{""alleleA"":0,""alleleB"":0,""locus"":3},{""alleleA"":0,""alleleB"":0,""locus"":4},{""alleleA"":0,""alleleB"":0,""locus"":5}]",6,genome_ember-cotton_base,[],0
production-facilities,CropGenomeDefinitionSO,CropGenomeDefinitionSO|genome:ember-cotton:bulk,genome:ember-cotton:bulk,genome_ember-cotton_bulk,성장·수확 좌위의 품질 비용을 지불하고 보통급 섬유를 대량 생산한다.,작성 자산 정의,,작성 목적은 '성장·수확 좌위의 품질 비용을 지불하고 보통급 섬유를 대량 생산한다'이다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Models/Economy/Content/CropDefinitionSO.cs; Assets/Scripts/Services/Economy/CropEcologyRuntime.cs; Assets/Scripts/Services/Economy/CropHarvestReachableMaximumWitnessAuthority.cs,Assets/Scripts/Services/Economy/CropEcologyRuntime.cs; Assets/Scripts/Services/Economy/CropHarvestReachableMaximumWitnessAuthority.cs,0,,작성 목적은 '성장·수확 좌위의 품질 비용을 지불하고 보통급 섬유를 대량 생산한다'이다.,생산·시설 영역의 CropGenomeDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,CropGenomeDefinitionSO,"비교 후보(대체 가능성 미검증): CropGenomeDefinitionSO:genome:bloodleaf:base, CropGenomeDefinitionSO:genome:cave-mushroom:base, CropGenomeDefinitionSO:genome:dreamleaf:base, CropGenomeDefinitionSO:genome:ember-root:base, CropGenomeDefinitionSO:genome:moonflower:base, CropGenomeDefinitionSO:genome:night-grape:base, CropGenomeDefinitionSO:genome:shade-fiber:base, CropGenomeDefinitionSO:genome:twilight-grain:base, CropGenomeDefinitionSO:genome:ember-cotton:base, CropGenomeDefinitionSO:genome:ember-cotton:climate, CropGenomeDefinitionSO:genome:frost-flax:base, CropGenomeDefinitionSO:genome:frost-flax:bulk 외 19개",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/Economy/CropGenomes/V22Textiles/genome_ember-cotton_bulk.asset,ffdc3cd03865cef43974237ad0d2a4cd,1,crop:ember-cotton,잿불 목화 대량생산종,성장·수확 좌위의 품질 비용을 지불하고 보통급 섬유를 대량 생산한다.,genome:ember-cotton:bulk,9406,"[{""alleleA"":-1,""alleleB"":-1,""locus"":0},{""alleleA"":-1,""alleleB"":-1,""locus"":1},{""alleleA"":2,""alleleB"":2,""locus"":2},{""alleleA"":2,""alleleB"":2,""locus"":3},{""alleleA"":-1,""alleleB"":-1,""locus"":4},{""alleleA"":1,""alleleB"":1,""locus"":5}]",6,genome_ember-cotton_bulk,"[""tradeoff:quality"",""role:bulk-fiber""]",2
production-facilities,CropGenomeDefinitionSO,CropGenomeDefinitionSO|genome:ember-cotton:climate,genome:ember-cotton:climate,genome_ember-cotton_climate,수확량 고점 대신 온도와 병 저항을 높인 고급 섬유용 품종.,작성 자산 정의,,작성 목적은 '수확량 고점 대신 온도와 병 저항을 높인 고급 섬유용 품종'이다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Models/Economy/Content/CropDefinitionSO.cs; Assets/Scripts/Services/Economy/CropEcologyRuntime.cs; Assets/Scripts/Services/Economy/CropHarvestReachableMaximumWitnessAuthority.cs,Assets/Scripts/Services/Economy/CropEcologyRuntime.cs; Assets/Scripts/Services/Economy/CropHarvestReachableMaximumWitnessAuthority.cs,0,,작성 목적은 '수확량 고점 대신 온도와 병 저항을 높인 고급 섬유용 품종'이다.,생산·시설 영역의 CropGenomeDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,CropGenomeDefinitionSO,"비교 후보(대체 가능성 미검증): CropGenomeDefinitionSO:genome:bloodleaf:base, CropGenomeDefinitionSO:genome:cave-mushroom:base, CropGenomeDefinitionSO:genome:dreamleaf:base, CropGenomeDefinitionSO:genome:ember-root:base, CropGenomeDefinitionSO:genome:moonflower:base, CropGenomeDefinitionSO:genome:night-grape:base, CropGenomeDefinitionSO:genome:shade-fiber:base, CropGenomeDefinitionSO:genome:twilight-grain:base, CropGenomeDefinitionSO:genome:ember-cotton:base, CropGenomeDefinitionSO:genome:ember-cotton:bulk, CropGenomeDefinitionSO:genome:frost-flax:base, CropGenomeDefinitionSO:genome:frost-flax:bulk 외 19개",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/Economy/CropGenomes/V22Textiles/genome_ember-cotton_climate.asset,5727567d9e7698644b21d8a3d323405d,1,crop:ember-cotton,잿불 목화 기후내성종,수확량 고점 대신 온도와 병 저항을 높인 고급 섬유용 품종.,genome:ember-cotton:climate,9405,"[{""alleleA"":0,""alleleB"":0,""locus"":0},{""alleleA"":2,""alleleB"":2,""locus"":1},{""alleleA"":-1,""alleleB"":-1,""locus"":2},{""alleleA"":-1,""alleleB"":-1,""locus"":3},{""alleleA"":2,""alleleB"":2,""locus"":4},{""alleleA"":0,""alleleB"":0,""locus"":5}]",6,genome_ember-cotton_climate,"[""tradeoff:yield"",""role:fine-fiber""]",2
production-facilities,CropGenomeDefinitionSO,CropGenomeDefinitionSO|genome:ember-root:base,genome:ember-root:base,Genome_ember-root,기본 환경에 적응한 표준 품종.,작성 자산 정의,,작성 목적은 '기본 환경에 적응한 표준 품종'이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Models/Economy/Content/CropDefinitionSO.cs; Assets/Scripts/Services/Economy/CropEcologyRuntime.cs; Assets/Scripts/Services/Economy/CropHarvestReachableMaximumWitnessAuthority.cs,Assets/Scripts/Services/Economy/CropEcologyRuntime.cs; Assets/Scripts/Services/Economy/CropHarvestReachableMaximumWitnessAuthority.cs,1,CropDefinitionSO,작성 목적은 '기본 환경에 적응한 표준 품종'이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,생산·시설 영역의 CropGenomeDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,CropGenomeDefinitionSO,"비교 후보(대체 가능성 미검증): CropGenomeDefinitionSO:genome:bloodleaf:base, CropGenomeDefinitionSO:genome:cave-mushroom:base, CropGenomeDefinitionSO:genome:dreamleaf:base, CropGenomeDefinitionSO:genome:moonflower:base, CropGenomeDefinitionSO:genome:night-grape:base, CropGenomeDefinitionSO:genome:shade-fiber:base, CropGenomeDefinitionSO:genome:twilight-grain:base, CropGenomeDefinitionSO:genome:ember-cotton:base, CropGenomeDefinitionSO:genome:ember-cotton:bulk, CropGenomeDefinitionSO:genome:ember-cotton:climate, CropGenomeDefinitionSO:genome:frost-flax:base, CropGenomeDefinitionSO:genome:frost-flax:bulk 외 19개",직접 참조 1건에 영향: CropDefinitionSO:crop:ember-root,description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/Economy/CropGenomes/Genome_ember-root.asset,bdde30b6524cfb441836fd149048c082,1,crop:ember-root,ember-root 기본종,기본 환경에 적응한 표준 품종.,genome:ember-root:base,93002,"[{""alleleA"":0,""alleleB"":0,""locus"":0},{""alleleA"":0,""alleleB"":0,""locus"":1},{""alleleA"":0,""alleleB"":0,""locus"":2},{""alleleA"":0,""alleleB"":0,""locus"":3},{""alleleA"":0,""alleleB"":0,""locus"":4},{""alleleA"":0,""alleleB"":0,""locus"":5}]",6,Genome_ember-root,[],0
