"stable_id","display_name","stock_category","source_features","source_kind","source_unit_weight_kg","source_unit_price","source_declared_function","portfolio_commitment","same_era_alternative_candidates","physical_handling_receipt","depletion_or_overstock_pressure","recovery_or_conversion","status"
"ammo:arrow","화살","Ammunition (탄약)","[{""rid"":7737211673752633593},{""rid"":7737211673752633594}]","해당 없음: GenericItemDefinitionSO","0.06","1","게임 내 역할은 원거리 전투의 탄약 소비, 생산망의 입력·출력에 연결된다.","원거리·화기 전투를 위해 재고·운반·보급을 배정해 근접 방어·다른 탄약 계통 투자를 늦춘다","비교 후보(대체 가능성 미검증): GenericItemDefinitionSO:ammo:bolt","생성 또는 거래·재고 입고·운반·보관·장착 또는 소비와 하류 주문 기록","조우 소모·원정 적재·수리 또는 재보급의 지연이 압력이 된다","실제 비교 후보·교역·재활용·수리·배급 조정 중 원본 기능에 맞는 경로로 재고 압력을 줄인다","설계 확정; 질량·가격·스택·부패·효과 수치는 source authority와 밸런스 기준서에서 별도 검증 OPEN"
"ammo:bolt","볼트","Ammunition (탄약)","[{""rid"":7737211673752633576},{""rid"":7737211673752633577}]","해당 없음: GenericItemDefinitionSO","0.09","2","게임 내 역할은 원거리 전투의 탄약 소비, 생산망의 입력·출력에 연결된다.","원거리·화기 전투를 위해 재고·운반·보급을 배정해 근접 방어·다른 탄약 계통 투자를 늦춘다","비교 후보(대체 가능성 미검증): GenericItemDefinitionSO:ammo:arrow","생성 또는 거래·재고 입고·운반·보관·장착 또는 소비와 하류 주문 기록","조우 소모·원정 적재·수리 또는 재보급의 지연이 압력이 된다","실제 비교 후보·교역·재활용·수리·배급 조정 중 원본 기능에 맞는 경로로 재고 압력을 줄인다","설계 확정; 질량·가격·스택·부패·효과 수치는 source authority와 밸런스 기준서에서 별도 검증 OPEN"
"captivity:extracted-blood","추출 혈액","Biological (생물)","[{""rid"":7737211673752633605}]","해당 없음: GenericItemDefinitionSO","0.5","22","게임 내 역할은 생산망의 입력·출력에 연결된다.","사육·치료·생체 제작에 물자를 묶어 식량·의료·보관 경로와 경쟁한다","비교 후보(대체 가능성 미검증): GenericItemDefinitionSO:medicine:blood-pack, GenericItemDefinitionSO:surgery:contaminated-tissue, GenericItemDefinitionSO:surgery:organ:arm:left, GenericItemDefinitionSO:surgery:organ:arm:right, GenericItemDefinitionSO:surgery:organ:brain, GenericItemDefinitionSO:surgery:organ:core, GenericItemDefinitionSO:surgery:organ:eye:left, GenericItemDefinitionSO:surgery:organ:eye:right, GenericItemDefinitionSO:surgery:organ:heart, GenericItemDefinitionSO:surgery:organ:kidney:left, GenericItemDefinitionSO:surgery:organ:kidney:right, GenericItemDefinitionSO:surgery:organ:leg:left 외 7개","생성 또는 거래·재고 입고·운반·보관·장착 또는 소비와 하류 주문 기록","과잉 재고·운반·보관·수리 또는 사용 시점 지연이 압력이 된다","실제 비교 후보·교역·재활용·수리·배급 조정 중 원본 기능에 맞는 경로로 재고 압력을 줄인다","설계 확정; 질량·가격·스택·부패·효과 수치는 source authority와 밸런스 기준서에서 별도 검증 OPEN"
"captivity:memory-residue","기억 잔재","Knowledge (지식)","[{""rid"":7737211673752633446}]","해당 없음: GenericItemDefinitionSO","0.2","35","게임 내 역할은 생산망의 입력·출력에 연결된다.","설계·기록을 특정 연구·공방·계약 경로에 투입해 다른 해금·정보 투자를 늦춘다","동일 비교군 없음","생성 또는 거래·재고 입고·운반·보관·장착 또는 소비와 하류 주문 기록","과잉 재고·운반·보관·수리 또는 사용 시점 지연이 압력이 된다","실제 비교 후보·교역·재활용·수리·배급 조정 중 원본 기능에 맞는 경로로 재고 압력을 줄인다","설계 확정; 질량·가격·스택·부패·효과 수치는 source authority와 밸런스 기준서에서 별도 검증 OPEN"
"captivity:restraints","구속구","General (일반)","[{""rid"":7737211673752633600}]","해당 없음: GenericItemDefinitionSO","2.5","18","게임 내 역할은 생산망의 입력·출력에 연결된다.","이 물자의 원본 기능을 위해 보관·운반·소비·거래 중 한 경로에 재고를 배정해 다른 사용처를 늦춘다","비교 후보(대체 가능성 미검증): GenericItemDefinitionSO:dark:bone, GenericItemDefinitionSO:dark:humanoid_corpse, GenericItemDefinitionSO:evolution:facility-package, GenericItemDefinitionSO:industrial:sludge, GenericItemDefinitionSO:medicine:temporary-power-bypass, GenericItemDefinitionSO:surgery:prosthetic:arm:left, GenericItemDefinitionSO:surgery:prosthetic:arm:right, GenericItemDefinitionSO:surgery:prosthetic:brain, GenericItemDefinitionSO:surgery:prosthetic:core, GenericItemDefinitionSO:surgery:prosthetic:eye:left, GenericItemDefinitionSO:surgery:prosthetic:eye:right, GenericItemDefinitionSO:surgery:prosthetic:heart 외 11개","생성 또는 거래·재고 입고·운반·보관·장착 또는 소비와 하류 주문 기록","과잉 재고·운반·보관·수리 또는 사용 시점 지연이 압력이 된다","실제 비교 후보·교역·재활용·수리·배급 조정 중 원본 기능에 맞는 경로로 재고 압력을 줄인다","설계 확정; 질량·가격·스택·부패·효과 수치는 source authority와 밸런스 기준서에서 별도 검증 OPEN"
"dark:bone","인간형 뼈","General (일반)","[{""rid"":7737211673752633544}]","해당 없음: GenericItemDefinitionSO","0.4","1","게임 내 역할은 생산망의 입력·출력에 연결된다.","이 물자의 원본 기능을 위해 보관·운반·소비·거래 중 한 경로에 재고를 배정해 다른 사용처를 늦춘다","비교 후보(대체 가능성 미검증): GenericItemDefinitionSO:captivity:restraints, GenericItemDefinitionSO:dark:humanoid_corpse, GenericItemDefinitionSO:evolution:facility-package, GenericItemDefinitionSO:industrial:sludge, GenericItemDefinitionSO:medicine:temporary-power-bypass, GenericItemDefinitionSO:surgery:prosthetic:arm:left, GenericItemDefinitionSO:surgery:prosthetic:arm:right, GenericItemDefinitionSO:surgery:prosthetic:brain, GenericItemDefinitionSO:surgery:prosthetic:core, GenericItemDefinitionSO:surgery:prosthetic:eye:left, GenericItemDefinitionSO:surgery:prosthetic:eye:right, GenericItemDefinitionSO:surgery:prosthetic:heart 외 11개","생성 또는 거래·재고 입고·운반·보관·장착 또는 소비와 하류 주문 기록","과잉 재고·운반·보관·수리 또는 사용 시점 지연이 압력이 된다","실제 비교 후보·교역·재활용·수리·배급 조정 중 원본 기능에 맞는 경로로 재고 압력을 줄인다","설계 확정; 질량·가격·스택·부패·효과 수치는 source authority와 밸런스 기준서에서 별도 검증 OPEN"
"dark:humanoid_corpse","인간형 사체","General (일반)","[{""rid"":7737211673752633538}]","해당 없음: GenericItemDefinitionSO","28","0","게임 내 역할은 생산망의 입력·출력에 연결된다.","이 물자의 원본 기능을 위해 보관·운반·소비·거래 중 한 경로에 재고를 배정해 다른 사용처를 늦춘다","비교 후보(대체 가능성 미검증): GenericItemDefinitionSO:captivity:restraints, GenericItemDefinitionSO:dark:bone, GenericItemDefinitionSO:evolution:facility-package, GenericItemDefinitionSO:industrial:sludge, GenericItemDefinitionSO:medicine:temporary-power-bypass, GenericItemDefinitionSO:surgery:prosthetic:arm:left, GenericItemDefinitionSO:surgery:prosthetic:arm:right, GenericItemDefinitionSO:surgery:prosthetic:brain, GenericItemDefinitionSO:surgery:prosthetic:core, GenericItemDefinitionSO:surgery:prosthetic:eye:left, GenericItemDefinitionSO:surgery:prosthetic:eye:right, GenericItemDefinitionSO:surgery:prosthetic:heart 외 11개","생성 또는 거래·재고 입고·운반·보관·장착 또는 소비와 하류 주문 기록","과잉 재고·운반·보관·수리 또는 사용 시점 지연이 압력이 된다","실제 비교 후보·교역·재활용·수리·배급 조정 중 원본 기능에 맞는 경로로 재고 압력을 줄인다","설계 확정; 질량·가격·스택·부패·효과 수치는 source authority와 밸런스 기준서에서 별도 검증 OPEN"
"dark:humanoid_meat","금기의 고기","Food (식량)","[{""rid"":7737211673752633516},{""rid"":7737211673752633517}]","해당 없음: GenericItemDefinitionSO","0.65","1","게임 내 역할은 섭취와 영양 공급, 생산망의 입력·출력에 연결된다.","식량 생산·보존·배식·문화 요구 중 이 물자를 어디에 배정할지 선택해 다른 식단과 비축을 늦춘다","비교 후보(대체 가능성 미검증): GenericItemDefinitionSO:survival:cooked_meal, GenericItemDefinitionSO:survival:preserved_food, GenericItemDefinitionSO:survival:raw_food, GenericItemDefinitionSO:survival:tainted_food, GenericItemDefinitionSO:wild:carcass:ash_crawler, GenericItemDefinitionSO:wild:carcass:ash_goat, GenericItemDefinitionSO:wild:carcass:carrion_drake, GenericItemDefinitionSO:wild:carcass:cave_hound, GenericItemDefinitionSO:wild:carcass:cave_rat, GenericItemDefinitionSO:wild:carcass:crystal_beetle, GenericItemDefinitionSO:wild:carcass:deep_goat, GenericItemDefinitionSO:wild:carcass:ember_lizard 외 12개","생성 또는 거래·재고 입고·운반·보관·장착 또는 소비와 하류 주문 기록","부패·식단 불일치·배식 지연·저장 점유가 압력이 되며 비축은 다른 식재료를 잠근다","실제 비교 후보·교역·재활용·수리·배급 조정 중 원본 기능에 맞는 경로로 재고 압력을 줄인다","설계 확정; 질량·가격·스택·부패·효과 수치는 source authority와 밸런스 기준서에서 별도 검증 OPEN"
"equipment-item:armor:articulated-plate","관절식 판금갑","Weapon (무기)","[{""rid"":7737211673752633482},{""rid"":7737211673752633483},{""rid"":7737211673752633484}]","해당 없음: GenericItemDefinitionSO","13","1010","게임 내 역할은 장비 제작과 장착, 생산망의 입력·출력, 연구에 따른 사용 시점 제한에 연결된다.","지정 전투·노동 역할에 장비를 배정하고 수리·보관을 감당해 다른 장비 계통을 늦춘다","비교 후보(대체 가능성 미검증): GenericItemDefinitionSO:equipment-item:armor:blacksteel-carapace, GenericItemDefinitionSO:equipment-item:armor:blast-coat, GenericItemDefinitionSO:equipment-item:armor:breastplate, GenericItemDefinitionSO:equipment-item:armor:brigandine, GenericItemDefinitionSO:equipment-item:armor:closed-plate-helm, GenericItemDefinitionSO:equipment-item:armor:gambeson, GenericItemDefinitionSO:equipment-item:armor:hardened-leather-coat, GenericItemDefinitionSO:equipment-item:armor:iron-helmet, GenericItemDefinitionSO:equipment-item:armor:jack-of-plates, GenericItemDefinitionSO:equipment-item:armor:leather, GenericItemDefinitionSO:equipment-item:armor:mail-coif, GenericItemDefinitionSO:equipment-item:armor:mail-shirt 외 42개","생성 또는 거래·재고 입고·운반·보관·장착 또는 소비와 하류 주문 기록","과잉 재고·운반·보관·수리 또는 사용 시점 지연이 압력이 된다","실제 비교 후보·교역·재활용·수리·배급 조정 중 원본 기능에 맞는 경로로 재고 압력을 줄인다","설계 확정; 질량·가격·스택·부패·효과 수치는 source authority와 밸런스 기준서에서 별도 검증 OPEN"
"equipment-item:armor:blacksteel-carapace","흑강 갑각","Weapon (무기)","[{""rid"":7737211673752633431},{""rid"":7737211673752633432},{""rid"":7737211673752633433}]","해당 없음: GenericItemDefinitionSO","15","1368","게임 내 역할은 장비 제작과 장착, 생산망의 입력·출력, 연구에 따른 사용 시점 제한에 연결된다.","지정 전투·노동 역할에 장비를 배정하고 수리·보관을 감당해 다른 장비 계통을 늦춘다","비교 후보(대체 가능성 미검증): GenericItemDefinitionSO:equipment-item:armor:articulated-plate, GenericItemDefinitionSO:equipment-item:armor:blast-coat, GenericItemDefinitionSO:equipment-item:armor:breastplate, GenericItemDefinitionSO:equipment-item:armor:brigandine, GenericItemDefinitionSO:equipment-item:armor:closed-plate-helm, GenericItemDefinitionSO:equipment-item:armor:gambeson, GenericItemDefinitionSO:equipment-item:armor:hardened-leather-coat, GenericItemDefinitionSO:equipment-item:armor:iron-helmet, GenericItemDefinitionSO:equipment-item:armor:jack-of-plates, GenericItemDefinitionSO:equipment-item:armor:leather, GenericItemDefinitionSO:equipment-item:armor:mail-coif, GenericItemDefinitionSO:equipment-item:armor:mail-shirt 외 42개","생성 또는 거래·재고 입고·운반·보관·장착 또는 소비와 하류 주문 기록","과잉 재고·운반·보관·수리 또는 사용 시점 지연이 압력이 된다","실제 비교 후보·교역·재활용·수리·배급 조정 중 원본 기능에 맞는 경로로 재고 압력을 줄인다","설계 확정; 질량·가격·스택·부패·효과 수치는 source authority와 밸런스 기준서에서 별도 검증 OPEN"
