# Character AI WorkType production-live matrix
authority=Brain -> AIWork -> AbilityWork -> WorkTaskExecutor
contract/direct-handler evidence is never accepted as PASS
RESULT=FAIL; rows=20; passed=2; blocked=0; failed=1
status	workType	target	detail
INFO	info:baseline-promotion	-	committed=True; message=준비한 사장과 직원으로 새 런을 시작했습니다.; liveStaff=2; inactiveStaffObjects=0; customerPoolInactive=0; actors=Roma:-3558530:character:staff:1:01:active=True,Arin:-3558598:character:staff:1:02:active=True; diagnostics=prepared-1:name=Roma;go=-3558502;id=character:staff:1:01;active=False || prepared-2:name=Arin;go=-3558570;id=character:staff:1:02;active=False || scan:name=Roma;go=-3558502;id=character:staff:1:01;active=True;retained=True || scan:name=Arin;go=-3558570;id=character:staff:1:02;active=True;retained=True || retained:name=Roma;go=-3558502;id=character:staff:1:01;active=True || retained:name=Arin;go=-3558570;id=character:staff:1:02;active=True
INFO	info:grand-project-research-fixture	-	save-registry research closure=research:agriculture:compost,research:agriculture:field,research:agriculture:gathering,research:arcane:advanced,research:arcane:alchemy,research:arcane:records,research:cuisine:crops,research:cuisine:livestock,research:cuisine:milling,research:cuisine:vegan,research:forestry:charcoal,research:forestry:logging,research:forestry:sawmill,research:forestry:tools,research:husbandry:capture,research:husbandry:feed,research:husbandry:stable,research:industry:steam-power,research:metallurgy:iron,research:metallurgy:primitive,research:mining:quarry,research:mining:stonecutting,research:mining:surface,research:plumbing:basics,research:plumbing:sewer,research:survival:sanitation,research:survival:support
INFO	info:subject	-	id=owner; role=Owner; lifecycle=Active
INFO	info:world-resource-fixture	-	gather=True; logging=True; nodes=7
INFO	info:subject-isolation	-	subject=owner; competitorsPaused=2; priorPauseStatesCaptured=3
PASS	work:operate	판매카운터	CancelAfterApprovedProgress:pass=True; epoch=1->2; workType=work:operate; actionType=AIWork[generic->work:operate]; priorityCommand=direct; progress=1; completionTargetRemoved=True; action=1/1; terminal=1C/0F; terminalEpochKind=Cancelled; path=1/1; reservation=1/1; movement=True/False@(17, 0)->(22, 1); gameplayProgress=8; preStartDeferredWaits=0; etaCap=14.296; conserve=True/True/True; invariant=True; preTerminal=phase=작업 자세; failure=; actor=(22, 1); target=(22, 1); active=True; assigned=work:operate; working=True; movementActive=False; movementFailure=None; runtimePhase=Working; lifecycle=Active; preWuExit=None:; workOrder=stage=execution-no-order,workType=work:operate,target=building:268913d89c7f4d04b508052f6fb78a46,expected=,actual=missing,status=missing,remaining=missing; workCancellation=1/run=0/activeRun=3/latch=none/reason=; interruptedReplan=caller=PrepareActor; reason=worktype live matrix row reset; action=일하기; phase=이동; destination=응대 지점; environment=phys=Stable,visual=Stable,cold=0,heat=0,air=0,strain=0; discontent=none; workAccess=(23, 1); blocker=none | InvalidateTargetAfterStart:pass=True; epoch=2->3; workType=work:operate; actionType=AIWork[generic->work:operate]; priorityCommand=direct; progress=0; completionTargetRemoved=True; action=1/1; terminal=0C/1F; terminalEpochKind=Failed; path=2/2; reservation=1/1; movement=True/False@(22, 1)->(22, 1); gameplayProgress=5; preStartDeferredWaits=0; etaCap=8; conserve=True/True/True; invariant=True; blocker=none
PASS	work:restock	저가 음식점	CancelAfterApprovedProgress:pass=True; epoch=3->4; workType=work:restock; actionType=AIWork[generic->work:restock]; priorityCommand=direct; progress=1; completionTargetRemoved=True; action=1/1; terminal=1C/0F; terminalEpochKind=Cancelled; path=1/1; reservation=1/1; movement=True/False@(22, 1)->(31, 0); gameplayProgress=17; preStartDeferredWaits=0; etaCap=23.29; conserve=True/True/True; invariant=True; preTerminal=phase=보충 적재; failure=; actor=(31, 0); target=(28, 2); active=True; assigned=work:restock; working=True; movementActive=False; movementFailure=None; runtimePhase=Unknown; lifecycle=Active; preWuExit=None:; workOrder=; workCancellation=2/run=0/activeRun=6/latch=none/reason=; interruptedReplan=caller=RunLivePhase; reason=worktype live matrix cancel after approved progress; action=일하기; phase=작업 자세; destination=판매카운터; environment=phys=Stable,visual=Stable,cold=0,heat=0,air=0,strain=0; discontent=none; workAccess=(30, 2); blocker=none | InvalidateTargetAfterStart:pass=True; epoch=4->5; workType=work:restock; actionType=AIWork[generic->work:restock]; priorityCommand=direct; progress=0; completionTargetRemoved=True; action=1/1; terminal=1C/0F; terminalEpochKind=Cancelled; path=1/1; reservation=1/1; movement=False/False@(31, 0)->(31, 0); gameplayProgress=2; preStartDeferredWaits=0; etaCap=50.832; conserve=True/True/True; invariant=True; blocker=none
INFO	info:work-only-access:DefenseLinkedDropGate	문 연동 강화 낙하문	roles=None; workAccess=(27, 1); visitorAccess=False; live execution remains owned by its WorkType row
FAIL	global:runtime-exception	-	UnityEngine.MissingReferenceException: The object of type 'StructuralImpactFx' has been destroyed but you are still trying to access it. Your script should either check if it is null or you should not destroy the object.    at UnityEngine.Object+MarshalledUnityObject.TryThrowEditorNullExceptionObject (UnityEngine.Object unityObj, System.String parameterName) [0x0006a] in <6a469c5cf96a43eab23a293167261e20>:0     at UnityEngine.Bindings.ThrowHelper.ThrowNullReferenceException (System.Object obj) [0x00010] in <6a469c5cf96a43eab23a293167261e20>:0     at UnityEngine.Component.get_gameObject () [0x00006] in <6a469c5cf96a43eab23a293167261e20>:0     at StructuralImpactFx.Play (UnityEngine.Vector3 position, System.Int32 sourceId, System.Boolean collapse, System.Boolean reducedMotion) [0x0001e] in F:\01_Programming\01_Project\02_Unity\DungeonStory\Assets\Scripts\Services\Buildings\StructuralDamagePresentation.cs:165     at StructuralDamagePresentation.Present (BuildableObject building, BuildingStructuralIntegritySnapshot snapshot, System.Single hitPointDelta, System.Boolean destroyed, System.Boolean reducedMotion) [0x0002b] in F:\01_Programming\01_Project\02_Unity\DungeonStory\Assets\Scripts\Services\Buildings\StructuralDamagePresentation.cs:24     at BuildingStructuralIntegrity.ApplyDamage (System.Single damage) [0x000a5] in F:\01_Programming\01_Project\02_Unity\DungeonStory\Assets\Scripts\Services\Buildings\BuildingStructuralIntegrityRuntime.cs:246     at BuildingStructuralIntegrityRuntime.ApplyDamage (BuildableObject building, System.Single damage) [0x00000] in F:\01_Programming\01_Project\02_Unity\DungeonStory\Assets\Scripts\Services\Buildings\BuildingStructuralIntegrityRuntime.cs:408     at CharacterAiWorkTypeLiveMatrixPlayModeRunner.PrepareRepairFixture (System.String& failureReason) [0x000dd] in F:\01_Programming\01_Project\02_Unity\DungeonStory\Assets\Scripts\Services\Character\Work\Editor\CharacterAiWorkTypeLiveMatrixPlayModeVerifier.cs:3511     at CharacterAiWorkTypeLiveMatrixPlayModeRunner+<PrepareDomainFixture>d__74.MoveNext () [0x0003f] in F:\01_Programming\01_Project\02_Unity\DungeonStory\Assets\Scripts\Services\Character\Work\Editor\CharacterAiWorkTypeLiveMatrixPlayModeVerifier.cs:1695     at CharacterAiWorkTypeLiveMatrixPlayModeRunner+<RunRow>d__54.MoveNext () [0x00136] in F:\01_Programming\01_Project\02_Unity\DungeonStory\Assets\Scripts\Services\Character\Work\Editor\CharacterAiWorkTypeLiveMatrixPlayModeVerifier.cs:458     at CharacterAiWorkTypeLiveMatrixPlayModeRunner+<RunScenario>d__53.MoveNext () [0x00961] in F:\01_Programming\01_Project\02_Unity\DungeonStory\Assets\Scripts\Services\Character\Work\Editor\CharacterAiWorkTypeLiveMatrixPlayModeVerifier.cs:426     at CharacterAiWorkTypeLiveMatrixPlayModeRunner+<RunGuarded>d__52.MoveNext () [0x00057] in F:\01_Programming\01_Project\02_Unity\DungeonStory\Assets\Scripts\Services\Character\Work\Editor\CharacterAiWorkTypeLiveMatrixPlayModeVerifier.cs:238 
INFO	info:console-warning-error-zero	-	0/0
