stable_id,target_integration,actual_cause,source_consumable,locked_context,escalation_stages,meaningful_choices,domain_execution,completion_receipt,persistent_trace,future_reaction,current_status
practice:adventurer-name-token,C3,"성년자가 첫 독립 임무를 실제로 마치고 지도에 이름을 남기려 함",material:paper,"성년자·지도실·기록·원정 이력·종이","임무 완료→기록·지도 경합→이름 누락·가구 갈등 또는 행사 연기","공동 지도 공개; 개인 기록 보관; 다음 귀환까지 연기","종이 소비·지도 갱신·기록 권한·가구 모임","이름패·임무 이력·참여 기록","개척자 정체성·지도 권한·가구 기억","원정·지도 축제·유산 기록이 반응","설계 확정; 문화 operation runtime OPEN"
practice:adventurer-return-table,C3,"원정 귀환자가 동료와 보존식을 나누며 미귀환자를 보고",food:preserved-ration,"귀환자·동료·식당·보존식·원정 기록","귀환→식사·배급 경합→미귀환 보고 지연·가구 불안 또는 행사 축소","공동 식사; 기록 우선 보고; 비축 보존과 소규모 모임","배식·좌석·원정 기록·휴식 배정","식사 소비·귀환 보고·미귀환자 상태","원정 관계·비축 소모·미귀환자 이력","구조·지도·추모 사건이 반응","설계 확정; 원정·식사 runtime OPEN"
practice:beastkin-pack-meal,C3,"가구와 가까운 동료가 공동 사냥 또는 육류 확보 뒤 큰솥을 비움",resource:meat,"수인 가구·주방·고기·큰솥·좌석","수확→고기·주방 경합→분배 갈등·부패 또는 행사 축소","가구 공동식; 무리 전체 분배; 고기 보존 우선","고기 조리·배식·좌석·청소","고기 소비·참여·분배 기록","수인 결속·식단 선호·가구 신뢰","사냥·축산·수인 축제가 반응","설계 확정; 식사·가구 runtime OPEN"
practice:beastkin-scent-vigil,C3,"사망자의 향을 천에 남겨 무리가 순서대로 작별",textile:cloth,"유족·수인 무리·추모 공간·천·보관","사망→추모 물자·공간 경합→작별 지연·유족 갈등 또는 간소화","공동 철야; 가구별 작별; 기록 추모와 천 보관","천 소비·추모 공간 배정·교대·기록","참여·천 보관·유족 상태","수인 추모·가구 기억·향 물자","유산·수인 축제·가구 사건이 반응","설계 확정; 추모·가구 runtime OPEN"
practice:demon-oath-embers,C3,"중요 약속을 종이에 쓰고 한쪽 사본을 태워 공개 책임을 남김",material:paper,"악마 가구·계약실·종이·봉인·증인","약속→문서·증인 경합→기록 불일치·의무 분쟁 또는 연기","공개 맹세; 가구 내 맹세; 계약 보류와 기록 보관","문서 작성·복제·소각·봉인·증언","소각 사본·보관 사본·증인 기록","약속 권위·악마 계약 신뢰·가구 의무","악마 장·계약·상속 빚이 반응","설계 확정; 문서·계약 runtime OPEN"
practice:demon-third-bell,C3,"악마 작업자가 교대 종료를 세 번 확인하고 안전 퇴실",item:bell,"악마 작업자·작업장·종·근무표·출입문","교대 종료→작업·종소리 경합→미확인 퇴실·사고 또는 지연","완전 확인; 경비 확인 대행; 비상 퇴실과 사후 기록","종 사용·작업 중지·출입 확인·근무 교대","확인 기록·퇴실·작업 상태","악마 안전 규칙·근무 이력·출입 권한","산업 사고·계약 신뢰·교대 사건이 반응","설계 확정; 근무·출입 runtime OPEN"
practice:golem-core-polish,C3,"정기 정비 때 서로 외장을 손질하고 핵은 본인이 점검",tool:maintenance-kit,"골렘·정비실·정비 키트·핵·전력","정비 시점→키트·작업대 경합→핵 점검 누락·가동 제한 또는 행사 축소","상호 정비; 핵 점검 우선; 외장 청소만 진행","정비·키트 소비·전력 조정·기록","외장 상태·핵 자가 점검·참여 기록","골렘 자율성·정비 이력·부품 수요","골렘 장·핵 공명·정비 계약이 반응","설계 확정; 구성체·정비 runtime OPEN"
practice:golem-memory-plaque,C3,"정지한 골렘의 핵 기록을 금속판에 요약해 보관",material:iron-ingot,"정지 골렘·기록실·금속판·보관·정비자","정지→기록·금속 경합→기억 유실·소유 다툼 또는 보관 연기","공개 안치; 제한 보관; 기록 복제만 진행","철 소비·기록 추출·판 제작·보관 권한","기억판·요약·열람 권한","골렘 기억·보관 권위·가구 또는 동료 관계","골렘 장·유산·핵 공명에 반응","설계 확정; 기억·보관 runtime OPEN"
practice:harpy-dawn-chorus,C3,"밤 교대가 끝나 높은 통로에서 하루 소식을 노래",food:dried-fruit,"하피·높은 통로·경계·말린 과일·근무표","교대→통로·경계 경합→경보 누락·피로 또는 합창 축소","공동 합창; 경계 교대 합창; 기록만 전달","간식 배급·통로 권한·경보·근무 교대","참여·경보·근무표·간식 소비","하피 통신·경계 습관·피로 이력","하피 장·폭풍·원정 경로가 반응","설계 확정; 경계·문화 runtime OPEN"
practice:harpy-first-flight,C3,"성년 하피가 안전줄을 매고 높은 내부 비행로를 완주",material:rope,"성년자·비행로·안전줄·보호자·의료","성년식→비행로·안전 경합→추락·경로 봉쇄 또는 연기","보호자 동행; 낮은 경로 시험; 의식 연기와 훈련","안전줄 설치·경로 점검·동행·의료 대기","완주·중단·부상·경로 상태","하피 성년 이력·비행 권한·안전 규칙","공중 물류·하피 축제·보철 사건이 반응","설계 확정; 이동·안전 runtime OPEN"
practice:kobold-bench-feast,C3,"큰 공사 완료 뒤 작업대를 닦고 버섯 요리를 나눔",food:mushroom-stew,"코볼트 장인·작업대·버섯 스튜·청소·공사 이력","공사 완료→청소·다음 주문 경합→불량·피로 또는 잔치 연기","정비 포함 잔치; 청소 우선 소식; 다음 공사 우선","작업대 청소·수리·조리·배식","작업대 상태·식사·공사 완료·참여","코볼트 공방 신뢰·품질 습관·장인 피로","품평회·불량 시설·도제 사건이 반응","설계 확정; 제작·품질 runtime OPEN"
practice:kobold-tool-naming,C3,"도제가 직접 수리한 첫 도구에 이름과 날짜를 새김",material:iron-ingot,"도제·도구·수리대·금속·기록실","첫 수리→수리대·금속 경합→도구 반납 지연·소유 분쟁 또는 연기","개인 이름새김; 공방 공동 소유; 기록만 남기고 지급","철 소비·수리·각인·소유 이전·기록","도구 상태·소유·수리·각인 기록","도제 계보·공방 소유·장비 이력","대작·도구 상속·코볼트 장이 반응","설계 확정; 장비 권위 runtime OPEN"
practice:myconid-shared-mist,C3,"휴식 시간에 깨끗한 물을 분무해 포자 리듬을 맞춤",resource:clean-water,"균사 군체·휴식 구역·깨끗한 물·환기·분무 설비","휴식→물·환기 경합→포자 불균형·노출 또는 관습 축소","공동 분무; 구역별 순환; 물을 의료에 우선","물 예약·환기·분무·휴식 조정","물 소비·공기 상태·참여 기록","균사 리듬·물 수요·환기 규칙","포자비·균사 장·의료 사건이 반응","설계 확정; 물·생태 runtime OPEN"
practice:myconid-spore-return,C3,"사망자의 배양 기록을 정원 토양에 돌려 공동 기억으로 남김",resource:compost,"유족·균사 정원·퇴비·기록·환기","사망→정원·퇴비 경합→기억 보존 지연·오염 또는 간소화","정원 귀환; 기록 보관; 퇴비를 농업에 우선","퇴비 이동·기록 이전·정원 작업·세정","토양 기록·참여·정원 상태","균사 추모·정원 기억·퇴비 수요","균사 축제·농업·유산 사건이 반응","설계 확정; 생태·추모 runtime OPEN"
practice:orc-shared-cauldron,C3,"가장 약한 구성원이 먼저 고기 스튜를 받고 나머지가 먹음",food:salted-meat-stew,"오크 가구·취약 인물·주방·스튜·배식","배식→식량·의료 경합→우선 배분 갈등·훈련 지연 또는 행사 축소","약자 우선; 가구별 분배; 스튜 비축과 기록","스튜 조리·상태 확인·배식·좌석","배식 순서·식사·취약자 상태","오크 돌봄 규칙·식량 배분·가구 신뢰","의료 부족·오크 축제·가구 사건이 반응","설계 확정; 식량·돌봄 runtime OPEN"
practice:orc-weapon-vigil,C3,"동료 무기를 밤새 손질하며 용기와 실수를 함께 말함",material:charcoal,"오크 전사·무기·수리대·숯·경비·휴식","야간 정비→연료·경계 경합→무기 미정비·피로·침입 취약","전체 정비; 경계 순환 정비; 기록과 점검만","숯 소비·수리·경비 교대·기록·휴식","무기 상태·교대·참여·수리 기록","오크 전투 기억·장비 내구·경비 피로","침입·무기 철야제·대장 사건이 반응","설계 확정; 전투·정비 runtime OPEN"
practice:slime-clear-water,C3,"서로 다른 가구 슬라임이 깨끗한 수조에서 기억을 나눔",resource:clean-water,"슬라임 가구·수조·깨끗한 물·세정·기록","모임→수질·수조 경합→오염·기억 혼선 또는 행사 연기","공동 수조; 가구별 순환; 기록 교환만","급수·세정·수조 배정·기록","수질·참여·기억 교환","슬라임 가구 결속·수조 위생·기억 이력","슬라임 축제·물 부족·문화 청원이 반응","설계 확정; 물·가구 runtime OPEN"
practice:slime-core-ring,C3,"성년 슬라임 핵 둘레에 손상 없는 보호 고리를 맞춤",component:mana-shield-plate,"성년 슬라임·보호 고리·정비 또는 의료·가구","성년식→부품·전문가 경합→핵 노출·지연 또는 대체 장비","정밀 고리; 임시 보호; 성년식 연기와 부품 보존","부품 검사·장착·의료 대기·기록","고리 상태·장착·성년·부품 소비","슬라임 보호 규칙·핵 상태·가구 책임","슬라임 축제·의료·비전 제작이 반응","설계 확정; 장비·의료 runtime OPEN"
practice:vampire-consent-cup,C3,"혈액을 나누기 전 제공자와 수령자가 양·목적을 함께 선언",food:blood-reserve,"뱀파이어·제공자·수령자·의료·혈액 비축·기록","요청→혈액·동의 경합→건강 저하·강요 의심 또는 행사 보류","명시적 동의 교환; 대체 비축 사용; 의식 보류와 의료 우선","동의 기록·혈액 예약·상태 확인·섭취·회복","동의·혈액 이동·건강·참여 기록","혈액 권한·가구 신뢰·의료 비축","혈향 축제·회춘·의료 사건이 반응","설계 확정; 동의·의료 runtime OPEN"
practice:vampire-incense-memory,C3,"사망자의 기억 향초를 개인실 앞에 밝힘",item:candle,"유족·개인실·향초·환기·경비·기록","사망→개인실·환기 경합→화재·연기·추모 지연 또는 축소","개인실 추모; 공동 추모실; 기록과 향초 보관","향초 배치·환기·화재 점검·기록·교대","향초 상태·참여·추모·안전 기록","뱀파이어 추모·개인실 권한·환기 이력","혈향 축제·유산·주거 사건이 반응","설계 확정; 추모·안전 runtime OPEN"
