stable_id,faction_id,chapter_stage,actual_pressure,cross_faction,locked_context,escalation_stages,player_commitment,resolution_receipt,persistent_faction_state,downstream_branch,current_status
faction-chapter:beastkin:1,faction:dungeon:beastkin,접촉,"부상 사냥꾼과 식량 요청이 가축·비축과 충돌",없음,"사절·부상자·염장 식량·의료 또는 집무 공간","요청→치료·식량 부족→사절 이탈 또는 보호 의무","치료·식량 지원; 안전한 수렵 협상; 거절 후 경계 강화","치료·화물 인도·수렵 약속 또는 거절 기록","수인 신뢰·식량 의무·사냥터 접근","사냥터 고갈과 젊은 무리 이탈","설계 확정; 세력 장 runtime OPEN"
faction-chapter:beastkin:2,faction:dungeon:beastkin,압력,"과도한 사냥으로 먹잇감 감소와 젊은 무리 이탈",없음,"사냥터·가축·의료 물자·포획·사료","경고→이탈·부상→보존 실패와 식량 갈등","부상 치료와 보존; 공동 포획; 단기 식량 지원 후 사냥 제한","치료·포획·사료 배분·사냥 제한 이력","사냥 규칙·무리 인구·식량 상호의존","악마 계약단의 포획권 주장","설계 확정; 생태·세력 runtime OPEN"
faction-chapter:beastkin:3,faction:dungeon:beastkin,교차 갈등,"악마 계약단이 같은 사냥터 포획권을 주장",faction:dungeon:demon,"사냥터·탑방패·경비·계약 기록·포획 장비","권리 주장→공동 구역 충돌→무장 대치 또는 포획권 상실","수인 방어 지원; 세력 중재와 분할권; 악마 계약 수용","방패 인도·경비 배치·중재 판정·포획 경계","수인·악마 관계와 사냥터 권리","보존 사육·공동 사냥·무기 지원의 선택","설계 확정; 교차 세력 runtime OPEN"
faction-chapter:beastkin:4,faction:dungeon:beastkin,방향 선택,"사육·공동 사냥·군수 지원 중 무리와의 관계 방식을 결정",없음,"축사·사냥대·무기 재고·행정·가축 기록","선택→노동·사료 또는 군수 집중→다른 경로의 장기 지연","보존 사육 투자; 공동 사냥 협약; 무기와 경계 지원","시설·인력·화물 배정과 선택한 운영 규칙","수인 특권·사료 또는 군수 의무·사냥 정책","우두머리 실종의 책임 분쟁","설계 확정; 포트폴리오 전환 runtime OPEN"
faction-chapter:beastkin:5,faction:dungeon:beastkin,위기,"강경파가 우두머리 실종을 던전의 배신으로 선동",없음,"수인 거점·의료·경비·정찰·기록","의심→거점 봉쇄·습격 준비→동맹 파기 또는 강경파 정착","수색 원정; 의료·보호 증거 공개; 독립 경계와 방어","정찰·치료·기록·교전 또는 철수 이력","우두머리 상태·강경파 영향·수인 신뢰","최종 사냥 경계 협정","설계 확정; 수색·방어 runtime OPEN"
faction-chapter:beastkin:6,faction:dungeon:beastkin,결산,"무리와 던전이 동맹·종속·결별의 사냥 경계를 확정",없음,"경계 표지·계약실·수렵·축사·경비","협정 협상→경계 집행→침해 시 지원·보복 또는 단절","상호 방어 동맹; 공급을 받는 종속; 경계 분리","경계 설치·계약·정기 화물 또는 철수 기록","세력 최종 관계·공급·침입 후보·사냥 권리","후속 계약·침입·원정 후보","설계 확정; 최종 관계 runtime OPEN"
faction-chapter:demon:1,faction:dungeon:demon,접촉,"봉인된 협정의 증인과 문서 재료를 요구",없음,"사절·행정실·문서·기록·증인","증인 요청→문서 지연→채무 의심 또는 관계 단절","공개 증언; 조건부 증언; 증언 거절과 기록 보존","문서·증언·봉인·기록 열람","악마 계약 신뢰·문서 의무","서명 없는 채무의 가구 분쟁","설계 확정; 문서·계약 runtime OPEN"
faction-chapter:demon:2,faction:dungeon:demon,압력,"사망자의 무서명 채무가 여러 가구로 분산",없음,"가구·채무 기록·룬 도체·의료 또는 집무 공간","청구→가구 압박·미납→압류·이탈 또는 계약 강화","채무 상환; 가구별 심사; 계약 폐기 소송","물자 인도·가구 판정·새 채무 기록","채무 책임·가구 신뢰·악마 담보","골렘 주조소 담보 분쟁","설계 확정; 가구·계약 runtime OPEN"
faction-chapter:demon:3,faction:dungeon:demon,교차 갈등,"골렘 주조소가 룬 도체 담보 반환을 거부",faction:dungeon:golem,"주조소·룬 도체·경비·계약실·정비자","담보 분쟁→생산 지연·정비 중단→세력 대치","악마 반환 요구 지지; 삼자 중재; 골렘 생산 우선","도체 이동·중재 기록·주조소 가동 또는 봉쇄","악마·골렘 신뢰와 담보 권리","중재·채무 매입·계약 파기 선택","설계 확정; 생산·계약 runtime OPEN"
faction-chapter:demon:4,faction:dungeon:demon,방향 선택,"공개 중재·채무 매입·계약 파기 중 계약 질서를 정함",없음,"집무실·기록·재고·화물·세력 대표","선택→자본·행정 또는 적대 투자→다른 계약 모델 지연","공개 중재 제도; 채무 매입과 신용; 계약 파기와 자급","심사·화물·금고 또는 보복 경계 기록","계약 규칙·신용 의무·악마 특권","숨은 조항 발동 위기","설계 확정; 경제·외교 runtime OPEN"
