content_type,code_system,architecture_system_ids,consumer_evidence_count,type_scope_count,exact_stable_id_count,exact_stable_ids,code_roles,source_paths,consumer_csv
AgeConditionDefinitionSO,models:species,,1,1,0,,content-loading,Assets/Scripts/Models/Species/Core/CharacterSpeciesCatalog.cs,docs_final/content-db/code-consumers/characters-traits/age-condition.csv
AgeConditionDefinitionSO,services:character,,1,1,0,,runtime,Assets/Scripts/Services/Character/Core/StartPartyPreparationService.cs,docs_final/content-db/code-consumers/characters-traits/age-condition.csv
AgeConditionDefinitionSO,views,,6,0,6,condition:age-cardiac-degeneration; condition:age-neural-degeneration; condition:age-organ-fibrosis; condition:core-corrosion; condition:frame-fatigue; condition:rune-circuit-wear,player-observation,Assets/Scripts/Views/UI/CharacterSummaryPopulationPresenter.cs,docs_final/content-db/code-consumers/characters-traits/age-condition.csv
AnatomyConditionLexiconSO,services:medical,,8,1,7,condition:biological; condition:demon; condition:golem; condition:harpy; condition:myconid; condition:slime; condition:vampire,content-loading,Assets/Scripts/Services/Medical/AnatomyConditionLexiconCatalog.cs,docs_final/content-db/code-consumers/combat-health-world/anatomy-condition-lexicon.csv
AnatomyProfileSO,models:medical,,1,1,0,,runtime,Assets/Scripts/Models/Medical/Core/AnatomyModels.cs,docs_final/content-db/code-consumers/combat-health-world/anatomy-profile.csv
AnatomyProfileSO,models:species,,1,0,1,anatomy:humanoid,runtime,Assets/Scripts/Models/Species/Core/CharacterSpeciesDefinitionSO.cs,docs_final/content-db/code-consumers/combat-health-world/anatomy-profile.csv
AnatomyProfileSO,services:combat,,2,0,2,anatomy:quadruped; anatomy:slime,runtime,Assets/Scripts/Services/Combat/CharacterBodyHealthStateRules.cs,docs_final/content-db/code-consumers/combat-health-world/anatomy-profile.csv
AnatomyProfileSO,services:medical,,13,1,12,anatomy:avian; anatomy:beastkin; anatomy:construct; anatomy:demon; anatomy:fungal; anatomy:human; anatomy:humanoid; anatomy:kobold; anatomy:orc; anatomy:quadruped; anatomy:slime; anatomy:vampire,content-loading,Assets/Scripts/Services/Medical/AnatomyProfileCatalog.cs,docs_final/content-db/code-consumers/combat-health-world/anatomy-profile.csv
ApparelDefinitionSO,services:economy,,6,6,0,,content-loading; runtime,Assets/Scripts/Services/Economy/ApparelFacilityOutputCapacityContributor.cs; Assets/Scripts/Services/Economy/ApparelSpecialThroughputContributor.cs; Assets/Scripts/Services/Economy/DomainProductionOutputCapabilities.cs; Assets/Scripts/Services/Economy/ResourceEconomyContentCatalog.cs; Assets/Scripts/Services/Economy/V23BalanceWorkCalculator.cs; Assets/Scripts/Services/Economy/V27BalanceWorkCalculator.cs,docs_final/content-db/code-consumers/production-facilities/apparel.csv
ApparelDefinitionSO,services:infrastructure,,7,7,0,,persistence; runtime,Assets/Scripts/Services/Infrastructure/Environment/ApparelAvailabilityIndex.cs; Assets/Scripts/Services/Infrastructure/Environment/ApparelItemStateCodec.cs; Assets/Scripts/Services/Infrastructure/Environment/ApparelWorkOrderRuntime.cs; Assets/Scripts/Services/Infrastructure/Environment/CharacterApparelRuntime.cs; Assets/Scripts/Services/Infrastructure/Environment/EnvironmentalWorkwearProductionOutputHandler.cs; Assets/Scripts/Services/Infrastructure/Environment/EnvironmentalWorkwearProductionOutputRestoreCapabilityValidator.cs; Assets/Scripts/Services/Infrastructure/Environment/EnvironmentalWorkwearProductionOutputRestoreCapabilityValidatorDebugScenarios.cs,docs_final/content-db/code-consumers/production-facilities/apparel.csv
ApparelDefinitionSO,views,,1,1,0,,player-observation,Assets/Scripts/Views/Buildings/UI/ApparelBuildingPanelPresenter.cs,docs_final/content-db/code-consumers/production-facilities/apparel.csv
BattlefieldModifierDefinitionSO,models:offense,,1,1,0,,runtime,Assets/Scripts/Models/Offense/Core/OffenseBattleContracts.cs,docs_final/content-db/code-consumers/combat-health-world/battlefield-modifier.csv
BattlefieldModifierDefinitionSO,services:offense,,3,3,0,,runtime,Assets/Scripts/Services/Offense/EnemyEncounterFactory.cs; Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs; Assets/Scripts/Services/Offense/OffenseBattleModel.cs,docs_final/content-db/code-consumers/combat-health-world/battlefield-modifier.csv
BattlefieldModifierDefinitionSO,services:run,architecture-system:16,1,1,0,,runtime,Assets/Scripts/Services/Run/V20CampaignRuntime.cs,docs_final/content-db/code-consumers/combat-health-world/battlefield-modifier.csv
BuildingSO,controllers,,5,5,0,,player-observation; runtime,Assets/Scripts/Controllers/Grid/DungeonStory/Building/DungeonStoryGridBuildingController.cs; Assets/Scripts/Controllers/Grid/DungeonStory/UI/DungeonStoryGridGhostPresenter.cs; Assets/Scripts/Controllers/Grid/DungeonStory/UI/GridConstructButtonFactory.cs; Assets/Scripts/Controllers/Grid/DungeonStory/UI/GridConstructTab.cs; Assets/Scripts/Controllers/Grid/DungeonStory/UI/GridUIManager.cs,docs_final/content-db/code-consumers/production-facilities/building.csv
