"stable_id","display_name","source_declared_function","selection_and_effect_evidence","portfolio_commitment","family_alternative_candidates","activation_and_conflict_receipt","pressure_and_recovery","status"
"trait:101","대식가","개체 차이의 내용은 '음식 소비가 늘고 식사 시설 선호가 강해진다'이다. 효과 2개, 정체성 규칙 2개, 유효 구형 보정 0개, 전투 능력 0개, 환경 보호 0개, 행동 선호 0개, 기분 반응 0개, 사건 가중치 0개, 유전 결과 0개로 반영한다.","선택 가족 appetite; 희귀도 Common (일반); 대상 종족 []; 비양립 []; 행동 []; 전투 {""abilities"":[]}; 환경 {""coldExposureMultiplier"":1,""comfortMaximumOffset"":0,""comfortMinimumOffset"":0,""heatExposureMultiplier"":1,""safeMaximumOffset"":0,""safeMinimumOffset"":0}; 사건 []; 정체성 [{""rid"":7737211921986486444},{""rid"":7737211921986486445}]; 수정치 {""dislikedFacilityRoles"":0,""dislikedWorkTypes"":0,""preferredFacilityRoles"":0,""preferredWorkTypes"":0}; 기분 []; 능력치 ; 경험 1","명시된 강점을 쓰는 대신 같은 행의 약점이 드러나는 작업·환경·사건에 완화 인력·시설·장비·일정을 배정한다. 약점을 무시한 만능 인력으로 쓰지 않는다.","trait:210 | trait:214","종족 적합성·선택 가족·비양립 규칙을 통과해 특성을 부여 → 강화/약화되는 행동·작업·전투·환경·사건의 실제 결과를 기록 → 동일 가족의 상충 특성을 중복 부여하지 않는다.","약점에 닿는 환경·작업·사건을 방치하면 강점의 이득보다 운영 비용이 커진다. 작업 전환·동료 조합·환경 조절·장비·치료로 회복한다.","전수 설계; 선택·비양립·효과·사건·저장·수치 실행 검증 OPEN"
"trait:102","절약가","개체 차이의 내용은 '소비가 줄고 불만 사고 확률이 낮아진다'이다. 효과 3개, 정체성 규칙 3개, 유효 구형 보정 0개, 전투 능력 0개, 환경 보호 0개, 행동 선호 0개, 기분 반응 0개, 사건 가중치 0개, 유전 결과 0개로 반영한다.","선택 가족 resource-use; 희귀도 Rare (희귀); 대상 종족 []; 비양립 []; 행동 []; 전투 {""abilities"":[]}; 환경 {""coldExposureMultiplier"":1,""comfortMaximumOffset"":0,""comfortMinimumOffset"":0,""heatExposureMultiplier"":1,""safeMaximumOffset"":0,""safeMinimumOffset"":0}; 사건 []; 정체성 [{""rid"":7737211921986486507},{""rid"":7737211921986486508},{""rid"":7737211921986486509}]; 수정치 {""dislikedFacilityRoles"":0,""dislikedWorkTypes"":0,""preferredFacilityRoles"":0,""preferredWorkTypes"":0}; 기분 []; 능력치 ; 경험 1","명시된 강점을 쓰는 대신 같은 행의 약점이 드러나는 작업·환경·사건에 완화 인력·시설·장비·일정을 배정한다. 약점을 무시한 만능 인력으로 쓰지 않는다.","같은 선택 가족의 대체 특성 없음","종족 적합성·선택 가족·비양립 규칙을 통과해 특성을 부여 → 강화/약화되는 행동·작업·전투·환경·사건의 실제 결과를 기록 → 동일 가족의 상충 특성을 중복 부여하지 않는다.","약점에 닿는 환경·작업·사건을 방치하면 강점의 이득보다 운영 비용이 커진다. 작업 전환·동료 조합·환경 조절·장비·치료로 회복한다.","전수 설계; 선택·비양립·효과·사건·저장·수치 실행 검증 OPEN"
"trait:103","부자","개체 차이의 내용은 '소지금과 소비 가능 금액이 늘어난다'이다. 효과 2개, 정체성 규칙 2개, 유효 구형 보정 0개, 전투 능력 0개, 환경 보호 0개, 행동 선호 0개, 기분 반응 0개, 사건 가중치 0개, 유전 결과 0개로 반영한다.","선택 가족 wealth; 희귀도 Uncommon (비일반); 대상 종족 []; 비양립 []; 행동 []; 전투 {""abilities"":[]}; 환경 {""coldExposureMultiplier"":1,""comfortMaximumOffset"":0,""comfortMinimumOffset"":0,""heatExposureMultiplier"":1,""safeMaximumOffset"":0,""safeMinimumOffset"":0}; 사건 []; 정체성 [{""rid"":7737211921986486478},{""rid"":7737211921986486479}]; 수정치 {""dislikedFacilityRoles"":0,""dislikedWorkTypes"":0,""preferredFacilityRoles"":0,""preferredWorkTypes"":0}; 기분 []; 능력치 ; 경험 1","명시된 강점을 쓰는 대신 같은 행의 약점이 드러나는 작업·환경·사건에 완화 인력·시설·장비·일정을 배정한다. 약점을 무시한 만능 인력으로 쓰지 않는다.","같은 선택 가족의 대체 특성 없음","종족 적합성·선택 가족·비양립 규칙을 통과해 특성을 부여 → 강화/약화되는 행동·작업·전투·환경·사건의 실제 결과를 기록 → 동일 가족의 상충 특성을 중복 부여하지 않는다.","약점에 닿는 환경·작업·사건을 방치하면 강점의 이득보다 운영 비용이 커진다. 작업 전환·동료 조합·환경 조절·장비·치료로 회복한다.","전수 설계; 선택·비양립·효과·사건·저장·수치 실행 검증 OPEN"
"trait:104","성급함","개체 차이의 내용은 '이동은 빠르지만 대기 불만과 사고 위험이 오른다'이다. 효과 3개, 정체성 규칙 2개, 유효 구형 보정 0개, 전투 능력 0개, 환경 보호 0개, 행동 선호 0개, 기분 반응 0개, 사건 가중치 0개, 유전 결과 0개로 반영한다.","선택 가족 pace; 희귀도 Common (일반); 대상 종족 []; 비양립 []; 행동 []; 전투 {""abilities"":[]}; 환경 {""coldExposureMultiplier"":1,""comfortMaximumOffset"":0,""comfortMinimumOffset"":0,""heatExposureMultiplier"":1,""safeMaximumOffset"":0,""safeMinimumOffset"":0}; 사건 []; 정체성 [{""rid"":7737211921986486497},{""rid"":7737211921986486498}]; 수정치 {""dislikedFacilityRoles"":0,""dislikedWorkTypes"":0,""preferredFacilityRoles"":0,""preferredWorkTypes"":0}; 기분 []; 능력치 ; 경험 1","명시된 강점을 쓰는 대신 같은 행의 약점이 드러나는 작업·환경·사건에 완화 인력·시설·장비·일정을 배정한다. 약점을 무시한 만능 인력으로 쓰지 않는다.","같은 선택 가족의 대체 특성 없음","종족 적합성·선택 가족·비양립 규칙을 통과해 특성을 부여 → 강화/약화되는 행동·작업·전투·환경·사건의 실제 결과를 기록 → 동일 가족의 상충 특성을 중복 부여하지 않는다.","약점에 닿는 환경·작업·사건을 방치하면 강점의 이득보다 운영 비용이 커진다. 작업 전환·동료 조합·환경 조절·장비·치료로 회복한다.","전수 설계; 선택·비양립·효과·사건·저장·수치 실행 검증 OPEN"
"trait:105","소심함","개체 차이의 내용은 '전투와 혼잡을 싫어하지만 사고 위험은 낮다'이다. 효과 3개, 정체성 규칙 4개, 유효 구형 보정 0개, 전투 능력 0개, 환경 보호 0개, 행동 선호 0개, 기분 반응 0개, 사건 가중치 0개, 유전 결과 0개로 반영한다.","선택 가족 combat-temperament; 희귀도 Common (일반); 대상 종족 []; 비양립 []; 행동 []; 전투 {""abilities"":[]}; 환경 {""coldExposureMultiplier"":1,""comfortMaximumOffset"":0,""comfortMinimumOffset"":0,""heatExposureMultiplier"":1,""safeMaximumOffset"":0,""safeMinimumOffset"":0}; 사건 []; 정체성 [{""rid"":7737211921986486512},{""rid"":7737211921986486513},{""rid"":7737211921986486514},{""rid"":7737211921986486515}]; 수정치 {""dislikedFacilityRoles"":0,""dislikedWorkTypes"":0,""preferredFacilityRoles"":0,""preferredWorkTypes"":0}; 기분 []; 능력치 ; 경험 1","명시된 강점을 쓰는 대신 같은 행의 약점이 드러나는 작업·환경·사건에 완화 인력·시설·장비·일정을 배정한다. 약점을 무시한 만능 인력으로 쓰지 않는다.","trait:106","종족 적합성·선택 가족·비양립 규칙을 통과해 특성을 부여 → 강화/약화되는 행동·작업·전투·환경·사건의 실제 결과를 기록 → 동일 가족의 상충 특성을 중복 부여하지 않는다.","약점에 닿는 환경·작업·사건을 방치하면 강점의 이득보다 운영 비용이 커진다. 작업 전환·동료 조합·환경 조절·장비·치료로 회복한다.","전수 설계; 선택·비양립·효과·사건·저장·수치 실행 검증 OPEN"
"trait:106","싸움꾼","개체 차이의 내용은 '전투와 훈련 선호가 강하지만 사고 위험도 오른다'이다. 효과 2개, 정체성 규칙 2개, 유효 구형 보정 0개, 전투 능력 0개, 환경 보호 0개, 행동 선호 0개, 기분 반응 0개, 사건 가중치 0개, 유전 결과 0개로 반영한다.","선택 가족 combat-temperament; 희귀도 Uncommon (비일반); 대상 종족 []; 비양립 []; 행동 []; 전투 {""abilities"":[]}; 환경 {""coldExposureMultiplier"":1,""comfortMaximumOffset"":0,""comfortMinimumOffset"":0,""heatExposureMultiplier"":1,""safeMaximumOffset"":0,""safeMinimumOffset"":0}; 사건 []; 정체성 [{""rid"":7737211921986486522},{""rid"":7737211921986486523}]; 수정치 {""dislikedFacilityRoles"":0,""dislikedWorkTypes"":0,""preferredFacilityRoles"":0,""preferredWorkTypes"":0}; 기분 []; 능력치 ; 경험 1","명시된 강점을 쓰는 대신 같은 행의 약점이 드러나는 작업·환경·사건에 완화 인력·시설·장비·일정을 배정한다. 약점을 무시한 만능 인력으로 쓰지 않는다.","trait:105","종족 적합성·선택 가족·비양립 규칙을 통과해 특성을 부여 → 강화/약화되는 행동·작업·전투·환경·사건의 실제 결과를 기록 → 동일 가족의 상충 특성을 중복 부여하지 않는다.","약점에 닿는 환경·작업·사건을 방치하면 강점의 이득보다 운영 비용이 커진다. 작업 전환·동료 조합·환경 조절·장비·치료로 회복한다.","전수 설계; 선택·비양립·효과·사건·저장·수치 실행 검증 OPEN"
"trait:108","연구가","개체 차이의 내용은 '연구와 마력 시설 선호가 강하고 연구 작업 속도가 오른다'이다. 효과 3개, 정체성 규칙 2개, 유효 구형 보정 0개, 전투 능력 0개, 환경 보호 0개, 행동 선호 0개, 기분 반응 0개, 사건 가중치 0개, 유전 결과 0개로 반영한다.","선택 가족 research; 희귀도 Rare (희귀); 대상 종족 []; 비양립 []; 행동 []; 전투 {""abilities"":[]}; 환경 {""coldExposureMultiplier"":1,""comfortMaximumOffset"":0,""comfortMinimumOffset"":0,""heatExposureMultiplier"":1,""safeMaximumOffset"":0,""safeMinimumOffset"":0}; 사건 []; 정체성 [{""rid"":7737211921986486495},{""rid"":7737211921986486496}]; 수정치 {""dislikedFacilityRoles"":0,""dislikedWorkTypes"":0,""preferredFacilityRoles"":0,""preferredWorkTypes"":0}; 기분 []; 능력치 ; 경험 1","명시된 강점을 쓰는 대신 같은 행의 약점이 드러나는 작업·환경·사건에 완화 인력·시설·장비·일정을 배정한다. 약점을 무시한 만능 인력으로 쓰지 않는다.","같은 선택 가족의 대체 특성 없음","종족 적합성·선택 가족·비양립 규칙을 통과해 특성을 부여 → 강화/약화되는 행동·작업·전투·환경·사건의 실제 결과를 기록 → 동일 가족의 상충 특성을 중복 부여하지 않는다.","약점에 닿는 환경·작업·사건을 방치하면 강점의 이득보다 운영 비용이 커진다. 작업 전환·동료 조합·환경 조절·장비·치료로 회복한다.","전수 설계; 선택·비양립·효과·사건·저장·수치 실행 검증 OPEN"
"trait:201","얕은 잠","개체 차이의 내용은 '작은 경보에도 깨지만 소음이 있는 방에서는 쉬기 어렵다'이다. 효과 2개, 정체성 규칙 2개, 유효 구형 보정 0개, 전투 능력 0개, 환경 보호 0개, 행동 선호 0개, 기분 반응 0개, 사건 가중치 0개, 유전 결과 0개로 반영한다.","선택 가족 sleep; 희귀도 Common (일반); 대상 종족 []; 비양립 []; 행동 []; 전투 {""abilities"":[]}; 환경 {""coldExposureMultiplier"":1,""comfortMaximumOffset"":0,""comfortMinimumOffset"":0,""heatExposureMultiplier"":1,""safeMaximumOffset"":0,""safeMinimumOffset"":0}; 사건 []; 정체성 [{""rid"":7737211921986486535},{""rid"":7737211921986486536}]; 수정치 {""dislikedFacilityRoles"":0,""dislikedWorkTypes"":0,""preferredFacilityRoles"":0,""preferredWorkTypes"":0}; 기분 []; 능력치 ; 경험 1","명시된 강점을 쓰는 대신 같은 행의 약점이 드러나는 작업·환경·사건에 완화 인력·시설·장비·일정을 배정한다. 약점을 무시한 만능 인력으로 쓰지 않는다.","같은 선택 가족의 대체 특성 없음","종족 적합성·선택 가족·비양립 규칙을 통과해 특성을 부여 → 강화/약화되는 행동·작업·전투·환경·사건의 실제 결과를 기록 → 동일 가족의 상충 특성을 중복 부여하지 않는다.","약점에 닿는 환경·작업·사건을 방치하면 강점의 이득보다 운영 비용이 커진다. 작업 전환·동료 조합·환경 조절·장비·치료로 회복한다.","전수 설계; 선택·비양립·효과·사건·저장·수치 실행 검증 OPEN"
"trait:203","섬세한 체격","개체 차이의 내용은 '정밀 작업에는 유리하지만 무거운 운반과 충격을 피한다'이다. 효과 3개, 정체성 규칙 3개, 유효 구형 보정 0개, 전투 능력 0개, 환경 보호 0개, 행동 선호 0개, 기분 반응 0개, 사건 가중치 0개, 유전 결과 0개로 반영한다.","선택 가족 physique; 희귀도 Common (일반); 대상 종족 []; 비양립 []; 행동 []; 전투 {""abilities"":[]}; 환경 {""coldExposureMultiplier"":1,""comfortMaximumOffset"":0,""comfortMinimumOffset"":0,""heatExposureMultiplier"":1,""safeMaximumOffset"":0,""safeMinimumOffset"":0}; 사건 []; 정체성 [{""rid"":7737211921986486529},{""rid"":7737211921986486530},{""rid"":7737211921986486531}]; 수정치 {""dislikedFacilityRoles"":0,""dislikedWorkTypes"":0,""preferredFacilityRoles"":0,""preferredWorkTypes"":0}; 기분 []; 능력치 ; 경험 1","명시된 강점을 쓰는 대신 같은 행의 약점이 드러나는 작업·환경·사건에 완화 인력·시설·장비·일정을 배정한다. 약점을 무시한 만능 인력으로 쓰지 않는다.","trait:206","종족 적합성·선택 가족·비양립 규칙을 통과해 특성을 부여 → 강화/약화되는 행동·작업·전투·환경·사건의 실제 결과를 기록 → 동일 가족의 상충 특성을 중복 부여하지 않는다.","약점에 닿는 환경·작업·사건을 방치하면 강점의 이득보다 운영 비용이 커진다. 작업 전환·동료 조합·환경 조절·장비·치료로 회복한다.","전수 설계; 선택·비양립·효과·사건·저장·수치 실행 검증 OPEN"
"trait:204","오래된 흉터","개체 차이의 내용은 '고통에 익숙하지만 의료실 냄새가 과거의 기억을 건드린다'이다. 효과 2개, 정체성 규칙 2개, 유효 구형 보정 0개, 전투 능력 0개, 환경 보호 0개, 행동 선호 0개, 기분 반응 0개, 사건 가중치 0개, 유전 결과 0개로 반영한다.","선택 가족 pain; 희귀도 Uncommon (비일반); 대상 종족 []; 비양립 []; 행동 []; 전투 {""abilities"":[]}; 환경 {""coldExposureMultiplier"":1,""comfortMaximumOffset"":0,""comfortMinimumOffset"":0,""heatExposureMultiplier"":1,""safeMaximumOffset"":0,""safeMinimumOffset"":0}; 사건 []; 정체성 [{""rid"":7737211921986486532},{""rid"":7737211921986486533}]; 수정치 {""dislikedFacilityRoles"":0,""dislikedWorkTypes"":0,""preferredFacilityRoles"":0,""preferredWorkTypes"":0}; 기분 []; 능력치 ; 경험 1","명시된 강점을 쓰는 대신 같은 행의 약점이 드러나는 작업·환경·사건에 완화 인력·시설·장비·일정을 배정한다. 약점을 무시한 만능 인력으로 쓰지 않는다.","같은 선택 가족의 대체 특성 없음","종족 적합성·선택 가족·비양립 규칙을 통과해 특성을 부여 → 강화/약화되는 행동·작업·전투·환경·사건의 실제 결과를 기록 → 동일 가족의 상충 특성을 중복 부여하지 않는다.","약점에 닿는 환경·작업·사건을 방치하면 강점의 이득보다 운영 비용이 커진다. 작업 전환·동료 조합·환경 조절·장비·치료로 회복한다.","전수 설계; 선택·비양립·효과·사건·저장·수치 실행 검증 OPEN"
