group,content_type,record_key,stable_id,display_name,description,mechanics,relations,existence_reason,reason_basis,review_status,review_reason,lifecycle_status,catalog_memberships,runtime_status,runtime_evidence,save_evidence,incoming_reference_count,incoming_source_types,system_role,strategic_niche,costs_and_risks,comparison_group,alternative_candidates,removal_impact,rationale_evidence,source_path,asset_guid,authored__activeSeasons,authored__adultAgeDays,authored__aggression,authored__authoringRevision,authored__bodySize,authored__breedingSeason,authored__breedingSeason__enum,authored__breedingSeason__label,authored__breedingSeason__origin,authored__butcherYields,authored__butcherYields__count,authored__canEnterDungeon,authored__carcassWeight,authored__dailyFoodNeed,authored__dailyWaterNeed,authored__description,authored__diet,authored__diet__enum,authored__diet__label,authored__diet__origin,authored__diseaseVectorIds,authored__diseaseVectorIds__count,authored__displayName,authored__domesticable,authored__fearSensitivity,authored__fleePreference,authored__gestationDays,authored__herdSize,authored__husbandryProducts,authored__husbandryProducts__count,authored__laysEggs,authored__m_Name,authored__manureIntervalDays,authored__maxHealth,authored__maximumAgeDays,authored__migrationPatternId,authored__moveSpeed,authored__nestTag,authored__predationDrive,authored__predatorSpeciesIds,authored__predatorSpeciesIds__count,authored__preferredHabitats,authored__preySpeciesIds,authored__preySpeciesIds__count,authored__restPreference,authored__retaliationDamage,authored__spawnWeight,authored__speciesId,authored__sprite,authored__tamingDifficulty,authored__territoryRadius
combat-health-world,WildlifeSpeciesSO,WildlifeSpeciesSO|ash_crawler,ash_crawler,재먼지 기는벌레,재 더미를 먹고 환기구에 군집해 재먼지폐를 퍼뜨린다.,작성 자산 정의,references:cave_hound; references:disease:ash-lung; references:ember_lizard,작성 목적은 '재 더미를 먹고 환기구에 군집해 재먼지폐를 퍼뜨린다'이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Wildlife/WildlifeModels.cs,Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Wildlife/WildlifeModels.cs,1,WildlifeSpeciesSO,작성 목적은 '재 더미를 먹고 환기구에 군집해 재먼지폐를 퍼뜨린다'이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,전투·건강·세계 영역의 WildlifeSpeciesSO 규칙을 분리해 재사용한다.,dailyWaterNeed=1,WildlifeSpeciesSO,"비교 후보(대체 가능성 미검증): WildlifeSpeciesSO:carrion_drake, WildlifeSpeciesSO:cave_hound, WildlifeSpeciesSO:crystal_beetle, WildlifeSpeciesSO:deep_goat, WildlifeSpeciesSO:ember_lizard, WildlifeSpeciesSO:frost_ram, WildlifeSpeciesSO:glow_moth, WildlifeSpeciesSO:mana_wisp, WildlifeSpeciesSO:mire_leech, WildlifeSpeciesSO:silk_spider, WildlifeSpeciesSO:spore_elk, WildlifeSpeciesSO:tunnel_mole 외 5개",직접 참조 1건에 영향: WildlifeSpeciesSO:ember_lizard,description-and-relations; niche=type-contract; cost=dailyWaterNeed,Assets/Resources/SO/V20/Ecology/Wildlife/wildlife_ash_crawler.asset,8790e85364a1fb94f90109bbe6ed0c9f,4398047035392,4,0.2,1,1,1,Season,Summer,explicit-serialized,[],0,0,4,1,1,재 더미를 먹고 환기구에 군집해 재먼지폐를 퍼뜨린다.,3,WildlifeDietType,Scavenger,explicit-serialized,"[""disease:ash-lung""]",1,재먼지 기는벌레,0,1,0.55,4,1,[],0,0,wildlife_ash_crawler,2,10,40,migration:heat-duct,1,nest:ash-vent,0.2,"[""ember_lizard"",""cave_hound""]",2,8796094070784,[],0,0.45,0,1,ash_crawler,"{""fileID"":0}",0.45,6
combat-health-world,WildlifeSpeciesSO,WildlifeSpeciesSO|carrion_drake,carrion_drake,시체청소 비룡,전장과 도살장의 사체를 찾아오며 병원체를 먼 거리로 옮긴다.,작성 자산 정의,references:cave_rat; references:disease:gut-rot; references:shadow_hare,작성 목적은 '전장과 도살장의 사체를 찾아오며 병원체를 먼 거리로 옮긴다'이다. 다른 콘텐츠 2개가 이 정의를 참조한다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Wildlife/WildlifeModels.cs,Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Wildlife/WildlifeModels.cs,2,WildlifeSpeciesSO,작성 목적은 '전장과 도살장의 사체를 찾아오며 병원체를 먼 거리로 옮긴다'이다. 다른 콘텐츠 2개가 이 정의를 참조한다.,전투·건강·세계 영역의 WildlifeSpeciesSO 규칙을 분리해 재사용한다.,dailyWaterNeed=1,WildlifeSpeciesSO,"비교 후보(대체 가능성 미검증): WildlifeSpeciesSO:ash_crawler, WildlifeSpeciesSO:cave_hound, WildlifeSpeciesSO:crystal_beetle, WildlifeSpeciesSO:deep_goat, WildlifeSpeciesSO:ember_lizard, WildlifeSpeciesSO:frost_ram, WildlifeSpeciesSO:glow_moth, WildlifeSpeciesSO:mana_wisp, WildlifeSpeciesSO:mire_leech, WildlifeSpeciesSO:silk_spider, WildlifeSpeciesSO:spore_elk, WildlifeSpeciesSO:tunnel_mole 외 5개","직접 참조 2건에 영향: WildlifeSpeciesSO:cave_hound, WildlifeSpeciesSO:shadow_wolf",description-and-relations; niche=type-contract; cost=dailyWaterNeed,Assets/Resources/SO/V20/Ecology/Wildlife/wildlife_carrion_drake.asset,cac6d20af84f4d842bcdfa988c7752ce,8796093808640,4,0.8,1,1,2,Season,Autumn,explicit-serialized,[],0,0,4,1,1,전장과 도살장의 사체를 찾아오며 병원체를 먼 거리로 옮긴다.,3,WildlifeDietType,Scavenger,explicit-serialized,"[""disease:gut-rot""]",1,시체청소 비룡,0,1,0.55,4,1,[],0,0,wildlife_carrion_drake,2,10,40,migration:battlefield-scent,1,nest:high-bone-pile,0.8,[],0,17592186830848,"[""cave_rat"",""shadow_hare""]",2,0.45,0,1,carrion_drake,"{""fileID"":0}",0.45,6
combat-health-world,WildlifeSpeciesSO,WildlifeSpeciesSO|cave_hound,cave_hound,동굴사냥개,무리 사냥을 하며 길들이면 경비와 추적에 쓸 수 있다.,작성 자산 정의,references:carrion_drake; references:cave_rat; references:disease:red-fever; references:shadow_hare; references:tunnel_mole,작성 목적은 '무리 사냥을 하며 길들이면 경비와 추적에 쓸 수 있다'이다. 다른 콘텐츠 5개가 이 정의를 참조한다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Wildlife/WildlifeModels.cs,Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Wildlife/WildlifeModels.cs,5,WildlifeSpeciesSO,작성 목적은 '무리 사냥을 하며 길들이면 경비와 추적에 쓸 수 있다'이다. 다른 콘텐츠 5개가 이 정의를 참조한다.,전투·건강·세계 영역의 WildlifeSpeciesSO 규칙을 분리해 재사용한다.,dailyWaterNeed=1,WildlifeSpeciesSO,"비교 후보(대체 가능성 미검증): WildlifeSpeciesSO:ash_crawler, WildlifeSpeciesSO:carrion_drake, WildlifeSpeciesSO:crystal_beetle, WildlifeSpeciesSO:deep_goat, WildlifeSpeciesSO:ember_lizard, WildlifeSpeciesSO:frost_ram, WildlifeSpeciesSO:glow_moth, WildlifeSpeciesSO:mana_wisp, WildlifeSpeciesSO:mire_leech, WildlifeSpeciesSO:silk_spider, WildlifeSpeciesSO:spore_elk, WildlifeSpeciesSO:tunnel_mole 외 5개","직접 참조 5건에 영향: WildlifeSpeciesSO:ash_crawler, WildlifeSpeciesSO:deep_goat, WildlifeSpeciesSO:ember_lizard, WildlifeSpeciesSO:silk_spider, WildlifeSpeciesSO:tunnel_mole",description-and-relations; niche=type-contract; cost=dailyWaterNeed,Assets/Resources/SO/V20/Ecology/Wildlife/wildlife_cave_hound.asset,3dad2630c0e4b854eb1e92cf00c4f7c4,73786985090932015104,4,0.7,1,1,0,Season,Spring,explicit-serialized,[],0,0,4,1,1,무리 사냥을 하며 길들이면 경비와 추적에 쓸 수 있다.,2,WildlifeDietType,Carnivore,explicit-serialized,"[""disease:red-fever""]",1,동굴사냥개,1,1,0.55,4,1,[],0,0,wildlife_cave_hound,2,10,40,migration:prey-trail,1,nest:pack-den,0.7,"[""carrion_drake""]",1,17592186830848,"[""cave_rat"",""shadow_hare"",""tunnel_mole""]",3,0.45,0,1,cave_hound,"{""fileID"":0}",0.45,6
combat-health-world,WildlifeSpeciesSO,WildlifeSpeciesSO|cave_rat,cave_rat,동굴쥐,던전 외곽의 틈 사이를 빠르게 기어 다니는 작은 설치류. 고기는 적지만 초반 식량으로 쓸 수 있다.,작성 자산 정의,references:cave_rat; references:disease:cave-flu; references:resource:meat×1; references:shadow_wolf,작성 목적은 '던전 외곽의 틈 사이를 빠르게 기어 다니는 작은 설치류. 고기는 적지만 초반 식량으로 쓸 수 있다'이다. 다른 콘텐츠 8개가 이 정의를 참조한다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Economy/Husbandry/AnimalHusbandrySaveSection.cs; Assets/Scripts/Services/Medical/AnatomyProfileCatalog.cs; Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Wildlife/WildlifeModels.cs,Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Wildlife/WildlifeModels.cs,8,WildlifeSpeciesSO,작성 목적은 '던전 외곽의 틈 사이를 빠르게 기어 다니는 작은 설치류. 고기는 적지만 초반 식량으로 쓸 수 있다'이다. 다른 콘텐츠 8개가 이 정의를 참조한다.,전투·건강·세계 영역의 WildlifeSpeciesSO 규칙을 분리해 재사용한다.,dailyWaterNeed=1,WildlifeSpeciesSO,"비교 후보(대체 가능성 미검증): WildlifeSpeciesSO:ash_crawler, WildlifeSpeciesSO:carrion_drake, WildlifeSpeciesSO:cave_hound, WildlifeSpeciesSO:crystal_beetle, WildlifeSpeciesSO:deep_goat, WildlifeSpeciesSO:ember_lizard, WildlifeSpeciesSO:frost_ram, WildlifeSpeciesSO:glow_moth, WildlifeSpeciesSO:mana_wisp, WildlifeSpeciesSO:mire_leech, WildlifeSpeciesSO:silk_spider, WildlifeSpeciesSO:spore_elk 외 5개","직접 참조 8건에 영향: WildlifeSpeciesSO:carrion_drake, WildlifeSpeciesSO:cave_hound, WildlifeSpeciesSO:cave_rat, WildlifeSpeciesSO:glow_moth, WildlifeSpeciesSO:moss_boar, WildlifeSpeciesSO:rune_deer, WildlifeSpeciesSO:shadow_hare, WildlifeSpeciesSO:silk_spider",description-and-relations; niche=type-contract; cost=dailyWaterNeed,Assets/Resources/SO/Wildlife/Species/Wildlife_CaveRat.asset,93f14157fa23fdd43a42174bfd66c463,4398047035392,4,0.05,1,1,0,Season,Spring,explicit-serialized,"[{""amount"":1,""itemId"":""resource:meat""}]",1,0,2.5,1,1,던전 외곽의 틈 사이를 빠르게 기어 다니는 작은 설치류. 고기는 적지만 초반 식량으로 쓸 수 있다.,0,WildlifeDietType,Herbivore,explicit-serialized,"[""disease:cave-flu""]",1,동굴쥐,1,1.45,0.55,4,2,[],0,0,Wildlife_CaveRat,2,10,40,migration:cave_rat,1.25,nest:cave_rat,0.05,"[""shadow_wolf""]",1,0,"[""cave_rat""]",1,0.45,0,4.5,cave_rat,"{""fileID"":20389294166434833,""guid"":""651f8a1a994f8a840b4fb1a5d8b1c2e3"",""type"":3}",0.45,6
combat-health-world,WildlifeSpeciesSO,WildlifeSpeciesSO|crystal_beetle,crystal_beetle,수정딱정벌레,마나 결정 가루를 먹고 단단한 갑각을 남기는 군집 곤충.,작성 자산 정의,references:disease:glass-blood; references:ember_lizard; references:moss_boar,작성 목적은 '마나 결정 가루를 먹고 단단한 갑각을 남기는 군집 곤충'이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Wildlife/WildlifeModels.cs,Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Wildlife/WildlifeModels.cs,1,WildlifeSpeciesSO,작성 목적은 '마나 결정 가루를 먹고 단단한 갑각을 남기는 군집 곤충'이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,전투·건강·세계 영역의 WildlifeSpeciesSO 규칙을 분리해 재사용한다.,dailyWaterNeed=1,WildlifeSpeciesSO,"비교 후보(대체 가능성 미검증): WildlifeSpeciesSO:ash_crawler, WildlifeSpeciesSO:carrion_drake, WildlifeSpeciesSO:cave_hound, WildlifeSpeciesSO:deep_goat, WildlifeSpeciesSO:ember_lizard, WildlifeSpeciesSO:frost_ram, WildlifeSpeciesSO:glow_moth, WildlifeSpeciesSO:mana_wisp, WildlifeSpeciesSO:mire_leech, WildlifeSpeciesSO:silk_spider, WildlifeSpeciesSO:spore_elk, WildlifeSpeciesSO:tunnel_mole 외 5개",직접 참조 1건에 영향: WildlifeSpeciesSO:ember_lizard,description-and-relations; niche=type-contract; cost=dailyWaterNeed,Assets/Resources/SO/V20/Ecology/Wildlife/wildlife_crystal_beetle.asset,676b6a4bb1b8d5543a642d325400c84f,8796093808640,4,0.1,1,1,3,Season,Winter,explicit-serialized,[],0,0,4,1,1,마나 결정 가루를 먹고 단단한 갑각을 남기는 군집 곤충.,1,WildlifeDietType,Omnivore,explicit-serialized,"[""disease:glass-blood""]",1,수정딱정벌레,1,1,0.55,4,1,[],0,0,wildlife_crystal_beetle,2,10,40,migration:mana-vein,1,nest:crystal-crevice,0.1,"[""moss_boar"",""ember_lizard""]",2,8796094070784,[],0,0.45,0,1,crystal_beetle,"{""fileID"":0}",0.45,6
combat-health-world,WildlifeSpeciesSO,WildlifeSpeciesSO|deep_goat,deep_goat,심층염소,절벽 이끼를 먹고 길들일 수 있어 털과 운반 노동을 제공한다.,작성 자산 정의,references:cave_hound; references:disease:deep-parasitosis; references:fiber:deep-goat-wool×2; references:shadow_wolf,작성 목적은 '절벽 이끼를 먹고 길들일 수 있어 털과 운반 노동을 제공한다'이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Wildlife/WildlifeModels.cs,Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Wildlife/WildlifeModels.cs,1,WildlifeSpeciesSO,작성 목적은 '절벽 이끼를 먹고 길들일 수 있어 털과 운반 노동을 제공한다'이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,전투·건강·세계 영역의 WildlifeSpeciesSO 규칙을 분리해 재사용한다.,dailyWaterNeed=1,WildlifeSpeciesSO,"비교 후보(대체 가능성 미검증): WildlifeSpeciesSO:ash_crawler, WildlifeSpeciesSO:carrion_drake, WildlifeSpeciesSO:cave_hound, WildlifeSpeciesSO:crystal_beetle, WildlifeSpeciesSO:ember_lizard, WildlifeSpeciesSO:frost_ram, WildlifeSpeciesSO:glow_moth, WildlifeSpeciesSO:mana_wisp, WildlifeSpeciesSO:mire_leech, WildlifeSpeciesSO:silk_spider, WildlifeSpeciesSO:spore_elk, WildlifeSpeciesSO:tunnel_mole 외 5개",직접 참조 1건에 영향: WildlifeSpeciesSO:mire_leech,description-and-relations; niche=type-contract; cost=dailyWaterNeed,Assets/Resources/SO/V20/Ecology/Wildlife/wildlife_deep_goat.asset,6bb4e61000cb4014ea9a1c11197f7646,4398047035392,4,0.15,1,1,0,Season,Spring,explicit-serialized,[],0,0,4,1,1,절벽 이끼를 먹고 길들일 수 있어 털과 운반 노동을 제공한다.,0,WildlifeDietType,Herbivore,explicit-serialized,"[""disease:deep-parasitosis""]",1,심층염소,1,1,0.55,4,1,"[{""adultOnly"":1,""amount"":2,""femaleOnly"":0,""intervalDays"":4,""itemId"":""fiber:deep-goat-wool""}]",1,0,wildlife_deep_goat,2,10,40,migration:vertical-graze,1,nest:stone-ledge,0.15,"[""shadow_wolf"",""cave_hound""]",2,1048576,[],0,0.45,0,1,deep_goat,"{""fileID"":0}",0.45,6
combat-health-world,WildlifeSpeciesSO,WildlifeSpeciesSO|ember_lizard,ember_lizard,잿불도마뱀,뜨거운 배관 주변 해충을 먹지만 잿불열을 매개한다.,작성 자산 정의,references:ash_crawler; references:cave_hound; references:crystal_beetle; references:disease:ember-fever,작성 목적은 '뜨거운 배관 주변 해충을 먹지만 잿불열을 매개한다'이다. 다른 콘텐츠 2개가 이 정의를 참조한다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Wildlife/WildlifeModels.cs,Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Wildlife/WildlifeModels.cs,2,WildlifeSpeciesSO,작성 목적은 '뜨거운 배관 주변 해충을 먹지만 잿불열을 매개한다'이다. 다른 콘텐츠 2개가 이 정의를 참조한다.,전투·건강·세계 영역의 WildlifeSpeciesSO 규칙을 분리해 재사용한다.,dailyWaterNeed=1,WildlifeSpeciesSO,"비교 후보(대체 가능성 미검증): WildlifeSpeciesSO:ash_crawler, WildlifeSpeciesSO:carrion_drake, WildlifeSpeciesSO:cave_hound, WildlifeSpeciesSO:crystal_beetle, WildlifeSpeciesSO:deep_goat, WildlifeSpeciesSO:frost_ram, WildlifeSpeciesSO:glow_moth, WildlifeSpeciesSO:mana_wisp, WildlifeSpeciesSO:mire_leech, WildlifeSpeciesSO:silk_spider, WildlifeSpeciesSO:spore_elk, WildlifeSpeciesSO:tunnel_mole 외 5개","직접 참조 2건에 영향: WildlifeSpeciesSO:ash_crawler, WildlifeSpeciesSO:crystal_beetle",description-and-relations; niche=type-contract; cost=dailyWaterNeed,Assets/Resources/SO/V20/Ecology/Wildlife/wildlife_ember_lizard.asset,1d945df328e26d545b35ca8101fc2c3c,4398047035392,4,0.35,1,1,1,Season,Summer,explicit-serialized,[],0,0,4,1,1,뜨거운 배관 주변 해충을 먹지만 잿불열을 매개한다.,2,WildlifeDietType,Carnivore,explicit-serialized,"[""disease:ember-fever""]",1,잿불도마뱀,1,1,0.55,4,1,[],0,0,wildlife_ember_lizard,2,10,40,migration:heat-source,1,nest:warm-pipe,0.35,"[""cave_hound""]",1,17592186568704,"[""ash_crawler"",""crystal_beetle""]",2,0.45,0,1,ember_lizard,"{""fileID"":0}",0.45,6
combat-health-world,WildlifeSpeciesSO,WildlifeSpeciesSO|frost_ram,frost_ram,서리숫양,겨울에 활동하는 대형 초식동물로 길들이면 털과 운반력을 제공한다.,작성 자산 정의,references:disease:cave-flu; references:fiber:frost-wool×3; references:shadow_wolf,작성 목적은 '겨울에 활동하는 대형 초식동물로 길들이면 털과 운반력을 제공한다'이다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Wildlife/WildlifeModels.cs,Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Wildlife/WildlifeModels.cs,0,,작성 목적은 '겨울에 활동하는 대형 초식동물로 길들이면 털과 운반력을 제공한다'이다.,전투·건강·세계 영역의 WildlifeSpeciesSO 규칙을 분리해 재사용한다.,dailyWaterNeed=1,WildlifeSpeciesSO,"비교 후보(대체 가능성 미검증): WildlifeSpeciesSO:ash_crawler, WildlifeSpeciesSO:carrion_drake, WildlifeSpeciesSO:cave_hound, WildlifeSpeciesSO:crystal_beetle, WildlifeSpeciesSO:deep_goat, WildlifeSpeciesSO:ember_lizard, WildlifeSpeciesSO:glow_moth, WildlifeSpeciesSO:mana_wisp, WildlifeSpeciesSO:mire_leech, WildlifeSpeciesSO:silk_spider, WildlifeSpeciesSO:spore_elk, WildlifeSpeciesSO:tunnel_mole 외 5개",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,description-and-relations; niche=type-contract; cost=dailyWaterNeed,Assets/Resources/SO/V20/Ecology/Wildlife/wildlife_frost_ram.asset,825b51f878cfc034bb037c8630922e28,13194139533312,4,0.55,1,1,3,Season,Winter,explicit-serialized,[],0,0,4,1,1,겨울에 활동하는 대형 초식동물로 길들이면 털과 운반력을 제공한다.,0,WildlifeDietType,Herbivore,explicit-serialized,"[""disease:cave-flu""]",1,서리숫양,1,1,0.55,4,1,"[{""adultOnly"":1,""amount"":3,""femaleOnly"":0,""intervalDays"":5,""itemId"":""fiber:frost-wool""}]",1,0,wildlife_frost_ram,2,10,40,migration:cold-front,1,nest:frost-alcove,0.55,"[""shadow_wolf""]",1,1048576,[],0,0.45,0,1,frost_ram,"{""fileID"":0}",0.45,6
combat-health-world,WildlifeSpeciesSO,WildlifeSpeciesSO|glow_moth,glow_moth,발광나방,마나 빛을 따라 이동하며 버섯 포자를 옮기는 작은 계절 곤충.,작성 자산 정의,references:cave_rat; references:disease:mana-pox; references:silk_spider,작성 목적은 '마나 빛을 따라 이동하며 버섯 포자를 옮기는 작은 계절 곤충'이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Wildlife/WildlifeModels.cs,Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Wildlife/WildlifeModels.cs,1,WildlifeSpeciesSO,작성 목적은 '마나 빛을 따라 이동하며 버섯 포자를 옮기는 작은 계절 곤충'이다. 다른 콘텐츠 1개가 이 정의를 참조한다.,전투·건강·세계 영역의 WildlifeSpeciesSO 규칙을 분리해 재사용한다.,dailyWaterNeed=1,WildlifeSpeciesSO,"비교 후보(대체 가능성 미검증): WildlifeSpeciesSO:ash_crawler, WildlifeSpeciesSO:carrion_drake, WildlifeSpeciesSO:cave_hound, WildlifeSpeciesSO:crystal_beetle, WildlifeSpeciesSO:deep_goat, WildlifeSpeciesSO:ember_lizard, WildlifeSpeciesSO:frost_ram, WildlifeSpeciesSO:mana_wisp, WildlifeSpeciesSO:mire_leech, WildlifeSpeciesSO:silk_spider, WildlifeSpeciesSO:spore_elk, WildlifeSpeciesSO:tunnel_mole 외 5개",직접 참조 1건에 영향: WildlifeSpeciesSO:silk_spider,description-and-relations; niche=type-contract; cost=dailyWaterNeed,Assets/Resources/SO/V20/Ecology/Wildlife/wildlife_glow_moth.asset,075a826107f51384bb70af58b7146474,262144,4,0.05,1,1,0,Season,Spring,explicit-serialized,[],0,0,4,1,1,마나 빛을 따라 이동하며 버섯 포자를 옮기는 작은 계절 곤충.,0,WildlifeDietType,Herbivore,explicit-serialized,"[""disease:mana-pox""]",1,발광나방,0,1,0.55,4,1,[],0,0,wildlife_glow_moth,2,10,40,migration:mana-lamp,1,nest:ceiling-cocoon,0.05,"[""cave_rat"",""silk_spider""]",2,13194140581888,[],0,0.45,0,1,glow_moth,"{""fileID"":0}",0.45,6
combat-health-world,WildlifeSpeciesSO,WildlifeSpeciesSO|mana_wisp,mana_wisp,마나도깨비불,전력망 누출을 따라 모이며 다른 비전 생물을 끌어들인다.,작성 자산 정의,references:disease:mana-pox; references:rune_deer,작성 목적은 '전력망 누출을 따라 모이며 다른 비전 생물을 끌어들인다'이다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Wildlife/WildlifeModels.cs,Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Wildlife/WildlifeModels.cs,0,,작성 목적은 '전력망 누출을 따라 모이며 다른 비전 생물을 끌어들인다'이다.,전투·건강·세계 영역의 WildlifeSpeciesSO 규칙을 분리해 재사용한다.,dailyWaterNeed=1,WildlifeSpeciesSO,"비교 후보(대체 가능성 미검증): WildlifeSpeciesSO:ash_crawler, WildlifeSpeciesSO:carrion_drake, WildlifeSpeciesSO:cave_hound, WildlifeSpeciesSO:crystal_beetle, WildlifeSpeciesSO:deep_goat, WildlifeSpeciesSO:ember_lizard, WildlifeSpeciesSO:frost_ram, WildlifeSpeciesSO:glow_moth, WildlifeSpeciesSO:mire_leech, WildlifeSpeciesSO:silk_spider, WildlifeSpeciesSO:spore_elk, WildlifeSpeciesSO:tunnel_mole 외 5개",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,description-and-relations; niche=type-contract; cost=dailyWaterNeed,Assets/Resources/SO/V20/Ecology/Wildlife/wildlife_mana_wisp.asset,632b3a6bfaadf124c902305288dac53b,4398047297536,4,0.05,1,1,3,Season,Winter,explicit-serialized,[],0,0,4,1,1,전력망 누출을 따라 모이며 다른 비전 생물을 끌어들인다.,1,WildlifeDietType,Omnivore,explicit-serialized,"[""disease:mana-pox""]",1,마나도깨비불,0,1,0.55,4,1,[],0,0,wildlife_mana_wisp,2,10,40,migration:power-flux,1,nest:rune-node,0.05,"[""rune_deer""]",1,17592186306560,[],0,0.45,0,1,mana_wisp,"{""fileID"":0}",0.45,6
