"stable_id","display_name","research_project_id","unlock_role","source_design_intent","singleton_reason","reward_category_presentation","target_side_requirement_bindings","portfolio_commitment","activation_receipt_and_authority","binding_gap_and_status"
"research:life:seasonal-calendar","life_seasonal_calendar","research:life:seasonal-calendar","System Facility","절대 달력의 계절 경계와 생업 주기를 기록한다.","독립된 작업 규칙과 입력·출력을 가진 시스템 시설을 연다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:recipe:book:seasonal-almanac","독립된 공간·작업 규칙·입출력을 가진 체계를 짓고 인력·공간·기반망을 배정한다. 같은 투자로 다른 생산·서비스 체계를 먼저 세울 수는 없다.","연구 완료 영수증 → target-side requiredResearchId가 research:life:seasonal-calendar인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 1개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:society:career-records","society_career_records","research:society:career-records","Service Package","가구와 집무 기록으로 역할·등급·직위 변화를 보존한다.","","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:recipe:record:career-ledger","서비스 품질·방문객·생활 조건을 위해 운영 인력·방·재고를 배정한다. 즉시 생산량·방어·확장보다 관계와 안정성을 택한다.","연구 완료 영수증 → target-side requiredResearchId가 research:society:career-records인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 1개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:society:child-education","society_child_education","research:society:child-education","Service Package","아동 교육과 도제 제도에 필요한 이론, 제작 절차, 안전 기준과 운용 보상을 하나의 완결된 연구 패키지로 통합한다.","","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","명시적 target-side definition 없음","서비스 품질·방문객·생활 조건을 위해 운영 인력·방·재고를 배정한다. 즉시 생산량·방어·확장보다 관계와 안정성을 택한다.","연구 완료 영수증 → target-side requiredResearchId가 research:society:child-education인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 0개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:society:corpse-care","society_corpse_care","research:society:corpse-care","Service Package","시신 관리와 장례 의식에 필요한 이론, 제작 절차, 안전 기준과 운용 보상을 하나의 완결된 연구 패키지로 통합한다.","","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:recipe:supply:funeral-preparation-kit","서비스 품질·방문객·생활 조건을 위해 운영 인력·방·재고를 배정한다. 즉시 생산량·방어·확장보다 관계와 안정성을 택한다.","연구 완료 영수증 → target-side requiredResearchId가 research:society:corpse-care인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 1개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:society:generation-management","society_generation_management","research:society:generation-management","Service Package","세대 관리와 보호자 승계에 필요한 이론, 제작 절차, 안전 기준과 운용 보상을 하나의 완결된 연구 패키지로 통합한다.","","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","명시적 target-side definition 없음","서비스 품질·방문객·생활 조건을 위해 운영 인력·방·재고를 배정한다. 즉시 생산량·방어·확장보다 관계와 안정성을 택한다.","연구 완료 영수증 → target-side requiredResearchId가 research:society:generation-management인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 0개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:society:household-records","society_household_records","research:society:household-records","Service Package","가구 기록과 영아 돌봄에 필요한 이론, 제작 절차, 안전 기준과 운용 보상을 하나의 완결된 연구 패키지로 통합한다.","","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","명시적 target-side definition 없음","서비스 품질·방문객·생활 조건을 위해 운영 인력·방·재고를 배정한다. 즉시 생산량·방어·확장보다 관계와 안정성을 택한다.","연구 완료 영수증 → target-side requiredResearchId가 research:society:household-records인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 0개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:society:retirement","society_retirement","research:society:retirement","Service Package","은퇴와 멘토 제도에 필요한 이론, 제작 절차, 안전 기준과 운용 보상을 하나의 완결된 연구 패키지로 통합한다.","","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","명시적 target-side definition 없음","서비스 품질·방문객·생활 조건을 위해 운영 인력·방·재고를 배정한다. 즉시 생산량·방어·확장보다 관계와 안정성을 택한다.","연구 완료 영수증 → target-side requiredResearchId가 research:society:retirement인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 0개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:survival:field-rations","survival_field_rations","research:survival:field-rations","Foundation","원정 중에도 운반과 섭취가 쉬운 보존 식량 규격을 확립한다.","여러 후속 연구와 기존 제작 계통을 여는 기반 연구다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:recipe:expedition-ration-pack","이 연구가 여는 기본 작업·재료·시설을 실제 생산·생활 루프에 투입한다. 같은 시기의 다른 기반 연구는 뒤로 밀리고, 확보한 기반을 이용한 후속 선택이 열린다.","연구 완료 영수증 → target-side requiredResearchId가 research:survival:field-rations인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 1개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:survival:medical","survival_medical","research:survival:medical","Foundation","부상과 질병을 체계적으로 안정화하고 치료한다.","여러 후속 연구와 기존 제작 계통을 여는 기반 연구다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","SurgicalProcedureSO:procedure:blood-transfusion | SurgicalProcedureSO:procedure:emergency-suture | SurgicalProcedureSO:procedure:foreign-body-removal","이 연구가 여는 기본 작업·재료·시설을 실제 생산·생활 루프에 투입한다. 같은 시기의 다른 기반 연구는 뒤로 밀리고, 확보한 기반을 이용한 후속 선택이 열린다.","연구 완료 영수증 → target-side requiredResearchId가 research:survival:medical인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 3개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:survival:preservation","survival_preservation","research:survival:preservation","Foundation","식량 부패를 늦추고 보존 조리법을 정리한다.","여러 후속 연구와 기존 제작 계통을 여는 기반 연구다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:recipe:brined-vegetable | ProductionRecipeSO:recipe:fermented-pickle | ProductionRecipeSO:recipe:jerky | ProductionRecipeSO:recipe:salted-meat","이 연구가 여는 기본 작업·재료·시설을 실제 생산·생활 루프에 투입한다. 같은 시기의 다른 기반 연구는 뒤로 밀리고, 확보한 기반을 이용한 후속 선택이 열린다.","연구 완료 영수증 → target-side requiredResearchId가 research:survival:preservation인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 4개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
