"stable_id","display_name","research_project_id","unlock_role","source_design_intent","singleton_reason","reward_category_presentation","target_side_requirement_bindings","portfolio_commitment","activation_receipt_and_authority","binding_gap_and_status"
"research:industry:assisted-processing","industry_assisted_processing","research:industry:assisted-processing","Production Chain","기존 생산 시설에 전동 모듈을 부착해 작업 속도를 높인다.","","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:recipe:component:machine-parts | ProductionRecipeSO:recipe:v22:spin-powered:cave-silk | ProductionRecipeSO:recipe:v22:spin-powered:common-wool | ProductionRecipeSO:recipe:v22:spin-powered:deep-goat-wool | ProductionRecipeSO:recipe:v22:spin-powered:dreamweave | ProductionRecipeSO:recipe:v22:spin-powered:ember-cotton | ProductionRecipeSO:recipe:v22:spin-powered:frost-linen | ProductionRecipeSO:recipe:v22:spin-powered:frost-wool | ProductionRecipeSO:recipe:v22:spin-powered:mire-canvas | ProductionRecipeSO:recipe:v22:spin-powered:shade-cloth | ProductionRecipeSO:recipe:v22:spin-powered:spore-hemp","상류 재료부터 하류 소비처까지 연결해 중간재·운반·저장을 감당한다. 단일 산출물이나 다른 산업 계열에 자본을 묶지 않는 선택을 포기한다.","연구 완료 영수증 → target-side requiredResearchId가 research:industry:assisted-processing인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 11개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:industry:automatic-bills","industry_automatic_bills","research:industry:automatic-bills","System Facility","자동 주문과 재고 감지에 필요한 이론, 제작 절차, 안전 기준과 운용 보상을 하나의 완결된 연구 패키지로 통합한다.","독립된 작업 규칙과 입력·출력을 가진 시스템 시설을 연다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:recipe:component:stock-sensor-panel","독립된 공간·작업 규칙·입출력을 가진 체계를 짓고 인력·공간·기반망을 배정한다. 같은 투자로 다른 생산·서비스 체계를 먼저 세울 수는 없다.","연구 완료 영수증 → target-side requiredResearchId가 research:industry:automatic-bills인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 1개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:industry:automatic-sanitation","industry_automatic_sanitation","research:industry:automatic-sanitation","System Facility","자동 위생과 산업 안전에 필요한 이론, 제작 절차, 안전 기준과 운용 보상을 하나의 완결된 연구 패키지로 통합한다.","독립된 작업 규칙과 입력·출력을 가진 시스템 시설을 연다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","명시적 target-side definition 없음","독립된 공간·작업 규칙·입출력을 가진 체계를 짓고 인력·공간·기반망을 배정한다. 같은 투자로 다른 생산·서비스 체계를 먼저 세울 수는 없다.","연구 완료 영수증 → target-side requiredResearchId가 research:industry:automatic-sanitation인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 0개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:industry:breakers","industry_breakers","research:industry:breakers","System Facility","차단기와 산업 정비에 필요한 이론, 제작 절차, 안전 기준과 운용 보상을 하나의 완결된 연구 패키지로 통합한다.","독립된 작업 규칙과 입력·출력을 가진 시스템 시설을 연다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:recipe:tool:maintenance-kit","독립된 공간·작업 규칙·입출력을 가진 체계를 짓고 인력·공간·기반망을 배정한다. 같은 투자로 다른 생산·서비스 체계를 먼저 세울 수는 없다.","연구 완료 영수증 → target-side requiredResearchId가 research:industry:breakers인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 1개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:industry:conveyor","industry_conveyor","research:industry:conveyor","System Facility","컨베이어와 물류 포트에 필요한 이론, 제작 절차, 안전 기준과 운용 보상을 하나의 완결된 연구 패키지로 통합한다.","독립된 작업 규칙과 입력·출력을 가진 시스템 시설을 연다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","명시적 target-side definition 없음","독립된 공간·작업 규칙·입출력을 가진 체계를 짓고 인력·공간·기반망을 배정한다. 같은 투자로 다른 생산·서비스 체계를 먼저 세울 수는 없다.","연구 완료 영수증 → target-side requiredResearchId가 research:industry:conveyor인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 0개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:industry:dark-foundry","industry_dark_foundry","research:industry:dark-foundry","System Facility","흑강과 마나를 대가로 고밀도 자동 생산을 운용한다.","독립된 작업 규칙과 입력·출력을 가진 시스템 시설을 연다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","CombatArmorSO:equipment-item:armor:blacksteel-carapace | CombatShieldSO:equipment-item:shield:blacksteel | CombatWeaponSO:equipment-item:weapon:blacksteel-poleaxe | ProductionRecipeSO:recipe:ammo:blacksteel-bolt","독립된 공간·작업 규칙·입출력을 가진 체계를 짓고 인력·공간·기반망을 배정한다. 같은 투자로 다른 생산·서비스 체계를 먼저 세울 수는 없다.","연구 완료 영수증 → target-side requiredResearchId가 research:industry:dark-foundry인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 4개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:industry:electric-lighting","industry_electric_lighting","research:industry:electric-lighting","System Facility","작업 구역의 명중·속도·안전 저하를 전기 조명으로 완화한다.","독립된 작업 규칙과 입력·출력을 가진 시스템 시설을 연다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:recipe:component:insulated-wiring","독립된 공간·작업 규칙·입출력을 가진 체계를 짓고 인력·공간·기반망을 배정한다. 같은 투자로 다른 생산·서비스 체계를 먼저 세울 수는 없다.","연구 완료 영수증 → target-side requiredResearchId가 research:industry:electric-lighting인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 1개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:industry:electric-smelting","industry_electric_smelting","research:industry:electric-smelting","System Facility","전기 제련과 산업 냉각에 필요한 이론, 제작 절차, 안전 기준과 운용 보상을 하나의 완결된 연구 패키지로 통합한다.","독립된 작업 규칙과 입력·출력을 가진 시스템 시설을 연다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","명시적 target-side definition 없음","독립된 공간·작업 규칙·입출력을 가진 체계를 짓고 인력·공간·기반망을 배정한다. 같은 투자로 다른 생산·서비스 체계를 먼저 세울 수는 없다.","연구 완료 영수증 → target-side requiredResearchId가 research:industry:electric-smelting인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 0개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:industry:junctions","industry_junctions","research:industry:junctions","System Facility","분기·필터·우선순위 제어에 필요한 이론, 제작 절차, 안전 기준과 운용 보상을 하나의 완결된 연구 패키지로 통합한다.","독립된 작업 규칙과 입력·출력을 가진 시스템 시설을 연다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","명시적 target-side definition 없음","독립된 공간·작업 규칙·입출력을 가진 체계를 짓고 인력·공간·기반망을 배정한다. 같은 투자로 다른 생산·서비스 체계를 먼저 세울 수는 없다.","연구 완료 영수증 → target-side requiredResearchId가 research:industry:junctions인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 0개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:industry:lifts","industry_lifts","research:industry:lifts","System Facility","승강·오버플로·고속 운송에 필요한 이론, 제작 절차, 안전 기준과 운용 보상을 하나의 완결된 연구 패키지로 통합한다.","독립된 작업 규칙과 입력·출력을 가진 시스템 시설을 연다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","명시적 target-side definition 없음","독립된 공간·작업 규칙·입출력을 가진 체계를 짓고 인력·공간·기반망을 배정한다. 같은 투자로 다른 생산·서비스 체계를 먼저 세울 수는 없다.","연구 완료 영수증 → target-side requiredResearchId가 research:industry:lifts인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 0개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
