domain_group,domain_group_name,type,kind,definition_path,definition_line,coverage_reason,integration_status,integration_reason,producer_count,producer_sites,current_transaction_boundary,joint_commit_feasibility,outcome_save_owner,domain_state_save_owner_candidates,participant_member_candidates,metric_member_candidates,ui_paths,query_paths,narrative_paths,subscriber_count
5,거래·재고·재정·서비스·손님,AnimalPenCompatibilityResult,class,Assets/Scripts/Models/Economy/Content/AnimalHusbandryModels.cs,375,"AnimalPenCompatibilityResult is a result-bearing class for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",2,Assets/Scripts/Services/Economy/Husbandry/AnimalHusbandryRuntime.cs:485:AnimalHusbandryRuntime.EvaluatePen | Assets/Scripts/Services/Economy/Husbandry/AnimalHusbandryRuntime.cs:622:AnimalHusbandryRuntime.List,receipt construction/capture only; exact commit boundary not proven,needs owner-specific transaction audit,none-found: receipt/event is not persisted as a GameplayOutcome,FacilityShopSaveSection | OperatingDaySettlementSaveSection | PhysicalItemsSaveSection | RegularCustomerSaveSection | TreasuryEconomySaveSection | WorldResourceSaveSection,,,Assets/Scripts/Views/Buildings/UI/AnimalHusbandryBuildingPanelPresenter.cs | Assets/Scripts/Views/Wildlife/WildlifeInfoPanel.cs,Assets/Scripts/Services/Economy/Husbandry/AnimalHusbandryRuntime.cs | Assets/Scripts/Services/Economy/Husbandry/AnimalHusbandryRuntimePorts.cs | Assets/Scripts/Views/Buildings/UI/AnimalHusbandryBuildingPanelPresenter.cs | Assets/Scripts/Views/Wildlife/WildlifeInfoPanel.cs,,0
4,관계·욕구·기분·생애·가족,ApologyEvent,struct,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs,360,"ApologyEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Character/Identity/Runtime/CharacterApologyCommandRuntime.cs:85:CharacterApologyCommandRuntime.CharacterApologyCommandRuntime,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterLifeSaveSection | CharacterNarrativeSaveSection | CharacterPsychosocialSaveSection | CharacterWorldSaveSection | DarkSurvivalSaveSection | SurvivalResourcesSaveSection,,day,,Assets/Scripts/Services/Character/Core/CharacterAcquiredTraitSpecialReaction.cs | Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs | Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs,2
6,장비·특성·기술·시설 진화,ApparelChangedEvent,struct,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs,75,"ApparelChangedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Infrastructure/Environment/CharacterApparelRuntime.cs:2023:ApparelOutcomeChange.<unknown>,existing domain commit/outbox terms nearby; no gameplay-outcome joint outbox,possible via existing transaction/outbox adapter; requires owner-specific proof,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterNarrativeSaveSection | CharacterWorldSaveSection | CombatEquipmentSaveSection | EquipmentEvolutionSaveSection | ModularFacilityWorldSaveSection,character,day,,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs | Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs | Assets/Scripts/Services/Infrastructure/Environment/CharacterApparelRuntime.cs,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs,1
6,장비·특성·기술·시설 진화,ApparelConditionStepResult,struct,Assets/Scripts/Services/Infrastructure/Environment/ApparelConditionRules.cs,65,"ApparelConditionStepResult is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",2,Assets/Scripts/Services/Infrastructure/Environment/ApparelConditionRules.cs:101:ApparelConditionRules.Step | Assets/Scripts/Services/Infrastructure/Environment/ApparelConditionRules.cs:148:ApparelConditionRules.ApparelConditionStepResult,receipt construction/capture only; exact commit boundary not proven,needs owner-specific transaction audit,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterNarrativeSaveSection | CharacterWorldSaveSection | CombatEquipmentSaveSection | EquipmentEvolutionSaveSection | ModularFacilityWorldSaveSection,,,,Assets/Scripts/Services/Infrastructure/Environment/ApparelConditionRuntime.cs,,0
6,장비·특성·기술·시설 진화,ApparelLeaseAuthorityReleaseResult,struct,Assets/Scripts/Services/Items/ApparelLeaseAuthorityPort.cs,57,"ApparelLeaseAuthorityReleaseResult is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",4,Assets/Scripts/Services/Items/ApparelLeaseAuthorityPort.cs:154:ApparelLeaseAuthorityPort.TryReleaseExact | Assets/Scripts/Services/Items/ApparelLeaseAuthorityPort.cs:175:ApparelLeaseAuthorityPort.ApparelLeaseAuthorityPort | Assets/Scripts/Services/Items/ApparelLeaseAuthorityPort.cs:219:ApparelLeaseAuthorityPort.ApparelLeaseAuthorityPort | Assets/Scripts/Services/Items/ApparelLeaseAuthorityPort.cs:225:ApparelLeaseAuthorityPort.Conflict,receipt construction/capture only; exact commit boundary not proven,needs owner-specific transaction audit,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterNarrativeSaveSection | CharacterWorldSaveSection | CombatEquipmentSaveSection | EquipmentEvolutionSaveSection | ModularFacilityWorldSaveSection,,releasedLeaseCount,,Assets/Scripts/Services/Economy/ProductionApparelOrderTerminalDrainOutbox.cs | Assets/Scripts/Services/Items/ApparelLeaseAuthorityPort.cs,,0
6,장비·특성·기술·시설 진화,ApparelPhysicalTransactionResult,struct,Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs,15,"ApparelPhysicalTransactionResult is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",11,Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:177:ApparelPhysicalTransaction.ExecuteCraftOrResume | Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:453:ApparelPhysicalTransaction.ApparelPhysicalTransaction | Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:472:ApparelPhysicalTransaction.ExecuteRejectedDismantleOrResume | Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:811:ApparelPhysicalTransaction.<unknown> | Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:1199:ApparelPhysicalTransaction.TryReturnRejectedTerminalReplay | Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:1248:ApparelPhysicalTransaction.ItemQuantityReservationRequest | Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:1791:ApparelPhysicalTransaction.TryReturnTerminalReplay | Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:1842:ApparelPhysicalTransaction.PhysicalMassGrams | Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:1906:ApparelPhysicalTransaction.Waiting | Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:1914:ApparelPhysicalTransaction.Pending | Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:1922:ApparelPhysicalTransaction.Conflict,existing domain commit/outbox terms nearby; no gameplay-outcome joint outbox,possible via existing transaction/outbox adapter; requires owner-specific proof,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterNarrativeSaveSection | CharacterWorldSaveSection | CombatEquipmentSaveSection | EquipmentEvolutionSaveSection | ModularFacilityWorldSaveSection,,inputMassGrams | outputMassGrams,,Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs | Assets/Scripts/Services/Infrastructure/Environment/ApparelWorkOrderRuntime.cs,,0
5,거래·재고·재정·서비스·손님,AutoProcurementResult,class,Assets/Scripts/Models/Economy/Content/TreasuryEconomyModels.cs,243,"AutoProcurementResult is a result-bearing class for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",7,Assets/Scripts/Models/Economy/Content/EconomyTransactionLedgerRuntime.cs:102:TreasuryEconomyAggregateState.<unknown> | Assets/Scripts/Services/Economy/Treasury/AutoProcurementRuntime.cs:924:AutoProcurementRuntime.EconomyTransactionContext | Assets/Scripts/Services/Economy/Treasury/AutoProcurementRuntime.cs:1004:AutoProcurementRuntime.EconomyTransactionContext | Assets/Scripts/Services/Economy/Treasury/AutoProcurementRuntime.cs:1088:AutoProcurementRuntime.EconomyTransactionContext | Assets/Scripts/Services/Economy/Treasury/AutoProcurementRuntime.cs:1149:AutoProcurementRuntime.CloneResult | Assets/Scripts/Services/Economy/Treasury/AutoProcurementRuntime.cs:1154:AutoProcurementRuntime.EconomyTransactionContext | Assets/Scripts/Services/Economy/Treasury/AutoProcurementRuntime.cs:1155:AutoProcurementRuntime.EconomyTransactionContext,receipt construction/capture only; exact commit boundary not proven,needs owner-specific transaction audit,none-found: receipt/event is not persisted as a GameplayOutcome,FacilityShopSaveSection | OperatingDaySettlementSaveSection | PhysicalItemsSaveSection | RegularCustomerSaveSection | TreasuryEconomySaveSection | WorldResourceSaveSection,,,,Assets/Scripts/Services/Economy/Treasury/AutoProcurementRuntime.cs,,0
4,관계·욕구·기분·생애·가족,BackgroundInitializationOutcome,class,Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs,172,"BackgroundInitializationOutcome is a result-bearing class for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Character/CharacterNarrativeAggregate.cs:340:is.CharacterNarrativeRecord,receipt construction/capture only; exact commit boundary not proven,needs owner-specific transaction audit,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterLifeSaveSection | CharacterNarrativeSaveSection | CharacterPsychosocialSaveSection | CharacterWorldSaveSection | DarkSurvivalSaveSection | SurvivalResourcesSaveSection,,,,Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs | Assets/Scripts/Services/Character/CharacterNarrativeRuntime.cs,Assets/Scripts/Services/Character/CharacterNarrativeAggregate.cs | Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs | Assets/Scripts/Services/Character/CharacterNarrativeRuntime.cs,0
5,거래·재고·재정·서비스·손님,BalanceAttributionResult,class,Assets/Scripts/Services/Economy/V27BalanceAttribution.cs,26,"BalanceAttributionResult is a result-bearing class for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",2,Assets/Scripts/Services/Economy/V27BalanceAttribution.cs:55:BalanceAttribution.Attribute | Assets/Scripts/Services/Economy/V27BalanceAttribution.cs:113:BalanceAttribution.BalanceAttributionResult,receipt construction/capture only; exact commit boundary not proven,needs owner-specific transaction audit,none-found: receipt/event is not persisted as a GameplayOutcome,FacilityShopSaveSection | OperatingDaySettlementSaveSection | PhysicalItemsSaveSection | RegularCustomerSaveSection | TreasuryEconomySaveSection | WorldResourceSaveSection,,,,,,0
5,거래·재고·재정·서비스·손님,BalanceSccAuditResult,class,Assets/Scripts/Services/Economy/V27BalanceAttribution.cs,350,"BalanceSccAuditResult is a result-bearing class for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",2,Assets/Scripts/Services/Economy/V27BalanceAttribution.cs:371:BalanceSccAuditor.Audit | Assets/Scripts/Services/Economy/V27BalanceAttribution.cs:412:BalanceSccAuditor.BalanceSccAuditResult,receipt construction/capture only; exact commit boundary not proven,needs owner-specific transaction audit,none-found: receipt/event is not persisted as a GameplayOutcome,FacilityShopSaveSection | OperatingDaySettlementSaveSection | PhysicalItemsSaveSection | RegularCustomerSaveSection | TreasuryEconomySaveSection | WorldResourceSaveSection,,,,,,0
