group,content_type,record_key,stable_id,display_name,description,mechanics,relations,existence_reason,reason_basis,review_status,review_reason,lifecycle_status,catalog_memberships,runtime_status,runtime_evidence,save_evidence,incoming_reference_count,incoming_source_types,system_role,strategic_niche,costs_and_risks,comparison_group,alternative_candidates,removal_impact,rationale_evidence,source_path,asset_guid,authored__authoringRevision,authored__deadlineDays,authored__description,authored__displayName,authored__failureEffects,authored__failureEffects__count,authored__kind,authored__kind__enum,authored__kind__label,authored__kind__origin,authored__m_Name,authored__serviceRequirements,authored__sourceNote,authored__stableId,authored__successEffects,authored__successEffects__count
events-campaign,GuestRequestDefinitionSO,GuestRequestDefinitionSO|guest-request:allergen-banquet,guest-request:allergen-banquet,금기 없는 화합식,서로 음식 금기가 다른 두 사절단이 같은 식탁을 요청한다.,범주 ?; 요구 조건 0; 선택지 0; 효과 3,changes-faction-grievance:requesting-faction×5; changes-faction-rapport:requesting-faction×4; changes-money:guest-service×267; requires:building:festival-common-hall×1; requires:food:lavish-vegan×8,"사건 역할은 '서로 음식 금기가 다른 두 사절단이 같은 식탁을 요청한다'이다. 요구 조건 0개, 선택지 0개, 상태 효과 3개를 통해 발생 조건과 결과를 규정한다.",event-requirements-and-effects,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Economy/ResourceEconomyContentCatalog.cs; Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs; Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Run/V20ContentResolutionService.cs,Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Run/V20ContentResolutionService.cs,0,,"사건 역할은 '서로 음식 금기가 다른 두 사절단이 같은 식탁을 요청한다'이다. 요구 조건 0개, 선택지 0개, 상태 효과 3개를 통해 발생 조건과 결과를 규정한다.",GuestRequestDefinitionSO 계열에서 조건·선택·결과를 통해 캠페인 상태 변화를 만든다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,event:GuestRequestDefinitionSO:0,비교 후보(대체 가능성 미검증): GuestRequestDefinitionSO:guest-request:coronation-feast,정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,event-requirements-and-effects; niche=event-type+requirements+effects; cost=type-contract,Assets/Resources/SO/V20/Society/Services/GuestRequests/guest-request_allergen-banquet.asset,bb0738ace4c777248a227e71c868e9e0,1,4,서로 음식 금기가 다른 두 사절단이 같은 식탁을 요청한다.,금기 없는 화합식,"[{""amount"":5,""durationDays"":0,""kind"":7,""targetId"":""requesting-faction""}]",1,0,GuestRequestKind,Luxury Meal,explicit-serialized,guest-request_allergen-banquet,"{""characters"":[],""excludedFlags"":[],""facilities"":[{""buildingDefinitionId"":""building:festival-common-hall"",""capabilityId"":null,""minimumCount"":1,""mustBeOperational"":1}],""factions"":[],""items"":[{""amount"":8,""consume"":1,""itemDefinitionId"":""food:lavish-vegan""}],""requiredFlags"":[],""research"":[],""worldMetrics"":[]}",V20 hand-authored faction/service manifest.,guest-request:allergen-banquet,"[{""amount"":267,""durationDays"":0,""kind"":9,""targetId"":""guest-service""},{""amount"":4,""durationDays"":0,""kind"":6,""targetId"":""requesting-faction""}]",2
events-campaign,GuestRequestDefinitionSO,GuestRequestDefinitionSO|guest-request:bodyguard-kit,guest-request:bodyguard-kit,사절 호위 장비,위험 지역을 지날 사절단이 방폭 외투와 수리 키트를 요구한다.,범주 ?; 요구 조건 0; 선택지 0; 효과 3,changes-faction-grievance:requesting-faction×5; changes-faction-rapport:requesting-faction×4; changes-money:guest-service×864; requires:building:smith-workshop×1; requires:tool:field-repair-kit×6,"사건 역할은 '위험 지역을 지날 사절단이 방폭 외투와 수리 키트를 요구한다'이다. 요구 조건 0개, 선택지 0개, 상태 효과 3개를 통해 발생 조건과 결과를 규정한다.",event-requirements-and-effects,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Economy/ResourceEconomyContentCatalog.cs; Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs; Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Run/V20ContentResolutionService.cs,Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Run/V20ContentResolutionService.cs,0,,"사건 역할은 '위험 지역을 지날 사절단이 방폭 외투와 수리 키트를 요구한다'이다. 요구 조건 0개, 선택지 0개, 상태 효과 3개를 통해 발생 조건과 결과를 규정한다.",GuestRequestDefinitionSO 계열에서 조건·선택·결과를 통해 캠페인 상태 변화를 만든다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,event:GuestRequestDefinitionSO:6,비교 후보(대체 가능성 미검증): GuestRequestDefinitionSO:guest-request:militia-arms,정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,event-requirements-and-effects; niche=event-type+requirements+effects; cost=type-contract,Assets/Resources/SO/V20/Society/Services/GuestRequests/guest-request_bodyguard-kit.asset,625879fa735e45a408217abf890e94a8,1,5,위험 지역을 지날 사절단이 방폭 외투와 수리 키트를 요구한다.,사절 호위 장비,"[{""amount"":5,""durationDays"":0,""kind"":7,""targetId"":""requesting-faction""}]",1,6,GuestRequestKind,Armament,explicit-serialized,guest-request_bodyguard-kit,"{""characters"":[],""excludedFlags"":[],""facilities"":[{""buildingDefinitionId"":""building:smith-workshop"",""capabilityId"":null,""minimumCount"":1,""mustBeOperational"":1}],""factions"":[],""items"":[{""amount"":6,""consume"":1,""itemDefinitionId"":""tool:field-repair-kit""}],""requiredFlags"":[],""research"":[],""worldMetrics"":[]}",V20 hand-authored faction/service manifest.,guest-request:bodyguard-kit,"[{""amount"":864,""durationDays"":0,""kind"":9,""targetId"":""guest-service""},{""amount"":4,""durationDays"":0,""kind"":6,""targetId"":""requesting-faction""}]",2
events-campaign,GuestRequestDefinitionSO,GuestRequestDefinitionSO|guest-request:coronation-feast,guest-request:coronation-feast,몰락 귀족의 대관 만찬,망명 귀족이 지지자 앞에서 호화 만찬을 열 객실과 음식을 요구한다.,범주 ?; 요구 조건 0; 선택지 0; 효과 3,changes-faction-grievance:requesting-faction×5; changes-faction-rapport:requesting-faction×4; changes-money:guest-service×144; requires:building:luxury-dining-room×1; requires:food:lavish-meat×4,"사건 역할은 '망명 귀족이 지지자 앞에서 호화 만찬을 열 객실과 음식을 요구한다'이다. 요구 조건 0개, 선택지 0개, 상태 효과 3개를 통해 발생 조건과 결과를 규정한다.",event-requirements-and-effects,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Economy/ResourceEconomyContentCatalog.cs; Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs; Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Run/V20ContentResolutionService.cs,Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Run/V20ContentResolutionService.cs,0,,"사건 역할은 '망명 귀족이 지지자 앞에서 호화 만찬을 열 객실과 음식을 요구한다'이다. 요구 조건 0개, 선택지 0개, 상태 효과 3개를 통해 발생 조건과 결과를 규정한다.",GuestRequestDefinitionSO 계열에서 조건·선택·결과를 통해 캠페인 상태 변화를 만든다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,event:GuestRequestDefinitionSO:0,비교 후보(대체 가능성 미검증): GuestRequestDefinitionSO:guest-request:allergen-banquet,정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,event-requirements-and-effects; niche=event-type+requirements+effects; cost=type-contract,Assets/Resources/SO/V20/Society/Services/GuestRequests/guest-request_coronation-feast.asset,d5397770552940a46938d8335f302702,1,5,망명 귀족이 지지자 앞에서 호화 만찬을 열 객실과 음식을 요구한다.,몰락 귀족의 대관 만찬,"[{""amount"":5,""durationDays"":0,""kind"":7,""targetId"":""requesting-faction""}]",1,0,GuestRequestKind,Luxury Meal,explicit-serialized,guest-request_coronation-feast,"{""characters"":[],""excludedFlags"":[],""facilities"":[{""buildingDefinitionId"":""building:luxury-dining-room"",""capabilityId"":null,""minimumCount"":1,""mustBeOperational"":1}],""factions"":[],""items"":[{""amount"":4,""consume"":1,""itemDefinitionId"":""food:lavish-meat""}],""requiredFlags"":[],""research"":[],""worldMetrics"":[]}",V20 hand-authored faction/service manifest.,guest-request:coronation-feast,"[{""amount"":144,""durationDays"":0,""kind"":9,""targetId"":""guest-service""},{""amount"":4,""durationDays"":0,""kind"":6,""targetId"":""requesting-faction""}]",2
events-campaign,GuestRequestDefinitionSO,GuestRequestDefinitionSO|guest-request:disease-sample,guest-request:disease-sample,희귀 병원체 공동연구,외부 의사가 무균 시설과 항원 표본을 이용한 공동연구를 청한다.,범주 ?; 요구 조건 0; 선택지 0; 효과 3,changes-faction-grievance:requesting-faction×5; changes-faction-rapport:requesting-faction×4; changes-money:guest-service×80; requires:building:vaccine-laboratory×1; requires:sample:antigen:cave-flu×3,"사건 역할은 '외부 의사가 무균 시설과 항원 표본을 이용한 공동연구를 청한다'이다. 요구 조건 0개, 선택지 0개, 상태 효과 3개를 통해 발생 조건과 결과를 규정한다.",event-requirements-and-effects,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Economy/ResourceEconomyContentCatalog.cs; Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs; Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Run/V20ContentResolutionService.cs,Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Run/V20ContentResolutionService.cs,0,,"사건 역할은 '외부 의사가 무균 시설과 항원 표본을 이용한 공동연구를 청한다'이다. 요구 조건 0개, 선택지 0개, 상태 효과 3개를 통해 발생 조건과 결과를 규정한다.",GuestRequestDefinitionSO 계열에서 조건·선택·결과를 통해 캠페인 상태 변화를 만든다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,event:GuestRequestDefinitionSO:5,비교 후보(대체 가능성 미검증): GuestRequestDefinitionSO:guest-request:sealed-archive,정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,event-requirements-and-effects; niche=event-type+requirements+effects; cost=type-contract,Assets/Resources/SO/V20/Society/Services/GuestRequests/guest-request_disease-sample.asset,a72ee489ee4b0424c99d24aac01b143c,1,6,외부 의사가 무균 시설과 항원 표본을 이용한 공동연구를 청한다.,희귀 병원체 공동연구,"[{""amount"":5,""durationDays"":0,""kind"":7,""targetId"":""requesting-faction""}]",1,5,GuestRequestKind,Research,explicit-serialized,guest-request_disease-sample,"{""characters"":[],""excludedFlags"":[],""facilities"":[{""buildingDefinitionId"":""building:vaccine-laboratory"",""capabilityId"":null,""minimumCount"":1,""mustBeOperational"":1}],""factions"":[],""items"":[{""amount"":3,""consume"":1,""itemDefinitionId"":""sample:antigen:cave-flu""}],""requiredFlags"":[],""research"":[],""worldMetrics"":[]}",V20 hand-authored faction/service manifest.,guest-request:disease-sample,"[{""amount"":80,""durationDays"":0,""kind"":9,""targetId"":""guest-service""},{""amount"":4,""durationDays"":0,""kind"":6,""targetId"":""requesting-faction""}]",2
events-campaign,GuestRequestDefinitionSO,GuestRequestDefinitionSO|guest-request:emergency-surgery,guest-request:emergency-surgery,사절의 응급 수술,중상 사절이 무균 수술실과 고급 약품을 즉시 요구한다.,범주 ?; 요구 조건 0; 선택지 0; 효과 3,changes-faction-grievance:requesting-faction×5; changes-faction-rapport:requesting-faction×4; changes-money:guest-service×940; requires:building:surgery-room×1; requires:medicine:advanced×3,"사건 역할은 '중상 사절이 무균 수술실과 고급 약품을 즉시 요구한다'이다. 요구 조건 0개, 선택지 0개, 상태 효과 3개를 통해 발생 조건과 결과를 규정한다.",event-requirements-and-effects,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Economy/ResourceEconomyContentCatalog.cs; Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs; Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Run/V20ContentResolutionService.cs,Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Run/V20ContentResolutionService.cs,0,,"사건 역할은 '중상 사절이 무균 수술실과 고급 약품을 즉시 요구한다'이다. 요구 조건 0개, 선택지 0개, 상태 효과 3개를 통해 발생 조건과 결과를 규정한다.",GuestRequestDefinitionSO 계열에서 조건·선택·결과를 통해 캠페인 상태 변화를 만든다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,event:GuestRequestDefinitionSO:1,비교 후보(대체 가능성 미검증): GuestRequestDefinitionSO:guest-request:plague-screening,정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,event-requirements-and-effects; niche=event-type+requirements+effects; cost=type-contract,Assets/Resources/SO/V20/Society/Services/GuestRequests/guest-request_emergency-surgery.asset,bf4a6ff39a343cc469097cb69d27b03c,1,2,중상 사절이 무균 수술실과 고급 약품을 즉시 요구한다.,사절의 응급 수술,"[{""amount"":5,""durationDays"":0,""kind"":7,""targetId"":""requesting-faction""}]",1,1,GuestRequestKind,Medical,explicit-serialized,guest-request_emergency-surgery,"{""characters"":[],""excludedFlags"":[],""facilities"":[{""buildingDefinitionId"":""building:surgery-room"",""capabilityId"":null,""minimumCount"":1,""mustBeOperational"":1}],""factions"":[],""items"":[{""amount"":3,""consume"":1,""itemDefinitionId"":""medicine:advanced""}],""requiredFlags"":[],""research"":[],""worldMetrics"":[]}",V20 hand-authored faction/service manifest.,guest-request:emergency-surgery,"[{""amount"":940,""durationDays"":0,""kind"":9,""targetId"":""guest-service""},{""amount"":4,""durationDays"":0,""kind"":6,""targetId"":""requesting-faction""}]",2
events-campaign,GuestRequestDefinitionSO,GuestRequestDefinitionSO|guest-request:flood-refuge,guest-request:flood-refuge,범람 피난민,침수된 정착지 주민이 침대·물·보존식을 요청한다.,범주 ?; 요구 조건 0; 선택지 0; 효과 3,changes-faction-grievance:requesting-faction×5; changes-faction-rapport:requesting-faction×4; changes-money:guest-service×400; requires:building:guest-dormitory×1; requires:food:preserved-ration×20,"사건 역할은 '침수된 정착지 주민이 침대·물·보존식을 요청한다'이다. 요구 조건 0개, 선택지 0개, 상태 효과 3개를 통해 발생 조건과 결과를 규정한다.",event-requirements-and-effects,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Economy/ResourceEconomyContentCatalog.cs; Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs; Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Run/V20ContentResolutionService.cs,Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Run/V20ContentResolutionService.cs,0,,"사건 역할은 '침수된 정착지 주민이 침대·물·보존식을 요청한다'이다. 요구 조건 0개, 선택지 0개, 상태 효과 3개를 통해 발생 조건과 결과를 규정한다.",GuestRequestDefinitionSO 계열에서 조건·선택·결과를 통해 캠페인 상태 변화를 만든다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,event:GuestRequestDefinitionSO:4,비교 후보(대체 가능성 미검증): GuestRequestDefinitionSO:guest-request:persecuted-family,정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,event-requirements-and-effects; niche=event-type+requirements+effects; cost=type-contract,Assets/Resources/SO/V20/Society/Services/GuestRequests/guest-request_flood-refuge.asset,05cf53b42bf46b74daa0e65f2fdc8e7a,1,4,침수된 정착지 주민이 침대·물·보존식을 요청한다.,범람 피난민,"[{""amount"":5,""durationDays"":0,""kind"":7,""targetId"":""requesting-faction""}]",1,4,GuestRequestKind,Refuge,explicit-serialized,guest-request_flood-refuge,"{""characters"":[],""excludedFlags"":[],""facilities"":[{""buildingDefinitionId"":""building:guest-dormitory"",""capabilityId"":null,""minimumCount"":1,""mustBeOperational"":1}],""factions"":[],""items"":[{""amount"":20,""consume"":1,""itemDefinitionId"":""food:preserved-ration""}],""requiredFlags"":[],""research"":[],""worldMetrics"":[]}",V20 hand-authored faction/service manifest.,guest-request:flood-refuge,"[{""amount"":400,""durationDays"":0,""kind"":9,""targetId"":""guest-service""},{""amount"":4,""durationDays"":0,""kind"":6,""targetId"":""requesting-faction""}]",2
events-campaign,GuestRequestDefinitionSO,GuestRequestDefinitionSO|guest-request:memorial-performance,guest-request:memorial-performance,전사자 추모 공연,용병단이 사망자 이름을 부르는 공연과 추모 공간을 요청한다.,범주 ?; 요구 조건 0; 선택지 0; 효과 3,changes-faction-grievance:requesting-faction×5; changes-faction-rapport:requesting-faction×4; changes-money:guest-service×214; requires:craft:candle×10; requires:workstation:v19:memorial-room×1,"사건 역할은 '용병단이 사망자 이름을 부르는 공연과 추모 공간을 요청한다'이다. 요구 조건 0개, 선택지 0개, 상태 효과 3개를 통해 발생 조건과 결과를 규정한다.",event-requirements-and-effects,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Economy/ResourceEconomyContentCatalog.cs; Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs; Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Run/V20ContentResolutionService.cs,Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Run/V20ContentResolutionService.cs,0,,"사건 역할은 '용병단이 사망자 이름을 부르는 공연과 추모 공간을 요청한다'이다. 요구 조건 0개, 선택지 0개, 상태 효과 3개를 통해 발생 조건과 결과를 규정한다.",GuestRequestDefinitionSO 계열에서 조건·선택·결과를 통해 캠페인 상태 변화를 만든다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,event:GuestRequestDefinitionSO:3,비교 후보(대체 가능성 미검증): GuestRequestDefinitionSO:guest-request:monster-circus,정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,event-requirements-and-effects; niche=event-type+requirements+effects; cost=type-contract,Assets/Resources/SO/V20/Society/Services/GuestRequests/guest-request_memorial-performance.asset,54bed7fcd14bdfe47bb4d9aa89f56459,1,5,용병단이 사망자 이름을 부르는 공연과 추모 공간을 요청한다.,전사자 추모 공연,"[{""amount"":5,""durationDays"":0,""kind"":7,""targetId"":""requesting-faction""}]",1,3,GuestRequestKind,Spectacle,explicit-serialized,guest-request_memorial-performance,"{""characters"":[],""excludedFlags"":[],""facilities"":[{""buildingDefinitionId"":""workstation:v19:memorial-room"",""capabilityId"":null,""minimumCount"":1,""mustBeOperational"":1}],""factions"":[],""items"":[{""amount"":10,""consume"":1,""itemDefinitionId"":""craft:candle""}],""requiredFlags"":[],""research"":[],""worldMetrics"":[]}",V20 hand-authored faction/service manifest.,guest-request:memorial-performance,"[{""amount"":214,""durationDays"":0,""kind"":9,""targetId"":""guest-service""},{""amount"":4,""durationDays"":0,""kind"":6,""targetId"":""requesting-faction""}]",2
events-campaign,GuestRequestDefinitionSO,GuestRequestDefinitionSO|guest-request:militia-arms,guest-request:militia-arms,민병대 긴급 무장,습격받는 정착지가 방패와 종이 탄약통을 긴급 요청한다.,범주 ?; 요구 조건 0; 선택지 0; 효과 3,changes-faction-grievance:requesting-faction×5; changes-faction-rapport:requesting-faction×4; changes-money:guest-service×440; requires:ammo:paper-cartridge×30; requires:building:armory×1,"사건 역할은 '습격받는 정착지가 방패와 종이 탄약통을 긴급 요청한다'이다. 요구 조건 0개, 선택지 0개, 상태 효과 3개를 통해 발생 조건과 결과를 규정한다.",event-requirements-and-effects,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Economy/ResourceEconomyContentCatalog.cs; Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs; Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Run/V20ContentResolutionService.cs,Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Run/V20ContentResolutionService.cs,0,,"사건 역할은 '습격받는 정착지가 방패와 종이 탄약통을 긴급 요청한다'이다. 요구 조건 0개, 선택지 0개, 상태 효과 3개를 통해 발생 조건과 결과를 규정한다.",GuestRequestDefinitionSO 계열에서 조건·선택·결과를 통해 캠페인 상태 변화를 만든다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,event:GuestRequestDefinitionSO:6,비교 후보(대체 가능성 미검증): GuestRequestDefinitionSO:guest-request:bodyguard-kit,정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,event-requirements-and-effects; niche=event-type+requirements+effects; cost=type-contract,Assets/Resources/SO/V20/Society/Services/GuestRequests/guest-request_militia-arms.asset,f4139c910fa127a468f8e42c974a6627,1,4,습격받는 정착지가 방패와 종이 탄약통을 긴급 요청한다.,민병대 긴급 무장,"[{""amount"":5,""durationDays"":0,""kind"":7,""targetId"":""requesting-faction""}]",1,6,GuestRequestKind,Armament,explicit-serialized,guest-request_militia-arms,"{""characters"":[],""excludedFlags"":[],""facilities"":[{""buildingDefinitionId"":""building:armory"",""capabilityId"":null,""minimumCount"":1,""mustBeOperational"":1}],""factions"":[],""items"":[{""amount"":30,""consume"":1,""itemDefinitionId"":""ammo:paper-cartridge""}],""requiredFlags"":[],""research"":[],""worldMetrics"":[]}",V20 hand-authored faction/service manifest.,guest-request:militia-arms,"[{""amount"":440,""durationDays"":0,""kind"":9,""targetId"":""guest-service""},{""amount"":4,""durationDays"":0,""kind"":6,""targetId"":""requesting-faction""}]",2
events-campaign,GuestRequestDefinitionSO,GuestRequestDefinitionSO|guest-request:monster-circus,guest-request:monster-circus,비전 생물 시연,학자 손님이 포획 생물의 안전한 공개 시연을 의뢰한다.,범주 ?; 요구 조건 0; 선택지 0; 효과 3,changes-faction-grievance:requesting-faction×5; changes-faction-rapport:requesting-faction×4; changes-money:guest-service×267; requires:building:circus-arena×1,"사건 역할은 '학자 손님이 포획 생물의 안전한 공개 시연을 의뢰한다'이다. 요구 조건 0개, 선택지 0개, 상태 효과 3개를 통해 발생 조건과 결과를 규정한다.",event-requirements-and-effects,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Economy/ResourceEconomyContentCatalog.cs; Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs; Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Run/V20ContentResolutionService.cs,Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Run/V20ContentResolutionService.cs,0,,"사건 역할은 '학자 손님이 포획 생물의 안전한 공개 시연을 의뢰한다'이다. 요구 조건 0개, 선택지 0개, 상태 효과 3개를 통해 발생 조건과 결과를 규정한다.",GuestRequestDefinitionSO 계열에서 조건·선택·결과를 통해 캠페인 상태 변화를 만든다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,event:GuestRequestDefinitionSO:3,비교 후보(대체 가능성 미검증): GuestRequestDefinitionSO:guest-request:memorial-performance,정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,event-requirements-and-effects; niche=event-type+requirements+effects; cost=type-contract,Assets/Resources/SO/V20/Society/Services/GuestRequests/guest-request_monster-circus.asset,0a8cf11180ed6ca4d98949682d49b378,1,6,학자 손님이 포획 생물의 안전한 공개 시연을 의뢰한다.,비전 생물 시연,"[{""amount"":5,""durationDays"":0,""kind"":7,""targetId"":""requesting-faction""}]",1,3,GuestRequestKind,Spectacle,explicit-serialized,guest-request_monster-circus,"{""characters"":[],""excludedFlags"":[],""facilities"":[{""buildingDefinitionId"":""building:circus-arena"",""capabilityId"":null,""minimumCount"":1,""mustBeOperational"":1}],""factions"":[],""items"":[],""requiredFlags"":[],""research"":[],""worldMetrics"":[]}",V20 hand-authored faction/service manifest.,guest-request:monster-circus,"[{""amount"":267,""durationDays"":0,""kind"":9,""targetId"":""guest-service""},{""amount"":4,""durationDays"":0,""kind"":6,""targetId"":""requesting-faction""}]",2
events-campaign,GuestRequestDefinitionSO,GuestRequestDefinitionSO|guest-request:persecuted-family,guest-request:persecuted-family,추방 가족의 은신,추격받는 혼혈 가족이 격리되지 않은 가족실을 요청한다.,범주 ?; 요구 조건 0; 선택지 0; 효과 3,changes-faction-grievance:requesting-faction×5; changes-faction-rapport:requesting-faction×4; changes-money:guest-service×16; requires:building:family-quarters×1; requires:resource:clean-water×12,"사건 역할은 '추격받는 혼혈 가족이 격리되지 않은 가족실을 요청한다'이다. 요구 조건 0개, 선택지 0개, 상태 효과 3개를 통해 발생 조건과 결과를 규정한다.",event-requirements-and-effects,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Economy/ResourceEconomyContentCatalog.cs; Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs; Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Run/V20ContentResolutionService.cs,Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Services/Run/V20ContentResolutionService.cs,0,,"사건 역할은 '추격받는 혼혈 가족이 격리되지 않은 가족실을 요청한다'이다. 요구 조건 0개, 선택지 0개, 상태 효과 3개를 통해 발생 조건과 결과를 규정한다.",GuestRequestDefinitionSO 계열에서 조건·선택·결과를 통해 캠페인 상태 변화를 만든다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,event:GuestRequestDefinitionSO:4,비교 후보(대체 가능성 미검증): GuestRequestDefinitionSO:guest-request:flood-refuge,정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,event-requirements-and-effects; niche=event-type+requirements+effects; cost=type-contract,Assets/Resources/SO/V20/Society/Services/GuestRequests/guest-request_persecuted-family.asset,2fb926fd18c77c442976a8e087208b57,1,3,추격받는 혼혈 가족이 격리되지 않은 가족실을 요청한다.,추방 가족의 은신,"[{""amount"":5,""durationDays"":0,""kind"":7,""targetId"":""requesting-faction""}]",1,4,GuestRequestKind,Refuge,explicit-serialized,guest-request_persecuted-family,"{""characters"":[],""excludedFlags"":[],""facilities"":[{""buildingDefinitionId"":""building:family-quarters"",""capabilityId"":null,""minimumCount"":1,""mustBeOperational"":1}],""factions"":[],""items"":[{""amount"":12,""consume"":1,""itemDefinitionId"":""resource:clean-water""}],""requiredFlags"":[],""research"":[],""worldMetrics"":[]}",V20 hand-authored faction/service manifest.,guest-request:persecuted-family,"[{""amount"":16,""durationDays"":0,""kind"":9,""targetId"":""guest-service""},{""amount"":4,""durationDays"":0,""kind"":6,""targetId"":""requesting-faction""}]",2
