"stable_id","display_name","research_project_id","unlock_role","source_design_intent","singleton_reason","reward_category_presentation","target_side_requirement_bindings","portfolio_commitment","activation_receipt_and_authority","binding_gap_and_status"
"research:agriculture:compost","agriculture_compost","research:agriculture:compost","Foundation","부패물과 분뇨를 토양 영양으로 되돌린다.","여러 후속 연구와 기존 제작 계통을 여는 기반 연구다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:recipe:compost-animal | ProductionRecipeSO:recipe:compost-manure | ProductionRecipeSO:recipe:compost-mixed | ProductionRecipeSO:recipe:compost-plant | ProductionRecipeSO:recipe:low-fuel-animal | ProductionRecipeSO:recipe:low-fuel-plant | ProductionRecipeSO:recipe:low-fuel-rot | ProductionRecipeSO:recipe:supply:nitrate-fertilizer | ProductionRecipeSO:source:spoilage-animal | ProductionRecipeSO:source:spoilage-mixed | ProductionRecipeSO:source:spoilage-plant","이 연구가 여는 기본 작업·재료·시설을 실제 생산·생활 루프에 투입한다. 같은 시기의 다른 기반 연구는 뒤로 밀리고, 확보한 기반을 이용한 후속 선택이 열린다.","연구 완료 영수증 → target-side requiredResearchId가 research:agriculture:compost인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 11개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:agriculture:cultivar-breeding","agriculture_cultivar_breeding","research:agriculture:cultivar-breeding","System Facility","작물 병리, 형질 분석과 선별 사육을 육종 온실에 적용한다.","독립된 작업 규칙과 입력·출력을 가진 시스템 시설을 연다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:recipe:supply:certified-seed-kit","독립된 공간·작업 규칙·입출력을 가진 체계를 짓고 인력·공간·기반망을 배정한다. 같은 투자로 다른 생산·서비스 체계를 먼저 세울 수는 없다.","연구 완료 영수증 → target-side requiredResearchId가 research:agriculture:cultivar-breeding인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 1개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:agriculture:field","agriculture_field","research:agriculture:field","Foundation","야외 밭에 작물을 파종하고 수확한다.","여러 후속 연구와 기존 제작 계통을 여는 기반 연구다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","CropDefinitionSO:crop:ember-root | CropDefinitionSO:crop:twilight-grain","이 연구가 여는 기본 작업·재료·시설을 실제 생산·생활 루프에 투입한다. 같은 시기의 다른 기반 연구는 뒤로 밀리고, 확보한 기반을 이용한 후속 선택이 열린다.","연구 완료 영수증 → target-side requiredResearchId가 research:agriculture:field인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 2개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:agriculture:gathering","agriculture_gathering","research:agriculture:gathering","Foundation","외부의 풀, 꽃과 약초를 자원 노드로 채집한다.","여러 후속 연구와 기존 제작 계통을 여는 기반 연구다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","CropDefinitionSO:crop:cave-mushroom | ProductionRecipeSO:source:grass","이 연구가 여는 기본 작업·재료·시설을 실제 생산·생활 루프에 투입한다. 같은 시기의 다른 기반 연구는 뒤로 밀리고, 확보한 기반을 이용한 후속 선택이 열린다.","연구 완료 영수증 → target-side requiredResearchId가 research:agriculture:gathering인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 2개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:agriculture:greenhouse-horticulture","agriculture_greenhouse_horticulture","research:agriculture:greenhouse-horticulture","System Facility","관측 기후와 실내 재배, 급수 설비를 폐쇄형 온실에 통합한다.","독립된 작업 규칙과 입력·출력을 가진 시스템 시설을 연다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:recipe:supply:greenhouse-nutrient","독립된 공간·작업 규칙·입출력을 가진 체계를 짓고 인력·공간·기반망을 배정한다. 같은 투자로 다른 생산·서비스 체계를 먼저 세울 수는 없다.","연구 완료 영수증 → target-side requiredResearchId가 research:agriculture:greenhouse-horticulture인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 1개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:agriculture:indoor","agriculture_indoor","research:agriculture:indoor","Foundation","물, 퇴비와 연료를 써서 실내에서 작물을 기른다.","여러 후속 연구와 기존 제작 계통을 여는 기반 연구다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","명시적 target-side definition 없음","이 연구가 여는 기본 작업·재료·시설을 실제 생산·생활 루프에 투입한다. 같은 시기의 다른 기반 연구는 뒤로 밀리고, 확보한 기반을 이용한 후속 선택이 열린다.","연구 완료 영수증 → target-side requiredResearchId가 research:agriculture:indoor인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 0개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:agriculture:irrigation","agriculture_irrigation","research:agriculture:irrigation","Foundation","물 저장과 급수 작업으로 수확 변동을 줄인다.","여러 후속 연구와 기존 제작 계통을 여는 기반 연구다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","CropDefinitionSO:crop:night-grape | ProductionRecipeSO:recipe:resource:clean-water","이 연구가 여는 기본 작업·재료·시설을 실제 생산·생활 루프에 투입한다. 같은 시기의 다른 기반 연구는 뒤로 밀리고, 확보한 기반을 이용한 후속 선택이 열린다.","연구 완료 영수증 → target-side requiredResearchId가 research:agriculture:irrigation인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 2개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:agriculture:phenology","agriculture_phenology","research:agriculture:phenology","System Facility","생물계절학과 종자 선별에 필요한 이론, 제작 절차, 안전 기준과 운용 보상을 하나의 완결된 연구 패키지로 통합한다.","독립된 작업 규칙과 입력·출력을 가진 시스템 시설을 연다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","명시적 target-side definition 없음","독립된 공간·작업 규칙·입출력을 가진 체계를 짓고 인력·공간·기반망을 배정한다. 같은 투자로 다른 생산·서비스 체계를 먼저 세울 수는 없다.","연구 완료 영수증 → target-side requiredResearchId가 research:agriculture:phenology인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 0개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:agriculture:soil-cycles","agriculture_soil_cycles","research:agriculture:soil-cycles","System Facility","토양 순환과 작물 보호에 필요한 이론, 제작 절차, 안전 기준과 운용 보상을 하나의 완결된 연구 패키지로 통합한다.","독립된 작업 규칙과 입력·출력을 가진 시스템 시설을 연다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:recipe:supply:botanical-pesticide | ProductionRecipeSO:recipe:supply:fungicide | ProductionRecipeSO:recipe:supply:pest-lure","독립된 공간·작업 규칙·입출력을 가진 체계를 짓고 인력·공간·기반망을 배정한다. 같은 투자로 다른 생산·서비스 체계를 먼저 세울 수는 없다.","연구 완료 영수증 → target-side requiredResearchId가 research:agriculture:soil-cycles인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 3개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:agriculture:subterranean","agriculture_subterranean","research:agriculture:subterranean","System Facility","균류와 영양 순환으로 계절과 밤을 넘는 자급망을 만든다.","독립된 작업 규칙과 입력·출력을 가진 시스템 시설을 연다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:recipe:supply:mushroom-substrate","독립된 공간·작업 규칙·입출력을 가진 체계를 짓고 인력·공간·기반망을 배정한다. 같은 투자로 다른 생산·서비스 체계를 먼저 세울 수는 없다.","연구 완료 영수증 → target-side requiredResearchId가 research:agriculture:subterranean인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 1개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
