stable_id,display_name,problem,solution_family,portfolio_role,player_commitment,delayed_alternative,weakness_and_pressure,activation_receipt,transition_or_recovery,first_milestone_skip,balance_and_implementation_status
research:authority:office,영주 집무,대형 사업과 방어 결정을 실행할 지휘 중심 확보,집무 공간과 지휘 흐름,운영 중심 정착,"집무 공간·기록·전령 경로·지휘 인력을 방어와 사업 우선순위에 결속한다","현장 분권 운영·소규모 작업조·외부 계약","결재 병목·중앙 공간 피습·지휘자 부재·사업 우선순위 충돌","집무에서 나온 지시가 실제 방어·건설·계약 작업의 예약과 완료 기록으로 이어진 증거","현장 책임자·기록 복제·작업조 자율 규칙으로 지휘 공백을 넘긴다",가능,"설계 확정; 공간 품질·지휘 범위·업무량·보안은 밸런스 기준 배정; 실제 명령·저장·복구 검증 OPEN"
research:authority:prestige,장식과 위신,공간 품질을 권위·외교·환대 자원으로 전환,장식 기반 권위,대외 관계 특화,"장식 재료·장인 시간·고품질 공간을 손님·계약·통치의 공개 구역에 우선 배정한다","생산 설비·요새화·실용적 숙소·직접 보상","도난·유지보수·장식 공간 점유·전시 구역 파손","장식된 공간이 실제 손님 접수·계약·의식에서 요구 조건 또는 결과로 읽힌 기록","임시 접견실·실물 공물·계약 연기로 손상된 위신 구역을 회복한다",가능,"설계 확정; 품질·재료·공간·대외 효과는 밸런스 기준 배정; 실제 계약·파손·복구 검증 OPEN"
research:authority:quarters,기본 숙소,생활·노동·권위 공간의 충돌을 줄이는 기본 생활 구획 확보,분리 숙소 운영,인구 기반 정착,"침상·세정·보관·동선이 갖춰진 생활 구역을 작업장과 분리하고 청소·수선을 유지한다","공동 숙소·작업장 겸용 공간·인구 억제","방 부족·청소 누락·동선 혼잡·시설 전환 비용","배정된 숙소가 실제 휴식·개인 보관·생활 서비스 기록을 충족한 증거","공동 숙소·임시 침상·방 재배정으로 증축 전 과밀을 완화한다",가능,"설계 확정; 면적·생활 조건·청소·이동은 밸런스 기준 배정; 실제 배정·전환·과밀 검증 OPEN"
research:authority:ritual,의식 장식,권위 장식을 비전 의식과 외부 약속을 지탱하는 매개로 전환,의식 공간과 장식 매개,비전 권위 특화,"장식품·의식 공간·의전 노동·비전 재료를 장기 약속과 의식 일정에 집중한다","실용 권위·현물 계약·마나를 전력과 제작에 사용","의식 중단·장식 손상·재료 잠김·공개 실패의 관계 비용","의식 장식이 실제 의식·계약·비전 시설의 조건과 결과로 기록된 증거","작은 의식·현물 대체·부하 절단으로 약속 실패의 확산을 막는다",가능,"설계 확정; 장식·재료·공간·의식 위험은 밸런스 기준 배정; 실제 조건·후속 반응 검증 OPEN"
research:hospitality-operations,환대 운영,손님을 단순 방문자가 아닌 수용·배정·정리 비용이 있는 운영 대상으로 만듦,숙박 접수와 객실 서비스,외부 경제 주력,"접수대·객실·침구·세정·청소·배정 인력을 손님 흐름에 맞춰 상시 확보한다","일회성 거래·외부 숙소 유도·소수 손님만 수용","객실 부족·서비스 인력 이탈·위생 사고·기존 주민 공간 압박","손님이 실제 접수·배정·이용·정산·정리 기록을 남긴 증거","입장 제한·임시 객실·계약 연기·주민 방 우선 배정으로 과부하를 끊는다",가능,"설계 확정; 객실·서비스·위생·정산·관계 효과는 밸런스 기준 배정; 실제 손님 흐름 검증 OPEN"
research:housing:room-assignment,방 배정과 가족 생활구획,공유 공간을 가족·직책·위험에 따라 재편할 수 있는 배정 권한 확보,방 기능 재배치,조립식 공간 주력,"침상·보관·세정·작업·출입 조건을 조합해 방을 배정하고 필요할 때 실제 해체·운반·청소로 용도를 바꾼다","고정 숙소 목록·공동 생활·외부 숙소","배정 충돌·이전 노동·개인 소지품 분실·가족 공간 부족","방 조건과 배정 변경이 실제 입주·작업·서비스·이전 영수증으로 남긴 기록","공용 구역·임시 배정·단계적 이전으로 방 전환 중 생활 붕괴를 막는다",가능,"설계 확정; 방 조건·이전·청소·소지품·권한은 밸런스 기준 배정; 실제 조립·재배정 검증 OPEN"
research:society:career-records,경력 기록,직책·등급·숙련의 누적을 인물 교체와 사업 배정에 연결,역할 이력과 행정 기록,숙련 인력 특화,"기록 공간·행정 노동·역할 기준을 유지해 핵심 인력을 장기 사업과 승계 계획에 묶는다","즉시 적성 배치·외부 전문가 고용·모든 인력 범용 운용","기록 누락·행정 병목·직책 고착·숙련자 의존","경력 이력이 실제 직책 변경·계약 책임·훈련 배정에서 읽힌 기록","현장 평가·단기 계약·보조자 배치로 기록 공백을 보완한다",가능,"설계 확정; 기록 노동·숙련 효과·직책 권한·승계는 밸런스 기준 배정; 실제 이력 소비 검증 OPEN"
research:society:child-education,아동 교육과 도제 제도,미래 인력을 위한 교육을 현재 노동 손실과 교환,도제와 훈련 공간,장기 노동력 특화,"교육 공간·교사·안전 기준·도제 시간을 확보해 당장 생산 가능한 인력 일부를 장기 숙련에 배정한다","즉시 노동 투입·외부 숙련자 고용·자동화 투자","교사 부족·보호 비용·생산 공백·교육 중단","교육·도제 이력이 실제 역할 전환과 숙련 배정으로 이어진 기록","현장 보조·단기 교육·외부 고용으로 생산 공백을 완화한다",가능,"설계 확정; 교육 시간·보호·숙련 전환·생산 손실은 밸런스 기준 배정; 실제 세대 전환 검증 OPEN"
research:society:generation-management,세대 관리와 보호자 승계,보호자 상실과 세대 교체를 운영 붕괴 없이 넘김,보호자·승계 계획,회복력 특화,"가구 기록·보호 공간·후계자 훈련·인수인계 시간을 유지해 핵심 역할의 단절을 줄인다","개인 중심 운영·즉시 외부 채용·생산 축소","보호자 부재·후계 미숙·가구 분리·기록 실패","보호자 변경과 역할 승계가 실제 가구·직책·돌봄 기록으로 남긴 증거","임시 보호자·작업 재배치·외부 도움으로 승계 공백을 넘긴다",가능,"설계 확정; 돌봄·역할 승계·기록·가구 공간은 밸런스 기준 배정; 실제 이탈·회복 검증 OPEN"
research:society:household-records,가구 기록과 영아 돌봄,출생과 영아 돌봄을 생활 공간·노동·보호 책임에 연결,가구 행정과 영아 돌봄,인구 지속 특화,"가구 기록·돌봄 공간·보호자 시간·위생 물자를 확보해 출생을 운영 계획에 포함한다","인구 유입 의존·개인 단위 운영·성장 보류","돌봄 인력 부족·생활 구역 과밀·보호자 피로·기록 단절","가구와 영아 상태가 실제 돌봄·배정·보호 작업으로 갱신된 기록","공동 돌봄·임시 숙소·외부 지원·작업 경감으로 위기를 넘긴다",가능,"설계 확정; 돌봄 노동·생활 공간·위생·인구 변화는 밸런스 기준 배정; 실제 가구 연동 검증 OPEN"
research:society:retirement,은퇴와 멘토 제도,노련한 인력의 생산 감소를 지식 이전과 안정성으로 전환,은퇴·멘토 순환,지식 보존 특화,"은퇴 공간·멘토 시간·후계 배정·가벼운 역할을 마련해 경험을 다음 세대에 옮긴다","핵심 인력 계속 투입·즉시 교체·외부 전문가 의존","생산성 하락·후계자 부족·멘토 과부하·은퇴 공간 점유","멘토링과 역할 이관이 실제 숙련·직책·생활 기록에서 확인된 증거","보조 역할·단기 외부 고용·작업 우선순위 축소로 공백을 메운다",가능,"설계 확정; 은퇴·멘토 노동·숙련 이전·공간은 밸런스 기준 배정; 실제 역할 이관 검증 OPEN"
