"event_id","event_family","planned_min_response_wu","planned_standard_response_wu","planned_max_response_wu","allocation_bps","reference_effective_wu_per_day","formula_key","formula_inputs","material_craft_wu_included","runtime_work_binding","numeric_status"
"festival:ash-oath","festival","91","91","91","0","0","festival-preparation-response@1","season=3;participants=6;kg=10.8;market=108;facility=1","false","festival preparation, participation and cleanup work orders","document-final-runtime-unbound"
"festival:blood-lantern","festival","63","63","63","0","0","festival-preparation-response@1","season=2;participants=6;kg=1.6;market=128;facility=1","false","festival preparation, participation and cleanup work orders","document-final-runtime-unbound"
"festival:clear-confluence","festival","105","105","105","0","0","festival-preparation-response@1","season=1;participants=8;kg=12;market=24;facility=1","false","festival preparation, participation and cleanup work orders","document-final-runtime-unbound"
"festival:core-resonance","festival","68","68","68","0","0","festival-preparation-response@1","season=1;participants=5;kg=4.7;market=216;facility=1","false","festival preparation, participation and cleanup work orders","document-final-runtime-unbound"
"festival:dungeon-accord-day","festival","99","99","99","0","0","festival-preparation-response@1","season=2;participants=12;kg=1.35;market=174;facility=1","false","festival preparation, participation and cleanup work orders","document-final-runtime-unbound"
"festival:frontier-map-night","festival","79","79","79","0","0","festival-preparation-response@1","season=0;participants=6;kg=7.2;market=72;facility=1","false","festival preparation, participation and cleanup work orders","document-final-runtime-unbound"
"festival:high-sun","festival","82","82","82","0","0","festival-preparation-response@1","season=1;participants=8;kg=3.8;market=168;facility=1","false","festival preparation, participation and cleanup work orders","document-final-runtime-unbound"
"festival:long-night-memorial","festival","90","90","90","0","0","festival-preparation-response@1","season=3;participants=10;kg=2.4;market=192;facility=1","false","festival preparation, participation and cleanup work orders","document-final-runtime-unbound"
"festival:many-tables","festival","164","164","164","0","0","festival-preparation-response@1","season=1;participants=20;kg=7.2;market=200;facility=1","false","festival preparation, participation and cleanup work orders","document-final-runtime-unbound"
"festival:open-sky-chorus","festival","65","65","65","0","0","festival-preparation-response@1","season=0;participants=6;kg=2.5;market=30;facility=1","false","festival preparation, participation and cleanup work orders","document-final-runtime-unbound"
"festival:pack-first-hunt","festival","107","107","107","0","0","festival-preparation-response@1","season=2;participants=8;kg=12.6;market=36;facility=1","false","festival preparation, participation and cleanup work orders","document-final-runtime-unbound"
"festival:spore-bloom","festival","68","68","68","0","0","festival-preparation-response@1","season=0;participants=6;kg=3.5;market=28;facility=1","false","festival preparation, participation and cleanup work orders","document-final-runtime-unbound"
"festival:sprout","festival","71","71","71","0","0","festival-preparation-response@1","season=0;participants=8;kg=0.6;market=36;facility=1","false","festival preparation, participation and cleanup work orders","document-final-runtime-unbound"
"festival:storage","festival","107","107","107","0","0","festival-preparation-response@1","season=2;participants=10;kg=8;market=240;facility=1","false","festival preparation, participation and cleanup work orders","document-final-runtime-unbound"
"festival:tool-clan-fair","festival","71","71","71","0","0","festival-preparation-response@1","season=2;participants=6;kg=4.2;market=182;facility=1","false","festival preparation, participation and cleanup work orders","document-final-runtime-unbound"
"festival:weapon-vigil","festival","86","86","86","0","0","festival-preparation-response@1","season=3;participants=8;kg=5.4;market=84;facility=1","false","festival preparation, participation and cleanup work orders","document-final-runtime-unbound"
