"event_id","event_family","planned_min_response_wu","planned_standard_response_wu","planned_max_response_wu","allocation_bps","reference_effective_wu_per_day","formula_key","formula_inputs","material_craft_wu_included","runtime_work_binding","numeric_status"
"practice:adventurer-name-token","cultural-practice","16","16","16","0","0","cultural-practice-cycle@1","kind=4;kg=0.9;market=9;facilities=0","false","cultural practice reservation and upkeep work order","document-final-runtime-unbound"
"practice:adventurer-return-table","cultural-practice","15","15","15","0","0","cultural-practice-cycle@1","kind=0;kg=0.5;market=15;facilities=0","false","cultural practice reservation and upkeep work order","document-final-runtime-unbound"
"practice:beastkin-pack-meal","cultural-practice","16","16","16","0","0","cultural-practice-cycle@1","kind=1;kg=0.7;market=2;facilities=0","false","cultural practice reservation and upkeep work order","document-final-runtime-unbound"
"practice:beastkin-scent-vigil","cultural-practice","12","12","12","0","0","cultural-practice-cycle@1","kind=6;kg=0;market=0;facilities=0","false","cultural practice reservation and upkeep work order","document-final-runtime-unbound"
"practice:demon-oath-embers","cultural-practice","16","16","16","0","0","cultural-practice-cycle@1","kind=5;kg=0.9;market=9;facilities=0","false","cultural practice reservation and upkeep work order","document-final-runtime-unbound"
"practice:demon-third-bell","cultural-practice","12","12","12","0","0","cultural-practice-cycle@1","kind=7;kg=0;market=0;facilities=0","false","cultural practice reservation and upkeep work order","document-final-runtime-unbound"
"practice:golem-core-polish","cultural-practice","22","22","22","0","0","cultural-practice-cycle@1","kind=0;kg=2.35;market=108;facilities=0","false","cultural practice reservation and upkeep work order","document-final-runtime-unbound"
"practice:golem-memory-plaque","cultural-practice","16","16","16","0","0","cultural-practice-cycle@1","kind=6;kg=0.9;market=40;facilities=0","false","cultural practice reservation and upkeep work order","document-final-runtime-unbound"
"practice:harpy-dawn-chorus","cultural-practice","12","12","12","0","0","cultural-practice-cycle@1","kind=0;kg=0;market=0;facilities=0","false","cultural practice reservation and upkeep work order","document-final-runtime-unbound"
"practice:harpy-first-flight","cultural-practice","16","16","16","0","0","cultural-practice-cycle@1","kind=4;kg=0.9;market=7;facilities=0","false","cultural practice reservation and upkeep work order","document-final-runtime-unbound"
"practice:kobold-bench-feast","cultural-practice","12","12","12","0","0","cultural-practice-cycle@1","kind=7;kg=0;market=0;facilities=0","false","cultural practice reservation and upkeep work order","document-final-runtime-unbound"
"practice:kobold-tool-naming","cultural-practice","16","16","16","0","0","cultural-practice-cycle@1","kind=4;kg=0.9;market=40;facilities=0","false","cultural practice reservation and upkeep work order","document-final-runtime-unbound"
"practice:myconid-shared-mist","cultural-practice","15","15","15","0","0","cultural-practice-cycle@1","kind=0;kg=0.5;market=1;facilities=0","false","cultural practice reservation and upkeep work order","document-final-runtime-unbound"
"practice:myconid-spore-return","cultural-practice","12","12","12","0","0","cultural-practice-cycle@1","kind=6;kg=0;market=0;facilities=0","false","cultural practice reservation and upkeep work order","document-final-runtime-unbound"
"practice:orc-shared-cauldron","cultural-practice","16","16","16","0","0","cultural-practice-cycle@1","kind=1;kg=0.8;market=13;facilities=0","false","cultural practice reservation and upkeep work order","document-final-runtime-unbound"
"practice:orc-weapon-vigil","cultural-practice","15","15","15","0","0","cultural-practice-cycle@1","kind=6;kg=0.45;market=7;facilities=0","false","cultural practice reservation and upkeep work order","document-final-runtime-unbound"
"practice:slime-clear-water","cultural-practice","15","15","15","0","0","cultural-practice-cycle@1","kind=3;kg=0.5;market=1;facilities=0","false","cultural practice reservation and upkeep work order","document-final-runtime-unbound"
"practice:slime-core-ring","cultural-practice","21","21","21","0","0","cultural-practice-cycle@1","kind=4;kg=2.35;market=52;facilities=0","false","cultural practice reservation and upkeep work order","document-final-runtime-unbound"
"practice:vampire-consent-cup","cultural-practice","12","12","12","0","0","cultural-practice-cycle@1","kind=1;kg=0;market=0;facilities=0","false","cultural practice reservation and upkeep work order","document-final-runtime-unbound"
"practice:vampire-incense-memory","cultural-practice","12","12","12","0","0","cultural-practice-cycle@1","kind=6;kg=0;market=0;facilities=0","false","cultural practice reservation and upkeep work order","document-final-runtime-unbound"
