group,content_type,record_key,stable_id,display_name,description,mechanics,relations,existence_reason,reason_basis,review_status,review_reason,lifecycle_status,catalog_memberships,runtime_status,runtime_evidence,save_evidence,incoming_reference_count,incoming_source_types,system_role,strategic_niche,costs_and_risks,comparison_group,alternative_candidates,removal_impact,rationale_evidence,source_path,asset_guid,authored__authoringRevision,authored__baseInfectionProbability,authored__baseSeverity,authored__chronic,authored__contagiousDays,authored__description,authored__displayName,authored__fieldResponseIds,authored__fieldResponseIds__count,authored__incubationDays,authored__m_Name,authored__routes,authored__routes__enum,authored__routes__label,authored__routes__origin,authored__sourceNote,authored__stableId,authored__symptomProfileId,authored__targetSystem,authored__targetSystem__enum,authored__targetSystem__label,authored__targetSystem__origin,authored__vaccineAllowed
combat-health-world,DiseaseDefinitionSO,DiseaseDefinitionSO|condition:core-corrosion,condition:core-corrosion,핵 부식,핵 부식의 고유 전파와 기관 증상.,baseSeverity 60,references:response:environment:condition:core-corrosion; references:response:isolate:condition:core-corrosion,작성 목적은 '핵 부식의 고유 전파와 기관 증상'이다. 게임 규칙은 baseSeverity 60로 구성된다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/PopulationHealthRuntime.cs; Assets/Scripts/Services/Run/V20CampaignRuntime.cs; Assets/Scripts/Views/UI/CharacterSummaryPopulationPresenter.cs,Assets/Scripts/Services/Character/PopulationHealthRuntime.cs; Assets/Scripts/Services/Run/V20CampaignRuntime.cs,0,,작성 목적은 '핵 부식의 고유 전파와 기관 증상'이다. 게임 규칙은 baseSeverity 60로 구성된다.,전투·건강·세계 영역의 DiseaseDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,DiseaseDefinitionSO,"비교 후보(대체 가능성 미검증): DiseaseDefinitionSO:disease:blood-wasting, DiseaseDefinitionSO:disease:cave-flu, DiseaseDefinitionSO:disease:gut-rot, DiseaseDefinitionSO:disease:mana-pox, DiseaseDefinitionSO:disease:red-fever, DiseaseDefinitionSO:disease:slime-blight, DiseaseDefinitionSO:disease:spore-lung, DiseaseDefinitionSO:disease:ash-lung, DiseaseDefinitionSO:disease:deep-parasitosis, DiseaseDefinitionSO:disease:dream-mold, DiseaseDefinitionSO:disease:ember-fever, DiseaseDefinitionSO:disease:glass-blood 외 3개",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/Population/Diseases/Disease_condition-core-corrosion.asset,bb520f79ed1a0754c94f153e46b43cee,1,0,60,1,0,핵 부식의 고유 전파와 기관 증상.,핵 부식,"[""response:isolate:condition:core-corrosion"",""response:environment:condition:core-corrosion""]",2,0,Disease_condition-core-corrosion,128,DiseaseTransmissionRoute,Environment,explicit-serialized,V19 disease upgraded to V20 symptom/response contract.,condition:core-corrosion,symptom:condition:core-corrosion,0,DiseaseTargetSystem,Core,explicit-serialized,0
combat-health-world,DiseaseDefinitionSO,DiseaseDefinitionSO|disease:ash-lung,disease:ash-lung,재먼지폐,재와 금속 분진이 폐에 쌓여 호흡과 장시간 작업을 무너뜨린다.,baseSeverity 52,references:response:respirator; references:response:wet-cleaning,작성 목적은 '재와 금속 분진이 폐에 쌓여 호흡과 장시간 작업을 무너뜨린다'이다. 다른 콘텐츠 2개가 이 정의를 참조한다. 게임 규칙은 baseSeverity 52로 구성된다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/PopulationHealthRuntime.cs; Assets/Scripts/Services/Run/V20CampaignRuntime.cs,Assets/Scripts/Services/Character/PopulationHealthRuntime.cs; Assets/Scripts/Services/Run/V20CampaignRuntime.cs,2,SeasonalWorldEventDefinitionSO; WildlifeSpeciesSO,작성 목적은 '재와 금속 분진이 폐에 쌓여 호흡과 장시간 작업을 무너뜨린다'이다. 다른 콘텐츠 2개가 이 정의를 참조한다. 게임 규칙은 baseSeverity 52로 구성된다.,전투·건강·세계 영역의 DiseaseDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,DiseaseDefinitionSO,"비교 후보(대체 가능성 미검증): DiseaseDefinitionSO:condition:core-corrosion, DiseaseDefinitionSO:disease:blood-wasting, DiseaseDefinitionSO:disease:cave-flu, DiseaseDefinitionSO:disease:gut-rot, DiseaseDefinitionSO:disease:mana-pox, DiseaseDefinitionSO:disease:red-fever, DiseaseDefinitionSO:disease:slime-blight, DiseaseDefinitionSO:disease:spore-lung, DiseaseDefinitionSO:disease:deep-parasitosis, DiseaseDefinitionSO:disease:dream-mold, DiseaseDefinitionSO:disease:ember-fever, DiseaseDefinitionSO:disease:glass-blood 외 3개","직접 참조 2건에 영향: SeasonalWorldEventDefinitionSO:seasonal:summer-smoke-valley, WildlifeSpeciesSO:ash_crawler",description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V20/Ecology/Diseases/disease_ash-lung.asset,ff5fb841870d5144d9da888bc7085d08,1,0.09,52,0,14,재와 금속 분진이 폐에 쌓여 호흡과 장시간 작업을 무너뜨린다.,재먼지폐,"[""response:respirator"",""response:wet-cleaning""]",2,4,disease_ash-lung,1,DiseaseTransmissionRoute,Air,explicit-serialized,V20 hand-authored disease.,disease:ash-lung,symptom:progressive-breathlessness,2,DiseaseTargetSystem,Breathing,explicit-serialized,1
combat-health-world,DiseaseDefinitionSO,DiseaseDefinitionSO|disease:blood-wasting,disease:blood-wasting,혈액소모병,혈액소모병의 고유 전파와 기관 증상.,baseSeverity 70,references:response:isolate:disease:blood-wasting; references:response:vaccine:disease:blood-wasting,작성 목적은 '혈액소모병의 고유 전파와 기관 증상'이다. 다른 콘텐츠 1개가 이 정의를 참조한다. 게임 규칙은 baseSeverity 70로 구성된다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/PopulationHealthRuntime.cs; Assets/Scripts/Services/Run/V20CampaignRuntime.cs,Assets/Scripts/Services/Character/PopulationHealthRuntime.cs; Assets/Scripts/Services/Run/V20CampaignRuntime.cs,1,WildlifeSpeciesSO,작성 목적은 '혈액소모병의 고유 전파와 기관 증상'이다. 다른 콘텐츠 1개가 이 정의를 참조한다. 게임 규칙은 baseSeverity 70로 구성된다.,전투·건강·세계 영역의 DiseaseDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,DiseaseDefinitionSO,"비교 후보(대체 가능성 미검증): DiseaseDefinitionSO:condition:core-corrosion, DiseaseDefinitionSO:disease:cave-flu, DiseaseDefinitionSO:disease:gut-rot, DiseaseDefinitionSO:disease:mana-pox, DiseaseDefinitionSO:disease:red-fever, DiseaseDefinitionSO:disease:slime-blight, DiseaseDefinitionSO:disease:spore-lung, DiseaseDefinitionSO:disease:ash-lung, DiseaseDefinitionSO:disease:deep-parasitosis, DiseaseDefinitionSO:disease:dream-mold, DiseaseDefinitionSO:disease:ember-fever, DiseaseDefinitionSO:disease:glass-blood 외 3개",직접 참조 1건에 영향: WildlifeSpeciesSO:mire_leech,description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/Population/Diseases/Disease_disease-blood-wasting.asset,9a8cde9744dc92d4b93dcb5e730e27c9,1,0.2,70,0,20,혈액소모병의 고유 전파와 기관 증상.,혈액소모병,"[""response:isolate:disease:blood-wasting"",""response:vaccine:disease:blood-wasting""]",2,7,Disease_disease-blood-wasting,4,DiseaseTransmissionRoute,Blood,explicit-serialized,V19 disease upgraded to V20 symptom/response contract.,disease:blood-wasting,symptom:blood-wasting,4,DiseaseTargetSystem,Filtration,explicit-serialized,1
combat-health-world,DiseaseDefinitionSO,DiseaseDefinitionSO|disease:cave-flu,disease:cave-flu,동굴 독감,동굴 독감의 고유 전파와 기관 증상.,baseSeverity 25,references:response:isolate:disease:cave-flu; references:response:vaccine:disease:cave-flu,작성 목적은 '동굴 독감의 고유 전파와 기관 증상'이다. 다른 콘텐츠 7개가 이 정의를 참조한다. 게임 규칙은 baseSeverity 25로 구성된다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/PopulationHealthRuntime.cs; Assets/Scripts/Services/Run/V20CampaignRuntime.cs,Assets/Scripts/Services/Character/PopulationHealthRuntime.cs; Assets/Scripts/Services/Run/V20CampaignRuntime.cs,7,SeasonalWorldEventDefinitionSO; WildlifeSpeciesSO,작성 목적은 '동굴 독감의 고유 전파와 기관 증상'이다. 다른 콘텐츠 7개가 이 정의를 참조한다. 게임 규칙은 baseSeverity 25로 구성된다.,전투·건강·세계 영역의 DiseaseDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,DiseaseDefinitionSO,"비교 후보(대체 가능성 미검증): DiseaseDefinitionSO:condition:core-corrosion, DiseaseDefinitionSO:disease:blood-wasting, DiseaseDefinitionSO:disease:gut-rot, DiseaseDefinitionSO:disease:mana-pox, DiseaseDefinitionSO:disease:red-fever, DiseaseDefinitionSO:disease:slime-blight, DiseaseDefinitionSO:disease:spore-lung, DiseaseDefinitionSO:disease:ash-lung, DiseaseDefinitionSO:disease:deep-parasitosis, DiseaseDefinitionSO:disease:dream-mold, DiseaseDefinitionSO:disease:ember-fever, DiseaseDefinitionSO:disease:glass-blood 외 3개","직접 참조 7건에 영향: SeasonalWorldEventDefinitionSO:seasonal:winter-cave-flu-wave, WildlifeSpeciesSO:cave_rat, WildlifeSpeciesSO:frost_ram, WildlifeSpeciesSO:moss_boar, WildlifeSpeciesSO:rune_deer, WildlifeSpeciesSO:shadow_hare, WildlifeSpeciesSO:shadow_wolf",description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/Population/Diseases/Disease_disease-cave-flu.asset,59426d4bff5744f4d9789374dbe614dc,1,0.18,25,0,6,동굴 독감의 고유 전파와 기관 증상.,동굴 독감,"[""response:isolate:disease:cave-flu"",""response:vaccine:disease:cave-flu""]",2,2,Disease_disease-cave-flu,1,DiseaseTransmissionRoute,Air,explicit-serialized,V19 disease upgraded to V20 symptom/response contract.,disease:cave-flu,symptom:cave-flu,2,DiseaseTargetSystem,Breathing,explicit-serialized,1
combat-health-world,DiseaseDefinitionSO,DiseaseDefinitionSO|disease:deep-parasitosis,disease:deep-parasitosis,심층 기생충증,오염된 고기와 물의 기생충이 영양을 빼앗고 빈혈을 만든다.,baseSeverity 48,references:response:antiparasitic; references:response:boil-water,작성 목적은 '오염된 고기와 물의 기생충이 영양을 빼앗고 빈혈을 만든다'이다. 다른 콘텐츠 2개가 이 정의를 참조한다. 게임 규칙은 baseSeverity 48로 구성된다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/PopulationHealthRuntime.cs; Assets/Scripts/Services/Run/V20CampaignRuntime.cs,Assets/Scripts/Services/Character/PopulationHealthRuntime.cs; Assets/Scripts/Services/Run/V20CampaignRuntime.cs,2,WildlifeSpeciesSO,작성 목적은 '오염된 고기와 물의 기생충이 영양을 빼앗고 빈혈을 만든다'이다. 다른 콘텐츠 2개가 이 정의를 참조한다. 게임 규칙은 baseSeverity 48로 구성된다.,전투·건강·세계 영역의 DiseaseDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,DiseaseDefinitionSO,"비교 후보(대체 가능성 미검증): DiseaseDefinitionSO:condition:core-corrosion, DiseaseDefinitionSO:disease:blood-wasting, DiseaseDefinitionSO:disease:cave-flu, DiseaseDefinitionSO:disease:gut-rot, DiseaseDefinitionSO:disease:mana-pox, DiseaseDefinitionSO:disease:red-fever, DiseaseDefinitionSO:disease:slime-blight, DiseaseDefinitionSO:disease:spore-lung, DiseaseDefinitionSO:disease:ash-lung, DiseaseDefinitionSO:disease:dream-mold, DiseaseDefinitionSO:disease:ember-fever, DiseaseDefinitionSO:disease:glass-blood 외 3개","직접 참조 2건에 영향: WildlifeSpeciesSO:deep_goat, WildlifeSpeciesSO:tunnel_mole",description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V20/Ecology/Diseases/disease_deep-parasitosis.asset,a923162f95e06d347a08020dc34294b9,1,0.18,48,0,12,오염된 고기와 물의 기생충이 영양을 빼앗고 빈혈을 만든다.,심층 기생충증,"[""response:boil-water"",""response:antiparasitic""]",2,3,disease_deep-parasitosis,24,DiseaseTransmissionRoute,Food | Water,explicit-serialized,V20 hand-authored disease.,disease:deep-parasitosis,symptom:wasting-anemia,3,DiseaseTargetSystem,Digestion,explicit-serialized,1
combat-health-world,DiseaseDefinitionSO,DiseaseDefinitionSO|disease:dream-mold,disease:dream-mold,꿈곰팡이증,수면 중 포자성 환각을 공유하게 만들어 집단 판단을 흐린다.,baseSeverity 57,references:response:dreamless-sedative; references:response:spore-filter,작성 목적은 '수면 중 포자성 환각을 공유하게 만들어 집단 판단을 흐린다'이다. 다른 콘텐츠 1개가 이 정의를 참조한다. 게임 규칙은 baseSeverity 57로 구성된다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/PopulationHealthRuntime.cs; Assets/Scripts/Services/Run/V20CampaignRuntime.cs,Assets/Scripts/Services/Character/PopulationHealthRuntime.cs; Assets/Scripts/Services/Run/V20CampaignRuntime.cs,1,WildlifeSpeciesSO,작성 목적은 '수면 중 포자성 환각을 공유하게 만들어 집단 판단을 흐린다'이다. 다른 콘텐츠 1개가 이 정의를 참조한다. 게임 규칙은 baseSeverity 57로 구성된다.,전투·건강·세계 영역의 DiseaseDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,DiseaseDefinitionSO,"비교 후보(대체 가능성 미검증): DiseaseDefinitionSO:condition:core-corrosion, DiseaseDefinitionSO:disease:blood-wasting, DiseaseDefinitionSO:disease:cave-flu, DiseaseDefinitionSO:disease:gut-rot, DiseaseDefinitionSO:disease:mana-pox, DiseaseDefinitionSO:disease:red-fever, DiseaseDefinitionSO:disease:slime-blight, DiseaseDefinitionSO:disease:spore-lung, DiseaseDefinitionSO:disease:ash-lung, DiseaseDefinitionSO:disease:deep-parasitosis, DiseaseDefinitionSO:disease:ember-fever, DiseaseDefinitionSO:disease:glass-blood 외 3개",직접 참조 1건에 영향: WildlifeSpeciesSO:silk_spider,description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V20/Ecology/Diseases/disease_dream-mold.asset,cf743c15772de004eac92346a429e5f3,1,0.08,57,0,20,수면 중 포자성 환각을 공유하게 만들어 집단 판단을 흐린다.,꿈곰팡이증,"[""response:dreamless-sedative"",""response:spore-filter""]",2,7,disease_dream-mold,1,DiseaseTransmissionRoute,Air,explicit-serialized,V20 hand-authored disease.,disease:dream-mold,symptom:shared-dream-delirium,1,DiseaseTargetSystem,Consciousness,explicit-serialized,1
combat-health-world,DiseaseDefinitionSO,DiseaseDefinitionSO|disease:ember-fever,disease:ember-fever,잿불열,고열과 열 환각을 일으키며 뜨거운 환기구 주변에서 확산된다.,baseSeverity 64,references:response:cooling-bed; references:response:vent-seal,작성 목적은 '고열과 열 환각을 일으키며 뜨거운 환기구 주변에서 확산된다'이다. 다른 콘텐츠 1개가 이 정의를 참조한다. 게임 규칙은 baseSeverity 64로 구성된다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/PopulationHealthRuntime.cs; Assets/Scripts/Services/Run/V20CampaignRuntime.cs,Assets/Scripts/Services/Character/PopulationHealthRuntime.cs; Assets/Scripts/Services/Run/V20CampaignRuntime.cs,1,WildlifeSpeciesSO,작성 목적은 '고열과 열 환각을 일으키며 뜨거운 환기구 주변에서 확산된다'이다. 다른 콘텐츠 1개가 이 정의를 참조한다. 게임 규칙은 baseSeverity 64로 구성된다.,전투·건강·세계 영역의 DiseaseDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,DiseaseDefinitionSO,"비교 후보(대체 가능성 미검증): DiseaseDefinitionSO:condition:core-corrosion, DiseaseDefinitionSO:disease:blood-wasting, DiseaseDefinitionSO:disease:cave-flu, DiseaseDefinitionSO:disease:gut-rot, DiseaseDefinitionSO:disease:mana-pox, DiseaseDefinitionSO:disease:red-fever, DiseaseDefinitionSO:disease:slime-blight, DiseaseDefinitionSO:disease:spore-lung, DiseaseDefinitionSO:disease:ash-lung, DiseaseDefinitionSO:disease:deep-parasitosis, DiseaseDefinitionSO:disease:dream-mold, DiseaseDefinitionSO:disease:glass-blood 외 3개",직접 참조 1건에 영향: WildlifeSpeciesSO:ember_lizard,description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V20/Ecology/Diseases/disease_ember-fever.asset,1b328105d1b4ba84aa1f8c6df05dbd4c,1,0.16,64,0,8,고열과 열 환각을 일으키며 뜨거운 환기구 주변에서 확산된다.,잿불열,"[""response:cooling-bed"",""response:vent-seal""]",2,2,disease_ember-fever,65,DiseaseTransmissionRoute,Air | Contact,explicit-serialized,V20 hand-authored disease.,disease:ember-fever,symptom:heat-hallucination,1,DiseaseTargetSystem,Consciousness,explicit-serialized,1
combat-health-world,DiseaseDefinitionSO,DiseaseDefinitionSO|disease:glass-blood,disease:glass-blood,유리혈증,마나 결정 미립자가 혈액에 결정화되어 출혈과 비전 폭주를 일으킨다.,baseSeverity 68,references:response:blood-filtration; references:response:mana-shield,작성 목적은 '마나 결정 미립자가 혈액에 결정화되어 출혈과 비전 폭주를 일으킨다'이다. 다른 콘텐츠 1개가 이 정의를 참조한다. 게임 규칙은 baseSeverity 68로 구성된다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/PopulationHealthRuntime.cs; Assets/Scripts/Services/Run/V20CampaignRuntime.cs,Assets/Scripts/Services/Character/PopulationHealthRuntime.cs; Assets/Scripts/Services/Run/V20CampaignRuntime.cs,1,WildlifeSpeciesSO,작성 목적은 '마나 결정 미립자가 혈액에 결정화되어 출혈과 비전 폭주를 일으킨다'이다. 다른 콘텐츠 1개가 이 정의를 참조한다. 게임 규칙은 baseSeverity 68로 구성된다.,전투·건강·세계 영역의 DiseaseDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,DiseaseDefinitionSO,"비교 후보(대체 가능성 미검증): DiseaseDefinitionSO:condition:core-corrosion, DiseaseDefinitionSO:disease:blood-wasting, DiseaseDefinitionSO:disease:cave-flu, DiseaseDefinitionSO:disease:gut-rot, DiseaseDefinitionSO:disease:mana-pox, DiseaseDefinitionSO:disease:red-fever, DiseaseDefinitionSO:disease:slime-blight, DiseaseDefinitionSO:disease:spore-lung, DiseaseDefinitionSO:disease:ash-lung, DiseaseDefinitionSO:disease:deep-parasitosis, DiseaseDefinitionSO:disease:dream-mold, DiseaseDefinitionSO:disease:ember-fever 외 3개",직접 참조 1건에 영향: WildlifeSpeciesSO:crystal_beetle,description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V20/Ecology/Diseases/disease_glass-blood.asset,642d2d39b3698f94f9e30512b055db2c,1,0.07,68,0,18,마나 결정 미립자가 혈액에 결정화되어 출혈과 비전 폭주를 일으킨다.,유리혈증,"[""response:mana-shield"",""response:blood-filtration""]",2,6,disease_glass-blood,32,DiseaseTransmissionRoute,Mana Exposure,explicit-serialized,V20 hand-authored disease.,disease:glass-blood,symptom:crystal-clotting,4,DiseaseTargetSystem,Filtration,explicit-serialized,1
combat-health-world,DiseaseDefinitionSO,DiseaseDefinitionSO|disease:green-swarm,disease:green-swarm,녹무리 감염,미세 곤충 군체가 상처와 털에 붙어 접촉자와 축사를 오간다.,baseSeverity 46,references:response:hot-wash; references:response:pest-lure,작성 목적은 '미세 곤충 군체가 상처와 털에 붙어 접촉자와 축사를 오간다'이다. 게임 규칙은 baseSeverity 46로 구성된다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/PopulationHealthRuntime.cs; Assets/Scripts/Services/Run/V20CampaignRuntime.cs,Assets/Scripts/Services/Character/PopulationHealthRuntime.cs; Assets/Scripts/Services/Run/V20CampaignRuntime.cs,0,,작성 목적은 '미세 곤충 군체가 상처와 털에 붙어 접촉자와 축사를 오간다'이다. 게임 규칙은 baseSeverity 46로 구성된다.,전투·건강·세계 영역의 DiseaseDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,DiseaseDefinitionSO,"비교 후보(대체 가능성 미검증): DiseaseDefinitionSO:condition:core-corrosion, DiseaseDefinitionSO:disease:blood-wasting, DiseaseDefinitionSO:disease:cave-flu, DiseaseDefinitionSO:disease:gut-rot, DiseaseDefinitionSO:disease:mana-pox, DiseaseDefinitionSO:disease:red-fever, DiseaseDefinitionSO:disease:slime-blight, DiseaseDefinitionSO:disease:spore-lung, DiseaseDefinitionSO:disease:ash-lung, DiseaseDefinitionSO:disease:deep-parasitosis, DiseaseDefinitionSO:disease:dream-mold, DiseaseDefinitionSO:disease:ember-fever 외 3개",정적 콘텐츠 역참조는 확인되지 않음; 런타임 직접 조회와 설계상 공백은 별도 검증 필요,description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/V20/Ecology/Diseases/disease_green-swarm.asset,0ef32cd344b58c64ebb3a4047dfdfe22,1,0.2,46,0,9,미세 곤충 군체가 상처와 털에 붙어 접촉자와 축사를 오간다.,녹무리 감염,"[""response:hot-wash"",""response:pest-lure""]",2,2,disease_green-swarm,64,DiseaseTransmissionRoute,Contact,explicit-serialized,V20 hand-authored disease.,disease:green-swarm,symptom:moving-green-rash,4,DiseaseTargetSystem,Filtration,explicit-serialized,1
combat-health-world,DiseaseDefinitionSO,DiseaseDefinitionSO|disease:gut-rot,disease:gut-rot,장부패증,장부패증의 고유 전파와 기관 증상.,baseSeverity 45,references:response:isolate:disease:gut-rot; references:response:vaccine:disease:gut-rot,작성 목적은 '장부패증의 고유 전파와 기관 증상'이다. 다른 콘텐츠 2개가 이 정의를 참조한다. 게임 규칙은 baseSeverity 45로 구성된다.,description-and-relations,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Services/Character/PopulationHealthRuntime.cs; Assets/Scripts/Services/Run/V20CampaignRuntime.cs,Assets/Scripts/Services/Character/PopulationHealthRuntime.cs; Assets/Scripts/Services/Run/V20CampaignRuntime.cs,2,SeasonalWorldEventDefinitionSO; WildlifeSpeciesSO,작성 목적은 '장부패증의 고유 전파와 기관 증상'이다. 다른 콘텐츠 2개가 이 정의를 참조한다. 게임 규칙은 baseSeverity 45로 구성된다.,전투·건강·세계 영역의 DiseaseDefinitionSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,DiseaseDefinitionSO,"비교 후보(대체 가능성 미검증): DiseaseDefinitionSO:condition:core-corrosion, DiseaseDefinitionSO:disease:blood-wasting, DiseaseDefinitionSO:disease:cave-flu, DiseaseDefinitionSO:disease:mana-pox, DiseaseDefinitionSO:disease:red-fever, DiseaseDefinitionSO:disease:slime-blight, DiseaseDefinitionSO:disease:spore-lung, DiseaseDefinitionSO:disease:ash-lung, DiseaseDefinitionSO:disease:deep-parasitosis, DiseaseDefinitionSO:disease:dream-mold, DiseaseDefinitionSO:disease:ember-fever, DiseaseDefinitionSO:disease:glass-blood 외 3개","직접 참조 2건에 영향: SeasonalWorldEventDefinitionSO:seasonal:autumn-rot-cart, WildlifeSpeciesSO:carrion_drake",description-and-relations; niche=type-contract; cost=type-contract,Assets/Resources/SO/Population/Diseases/Disease_disease-gut-rot.asset,9665c6e01e2d9e24e84c0feab2ccebb4,1,0.25,45,0,5,장부패증의 고유 전파와 기관 증상.,장부패증,"[""response:isolate:disease:gut-rot"",""response:vaccine:disease:gut-rot""]",2,1,Disease_disease-gut-rot,24,DiseaseTransmissionRoute,Food | Water,explicit-serialized,V19 disease upgraded to V20 symptom/response contract.,disease:gut-rot,symptom:gut-rot,3,DiseaseTargetSystem,Digestion,explicit-serialized,1
