design_area,content_type,definition_count,source_of_fact,required_design_contract,current_authored_coverage,next_record,status
research,ResearchProjectSO,180,docs/content-db/csv/research-effects/research-project.csv,"문제 영역·해법 계열·포트폴리오 역할·지연되는 대안·압력 사건·가동 영수증·생략 가능성",180 / 180 rows,research portfolio coverage,전수 설계 완료; 구현·수치 검증 OPEN
research,ResearchUnlockBundleDefinitionSO,180,docs/content-db/csv/research-effects/research-unlock-bundle.csv,"연구 완료가 여는 실제 시설·아이템·조합식·가동 조건과 잠긴 대안의 지연",180 / 180 rows,research unlock coverage,전수 설계 완료; BuildingSO 결속·보상 표시·실행·저장·수치 검증 OPEN
facilities,BuildingSO,419,docs/content-db/csv/production-facilities/building.csv,"시설 기능·공간 결속·기반망·처리량·고장 방식·용도 전환·동시대 대체재",419 / 419 authority classification; 325 / 325 player-facing functional contracts,building portfolio coverage,전수 기능·전환 설계 완료; BOM·처리량·저장·수치 검증 OPEN
facilities,FacilityBlueprintSO,7,docs/content-db/csv/production-facilities/facility-blueprint.csv,"방 인정 조건·필수와 선택 모듈·실제 사용 영수증·다른 용도로의 전환 비용",7 / 7 rows,facility blueprint coverage,전수 설계 완료; runtime·저장·수치 검증 OPEN
facilities,FacilitySynthesisRecipeSO,9,docs/content-db/csv/production-facilities/facility-synthesis-recipe.csv,"조립 결과·소모 모듈·설치 노동·새 기능·해체와 재조립의 손실",9 / 9 rows,facility synthesis coverage,전수 설계 완료; runtime·저장·수치 검증 OPEN
facilities,FacilityEvolutionRecipeSO,6,docs/content-db/csv/production-facilities/facility-evolution-recipe.csv,"사용 이력·진화 조건·변한 운영 규칙·역사 흔적·전환 뒤 남는 비용",6 / 6 rows,facility evolution coverage,전수 설계 완료; runtime·저장·수치 검증 OPEN
production,ProductionRecipeSO,355,docs/content-db/csv/production-facilities/production-recipe.csv,"입출력·BOM·작업·용량·하류 소비처·과잉 생산 위험·대체 조달·순환 검사",355 / 355 rows,production recipe coverage,전수 설계 완료; BOM·처리량·저장·수치 검증 OPEN
items,GenericItemDefinitionSO,710,docs/content-db/csv/items/generic-item.csv,"사용·소비·보관·운반·제작·거래·사건 연결 중 최소 한 실제 역할과 대체재",710 / 710 rows,generic item role coverage,전수 설계 완료; kg·가격·효과·저장·수치 검증 OPEN
items,ResourceItemDefinitionSO,364,docs/content-db/csv/items/resource-item.csv,"물리 생산지·가공 경로·소비처·kg·보관·부패·대체 재료·순환 손실",364 / 364 rows,resource item role coverage,전수 설계 완료; kg·가격·부패·저장·수치 검증 OPEN
items,ApparelDefinitionSO,56,docs/content-db/csv/production-facilities/apparel.csv,"환경·직무·문화 역할·재료·내구·세탁·대체 의복·품질과 수리",56 / 56 rows,apparel role coverage,전수 설계 완료; 장착·점유·효과·세탁·수리·저장 검증 OPEN
items,EnvironmentalWorkwearSO,4,docs/content-db/csv/production-facilities/environmental-workwear.csv,"환경 압력·보호 범위·착용 노동 손실·비상 대체재·소재와 정비",4 / 4 rows,environmental workwear coverage,전수 설계 완료; 보호·착용·내구·저장 검증 OPEN
items,EquipmentModuleDefinitionSO,20,docs/content-db/csv/production-facilities/equipment-module.csv,"장비 조합 역할·장착 기회비용·상성·정비·해체·무기력 조합 방지",20 / 20 rows,equipment module coverage,전수 설계 완료; effects·slot·grade·BOM·정비·저장 구현 OPEN
combat-items,CombatWeaponSO,31,docs/content-db/csv/combat-health-world/combat-weapon.csv,"조우 상성·재료·탄약·내구·숙련·대응 장비·원정 보급",31 / 31 rows,weapon role coverage,전수 설계 완료; effects·명중·피해·탄약·수리·저장·수치 검증 OPEN
combat-items,CombatArmorSO,21,docs/content-db/csv/combat-health-world/combat-armor.csv,"피해 유형·신체 부위·재료·환경·수리·기동 손실·대응 장비",21 / 21 rows,armor role coverage,전수 설계 완료; effects·피해 판정·레이어·수리·저장·수치 검증 OPEN
combat-items,CombatShieldSO,9,docs/content-db/csv/combat-health-world/combat-shield.csv,"정면 방어·형태·내구·기동과 양손 장비의 교환·조우 상성",9 / 9 rows,shield role coverage,전수 설계 완료; effects·차단 판정·피해·손 충돌·수리·저장·수치 검증 OPEN
life,CharacterTraitSO,113,docs/content-db/csv/characters-traits/character-trait.csv,"운영 강점·실제 비용·종족 적합성·사건 조건·공용 효과 소비자·중첩 제한",113 / 113 rows,trait role coverage,전수 설계 완료; 선택·비양립·효과·사건·저장·수치 실행 검증 OPEN
life,CharacterSpeciesSO,10,docs/content-db/csv/characters-traits/character-species.csv,"두 강점·운영 비용·환경·직무·문화·인구 전략·사건과 회복",10 / 10 rows,species strategy coverage,전수 설계 완료; needs·환경·작업·사건·관계·저장·수치 실행 검증 OPEN
life,SpeciesCultureDefinitionSO,10,docs/content-db/csv/characters-traits/species-culture.csv,"음식·공간·관습·시설 선호·금기·동화 비용·계약과 사건 영향",10 / 10 rows,species culture coverage,전수 설계 완료; 동화·의례·금기·방 선호·관계·저장·수치 실행 검증 OPEN
events,LifeEventDefinitionSO,32,docs/content-db/csv/events-campaign/life-event.csv,"원인 증거·고정 대상·선택별 실제 행동·기한·결과 영수증·계보 흔적·후속 반응",32 / 32 rows,life event coverage,전수 설계 완료; runtime·저장·수치 검증 OPEN
events,ServiceIncidentDefinitionSO,8,docs/content-db/csv/events-campaign/service-incident.csv,"서비스 원인·세 가지 다른 대응·작업·비용 인계·복구·평판과 세력 후속",8 / 8 rows,service incident coverage,전수 설계 완료; runtime·저장·수치 검증 OPEN
events,SeasonalWorldEventDefinitionSO,28,docs/content-db/csv/events-campaign/seasonal-world-event.csv,"기후 원인·두 영향 도메인·활용 또는 복구 경로·잔여 상태·다음 계절 압력",28 / 28 rows,seasonal event coverage,전수 설계 완료; runtime·저장·수치 검증 OPEN
events,FactionContractDefinitionSO,18,docs/content-db/csv/events-campaign/faction-contract.csv,"계약 조건·실물 화물 또는 행동·기한·의무·성공과 실패 영수증·세력 상태 변화",18 / 18 rows,faction contract coverage,전수 설계 완료; runtime·저장·수치 검증 OPEN
events,FactionChapterDefinitionSO,36,docs/content-db/csv/events-campaign/faction-chapter.csv,"세력 상태 변화·교차 세력·장기 선택 분기·계약과 침입 후보 변화",36 / 36 rows,faction chapter coverage,전수 설계 완료; runtime·저장·수치 검증 OPEN
events,GuestRequestDefinitionSO,14,docs/content-db/csv/events-campaign/guest-request.csv,"요청 조건·실제 서비스·대기·품질·문화 적합성·이행 결과·다음 방문 변화",14 / 14 rows,guest request coverage,전수 설계 완료; runtime·저장·수치 검증 OPEN
events,FestivalDefinitionSO,20,docs/content-db/csv/characters-traits/festival.csv,"준비·참여·진행·결산·문화 회수·사고·관계와 세력 후속",16 / 16 unique stable IDs; 4 legacy duplicate assets reconciled,festival coverage,전수 설계 완료; legacy asset 정리·runtime·저장·수치 검증 OPEN
events,CulturalPracticeDefinitionSO,20,docs/content-db/csv/events-campaign/cultural-practice.csv,"생활 물자·시설·시간·참여·문화 비용·갈등과 통합의 후속 상태",20 / 20 rows,cultural practice coverage,전수 설계 완료; runtime·저장·수치 검증 OPEN
context,ClimateZoneDefinitionSO,5,docs/content-db/csv/events-campaign/climate-zone.csv,"기후 압력·유리한 주력·불리한 주력·비축·시설과 의복·계절 사건의 연결",5 / 5 rows,climate profile coverage,전수 설계 완료; 온도·계절·시설·작업복·작물·사건·수치 실행 검증 OPEN
context,DungeonFactionDefinitionSO,12,docs/content-db/csv/events-campaign/dungeon-faction.csv,"공급·안보·결속·의무·경쟁 세력·계약·지원·보복·전략별 관계 변화",6 / 6 unique stable IDs; 12 source assets reconciled,faction strategy coverage,전수 설계 완료; 중복 자산 정리·runtime catalog·관계·화물·주기·증원·저장·수치 검증 OPEN
