"stable_id","display_name","stock_category","source_features","source_kind","source_unit_weight_kg","source_unit_price","source_declared_function","portfolio_commitment","same_era_alternative_candidates","physical_handling_receipt","depletion_or_overstock_pressure","recovery_or_conversion","status"
"ammo:armor-piercing-cartridge","철갑 탄약","Ammunition (탄약)","[{""rid"":7737212042831201238},{""rid"":1000},{""rid"":1001},{""rid"":1002}]","Raw","0.15","16","생산식 1개가 공급하는 물자다. 게임 내 역할은 원거리 전투의 탄약 소비, 외부 거래와 가격 형성, 생산망의 입력·출력, 연구에 따른 사용 시점 제한에 연결된다.","원거리·화기 전투를 위해 재고·운반·보급을 배정해 근접 방어·다른 탄약 계통 투자를 늦춘다","비교 후보(대체 가능성 미검증): ResourceItemDefinitionSO:ammo:arrow-bone, ResourceItemDefinitionSO:ammo:arrow-iron, ResourceItemDefinitionSO:ammo:arrow-rune, ResourceItemDefinitionSO:ammo:arrow-steel, ResourceItemDefinitionSO:ammo:bolt-bone, ResourceItemDefinitionSO:ammo:bolt-iron, ResourceItemDefinitionSO:ammo:bolt-rune, ResourceItemDefinitionSO:ammo:bolt-steel, ResourceItemDefinitionSO:ammo:incendiary-arrow, ResourceItemDefinitionSO:ammo:incendiary-bolt, ResourceItemDefinitionSO:ammo:smoke-cartridge, ResourceItemDefinitionSO:ammo:scatter-cartridge 외 8개","생성 또는 거래·재고 입고·운반·보관·장착 또는 소비와 하류 주문 기록","조우 소모·원정 적재·수리 또는 재보급의 지연이 압력이 된다","실제 비교 후보·교역·재활용·수리·배급 조정 중 원본 기능에 맞는 경로로 재고 압력을 줄인다","설계 확정; 질량·가격·스택·부패·효과 수치는 source authority와 밸런스 기준서에서 별도 검증 OPEN"
"ammo:arrow-bone","뼈촉 화살","Ammunition (탄약)","[{""rid"":1000},{""rid"":1001},{""rid"":1002},{""rid"":1003}]","Raw","0.08","5","생산식 1개가 공급하는 물자다. 게임 내 역할은 원거리 전투의 탄약 소비, 외부 거래와 가격 형성, 생산망의 입력·출력, 연구에 따른 사용 시점 제한에 연결된다.","원거리·화기 전투를 위해 재고·운반·보급을 배정해 근접 방어·다른 탄약 계통 투자를 늦춘다","비교 후보(대체 가능성 미검증): ResourceItemDefinitionSO:ammo:arrow-iron, ResourceItemDefinitionSO:ammo:arrow-rune, ResourceItemDefinitionSO:ammo:arrow-steel, ResourceItemDefinitionSO:ammo:bolt-bone, ResourceItemDefinitionSO:ammo:bolt-iron, ResourceItemDefinitionSO:ammo:bolt-rune, ResourceItemDefinitionSO:ammo:bolt-steel, ResourceItemDefinitionSO:ammo:incendiary-arrow, ResourceItemDefinitionSO:ammo:incendiary-bolt, ResourceItemDefinitionSO:ammo:smoke-cartridge, ResourceItemDefinitionSO:ammo:armor-piercing-cartridge, ResourceItemDefinitionSO:ammo:scatter-cartridge 외 8개","생성 또는 거래·재고 입고·운반·보관·장착 또는 소비와 하류 주문 기록","조우 소모·원정 적재·수리 또는 재보급의 지연이 압력이 된다","실제 비교 후보·교역·재활용·수리·배급 조정 중 원본 기능에 맞는 경로로 재고 압력을 줄인다","설계 확정; 질량·가격·스택·부패·효과 수치는 source authority와 밸런스 기준서에서 별도 검증 OPEN"
"ammo:arrow-iron","철촉 화살","Ammunition (탄약)","[{""rid"":1000},{""rid"":1001},{""rid"":1002},{""rid"":1003}]","Raw","0.09","7","생산식 1개가 공급하는 물자다. 게임 내 역할은 원거리 전투의 탄약 소비, 외부 거래와 가격 형성, 생산망의 입력·출력, 연구에 따른 사용 시점 제한에 연결된다.","원거리·화기 전투를 위해 재고·운반·보급을 배정해 근접 방어·다른 탄약 계통 투자를 늦춘다","비교 후보(대체 가능성 미검증): ResourceItemDefinitionSO:ammo:arrow-bone, ResourceItemDefinitionSO:ammo:arrow-rune, ResourceItemDefinitionSO:ammo:arrow-steel, ResourceItemDefinitionSO:ammo:bolt-bone, ResourceItemDefinitionSO:ammo:bolt-iron, ResourceItemDefinitionSO:ammo:bolt-rune, ResourceItemDefinitionSO:ammo:bolt-steel, ResourceItemDefinitionSO:ammo:incendiary-arrow, ResourceItemDefinitionSO:ammo:incendiary-bolt, ResourceItemDefinitionSO:ammo:smoke-cartridge, ResourceItemDefinitionSO:ammo:armor-piercing-cartridge, ResourceItemDefinitionSO:ammo:scatter-cartridge 외 8개","생성 또는 거래·재고 입고·운반·보관·장착 또는 소비와 하류 주문 기록","조우 소모·원정 적재·수리 또는 재보급의 지연이 압력이 된다","실제 비교 후보·교역·재활용·수리·배급 조정 중 원본 기능에 맞는 경로로 재고 압력을 줄인다","설계 확정; 질량·가격·스택·부패·효과 수치는 source authority와 밸런스 기준서에서 별도 검증 OPEN"
"ammo:arrow-rune","룬촉 화살","Ammunition (탄약)","[{""rid"":1000},{""rid"":1001},{""rid"":1002},{""rid"":1003}]","Raw","0.08","11","생산식 1개가 공급하는 물자다. 게임 내 역할은 원거리 전투의 탄약 소비, 외부 거래와 가격 형성, 생산망의 입력·출력, 연구에 따른 사용 시점 제한에 연결된다.","원거리·화기 전투를 위해 재고·운반·보급을 배정해 근접 방어·다른 탄약 계통 투자를 늦춘다","비교 후보(대체 가능성 미검증): ResourceItemDefinitionSO:ammo:arrow-bone, ResourceItemDefinitionSO:ammo:arrow-iron, ResourceItemDefinitionSO:ammo:arrow-steel, ResourceItemDefinitionSO:ammo:bolt-bone, ResourceItemDefinitionSO:ammo:bolt-iron, ResourceItemDefinitionSO:ammo:bolt-rune, ResourceItemDefinitionSO:ammo:bolt-steel, ResourceItemDefinitionSO:ammo:incendiary-arrow, ResourceItemDefinitionSO:ammo:incendiary-bolt, ResourceItemDefinitionSO:ammo:smoke-cartridge, ResourceItemDefinitionSO:ammo:armor-piercing-cartridge, ResourceItemDefinitionSO:ammo:scatter-cartridge 외 8개","생성 또는 거래·재고 입고·운반·보관·장착 또는 소비와 하류 주문 기록","조우 소모·원정 적재·수리 또는 재보급의 지연이 압력이 된다","실제 비교 후보·교역·재활용·수리·배급 조정 중 원본 기능에 맞는 경로로 재고 압력을 줄인다","설계 확정; 질량·가격·스택·부패·효과 수치는 source authority와 밸런스 기준서에서 별도 검증 OPEN"
"ammo:arrow-steel","강철촉 화살","Ammunition (탄약)","[{""rid"":1000},{""rid"":1001},{""rid"":1002},{""rid"":1003}]","Raw","0.085","13","생산식 1개의 출력이자 1개의 입력으로 쓰이는 중간 물자다. 게임 내 역할은 원거리 전투의 탄약 소비, 외부 거래와 가격 형성, 생산망의 입력·출력, 연구에 따른 사용 시점 제한에 연결된다.","원거리·화기 전투를 위해 재고·운반·보급을 배정해 근접 방어·다른 탄약 계통 투자를 늦춘다","비교 후보(대체 가능성 미검증): ResourceItemDefinitionSO:ammo:arrow-bone, ResourceItemDefinitionSO:ammo:arrow-iron, ResourceItemDefinitionSO:ammo:arrow-rune, ResourceItemDefinitionSO:ammo:bolt-bone, ResourceItemDefinitionSO:ammo:bolt-iron, ResourceItemDefinitionSO:ammo:bolt-rune, ResourceItemDefinitionSO:ammo:bolt-steel, ResourceItemDefinitionSO:ammo:incendiary-arrow, ResourceItemDefinitionSO:ammo:incendiary-bolt, ResourceItemDefinitionSO:ammo:smoke-cartridge, ResourceItemDefinitionSO:ammo:armor-piercing-cartridge, ResourceItemDefinitionSO:ammo:scatter-cartridge 외 8개","생성 또는 거래·재고 입고·운반·보관·장착 또는 소비와 하류 주문 기록","조우 소모·원정 적재·수리 또는 재보급의 지연이 압력이 된다","실제 비교 후보·교역·재활용·수리·배급 조정 중 원본 기능에 맞는 경로로 재고 압력을 줄인다","설계 확정; 질량·가격·스택·부패·효과 수치는 source authority와 밸런스 기준서에서 별도 검증 OPEN"
"ammo:blacksteel-bolt","흑강 볼트","Ammunition (탄약)","[{""rid"":7737212042857939047},{""rid"":1000},{""rid"":1001},{""rid"":1002}]","Raw","0.15","45","생산식 1개가 공급하는 물자다. 게임 내 역할은 원거리 전투의 탄약 소비, 외부 거래와 가격 형성, 생산망의 입력·출력, 연구에 따른 사용 시점 제한에 연결된다.","원거리·화기 전투를 위해 재고·운반·보급을 배정해 근접 방어·다른 탄약 계통 투자를 늦춘다","비교 후보(대체 가능성 미검증): ResourceItemDefinitionSO:ammo:arrow-bone, ResourceItemDefinitionSO:ammo:arrow-iron, ResourceItemDefinitionSO:ammo:arrow-rune, ResourceItemDefinitionSO:ammo:arrow-steel, ResourceItemDefinitionSO:ammo:bolt-bone, ResourceItemDefinitionSO:ammo:bolt-iron, ResourceItemDefinitionSO:ammo:bolt-rune, ResourceItemDefinitionSO:ammo:bolt-steel, ResourceItemDefinitionSO:ammo:incendiary-arrow, ResourceItemDefinitionSO:ammo:incendiary-bolt, ResourceItemDefinitionSO:ammo:smoke-cartridge, ResourceItemDefinitionSO:ammo:armor-piercing-cartridge 외 8개","생성 또는 거래·재고 입고·운반·보관·장착 또는 소비와 하류 주문 기록","조우 소모·원정 적재·수리 또는 재보급의 지연이 압력이 된다","실제 비교 후보·교역·재활용·수리·배급 조정 중 원본 기능에 맞는 경로로 재고 압력을 줄인다","설계 확정; 질량·가격·스택·부패·효과 수치는 source authority와 밸런스 기준서에서 별도 검증 OPEN"
"ammo:blasting-charge","발파 장약","Ammunition (탄약)","[{""rid"":7737212042857939150},{""rid"":1000},{""rid"":1001},{""rid"":1002}]","Raw","0.15","32","생산식 1개가 공급하는 물자다. 게임 내 역할은 원거리 전투의 탄약 소비, 외부 거래와 가격 형성, 생산망의 입력·출력, 연구에 따른 사용 시점 제한에 연결된다.","원거리·화기 전투를 위해 재고·운반·보급을 배정해 근접 방어·다른 탄약 계통 투자를 늦춘다","비교 후보(대체 가능성 미검증): ResourceItemDefinitionSO:ammo:arrow-bone, ResourceItemDefinitionSO:ammo:arrow-iron, ResourceItemDefinitionSO:ammo:arrow-rune, ResourceItemDefinitionSO:ammo:arrow-steel, ResourceItemDefinitionSO:ammo:bolt-bone, ResourceItemDefinitionSO:ammo:bolt-iron, ResourceItemDefinitionSO:ammo:bolt-rune, ResourceItemDefinitionSO:ammo:bolt-steel, ResourceItemDefinitionSO:ammo:incendiary-arrow, ResourceItemDefinitionSO:ammo:incendiary-bolt, ResourceItemDefinitionSO:ammo:smoke-cartridge, ResourceItemDefinitionSO:ammo:armor-piercing-cartridge 외 8개","생성 또는 거래·재고 입고·운반·보관·장착 또는 소비와 하류 주문 기록","조우 소모·원정 적재·수리 또는 재보급의 지연이 압력이 된다","실제 비교 후보·교역·재활용·수리·배급 조정 중 원본 기능에 맞는 경로로 재고 압력을 줄인다","설계 확정; 질량·가격·스택·부패·효과 수치는 source authority와 밸런스 기준서에서 별도 검증 OPEN"
"ammo:bolt-bone","뼈촉 볼트","Ammunition (탄약)","[{""rid"":1000},{""rid"":1001},{""rid"":1002},{""rid"":1003}]","Raw","0.1","6","생산식 1개가 공급하는 물자다. 게임 내 역할은 원거리 전투의 탄약 소비, 외부 거래와 가격 형성, 생산망의 입력·출력, 연구에 따른 사용 시점 제한에 연결된다.","원거리·화기 전투를 위해 재고·운반·보급을 배정해 근접 방어·다른 탄약 계통 투자를 늦춘다","비교 후보(대체 가능성 미검증): ResourceItemDefinitionSO:ammo:arrow-bone, ResourceItemDefinitionSO:ammo:arrow-iron, ResourceItemDefinitionSO:ammo:arrow-rune, ResourceItemDefinitionSO:ammo:arrow-steel, ResourceItemDefinitionSO:ammo:bolt-iron, ResourceItemDefinitionSO:ammo:bolt-rune, ResourceItemDefinitionSO:ammo:bolt-steel, ResourceItemDefinitionSO:ammo:incendiary-arrow, ResourceItemDefinitionSO:ammo:incendiary-bolt, ResourceItemDefinitionSO:ammo:smoke-cartridge, ResourceItemDefinitionSO:ammo:armor-piercing-cartridge, ResourceItemDefinitionSO:ammo:scatter-cartridge 외 8개","생성 또는 거래·재고 입고·운반·보관·장착 또는 소비와 하류 주문 기록","조우 소모·원정 적재·수리 또는 재보급의 지연이 압력이 된다","실제 비교 후보·교역·재활용·수리·배급 조정 중 원본 기능에 맞는 경로로 재고 압력을 줄인다","설계 확정; 질량·가격·스택·부패·효과 수치는 source authority와 밸런스 기준서에서 별도 검증 OPEN"
"ammo:bolt-iron","철촉 볼트","Ammunition (탄약)","[{""rid"":1000},{""rid"":1001},{""rid"":1002},{""rid"":1003}]","Raw","0.11","7","생산식 1개가 공급하는 물자다. 게임 내 역할은 원거리 전투의 탄약 소비, 외부 거래와 가격 형성, 생산망의 입력·출력, 연구에 따른 사용 시점 제한에 연결된다.","원거리·화기 전투를 위해 재고·운반·보급을 배정해 근접 방어·다른 탄약 계통 투자를 늦춘다","비교 후보(대체 가능성 미검증): ResourceItemDefinitionSO:ammo:arrow-bone, ResourceItemDefinitionSO:ammo:arrow-iron, ResourceItemDefinitionSO:ammo:arrow-rune, ResourceItemDefinitionSO:ammo:arrow-steel, ResourceItemDefinitionSO:ammo:bolt-bone, ResourceItemDefinitionSO:ammo:bolt-rune, ResourceItemDefinitionSO:ammo:bolt-steel, ResourceItemDefinitionSO:ammo:incendiary-arrow, ResourceItemDefinitionSO:ammo:incendiary-bolt, ResourceItemDefinitionSO:ammo:smoke-cartridge, ResourceItemDefinitionSO:ammo:armor-piercing-cartridge, ResourceItemDefinitionSO:ammo:scatter-cartridge 외 8개","생성 또는 거래·재고 입고·운반·보관·장착 또는 소비와 하류 주문 기록","조우 소모·원정 적재·수리 또는 재보급의 지연이 압력이 된다","실제 비교 후보·교역·재활용·수리·배급 조정 중 원본 기능에 맞는 경로로 재고 압력을 줄인다","설계 확정; 질량·가격·스택·부패·효과 수치는 source authority와 밸런스 기준서에서 별도 검증 OPEN"
"ammo:bolt-rune","룬촉 볼트","Ammunition (탄약)","[{""rid"":1000},{""rid"":1001},{""rid"":1002},{""rid"":1003}]","Raw","0.1","11","생산식 1개가 공급하는 물자다. 게임 내 역할은 원거리 전투의 탄약 소비, 외부 거래와 가격 형성, 생산망의 입력·출력, 연구에 따른 사용 시점 제한에 연결된다.","원거리·화기 전투를 위해 재고·운반·보급을 배정해 근접 방어·다른 탄약 계통 투자를 늦춘다","비교 후보(대체 가능성 미검증): ResourceItemDefinitionSO:ammo:arrow-bone, ResourceItemDefinitionSO:ammo:arrow-iron, ResourceItemDefinitionSO:ammo:arrow-rune, ResourceItemDefinitionSO:ammo:arrow-steel, ResourceItemDefinitionSO:ammo:bolt-bone, ResourceItemDefinitionSO:ammo:bolt-iron, ResourceItemDefinitionSO:ammo:bolt-steel, ResourceItemDefinitionSO:ammo:incendiary-arrow, ResourceItemDefinitionSO:ammo:incendiary-bolt, ResourceItemDefinitionSO:ammo:smoke-cartridge, ResourceItemDefinitionSO:ammo:armor-piercing-cartridge, ResourceItemDefinitionSO:ammo:scatter-cartridge 외 8개","생성 또는 거래·재고 입고·운반·보관·장착 또는 소비와 하류 주문 기록","조우 소모·원정 적재·수리 또는 재보급의 지연이 압력이 된다","실제 비교 후보·교역·재활용·수리·배급 조정 중 원본 기능에 맞는 경로로 재고 압력을 줄인다","설계 확정; 질량·가격·스택·부패·효과 수치는 source authority와 밸런스 기준서에서 별도 검증 OPEN"
